fee_to_reward90rocUSD,median_transaction_fee90rocUSD,mediantransactionvalueUSD,mining_profitability90roc,sentinusd90rocUSD,transactions90roc,transactionvalue90rocUSD,priceUSD
5.201,0.136,130.248,0.787,2131075654.0,326226.0,7299.0,734.786
4.149,0.141,136.916,0.685,848933742.0,250724.0,4272.0,732.631
3.782,0.141,128.066,0.72,871797833.0,229540.0,4613.0,732.658
2.898,0.132,107.619,0.775,802744505.0,207814.0,4545.0,732.374
3.99,0.126,151.569,0.633,1040620958.0,241631.0,5218.0,737.759
4.201,0.128,158.342,0.737,1106760121.0,246506.0,5389.0,747.59
4.567,0.126,143.358,0.773,3228852258.0,268285.0,12914.0,767.657
3.919,0.123,144.722,0.764,4626841545.0,271843.0,18160.0,764.483
5.499,0.137,137.719,0.64,3837164588.0,247927.0,16600.0,764.011
3.861,0.124,104.877,0.795,3884932334.0,238068.0,17125.0,754.931
3.573,0.128,107.792,0.736,3559061340.0,225633.0,17148.0,755.702
4.766,0.127,117.138,0.705,2863038749.0,274135.0,11474.0,760.565
4.056,0.114,103.963,0.776,2205399643.0,295891.0,8338.0,766.652
4.361,0.121,127.549,0.751,1698112788.0,269948.0,7225.0,768.494
3.773,0.113,118.442,0.754,1089350023.0,271206.0,4629.0,771.991
3.449,0.11,114.224,0.705,810783233.0,254456.0,3913.0,767.304
3.045,0.112,106.14,0.741,563934215.0,228718.0,2937.0,774.371
3.413,0.11,99.78,0.646,622730749.0,219515.0,3582.0,777.648
3.565,0.111,121.958,0.776,835946349.0,270334.0,4010.0,776.714
4.012,0.112,129.4,0.716,1034687813.0,280196.0,4453.0,776.708
3.586,0.112,112.656,0.743,1174535047.0,289618.0,4870.0,779.035
4.29,0.126,121.591,0.715,963341912.0,277301.0,4290.0,786.632
4.323,0.123,122.745,0.706,891178540.0,275777.0,4319.0,787.662
3.908,0.123,111.862,0.684,710239653.0,249618.0,3347.0,789.416
4.363,0.132,98.216,0.649,718505388.0,243463.0,3574.0,789.909
5.182,0.147,111.042,0.73,962120473.0,285654.0,4022.0,811.021
5.717,0.153,111.515,0.689,1014063532.0,285501.0,4444.0,852.382
5.6,0.148,115.817,0.696,1061545675.0,276777.0,4618.0,894.707
6.29,0.153,106.625,0.775,1187915422.0,328376.0,4271.0,897.765
6.778,0.147,110.139,0.674,919676834.0,315235.0,3411.0,871.821
5.054,0.147,103.018,0.688,701778307.0,277455.0,3209.0,896.85
4.317,0.147,99.856,0.643,543179077.0,237245.0,2930.0,911.027
5.077,0.147,121.12,0.741,849370431.0,298366.0,3714.0,950.293
5.149,0.146,120.063,0.67,869780745.0,289501.0,3606.0,965.624
5.314,0.148,116.086,0.671,858133422.0,292512.0,3442.0,950.955
5.331,0.151,118.993,0.666,919443425.0,239536.0,4717.0,952.778
6.323,0.158,119.487,0.747,1202528651.0,315335.0,4340.0,970.988
4.495,0.153,107.46,0.757,706887564.0,287816.0,3275.0,1010.0
4.771,0.153,105.056,0.633,580396311.0,245502.0,2846.0,1017.0
5.993,0.156,120.761,0.735,1072859138.0,319612.0,3900.0,1045.0
4.716,0.152,121.643,0.742,981214929.0,310580.0,3795.0,927.984
4.677,0.153,129.39,0.652,905132564.0,282554.0,3862.0,865.388
5.401,0.154,125.799,0.672,944138969.0,268680.0,4360.0,908.784
5.003,0.154,109.634,0.708,732875651.0,250109.0,3609.0,890.728
3.179,0.144,99.719,0.801,634088813.0,229746.0,3547.0,899.089
4.561,0.147,127.861,0.647,991127795.0,268506.0,4876.0,843.358
4.207,0.156,119.913,0.74,986980635.0,291579.0,4171.0,781.292
5.177,0.155,116.1,0.642,1090672647.0,286189.0,4489.0,805.197
5.953,0.158,128.09,0.652,1373876558.0,282558.0,5623.0,825.581
5.547,0.16,120.52,0.674,1262955098.0,279228.0,5251.0,816.142
4.327,0.157,107.405,0.746,834100450.0,237986.0,4368.0,825.861
4.387,0.158,123.149,0.604,848359204.0,235648.0,4713.0,873.162
5.223,0.158,142.259,0.699,1012685303.0,281978.0,5178.0,882.986
5.582,0.158,135.759,0.663,1133501364.0,296335.0,5165.0,890.236
5.469,0.162,137.071,0.736,1986174430.0,325518.0,7100.0,892.331
5.074,0.17,143.285,0.721,1461659598.0,314485.0,6660.0,914.851
5.026,0.167,154.373,0.758,1722688843.0,304845.0,7725.0,920.879
4.656,0.18,133.635,0.74,981257022.0,240683.0,5688.0,918.084
2.918,0.158,126.463,0.776,717317516.0,197199.0,4877.0,906.179
4.725,0.179,162.543,0.682,1007926551.0,244772.0,5537.0,894.156
4.859,0.182,159.553,0.83,1170414028.0,296390.0,6885.0,903.996
4.846,0.19,167.849,0.806,1278359909.0,305230.0,6419.0,914.645
5.412,0.193,165.106,0.792,1289635710.0,304455.0,5645.0,916.865
4.866,0.19,156.321,0.802,1490135455.0,286661.0,7317.0,915.551
4.263,0.174,143.503,0.726,947360373.0,250125.0,5247.0,915.703
3.232,0.176,145.454,0.814,819640395.0,180346.0,5828.0,937.573
5.377,0.204,148.871,0.927,1198701562.0,290792.0,5552.0,969.061
5.424,0.203,155.286,0.829,1589854908.0,301500.0,6573.0,989.036
9.185,0.243,175.91,0.933,1865216888.0,328489.0,8114.0,1009.0
6.169,0.236,208.689,0.779,2289995037.0,288361.0,10856.0,1014.0
5.972,0.21,155.765,0.849,1694100500.0,346244.0,8305.0,1016.0
5.809,0.196,136.379,0.669,1190388810.0,281922.0,6632.0,1017.0
4.19,0.185,141.378,0.847,800167027.0,259934.0,5866.0,1038.0
5.665,0.201,177.717,0.636,1281372176.0,269811.0,6912.0,1049.0
5.66,0.203,140.865,0.851,1325642617.0,323728.0,6547.0,1020.0
5.527,0.191,169.484,0.621,2778096735.0,302905.0,11077.0,973.244
4.68,0.177,152.864,0.652,1728399561.0,294953.0,9502.0,1003.0
4.921,0.182,153.086,0.552,1390057677.0,272597.0,7045.0,999.914
3.886,0.168,122.198,0.705,717318096.0,242097.0,5109.0,994.654
3.792,0.165,104.056,0.628,774634485.0,235832.0,5963.0,1003.0
