Date,fee_to_reward30emaUSD
2017/04/30,0.229
2017/05/01,0.237
2017/05/02,0.245
2017/05/03,0.246
2017/05/04,0.25
2017/05/05,0.251
2017/05/06,0.253
2017/05/07,0.259
2017/05/08,0.263
2017/05/09,0.268
2017/05/10,0.273
2017/05/11,0.278
2017/05/12,0.283
2017/05/13,0.288
2017/05/14,0.293
2017/05/15,0.303
2017/05/16,0.313
2017/05/17,0.341
2017/05/18,0.354
2017/05/19,0.369
2017/05/20,0.38
2017/05/21,0.39
2017/05/22,0.405
2017/05/23,0.434
2017/05/24,0.465
2017/05/25,0.482
2017/05/26,0.495
2017/05/27,0.502
2017/05/28,0.512
2017/05/29,0.518
2017/05/30,0.551
2017/05/31,0.622
2017/06/01,0.638
2017/06/02,0.664
2017/06/03,0.673
2017/06/04,0.687
2017/06/05,0.692
2017/06/06,0.707
2017/06/07,0.724
2017/06/08,0.731
2017/06/09,0.74
2017/06/10,0.739
2017/06/11,0.761
2017/06/12,0.818
2017/06/13,0.829
2017/06/14,0.831
2017/06/15,0.839
2017/06/16,0.841
2017/06/17,0.839
2017/06/18,0.839
2017/06/19,0.846
2017/06/20,0.95
2017/06/21,1.093
2017/06/22,1.179
2017/06/23,1.213
2017/06/24,1.268
2017/06/25,1.282
2017/06/26,1.319
2017/06/27,1.311
2017/06/28,1.356
2017/06/29,1.374
2017/06/30,1.365
2017/07/01,1.35
2017/07/02,1.336
2017/07/03,1.345
2017/07/04,1.342
2017/07/05,1.347
2017/07/06,1.33
2017/07/07,1.323
2017/07/08,1.319
2017/07/09,1.293
2017/07/10,1.276
2017/07/11,1.266
2017/07/12,1.269
2017/07/13,1.271
2017/07/14,1.261
2017/07/15,1.252
2017/07/16,1.242
2017/07/17,1.234
2017/07/18,1.263
2017/07/19,1.262
2017/07/20,1.245
2017/07/21,1.234
2017/07/22,1.211
2017/07/23,1.206
2017/07/24,1.206
2017/07/25,1.216
2017/07/26,1.211
2017/07/27,1.199
2017/07/28,1.192
2017/07/29,1.167
2017/07/30,1.143
2017/07/31,1.129
2017/08/01,1.132
2017/08/02,1.128
2017/08/03,1.125
2017/08/04,1.116
2017/08/05,1.113
2017/08/06,1.112
2017/08/07,1.132
2017/08/08,1.155
2017/08/09,1.157
2017/08/10,1.172
2017/08/11,1.195
2017/08/12,1.214
2017/08/13,1.221
2017/08/14,1.238
2017/08/15,1.265
2017/08/16,1.382
2017/08/17,1.444
2017/08/18,1.54
2017/08/19,1.567
2017/08/20,1.548
2017/08/21,1.537
2017/08/22,1.526
2017/08/23,1.513
2017/08/24,1.503
2017/08/25,1.505
2017/08/26,1.505
2017/08/27,1.498
2017/08/28,1.508
2017/08/29,1.571
2017/08/30,1.608
2017/08/31,1.708
2017/09/01,1.757
