Date,size3ema
2017/06/30,9086
2017/07/01,8596
2017/07/02,8549
2017/07/03,9346
2017/07/04,9739
2017/07/05,9917
2017/07/06,9373
2017/07/07,9541
2017/07/08,9213
2017/07/09,8096
2017/07/10,9341
2017/07/11,9913
2017/07/12,10324
2017/07/13,10500
2017/07/14,10270
2017/07/15,9509
2017/07/16,9367
2017/07/17,9590
2017/07/18,10438
2017/07/19,10360
2017/07/20,9865
2017/07/21,9263
2017/07/22,8627
2017/07/23,8955
2017/07/24,9757
2017/07/25,9762
2017/07/26,9082
2017/07/27,8714
2017/07/28,8986
2017/07/29,8219
2017/07/30,7920
2017/07/31,8606
2017/08/01,9055
2017/08/02,9240
2017/08/03,9419
2017/08/04,9963
2017/08/05,10195
2017/08/06,10329
2017/08/07,11098
2017/08/08,12188
2017/08/09,11780
2017/08/10,12681
2017/08/11,13555
2017/08/12,13598
2017/08/13,13297
2017/08/14,14476
2017/08/15,15439
2017/08/16,16400
2017/08/17,16865
2017/08/18,17100
2017/08/19,16724
2017/08/20,14774
2017/08/21,14977
2017/08/22,14618
2017/08/23,14485
2017/08/24,14140
2017/08/25,14956
2017/08/26,14791
2017/08/27,14868
2017/08/28,16312
2017/08/29,17384
2017/08/30,18106
2017/08/31,17771
2017/09/01,18104
2017/09/02,16719
2017/09/03,15295
2017/09/04,17527
2017/09/05,18616
2017/09/06,20609
2017/09/07,20872
2017/09/08,20924
2017/09/09,19036
2017/09/10,16858
2017/09/11,16811
2017/09/12,17424
2017/09/13,17179
2017/09/14,17233
2017/09/15,18272
2017/09/16,17485
2017/09/17,15917
2017/09/18,16727
2017/09/19,16661
2017/09/20,16344
2017/09/21,16224
2017/09/22,16598
2017/09/23,16274
2017/09/24,17129
2017/09/25,18353
2017/09/26,18440
2017/09/27,18666
2017/09/28,19610
2017/09/29,20575
2017/09/30,21286
2017/10/01,21534
2017/10/02,21338
2017/10/03,21128
2017/10/04,20761
2017/10/05,20537
2017/10/06,21097
2017/10/07,20377
2017/10/08,19763
2017/10/09,19717
2017/10/10,20578
2017/10/11,20312
2017/10/12,20724
2017/10/13,21285
2017/10/14,20618
2017/10/15,19815
2017/10/16,18054
2017/10/17,16233
2017/10/18,14647
2017/10/19,13813
2017/10/20,14533
2017/10/21,13258
2017/10/22,12103
2017/10/23,12465
2017/10/24,13206
2017/10/25,13776
2017/10/26,14097
2017/10/27,7048
2017/10/28,3524
2017/10/29,1762
2017/10/30,881.039
2017/10/31,440.519
2017/11/01,8052
2017/11/02,11893
2017/11/03,13872
2017/11/04,13014
2017/11/05,12327
2017/11/06,13062
2017/11/07,13664
2017/11/08,13942
2017/11/09,13935
2017/11/10,13674
2017/11/11,13169
2017/11/12,13201
2017/11/13,13822
2017/11/14,15027
2017/11/15,15740
2017/11/16,15509
2017/11/17,15405
2017/11/18,15016
2017/11/19,14783
2017/11/20,15719
2017/11/21,15950
2017/11/22,15964
2017/11/23,15997
2017/11/24,15550
2017/11/25,15872
2017/11/26,15985
2017/11/27,19086
2017/11/28,19033
2017/11/29,18786
2017/11/30,18423
2017/12/01,18303
2017/12/02,18128
2017/12/03,18727
2017/12/04,19234
2017/12/05,19517
2017/12/06,20345
2017/12/07,19122
2017/12/08,20171
2017/12/09,20031
2017/12/10,20448
2017/12/11,22001
2017/12/12,23804
2017/12/13,25010
2017/12/14,25530
2017/12/15,25855
2017/12/16,26122
2017/12/17,26044
2017/12/18,26988
2017/12/19,29226
2017/12/20,28345
2017/12/21,29283
2017/12/22,29240
2017/12/23,27719
2017/12/24,24119
2017/12/25,22920
2017/12/26,22677
2017/12/27,23705
2017/12/28,24835
2017/12/29,27189
2017/12/30,28267
2017/12/31,26654
2018/01/01,25340
2018/01/02,27749
2018/01/03,30111
2018/01/04,31896
2018/01/05,32656
2018/01/06,32656
2018/01/07,31961
2018/01/08,32232
2018/01/09,32634
2018/01/10,31640
2018/01/11,31469
2018/01/12,31062
2018/01/13,31163
2018/01/14,30243
2018/01/15,31044
2018/01/16,31906
2018/01/17,32166
2018/01/18,31936
2018/01/19,30391
2018/01/20,28903
2018/01/21,27850
2018/01/22,26857
2018/01/23,25968
2018/01/24,25267
2018/01/25,24469
2018/01/26,25264
2018/01/27,23857
2018/01/28,24027
2018/01/29,24637
2018/01/30,24931
2018/01/31,24916
2018/02/01,25622
2018/02/02,25903
2018/02/03,24248
2018/02/04,23496
2018/02/05,23836
2018/02/06,24385
2018/02/07,23678
2018/02/08,21886
2018/02/09,21991
2018/02/10,22056
2018/02/11,21519
2018/02/12,21848
2018/02/13,21141
2018/02/14,21495
2018/02/15,21650
2018/02/16,21180
2018/02/17,21536
2018/02/18,21135
2018/02/19,21473
2018/02/20,22943
2018/02/21,23125
2018/02/22,22436
2018/02/23,21614
2018/02/24,21440
2018/02/25,21003
2018/02/26,21327
2018/02/27,21145
2018/02/28,21369
2018/03/01,21016
2018/03/02,21783
2018/03/03,21478
2018/03/04,21136
2018/03/05,21851
2018/03/06,21737
2018/03/07,22281
2018/03/08,21879
2018/03/09,21127
2018/03/10,19994
2018/03/11,19303
2018/03/12,20485
2018/03/13,20716
2018/03/14,20411
2018/03/15,20233
2018/03/16,19868
2018/03/17,18622
2018/03/18,19409
2018/03/19,20026
2018/03/20,20046
2018/03/21,20338
2018/03/22,19111
2018/03/23,18979
2018/03/24,17789
2018/03/25,16386
2018/03/26,17113
2018/03/27,17172
2018/03/28,17227
2018/03/29,17368
