Date,activeaddresses
2017/05/08,83096
2017/05/09,77300
2017/05/10,73692
2017/05/11,79416
2017/05/12,70272
2017/05/13,62004
2017/05/14,67031
2017/05/15,77691
2017/05/16,77298
2017/05/17,71644
2017/05/18,90178
2017/05/19,109061
2017/05/20,79718
2017/05/21,90895
2017/05/22,113018
2017/05/23,121810
2017/05/24,120950
2017/05/25,120632
2017/05/26,112520
2017/05/27,95737
2017/05/28,93265
2017/05/29,100458
2017/05/30,111080
2017/05/31,122273
2017/06/01,138481
2017/06/02,116633
2017/06/03,116133
2017/06/04,117272
2017/06/05,126193
2017/06/06,138037
2017/06/07,132932
2017/06/08,125280
2017/06/09,143383
2017/06/10,149385
2017/06/11,168033
2017/06/12,211704
2017/06/13,201364
2017/06/14,181748
2017/06/15,188827
2017/06/16,168008
2017/06/17,164366
2017/06/18,170301
2017/06/19,191616
2017/06/20,191122
2017/06/21,157201
2017/06/22,206732
2017/06/23,202672
2017/06/24,180583
2017/06/25,155887
2017/06/26,237497
2017/06/27,182501
2017/06/28,188476
2017/06/29,182877
2017/06/30,177613
2017/07/01,170690
2017/07/02,172941
2017/07/03,201259
2017/07/04,193388
2017/07/05,179920
2017/07/06,176814
2017/07/07,203470
2017/07/08,159924
2017/07/09,150347
2017/07/10,200363
2017/07/11,193472
2017/07/12,186946
2017/07/13,163613
2017/07/14,164214
2017/07/15,156589
2017/07/16,162239
2017/07/17,164942
2017/07/18,178185
2017/07/19,180460
2017/07/20,174451
2017/07/21,164400
2017/07/22,140347
2017/07/23,183421
2017/07/24,168894
2017/07/25,162500
2017/07/26,150792
2017/07/27,157988
2017/07/28,164906
2017/07/29,139067
2017/07/30,147893
2017/07/31,185624
2017/08/01,151371
2017/08/02,160267
2017/08/03,156600
2017/08/04,173894
2017/08/05,173591
2017/08/06,171221
2017/08/07,185921
2017/08/08,215067
2017/08/09,191871
2017/08/10,226474
2017/08/11,230190
2017/08/12,214593
2017/08/13,210973
2017/08/14,272787
2017/08/15,266856
2017/08/16,267896
2017/08/17,275636
2017/08/18,288736
2017/08/19,235852
2017/08/20,200396
2017/08/21,251898
2017/08/22,225672
2017/08/23,249356
2017/08/24,226174
2017/08/25,236897
2017/08/26,190428
2017/08/27,198690
2017/08/28,231284
2017/08/29,260747
2017/08/30,267363
2017/08/31,275187
2017/09/01,259420
2017/09/02,222254
2017/09/03,198641
2017/09/04,300004
2017/09/05,290883
2017/09/06,309467
2017/09/07,271987
2017/09/08,279820
2017/09/09,244385
2017/09/10,209653
2017/09/11,241672
2017/09/12,280464
2017/09/13,242531
2017/09/14,267273
2017/09/15,307291
2017/09/16,231469
2017/09/17,191051
2017/09/18,251517
2017/09/19,228238
2017/09/20,218210
2017/09/21,208641
2017/09/22,177046
2017/09/23,171077
