Date,median_transaction_fee30trxUSD
2017/02/10,0.251
2017/02/11,0.269
2017/02/12,0.286
2017/02/13,0.304
2017/02/14,0.326
2017/02/15,0.35
2017/02/16,0.373
2017/02/17,0.395
2017/02/18,0.416
2017/02/19,0.435
2017/02/20,0.451
2017/02/21,0.47
2017/02/22,0.49
2017/02/23,0.506
2017/02/24,0.52
2017/02/25,0.536
2017/02/26,0.551
2017/02/27,0.567
2017/02/28,0.586
2017/03/01,0.607
2017/03/02,0.633
2017/03/03,0.665
2017/03/04,0.703
2017/03/05,0.743
2017/03/06,0.785
2017/03/07,0.829
2017/03/08,0.866
2017/03/09,0.898
2017/03/10,0.925
2017/03/11,0.95
2017/03/12,0.978
2017/03/13,1.021
2017/03/14,1.077
2017/03/15,1.142
2017/03/16,1.237
2017/03/17,1.364
2017/03/18,1.495
2017/03/19,1.63
2017/03/20,1.769
2017/03/21,1.905
2017/03/22,2.032
2017/03/23,2.151
2017/03/24,2.265
2017/03/25,2.378
2017/03/26,2.489
2017/03/27,2.599
2017/03/28,2.698
2017/03/29,2.791
2017/03/30,2.869
2017/03/31,2.927
2017/04/01,2.969
2017/04/02,2.994
2017/04/03,2.997
2017/04/04,2.979
2017/04/05,2.951
2017/04/06,2.906
2017/04/07,2.858
2017/04/08,2.798
2017/04/09,2.733
2017/04/10,2.662
2017/04/11,2.587
2017/04/12,2.512
2017/04/13,2.439
2017/04/14,2.371
2017/04/15,2.303
2017/04/16,2.238
2017/04/17,2.176
2017/04/18,2.117
2017/04/19,2.063
2017/04/20,2.009
2017/04/21,1.959
2017/04/22,1.909
2017/04/23,1.859
2017/04/24,1.81
2017/04/25,1.762
2017/04/26,1.713
2017/04/27,1.67
2017/04/28,1.64
2017/04/29,1.621
2017/04/30,1.613
2017/05/01,1.619
2017/05/02,1.634
2017/05/03,1.652
2017/05/04,1.678
2017/05/05,1.712
2017/05/06,1.749
2017/05/07,1.789
2017/05/08,1.824
2017/05/09,1.853
2017/05/10,1.877
2017/05/11,1.897
2017/05/12,1.915
2017/05/13,1.928
2017/05/14,1.937
2017/05/15,1.943
2017/05/16,1.945
2017/05/17,1.947
2017/05/18,1.946
2017/05/19,1.95
2017/05/20,1.967
2017/05/21,1.997
2017/05/22,2.05
2017/05/23,2.12
2017/05/24,2.213
2017/05/25,2.323
2017/05/26,2.428
2017/05/27,2.513
2017/05/28,2.588
2017/05/29,2.656
2017/05/30,2.729
2017/05/31,2.822
2017/06/01,2.919
2017/06/02,3.01
2017/06/03,3.087
2017/06/04,3.165
2017/06/05,3.235
2017/06/06,3.297
2017/06/07,3.354
2017/06/08,3.401
2017/06/09,3.433
2017/06/10,3.46
2017/06/11,3.496
2017/06/12,3.553
2017/06/13,3.617
2017/06/14,3.672
2017/06/15,3.706
2017/06/16,3.721
2017/06/17,3.721
2017/06/18,3.708
2017/06/19,3.682
2017/06/20,3.666
2017/06/21,3.757
2017/06/22,3.881
2017/06/23,4.021
2017/06/24,4.16
2017/06/25,4.252
2017/06/26,4.286
2017/06/27,4.267
2017/06/28,4.242
2017/06/29,4.189
2017/06/30,4.084
2017/07/01,3.939
2017/07/02,3.766
2017/07/03,3.583
2017/07/04,3.389
2017/07/05,3.188
2017/07/06,2.986
2017/07/07,2.786
2017/07/08,2.589
2017/07/09,2.397
2017/07/10,2.209
2017/07/11,2.022
2017/07/12,1.842
2017/07/13,1.668
2017/07/14,1.499
2017/07/15,1.337
2017/07/16,1.178
2017/07/17,1.026
2017/07/18,0.884
2017/07/19,0.753
2017/07/20,0.631
2017/07/21,0.519
2017/07/22,0.416
2017/07/23,0.321
2017/07/24,0.234
2017/07/25,0.154
2017/07/26,0.079
2017/07/27,0.009
2017/07/28,-0.058
2017/07/29,-0.122
2017/07/30,-0.183
2017/07/31,-0.239
2017/08/01,-0.287
2017/08/02,-0.329
2017/08/03,-0.366
2017/08/04,-0.4
2017/08/05,-0.429
2017/08/06,-0.451
2017/08/07,-0.467
2017/08/08,-0.476
2017/08/09,-0.475
2017/08/10,-0.468
2017/08/11,-0.453
2017/08/12,-0.431
2017/08/13,-0.405
2017/08/14,-0.378
2017/08/15,-0.347
2017/08/16,-0.305
2017/08/17,-0.259
2017/08/18,-0.199
2017/08/19,-0.144
2017/08/20,-0.094
2017/08/21,-0.047
2017/08/22,-0.003
2017/08/23,0.038
2017/08/24,0.074
2017/08/25,0.11
2017/08/26,0.143
2017/08/27,0.174
2017/08/28,0.203
2017/08/29,0.238
2017/08/30,0.28
2017/08/31,0.347
2017/09/01,0.424
2017/09/02,0.501
2017/09/03,0.565
2017/09/04,0.622
2017/09/05,0.673
2017/09/06,0.738
2017/09/07,0.814
2017/09/08,0.907
2017/09/09,0.988
2017/09/10,1.05
2017/09/11,1.086
2017/09/12,1.105
2017/09/13,1.103
2017/09/14,1.086
2017/09/15,1.062
2017/09/16,1.045
2017/09/17,1.031
2017/09/18,1.012
2017/09/19,0.982
2017/09/20,0.947
2017/09/21,0.903
2017/09/22,0.85
2017/09/23,0.792
2017/09/24,0.734
2017/09/25,0.676
