Date,size7var
2017/04/14,19201
2017/04/15,14559
2017/04/16,21279
2017/04/17,23567
2017/04/18,26567
2017/04/19,24492
2017/04/20,24218
2017/04/21,31069
2017/04/22,28629
2017/04/23,18443
2017/04/24,10746
2017/04/25,18161
2017/04/26,19891
2017/04/27,49995
2017/04/28,81948
2017/04/29,65937
2017/04/30,44720
2017/05/01,70482
2017/05/02,81106
2017/05/03,57763
2017/05/04,60580
2017/05/05,60635
2017/05/06,46591
2017/05/07,43094
2017/05/08,34272
2017/05/09,29772
2017/05/10,23271
2017/05/11,23298
2017/05/12,23730
2017/05/13,13868
2017/05/14,15322
2017/05/15,56813
2017/05/16,70905
2017/05/17,176906
2017/05/18,237094
2017/05/19,347071
2017/05/20,245465
2017/05/21,137735
2017/05/22,242806
2017/05/23,652650
2017/05/24,955675
2017/05/25,844556
2017/05/26,774759
2017/05/27,511593
2017/05/28,338036
2017/05/29,413623
2017/05/30,548700
2017/05/31,595798
2017/06/01,657809
2017/06/02,934985
2017/06/03,749761
2017/06/04,571685
2017/06/05,137955
2017/06/06,173635
2017/06/07,211482
2017/06/08,188839
2017/06/09,179392
2017/06/10,183728
2017/06/11,465985
2017/06/12,864743
2017/06/13,984005
2017/06/14,940269
2017/06/15,757174
2017/06/16,687456
2017/06/17,272977
2017/06/18,291237
2017/06/19,162887
2017/06/20,258299
2017/06/21,823110
2017/06/22,870364
2017/06/23,980669
2017/06/24,1001504
2017/06/25,983248
2017/06/26,1086899
2017/06/27,1084755
2017/06/28,371860
2017/06/29,370561
2017/06/30,384599
2017/07/01,505690
2017/07/02,532511
2017/07/03,685802
2017/07/04,605156
2017/07/05,623891
2017/07/06,647217
2017/07/07,636817
2017/07/08,432177
2017/07/09,1137033
2017/07/10,1273812
2017/07/11,1371104
2017/07/12,1554506
2017/07/13,1640258
2017/07/14,1652425
2017/07/15,1689274
2017/07/16,530194
2017/07/17,489422
2017/07/18,688309
2017/07/19,628016
2017/07/20,588462
2017/07/21,736031
2017/07/22,995874
2017/07/23,991430
2017/07/24,1120702
2017/07/25,685772
2017/07/26,653264
2017/07/27,716689
2017/07/28,702244
2017/07/29,906490
2017/07/30,1115125
2017/07/31,664625
2017/08/01,584666
2017/08/02,668788
2017/08/03,733840
2017/08/04,1060352
2017/08/05,780084
2017/08/06,257782
2017/08/07,631448
2017/08/08,1564994
2017/08/09,1267661
2017/08/10,1530739
2017/08/11,2142445
2017/08/12,1776959
2017/08/13,971077
2017/08/14,1476392
2017/08/15,2415978
2017/08/16,2292039
2017/08/17,2636133
2017/08/18,2862398
2017/08/19,2076863
2017/08/20,2237449
2017/08/21,2336624
2017/08/22,2721108
2017/08/23,2492660
2017/08/24,2048115
2017/08/25,1246364
2017/08/26,772467
2017/08/27,367989
2017/08/28,1531781
2017/08/29,2712952
2017/08/30,3477980
2017/08/31,2484835
2017/09/01,2547581
2017/09/02,2085494
2017/09/03,2953559
2017/09/04,3786563
2017/09/05,4337910
2017/09/06,7380993
2017/09/07,8287512
2017/09/08,8891549
2017/09/09,7366556
2017/09/10,6188374
2017/09/11,7004237
2017/09/12,7009675
2017/09/13,4725821
2017/09/14,3040999
2017/09/15,1682097
2017/09/16,1709244
2017/09/17,1950930
2017/09/18,1959911
2017/09/19,1855135
2017/09/20,1962183
2017/09/21,1978695
2017/09/22,876780
2017/09/23,865848
2017/09/24,541387
2017/09/25,1516464
2017/09/26,1733444
2017/09/27,1692111
2017/09/28,2067736
2017/09/29,2823257
2017/09/30,2026844
2017/10/01,1748720
2017/10/02,1676444
2017/10/03,937370
2017/10/04,320251
2017/10/05,371027
2017/10/06,385515
2017/10/07,503885
2017/10/08,642252
2017/10/09,620921
2017/10/10,753307
2017/10/11,761387
2017/10/12,853258
2017/10/13,925770
2017/10/14,872168
2017/10/15,926436
2017/10/16,3067247
2017/10/17,6145390
2017/10/18,9946823
2017/10/19,10689032
2017/10/20,6494806
2017/10/21,4935877
2017/10/22,2995829
2017/10/23,1760483
2017/10/24,1607844
2017/10/25,1832844
2017/10/26,2002089
2017/10/27,22365293
2017/10/28,37300453
2017/10/29,47441383
2017/10/30,49654454
2017/10/31,42212499
2017/11/01,46277727
2017/11/02,50296026
2017/11/03,60748264
2017/11/04,55399707
2017/11/05,43767144
2017/11/06,27067285
2017/11/07,2586432
2017/11/08,2220551
2017/11/09,1700760
2017/11/10,926195
2017/11/11,785013
2017/11/12,286434
2017/11/13,365430
2017/11/14,1135217
2017/11/15,1873995
2017/11/16,1939113
2017/11/17,1772333
2017/11/18,1046198
2017/11/19,562972
2017/11/20,639385
2017/11/21,630450
2017/11/22,539338
2017/11/23,558562
2017/11/24,581103
2017/11/25,451189
2017/11/26,186253
2017/11/27,4914925
2017/11/28,5359874
2017/11/29,5251261
2017/11/30,4850209
2017/12/01,3568567
2017/12/02,2878467
2017/12/03,1873686
2017/12/04,401655
2017/12/05,553418
2017/12/06,1207071
2017/12/07,1261371
2017/12/08,1548873
2017/12/09,1103948
2017/12/10,1156960
2017/12/11,2563174
2017/12/12,5316925
2017/12/13,8019322
2017/12/14,6187218
2017/12/15,6191281
2017/12/16,3637341
2017/12/17,825319
2017/12/18,477215
2017/12/19,3460375
2017/12/20,3310568
2017/12/21,3892254
2017/12/22,3485377
2017/12/23,3598032
2017/12/24,10939039
2017/12/25,15022047
2017/12/26,12675071
2017/12/27,11971999
2017/12/28,7845498
2017/12/29,8332978
2017/12/30,11123252
2017/12/31,7974484
2018/01/01,6110079
2018/01/02,5832416
2018/01/03,8214980
2018/01/04,10845690
2018/01/05,13083672
2018/01/06,14057644
2018/01/07,9613496
2018/01/08,1286993
2018/01/09,533582
2018/01/10,1070553
2018/01/11,933149
2018/01/12,841957
2018/01/13,708365
2018/01/14,1313850
2018/01/15,1131107
2018/01/16,994669
2018/01/17,1144770
2018/01/18,1156866
2018/01/19,1956201
2018/01/20,3665872
2018/01/21,5381134
2018/01/22,7048872
2018/01/23,6896326
2018/01/24,5205138
2018/01/25,2725517
2018/01/26,1437057
2018/01/27,1931582
2018/01/28,1369303
2018/01/29,1185544
2018/01/30,1213445
2018/01/31,1234750
2018/02/01,1442452
2018/02/02,1485553
2018/02/03,1387868
2018/02/04,1959753
2018/02/05,1946884
2018/02/06,1904883
2018/02/07,2167921
2018/02/08,3272391
2018/02/09,2049243
2018/02/10,2104496
2018/02/11,2479503
2018/02/12,2001563
2018/02/13,961279
2018/02/14,660676
2018/02/15,383739
2018/02/16,437422
2018/02/17,399092
2018/02/18,436500
2018/02/19,368580
2018/02/20,1301084
2018/02/21,1545350
2018/02/22,1550557
2018/02/23,1519088
2018/02/24,1604422
2018/02/25,1669365
2018/02/26,1680455
2018/02/27,722866
2018/02/28,182995
2018/03/01,165384
2018/03/02,403715
2018/03/03,406243
2018/03/04,364325
2018/03/05,547700
2018/03/06,505205
2018/03/07,700459
2018/03/08,530593
2018/03/09,680427
2018/03/10,1581777
2018/03/11,2428452
2018/03/12,2101232
2018/03/13,1993845
2018/03/14,1233589
2018/03/15,999324
2018/03/16,1021457
2018/03/17,1759938
2018/03/18,1551324
2018/03/19,1185233
2018/03/20,1000155
2018/03/21,1093629
2018/03/22,1501516
2018/03/23,1548233
2018/03/24,2066361
2018/03/25,4009567
2018/03/26,3273304
2018/03/27,2681749
2018/03/28,1266657
2018/03/29,1214822
2018/03/30,1048083
2018/03/31,1005880
2018/04/01,533017
2018/04/02,503711
2018/04/03,947439
2018/04/04,1120502
2018/04/05,1527222
2018/04/06,1481177
2018/04/07,1930073
2018/04/08,1474132
2018/04/09,1360810
2018/04/10,1217789
2018/04/11,1181319
2018/04/12,2371869
2018/04/13,3429792
2018/04/14,2258653
2018/04/15,1816734
2018/04/16,2071053
2018/04/17,2298524
2018/04/18,2402843
2018/04/19,4966317
2018/04/20,8180138
2018/04/21,5828983
2018/04/22,3391507
2018/04/23,2528656
2018/04/24,2616742
2018/04/25,2254573
2018/04/26,2180686
2018/04/27,1525927
2018/04/28,560200
2018/04/29,225734
2018/04/30,334535
2018/05/01,270657
2018/05/02,344683
2018/05/03,588775
2018/05/04,1180473
2018/05/05,1344780
2018/05/06,2567370
2018/05/07,3013499
2018/05/08,3133612
2018/05/09,3003033
2018/05/10,3231233
2018/05/11,1723289
2018/05/12,1754106
2018/05/13,1321801
2018/05/14,1269654
2018/05/15,1131530
2018/05/16,1111462
2018/05/17,567806
2018/05/18,530241
2018/05/19,426166
2018/05/20,354421
2018/05/21,246495
2018/05/22,302308
2018/05/23,489207
2018/05/24,506549
2018/05/25,485034
2018/05/26,972583
2018/05/27,1064153
2018/05/28,1031971
2018/05/29,1032904
2018/05/30,907342
2018/05/31,1788867
2018/06/01,1788396
2018/06/02,1194155
2018/06/03,696708
2018/06/04,796880
2018/06/05,783131
2018/06/06,1008656
2018/06/07,512610
2018/06/08,557889
2018/06/09,637124
2018/06/10,654035
2018/06/11,266930
2018/06/12,79323
2018/06/13,241273
2018/06/14,253167
2018/06/15,647340
2018/06/16,1239460
2018/06/17,3701273
2018/06/18,3953743
2018/06/19,4246423
2018/06/20,4319857
2018/06/21,4283589
2018/06/22,4194182
2018/06/23,4152671
