Date,activeaddresses90mom
2018/12/28,72606
2018/12/29,18036
2018/12/30,-1546
2018/12/31,24699
2019/01/01,-65652
2019/01/02,-33172
2019/01/03,-34678
2019/01/04,-88316
2019/01/05,-22535
2019/01/06,-41665
2019/01/07,-9861
2019/01/08,21971
2019/01/09,-7071
2019/01/10,279
2019/01/11,-21201
2019/01/12,-69028
2019/01/13,-88428
2019/01/14,-17852
2019/01/15,-50755
2019/01/16,-62168
2019/01/17,-62321
2019/01/18,-45597
2019/01/19,-42550
2019/01/20,-104954
2019/01/21,-65083
2019/01/22,-73596
2019/01/23,-48792
2019/01/24,-64834
2019/01/25,-26582
2019/01/26,-55894
2019/01/27,-97910
2019/01/28,-56439
2019/01/29,-75610
2019/01/30,-64076
2019/01/31,-22643
2019/02/01,-26410
2019/02/02,-60934
2019/02/03,-127187
2019/02/04,-121244
2019/02/05,-100109
2019/02/06,-85943
2019/02/07,-115714
2019/02/08,-65091
2019/02/09,-127000
2019/02/10,-135434
2019/02/11,-92918
2019/02/12,-100035
2019/02/13,-78904
2019/02/14,-65707
2019/02/15,-37144
2019/02/16,-39290
2019/02/17,-141154
2019/02/18,-64870
2019/02/19,-26666
2019/02/20,-38714
2019/02/21,-56582
2019/02/22,-10973
2019/02/23,-56241
2019/02/24,-42314
2019/02/25,-20486
2019/02/26,-52826
2019/02/27,-14443
2019/02/28,-35935
2019/03/01,10551
2019/03/02,1597
2019/03/03,-45254
2019/03/04,10849
2019/03/05,-10548
2019/03/06,-7073
2019/03/07,-31813
2019/03/08,-42150
2019/03/09,-11963
2019/03/10,-78732
2019/03/11,-19069
2019/03/12,6409
2019/03/13,-1427
2019/03/14,1519
2019/03/15,-21765
2019/03/16,-69417
2019/03/17,-43478
2019/03/18,14878
2019/03/19,-2517
2019/03/20,7030
2019/03/21,-8493
2019/03/22,49258
2019/03/23,-8505
2019/03/24,-41936
2019/03/25,59700
2019/03/26,40145
2019/03/27,27518
2019/03/28,18510
2019/03/29,22764
2019/03/30,56701
2019/03/31,10443
2019/04/01,127757
2019/04/02,117817
2019/04/03,78739
2019/04/04,58450
2019/04/05,58050
2019/04/06,21833
2019/04/07,6269
2019/04/08,43950
2019/04/09,41841
2019/04/10,30839
2019/04/11,92243
2019/04/12,146861
2019/04/13,71596
2019/04/14,-55960
2019/04/15,33277
2019/04/16,62946
2019/04/17,70498
2019/04/18,68855
2019/04/19,114487
2019/04/20,169567
2019/04/21,98304
2019/04/22,132624
2019/04/23,118506
2019/04/24,93111
2019/04/25,72877
2019/04/26,96918
2019/04/27,15668
2019/04/28,-11955
2019/04/29,42606
2019/04/30,83670
2019/05/01,99659
2019/05/02,52637
2019/05/03,100523
2019/05/04,93795
2019/05/05,112351
2019/05/06,141705
2019/05/07,128663
2019/05/08,147983
2019/05/09,129608
2019/05/10,171676
2019/05/11,178342
2019/05/12,131945
2019/05/13,179324
2019/05/14,205616
2019/05/15,227018
2019/05/16,247793
2019/05/17,206324
2019/05/18,164312
2019/05/19,93710
2019/05/20,137903
2019/05/21,198060
2019/05/22,181384
2019/05/23,182173
2019/05/24,213803
2019/05/25,167371
2019/05/26,128343
2019/05/27,226570
2019/05/28,213832
2019/05/29,237849
2019/05/30,185012
2019/05/31,225902
2019/06/01,367723
2019/06/02,236191
2019/06/03,187926
2019/06/04,151812
2019/06/05,115019
2019/06/06,191263
2019/06/07,80570
2019/06/08,100768
2019/06/09,139760
2019/06/10,88291
2019/06/11,163914
2019/06/12,263826
2019/06/13,163427
2019/06/14,181538
2019/06/15,197266
2019/06/16,267184
2019/06/17,98996
2019/06/18,124882
2019/06/19,112922
2019/06/20,75716
2019/06/21,171121
2019/06/22,157879
2019/06/23,51679
2019/06/24,94923
2019/06/25,98763
2019/06/26,145983
2019/06/27,113138
2019/06/28,74956
2019/06/29,83090
2019/06/30,-41269
2019/07/01,-36148
2019/07/02,39143
2019/07/03,76359
2019/07/04,73907
2019/07/05,78081
2019/07/06,21752
2019/07/07,-51443
2019/07/08,21214
2019/07/09,70717
2019/07/10,1782
2019/07/11,-26023
2019/07/12,60515
2019/07/13,25194
2019/07/14,-12096
2019/07/15,52954
2019/07/16,-30893
2019/07/17,27809
2019/07/18,-24946
2019/07/19,-73503
2019/07/20,-66844
2019/07/21,-117231
2019/07/22,-45157
2019/07/23,-46607
2019/07/24,-55634
2019/07/25,-46868
2019/07/26,47763
2019/07/27,15295
2019/07/28,-17452
2019/07/29,-20464
2019/07/30,11882
2019/07/31,24519
2019/08/01,-11571
2019/08/02,40971
2019/08/03,-26530
2019/08/04,-101490
2019/08/05,51257
2019/08/06,48052
2019/08/07,3158
2019/08/08,-23158
2019/08/09,7982
2019/08/10,-7010
2019/08/11,-92163
2019/08/12,-51230
2019/08/13,-87141
2019/08/14,-110837
2019/08/15,-83141
2019/08/16,-8806
2019/08/17,-51553
2019/08/18,-103653
2019/08/19,-89204
2019/08/20,-45305
2019/08/21,-47962
2019/08/22,-80897
2019/08/23,-38080
2019/08/24,-47099
2019/08/25,-161315
2019/08/26,-106288
2019/08/27,-136830
2019/08/28,-104528
2019/08/29,-120296
2019/08/30,-257449
2019/08/31,-197261
2019/09/01,-166014
2019/09/02,-68908
2019/09/03,-33609
2019/09/04,-124738
2019/09/05,27354
2019/09/06,40330
2019/09/07,-66632
2019/09/08,-45867
2019/09/09,-68300
2019/09/10,-211350
2019/09/11,-81816
2019/09/12,-66104
2019/09/13,-145144
