Date,price7rsiUSD
2017/02/20,82.924
2017/02/21,71.209
2017/02/22,73.35
2017/02/23,76.539
2017/02/24,82.658
2017/02/25,86.85
2017/02/26,90.596
2017/02/27,94.639
2017/02/28,96.541
2017/03/01,96.816
2017/03/02,98.367
2017/03/03,98.857
2017/03/04,92.517
2017/03/05,81.766
2017/03/06,84.227
2017/03/07,77.343
2017/03/08,58.977
2017/03/09,51.312
2017/03/10,59.757
2017/03/11,70.479
2017/03/12,80.109
2017/03/13,88.556
2017/03/14,89.842
2017/03/15,91.473
2017/03/16,95.826
2017/03/17,96.864
2017/03/18,71.497
2017/03/19,72.001
2017/03/20,76.69
2017/03/21,74.933
2017/03/22,68.541
2017/03/23,69.3
2017/03/24,76.473
2017/03/25,81.488
2017/03/26,81.052
2017/03/27,81.107
2017/03/28,77.264
2017/03/29,81.083
2017/03/30,81.901
2017/03/31,66.29
2017/04/01,66.381
2017/04/02,63.592
2017/04/03,43.191
2017/04/04,36.436
2017/04/05,47.432
2017/04/06,41.482
2017/04/07,37.517
2017/04/08,44.955
2017/04/09,42.128
2017/04/10,40.424
2017/04/11,43.315
2017/04/12,46.052
2017/04/13,66.681
2017/04/14,63.093
2017/04/15,62.872
2017/04/16,65.418
2017/04/17,62.894
2017/04/18,68.828
2017/04/19,72.803
2017/04/20,59.354
2017/04/21,61.399
2017/04/22,56.943
2017/04/23,56.284
2017/04/24,65.808
2017/04/25,65.813
2017/04/26,75.732
2017/04/27,88.114
2017/04/28,93.789
2017/04/29,94.976
2017/04/30,95.572
2017/05/01,96.867
2017/05/02,87.251
2017/05/03,87.673
2017/05/04,91.573
2017/05/05,93.759
2017/05/06,88.344
2017/05/07,89.257
2017/05/08,74.052
2017/05/09,60.05
2017/05/10,65.189
2017/05/11,65.346
2017/05/12,67.178
2017/05/13,59.054
2017/05/14,63.958
2017/05/15,67.482
2017/05/16,61.645
2017/05/17,52.915
2017/05/18,67.248
2017/05/19,84.347
2017/05/20,88.949
2017/05/21,90.983
2017/05/22,94.829
2017/05/23,94.868
2017/05/24,96.454
2017/05/25,96.816
2017/05/26,76.058
2017/05/27,53.465
2017/05/28,62.177
2017/05/29,65.76
2017/05/30,75.085
2017/05/31,79.181
2017/06/01,77.595
2017/06/02,76.133
2017/06/03,74.563
