Date,transactionvalue3rocUSD
2017/06/29,48.699
2017/06/30,1.986
2017/07/01,-9.457
2017/07/02,-41.352
2017/07/03,97.725
2017/07/04,96.183
2017/07/05,-10.097
2017/07/06,-62.426
2017/07/07,-60.308
2017/07/08,6.594
2017/07/09,-56.572
2017/07/10,1.831
2017/07/11,18.58
2017/07/12,148.216
2017/07/13,117.752
2017/07/14,128.981
2017/07/15,111.445
2017/07/16,-7.736
2017/07/17,-19.988
2017/07/18,0.803
2017/07/19,19.091
2017/07/20,12.906
2017/07/21,2.562
2017/07/22,-73.964
2017/07/23,-66.053
2017/07/24,-11.027
2017/07/25,303.792
2017/07/26,180.985
2017/07/27,5.386
2017/07/28,-2.691
2017/07/29,22.827
2017/07/30,-27.675
2017/07/31,-64.875
2017/08/01,-54.727
2017/08/02,-37.147
2017/08/03,3.759
2017/08/04,-28.547
2017/08/05,-3.371
2017/08/06,19.593
2017/08/07,36.794
2017/08/08,16.201
2017/08/09,39.042
2017/08/10,123.013
2017/08/11,307.321
2017/08/12,116.259
2017/08/13,30.717
2017/08/14,-54.853
2017/08/15,-47.351
2017/08/16,-59.441
2017/08/17,-39.278
2017/08/18,-21.548
2017/08/19,-16.909
2017/08/20,-11.385
2017/08/21,-4.481
2017/08/22,6.866
2017/08/23,16.344
2017/08/24,6.999
2017/08/25,0.089
2017/08/26,-48.005
2017/08/27,87.954
2017/08/28,173.008
2017/08/29,233.192
2017/08/30,66.62
2017/08/31,-37.503
2017/09/01,-19.013
2017/09/02,-56.062
2017/09/03,-26.141
2017/09/04,-25.288
2017/09/05,-27.769
2017/09/06,-11.461
2017/09/07,-27.044
2017/09/08,-15.008
2017/09/09,43.433
2017/09/10,81.405
2017/09/11,33.028
2017/09/12,-27.286
2017/09/13,-52.52
2017/09/14,-18.002
2017/09/15,-15.912
2017/09/16,-6.111
2017/09/17,4.069
2017/09/18,53.62
2017/09/19,82.691
2017/09/20,-18.657
2017/09/21,-44.844
2017/09/22,-35.353
2017/09/23,-6.62
2017/09/24,-17.69
2017/09/25,-2.991
2017/09/26,3.354
2017/09/27,30.582
2017/09/28,12.906
2017/09/29,-10.012
2017/09/30,-24.965
