Date,price7varUSD
2017/10/18,193.103
2017/10/19,173.663
2017/10/20,217.237
2017/10/21,215.116
2017/10/22,211.823
2017/10/23,129.605
2017/10/24,56.242
2017/10/25,55.556
2017/10/26,38.235
2017/10/27,24.601
2017/10/28,24.155
2017/10/29,29.259
2017/10/30,19.324
2017/10/31,25.426
2017/11/01,22.933
2017/11/02,51.66
2017/11/03,52.182
2017/11/04,49.36
2017/11/05,48.415
2017/11/06,37.633
2017/11/07,21.93
2017/11/08,24.13
2017/11/09,53.082
2017/11/10,57.394
2017/11/11,56.742
2017/11/12,51.906
2017/11/13,50.367
2017/11/14,63.077
2017/11/15,93.456
2017/11/16,108.736
2017/11/17,111.169
2017/11/18,85.827
2017/11/19,121.583
2017/11/20,150.809
2017/11/21,201.228
2017/11/22,241.068
2017/11/23,436.58
2017/11/24,861.186
2017/11/25,1567
2017/11/26,1783
2017/11/27,1888
2017/11/28,1503
2017/11/29,702.413
2017/11/30,292.546
2017/12/01,205.504
2017/12/02,198.073
2017/12/03,206.933
2017/12/04,175.898
2017/12/05,156.569
2017/12/06,156.441
2017/12/07,207.008
2017/12/08,195.335
2017/12/09,266.355
2017/12/10,244.32
2017/12/11,253.176
2017/12/12,1697
2017/12/13,6088
2017/12/14,9906
2017/12/15,10247
2017/12/16,10239
2017/12/17,7307
2017/12/18,2830
2017/12/19,2466
2017/12/20,2676
2017/12/21,3151
2017/12/22,2890
2017/12/23,2461
2017/12/24,3439
2017/12/25,3547
2017/12/26,2566
2017/12/27,1996
2017/12/28,900.925
2017/12/29,780.668
2017/12/30,799.925
2017/12/31,286.804
2018/01/01,336.999
2018/01/02,2112
2018/01/03,4572
2018/01/04,7791
2018/01/05,10651
2018/01/06,10197
2018/01/07,10079
2018/01/08,9542
2018/01/09,11845
2018/01/10,16230
2018/01/11,13732
2018/01/12,10103
2018/01/13,7467
2018/01/14,5086
2018/01/15,3278
2018/01/16,5858
2018/01/17,17841
2018/01/18,21884
2018/01/19,24275
2018/01/20,18870
2018/01/21,11723
2018/01/22,3239
2018/01/23,2810
2018/01/24,1806
2018/01/25,1869
2018/01/26,1870
2018/01/27,1200
2018/01/28,3667
2018/01/29,5412
2018/01/30,4013
2018/01/31,2739
2018/02/01,2412
2018/02/02,6641
2018/02/03,9398
2018/02/04,10980
2018/02/05,15123
2018/02/06,21254
2018/02/07,17166
2018/02/08,8373
2018/02/09,6961
2018/02/10,4595
2018/02/11,3148
2018/02/12,3412
2018/02/13,536
2018/02/14,544.397
2018/02/15,1139
2018/02/16,1487
2018/02/17,2373
2018/02/18,1829
2018/02/19,1444
2018/02/20,521.321
2018/02/21,766.173
2018/02/22,2018
2018/02/23,2556
2018/02/24,2269
2018/02/25,1918
2018/02/26,1146
2018/02/27,254.824
2018/02/28,260.3
2018/03/01,190.181
2018/03/02,166.758
2018/03/03,122.113
2018/03/04,53.869
2018/03/05,53.19
2018/03/06,129.084
2018/03/07,790.09
2018/03/08,2042
2018/03/09,4095
2018/03/10,4097
2018/03/11,3833
2018/03/12,2246
2018/03/13,909.841
2018/03/14,575.049
2018/03/15,1466
2018/03/16,2128
2018/03/17,2436
2018/03/18,4302
2018/03/19,3577
2018/03/20,2276
2018/03/21,1155
2018/03/22,947.312
2018/03/23,584.448
2018/03/24,315.16
2018/03/25,218.372
2018/03/26,424.585
2018/03/27,1010
2018/03/28,1167
2018/03/29,1763
2018/03/30,2691
2018/03/31,2249
2018/04/01,1685
2018/04/02,949.955
2018/04/03,507.64
2018/04/04,119.047
2018/04/05,71.661
2018/04/06,106.915
2018/04/07,74.515
2018/04/08,85.012
2018/04/09,120.081
2018/04/10,125.2
2018/04/11,236.651
2018/04/12,551.259
2018/04/13,1489
2018/04/14,1877
2018/04/15,2194
2018/04/16,1970
2018/04/17,1240
2018/04/18,478.979
2018/04/19,162.261
2018/04/20,697.051
2018/04/21,1252
2018/04/22,1905
2018/04/23,2279
2018/04/24,2964
2018/04/25,1870
2018/04/26,938.427
2018/04/27,671.917
2018/04/28,529.099
2018/04/29,464.73
2018/04/30,421.189
2018/05/01,346.391
2018/05/02,304.531
2018/05/03,514.868
2018/05/04,1624
2018/05/05,2911
2018/05/06,3288
2018/05/07,2847
2018/05/08,1655
2018/05/09,768.832
2018/05/10,643.692
2018/05/11,1134
2018/05/12,1336
2018/05/13,853.585
2018/05/14,784.618
2018/05/15,647.92
2018/05/16,584.401
2018/05/17,250.567
2018/05/18,315.404
2018/05/19,194.581
2018/05/20,204.386
2018/05/21,170.929
2018/05/22,125.897
2018/05/23,928.621
2018/05/24,1985
2018/05/25,2596
2018/05/26,2665
2018/05/27,2227
2018/05/28,1633
2018/05/29,695.427
2018/05/30,488.082
2018/05/31,447.078
2018/06/01,353.036
2018/06/02,295.156
2018/06/03,554.397
2018/06/04,469.883
2018/06/05,259.397
2018/06/06,182.137
2018/06/07,129.243
2018/06/08,50.686
2018/06/09,22.247
2018/06/10,248.997
2018/06/11,840.125
2018/06/12,1310
2018/06/13,2131
2018/06/14,2083
