Date,transactions3var
2017/02/19,306816
2017/02/20,627265
2017/02/21,19608889
2017/02/22,14848419
2017/02/23,21114242
2017/02/24,7047280
2017/02/25,8282670
2017/02/26,958885
2017/02/27,395436
2017/02/28,14715714
2017/03/01,12156851
2017/03/02,25739449
2017/03/03,20399517
2017/03/04,24141911
2017/03/05,9599582
2017/03/06,665494
2017/03/07,6878361
2017/03/08,9507436
2017/03/09,14838882
2017/03/10,19384622
2017/03/11,125811
2017/03/12,645709
2017/03/13,57408784
2017/03/14,39825026
2017/03/15,4165182
2017/03/16,213132172
2017/03/17,164883239
2017/03/18,76842372
2017/03/19,88143285
2017/03/20,15593734
2017/03/21,3906220
2017/03/22,5372548
2017/03/23,5169533
2017/03/24,13528241
2017/03/25,4866560
2017/03/26,11440538
2017/03/27,39132650
2017/03/28,39187247
2017/03/29,20248254
2017/03/30,25171445
2017/03/31,17573991
2017/04/01,88847791
2017/04/02,86454888
2017/04/03,64813456
2017/04/04,36509273
2017/04/05,39972988
2017/04/06,15640732
2017/04/07,10587060
2017/04/08,107169495
2017/04/09,85431433
2017/04/10,1984791
2017/04/11,311964
2017/04/12,4848750
2017/04/13,11322662
2017/04/14,2637062
2017/04/15,15056845
2017/04/16,18705140
2017/04/17,2927713
2017/04/18,31096928
2017/04/19,32838462
2017/04/20,1177781
2017/04/21,4149131
2017/04/22,24352181
2017/04/23,10007034
2017/04/24,8148332
2017/04/25,46997708
2017/04/26,27867690
2017/04/27,40381701
2017/04/28,55267123
2017/04/29,44089561
2017/04/30,39612882
2017/05/01,82153931
2017/05/02,57999801
2017/05/03,43776992
2017/05/04,55303864
2017/05/05,52581891
2017/05/06,68586282
2017/05/07,35638931
2017/05/08,84367844
2017/05/09,19887318
2017/05/10,10330030
2017/05/11,9470155
2017/05/12,17929732
2017/05/13,42813715
2017/05/14,7738221
2017/05/15,102264110
2017/05/16,80694510
2017/05/17,100949943
2017/05/18,113049571
2017/05/19,116717983
2017/05/20,173962070
2017/05/21,159290541
2017/05/22,346017795
2017/05/23,247077464
2017/05/24,26659665
2017/05/25,3919333
2017/05/26,55305398
2017/05/27,190573099
2017/05/28,73372742
2017/05/29,14152403
2017/05/30,301244403
2017/05/31,526619816
2017/06/01,75030332
