Date,transactionfees30trxUSD
2018/08/12,-0.619
2018/08/13,-0.656
2018/08/14,-0.699
2018/08/15,-0.746
2018/08/16,-0.798
2018/08/17,-0.829
2018/08/18,-0.866
2018/08/19,-0.908
2018/08/20,-0.955
2018/08/21,-1.006
2018/08/22,-1.052
2018/08/23,-1.097
2018/08/24,-1.134
2018/08/25,-1.175
2018/08/26,-1.209
2018/08/27,-1.246
2018/08/28,-1.287
2018/08/29,-1.324
2018/08/30,-1.363
2018/08/31,-1.401
2018/09/01,-1.441
2018/09/02,-1.481
2018/09/03,-1.522
2018/09/04,-1.561
2018/09/05,-1.6
2018/09/06,-1.637
2018/09/07,-1.672
2018/09/08,-1.707
2018/09/09,-1.742
2018/09/10,-1.776
2018/09/11,-1.808
2018/09/12,-1.838
2018/09/13,-1.866
2018/09/14,-1.893
2018/09/15,-1.917
2018/09/16,-1.939
2018/09/17,-1.96
2018/09/18,-1.975
2018/09/19,-1.983
2018/09/20,-1.988
2018/09/21,-1.986
2018/09/22,-1.982
2018/09/23,-1.977
2018/09/24,-1.962
2018/09/25,-1.946
2018/09/26,-1.928
2018/09/27,-1.907
2018/09/28,-1.881
2018/09/29,-1.846
2018/09/30,-1.809
2018/10/01,-1.769
2018/10/02,-1.724
2018/10/03,-1.684
2018/10/04,-1.649
2018/10/05,-1.619
2018/10/06,-1.597
2018/10/07,-1.579
2018/10/08,-1.562
2018/10/09,-1.548
2018/10/10,-1.532
2018/10/11,-1.518
2018/10/12,-1.502
2018/10/13,-1.49
2018/10/14,-1.483
2018/10/15,-1.477
2018/10/16,-1.474
2018/10/17,-1.472
2018/10/18,-1.472
2018/10/19,-1.472
2018/10/20,-1.472
2018/10/21,-1.473
2018/10/22,-1.473
2018/10/23,-1.472
2018/10/24,-1.467
2018/10/25,-1.456
2018/10/26,-1.441
2018/10/27,-1.428
2018/10/28,-1.417
2018/10/29,-1.406
2018/10/30,-1.395
2018/10/31,-1.385
2018/11/01,-1.375
2018/11/02,-1.363
2018/11/03,-1.348
2018/11/04,-1.334
2018/11/05,-1.316
2018/11/06,-1.294
2018/11/07,-1.268
2018/11/08,-1.235
2018/11/09,-1.204
2018/11/10,-1.176
2018/11/11,-1.154
2018/11/12,-1.131
2018/11/13,-1.105
2018/11/14,-1.073
2018/11/15,-1.037
2018/11/16,-1.001
2018/11/17,-0.968
2018/11/18,-0.936
2018/11/19,-0.904
2018/11/20,-0.876
2018/11/21,-0.853
2018/11/22,-0.836
2018/11/23,-0.824
2018/11/24,-0.817
2018/11/25,-0.813
2018/11/26,-0.814
2018/11/27,-0.819
2018/11/28,-0.825
2018/11/29,-0.826
2018/11/30,-0.819
2018/12/01,-0.813
2018/12/02,-0.808
2018/12/03,-0.805
2018/12/04,-0.802
2018/12/05,-0.8
2018/12/06,-0.805
2018/12/07,-0.815
2018/12/08,-0.833
2018/12/09,-0.856
