Date,hashrate30roc
2017/08/16,36.804
2017/08/17,35.276
2017/08/18,28.939
2017/08/19,29.957
2017/08/20,27.463
2017/08/21,31.23
2017/08/22,26.781
2017/08/23,33.499
2017/08/24,26.011
2017/08/25,24.016
2017/08/26,26.932
2017/08/27,23.145
2017/08/28,20.864
2017/08/29,25.539
2017/08/30,23.246
2017/08/31,21.181
2017/09/01,24.219
2017/09/02,28.947
2017/09/03,23.428
2017/09/04,26.623
2017/09/05,25.554
2017/09/06,20.943
2017/09/07,22.161
2017/09/08,25.625
2017/09/09,24.737
2017/09/10,21.114
2017/09/11,17.421
2017/09/12,23.314
2017/09/13,15.586
2017/09/14,16.244
2017/09/15,19.715
2017/09/16,15.817
2017/09/17,17.716
2017/09/18,10.881
2017/09/19,16.467
2017/09/20,12.175
2017/09/21,13.968
2017/09/22,10.302
2017/09/23,6.895
2017/09/24,11.991
2017/09/25,5.803
2017/09/26,7.857
2017/09/27,14.15
2017/09/28,2.665
2017/09/29,-1.933
2017/09/30,-0.714
2017/10/01,2.919
2017/10/02,2.634
2017/10/03,2.933
2017/10/04,4.283
2017/10/05,7.222
2017/10/06,3.239
2017/10/07,-1.078
2017/10/08,-2.493
2017/10/09,0.602
2017/10/10,3.539
2017/10/11,6.618
2017/10/12,-2.426
2017/10/13,6.322
2017/10/14,-0.463
2017/10/15,-0.586
2017/10/16,4.255
2017/10/17,5.949
2017/10/18,7.515
2017/10/19,8.612
2017/10/20,9.144
2017/10/21,6.678
2017/10/22,9.685
2017/10/23,13.286
2017/10/24,13.975
2017/10/25,16.877
2017/10/26,11.447
2017/10/27,-100
2017/10/28,-100
2017/10/29,-100
2017/10/30,-100
2017/10/31,-100
2017/11/01,19.219
2017/11/02,14.048
2017/11/03,9.25
2017/11/04,3.921
2017/11/05,13.857
2017/11/06,13.834
2017/11/07,9.473
2017/11/08,10.93
2017/11/09,7.549
2017/11/10,5.932
2017/11/11,9.742
2017/11/12,7.417
2017/11/13,11.757
2017/11/14,5.637
2017/11/15,3.234
2017/11/16,-2.433
2017/11/17,-1.012
2017/11/18,-5.485
2017/11/19,-3.634
2017/11/20,3.022
2017/11/21,-0.104
2017/11/22,0.545
2017/11/23,0.417
2017/11/24,5.169
2017/11/25,9.189
2017/11/26,0
2017/11/27,0
2017/11/28,0
2017/11/29,0
2017/11/30,0
2017/12/01,3.733
2017/12/02,8.693
2017/12/03,6.967
2017/12/04,12.417
2017/12/05,5.452
2017/12/06,7.889
2017/12/07,9.87
2017/12/08,9.639
2017/12/09,12.424
2017/12/10,9.455
2017/12/11,10.89
2017/12/12,9.071
2017/12/13,14.112
2017/12/14,19.955
2017/12/15,24.605
2017/12/16,27.131
2017/12/17,26.917
2017/12/18,32.151
2017/12/19,28.114
2017/12/20,19.623
2017/12/21,21.174
2017/12/22,20.977
2017/12/23,22.424
2017/12/24,19.318
2017/12/25,20.207
2017/12/26,21.033
2017/12/27,23.584
2017/12/28,29.026
2017/12/29,24.499
2017/12/30,23.958
2017/12/31,25.034
2018/01/01,26.908
2018/01/02,30.539
2018/01/03,26.14
2018/01/04,31.683
2018/01/05,34.565
2018/01/06,30.298
2018/01/07,32.692
2018/01/08,31.506
2018/01/09,34.78
2018/01/10,35.815
2018/01/11,39.329
2018/01/12,34.554
2018/01/13,31.582
2018/01/14,28.974
2018/01/15,27.884
2018/01/16,30.939
2018/01/17,29.582
2018/01/18,30.844
2018/01/19,31.314
2018/01/20,36.624
2018/01/21,34.394
2018/01/22,31.75
