Date,size30trx
2017/10/13,0.767
2017/10/14,0.758
2017/10/15,0.745
2017/10/16,0.726
2017/10/17,0.697
2017/10/18,0.659
2017/10/19,0.614
2017/10/20,0.568
2017/10/21,0.515
2017/10/22,0.457
2017/10/23,0.398
2017/10/24,0.34
2017/10/25,0.285
2017/10/26,0.232
2017/10/27,0.159
2017/10/28,0.071
2017/10/29,-0.028
2017/10/30,-0.136
2017/10/31,-0.25
2017/11/01,-0.343
2017/11/02,-0.418
2017/11/03,-0.478
2017/11/04,-0.53
2017/11/05,-0.575
2017/11/06,-0.611
2017/11/07,-0.638
2017/11/08,-0.658
2017/11/09,-0.671
2017/11/10,-0.68
2017/11/11,-0.685
2017/11/12,-0.687
2017/11/13,-0.684
2017/11/14,-0.674
2017/11/15,-0.656
2017/11/16,-0.635
2017/11/17,-0.611
2017/11/18,-0.586
2017/11/19,-0.56
2017/11/20,-0.53
2017/11/21,-0.497
2017/11/22,-0.463
2017/11/23,-0.428
2017/11/24,-0.393
2017/11/25,-0.358
2017/11/26,-0.323
2017/11/27,-0.277
2017/11/28,-0.228
2017/11/29,-0.178
2017/11/30,-0.129
2017/12/01,-0.08
2017/12/02,-0.034
2017/12/03,0.013
2017/12/04,0.061
2017/12/05,0.108
2017/12/06,0.157
2017/12/07,0.201
2017/12/08,0.246
2017/12/09,0.289
2017/12/10,0.331
2017/12/11,0.376
2017/12/12,0.427
2017/12/13,0.483
2017/12/14,0.542
2017/12/15,0.601
2017/12/16,0.661
2017/12/17,0.719
2017/12/18,0.777
2017/12/19,0.841
2017/12/20,0.9
2017/12/21,0.96
2017/12/22,1.016
2017/12/23,1.064
2017/12/24,1.094
2017/12/25,1.11
2017/12/26,1.117
2017/12/27,1.12
2017/12/28,1.12
2017/12/29,1.124
2017/12/30,1.129
2017/12/31,1.129
2018/01/01,1.122
2018/01/02,1.119
2018/01/03,1.122
2018/01/04,1.13
2018/01/05,1.142
2018/01/06,1.156
2018/01/07,1.167
2018/01/08,1.178
2018/01/09,1.188
2018/01/10,1.194
2018/01/11,1.198
2018/01/12,1.197
2018/01/13,1.194
2018/01/14,1.185
2018/01/15,1.176
2018/01/16,1.166
2018/01/17,1.156
