Date,difficulty30ema
2017/04/22,2.5275353918141E+14
2017/04/23,2.5570177793093E+14
2017/04/24,2.5825079372001E+14
2017/04/25,2.6083513326825E+14
2017/04/26,2.6393807735856E+14
2017/04/27,2.6714824305082E+14
2017/04/28,2.7111498106424E+14
2017/04/29,2.756941706594E+14
2017/04/30,2.7936446625152E+14
2017/05/01,2.8302953675984E+14
2017/05/02,2.8639537130428E+14
2017/05/03,2.8982014404689E+14
2017/05/04,2.9282662819351E+14
2017/05/05,2.9650158081678E+14
2017/05/06,2.9990534739575E+14
2017/05/07,3.0336908215588E+14
2017/05/08,3.066245202588E+14
2017/05/09,3.1042743238274E+14
2017/05/10,3.1386299375111E+14
2017/05/11,317437105528727
2017/05/12,3.2142507435226E+14
2017/05/13,3.2510675244549E+14
2017/05/14,3.3024686990011E+14
2017/05/15,3.3565337801939E+14
2017/05/16,3.4090668368478E+14
2017/05/17,3.4524199152676E+14
2017/05/18,3.4970691446355E+14
2017/05/19,3.5499356681772E+14
2017/05/20,3.6045942195054E+14
2017/05/21,3.6632185276025E+14
2017/05/22,3.7256577194283E+14
2017/05/23,3.7747874640897E+14
2017/05/24,3.827367649135E+14
2017/05/25,3.8757384002188E+14
2017/05/26,3.9202341276822E+14
2017/05/27,3.9726498277255E+14
2017/05/28,4.019044747509E+14
2017/05/29,4.074405138247E+14
2017/05/30,4.1426477448113E+14
2017/05/31,4.2106858195017E+14
2017/06/01,430096491352771
2017/06/02,4.3941322284299E+14
2017/06/03,4.4820918658574E+14
2017/06/04,4.5785236180093E+14
2017/06/05,4.6700100135642E+14
2017/06/06,4.7655556472801E+14
2017/06/07,4.8661869618462E+14
2017/06/08,4.965565079418E+14
2017/06/09,5.0581017368825E+14
2017/06/10,5.1590198341684E+14
2017/06/11,5.2667329713411E+14
2017/06/12,5.3632866212056E+14
2017/06/13,5.4654083472849E+14
2017/06/14,557292364409068
2017/06/15,5.6832192034014E+14
2017/06/16,5.7921242698832E+14
2017/06/17,5.9097482041504E+14
2017/06/18,6.0251984160566E+14
2017/06/19,6.1367765960421E+14
2017/06/20,6.2874263733228E+14
2017/06/21,6.4458561313779E+14
2017/06/22,659284561916265
2017/06/23,6.7362313356938E+14
2017/06/24,6.8749776767488E+14
2017/06/25,7.0150781612536E+14
2017/06/26,7.1585268148402E+14
2017/06/27,7.2969181166779E+14
2017/06/28,7.4390920042861E+14
2017/06/29,7.5802789981396E+14
2017/06/30,7.7183313210904E+14
2017/07/01,7.8607850871508E+14
2017/07/02,8.0002237157924E+14
2017/07/03,8.1375908997174E+14
2017/07/04,8.2753296207767E+14
2017/07/05,8.4014090196064E+14
2017/07/06,8.5285547658074E+14
2017/07/07,864812292524189
2017/07/08,877144589268579
2017/07/09,889658327196192
2017/07/10,9.0959875437833E+14
2017/07/11,9.2925062777819E+14
2017/07/12,9.4581242691373E+14
2017/07/13,9.6272418023624E+14
2017/07/14,9.7690685989789E+14
2017/07/15,991812546291237
2017/07/16,1008068637205627
2017/07/17,1.0207412474097E+15
2017/07/18,1.0332029318061E+15
2017/07/19,1.0461575141253E+15
2017/07/20,1.0606904685744E+15
2017/07/21,1.0764504964743E+15
2017/07/22,1.08947045856E+15
