Date,sentbyaddress
2017/12/03,180680
2017/12/04,177775
2017/12/05,182058
2017/12/06,227563
2017/12/07,164814
2017/12/08,197191
2017/12/09,198454
2017/12/10,197029
2017/12/11,225404
2017/12/12,269052
2017/12/13,276821
2017/12/14,285412
2017/12/15,266103
2017/12/16,248903
2017/12/17,248403
2017/12/18,271349
2017/12/19,313549
2017/12/20,304270
2017/12/21,323748
2017/12/22,369948
2017/12/23,279741
2017/12/24,207793
2017/12/25,203255
2017/12/26,248866
2017/12/27,265828
2017/12/28,264821
2017/12/29,348326
2017/12/30,373525
2017/12/31,274468
2018/01/01,274866
2018/01/02,381987
2018/01/03,372792
2018/01/04,421218
2018/01/05,390914
2018/01/06,380378
2018/01/07,374340
2018/01/08,374290
2018/01/09,443475
2018/01/10,378573
2018/01/11,402250
2018/01/12,364108
2018/01/13,397956
2018/01/14,369591
2018/01/15,439245
2018/01/16,459969
2018/01/17,448657
2018/01/18,428112
2018/01/19,328496
2018/01/20,267255
2018/01/21,423348
2018/01/22,307354
2018/01/23,287685
2018/01/24,271247
2018/01/25,225352
2018/01/26,298305
2018/01/27,258089
2018/01/28,246574
2018/01/29,280032
2018/01/30,270508
2018/01/31,265854
2018/02/01,311871
2018/02/02,301856
2018/02/03,235325
2018/02/04,259206
2018/02/05,259990
2018/02/06,272869
2018/02/07,246837
2018/02/08,199621
2018/02/09,227997
2018/02/10,242370
2018/02/11,227673
2018/02/12,247301
2018/02/13,209263
2018/02/14,229604
2018/02/15,229412
2018/02/16,187920
2018/02/17,188706
2018/02/18,197106
2018/02/19,217434
2018/02/20,246145
2018/02/21,225400
2018/02/22,203588
2018/02/23,190464
2018/02/24,163370
2018/02/25,170315
2018/02/26,213680
2018/02/27,203648
2018/02/28,214769
2018/03/01,205014
2018/03/02,203084
2018/03/03,170362
2018/03/04,155900
2018/03/05,203038
2018/03/06,219802
2018/03/07,315285
2018/03/08,200702
2018/03/09,186519
2018/03/10,170074
2018/03/11,153027
2018/03/12,164650
2018/03/13,189913
2018/03/14,218961
2018/03/15,189838
2018/03/16,166720
2018/03/17,157987
2018/03/18,171517
2018/03/19,200098
2018/03/20,175859
2018/03/21,198848
2018/03/22,170035
2018/03/23,248015
2018/03/24,208072
2018/03/25,135543
2018/03/26,170235
2018/03/27,163863
2018/03/28,149891
2018/03/29,171238
2018/03/30,181637
2018/03/31,147966
2018/04/01,133825
2018/04/02,152747
2018/04/03,175859
2018/04/04,164286
2018/04/05,197618
2018/04/06,176831
2018/04/07,149994
2018/04/08,167267
2018/04/09,180354
2018/04/10,165664
2018/04/11,178623
2018/04/12,203437
2018/04/13,205635
2018/04/14,172213
2018/04/15,168919
2018/04/16,176420
2018/04/17,179419
2018/04/18,186787
2018/04/19,209555
2018/04/20,216651
2018/04/21,210105
2018/04/22,241722
2018/04/23,252677
2018/04/24,248924
2018/04/25,221845
2018/04/26,220798
2018/04/27,205503
2018/04/28,195375
2018/04/29,190791
2018/04/30,210258
2018/05/01,186493
2018/05/02,224567
2018/05/03,253062
2018/05/04,498394
2018/05/05,264847
2018/05/06,221734
2018/05/07,255624
2018/05/08,266250
2018/05/09,249052
2018/05/10,253547
2018/05/11,249105
2018/05/12,243240
2018/05/13,224430
2018/05/14,246364
2018/05/15,263311
2018/05/16,268384
2018/05/17,281118
2018/05/18,271784
2018/05/19,288466
2018/05/20,261748
2018/05/21,251726
2018/05/22,295141
2018/05/23,276032
2018/05/24,269044
2018/05/25,260993
2018/05/26,257894
2018/05/27,267036
2018/05/28,286734
2018/05/29,282606
2018/05/30,267909
2018/05/31,284259
2018/06/01,238217
2018/06/02,274338
2018/06/03,271126
2018/06/04,255755
2018/06/05,236878
2018/06/06,236170
2018/06/07,256205
2018/06/08,236246
2018/06/09,270598
2018/06/10,275975
2018/06/11,254262
2018/06/12,222655
2018/06/13,221123
2018/06/14,220697
2018/06/15,257879
2018/06/16,192639
2018/06/17,210035
2018/06/18,206288
2018/06/19,249609
2018/06/20,268665
2018/06/21,257650
2018/06/22,271429
2018/06/23,212581
2018/06/24,228880
2018/06/25,363093
2018/06/26,257876
2018/06/27,249655
2018/06/28,239542
2018/06/29,255775
2018/06/30,145656
2018/07/01,101288
2018/07/02,120112
2018/07/03,128265
2018/07/04,122170
2018/07/05,148463
2018/07/06,116179
2018/07/07,120802
2018/07/08,160709
2018/07/09,173594
2018/07/10,181742
2018/07/11,171487
2018/07/12,147581
2018/07/13,132236
2018/07/14,132231
2018/07/15,129664
2018/07/16,214256
2018/07/17,222856
2018/07/18,285265
2018/07/19,242881
2018/07/20,211531
2018/07/21,173743
2018/07/22,224003
2018/07/23,277484
2018/07/24,295057
2018/07/25,289146
2018/07/26,247892
2018/07/27,278263
2018/07/28,222254
2018/07/29,233142
2018/07/30,247366
2018/07/31,238813
2018/08/01,250108
2018/08/02,247007
2018/08/03,266566
2018/08/04,232422
2018/08/05,208959
2018/08/06,227712
2018/08/07,207789
2018/08/08,179614
2018/08/09,159659
2018/08/10,196532
2018/08/11,227510
2018/08/12,228037
2018/08/13,230194
2018/08/14,217539
2018/08/15,212240
2018/08/16,239564
2018/08/17,209386
2018/08/18,201122
2018/08/19,194986
2018/08/20,218272
2018/08/21,178965
2018/08/22,192830
2018/08/23,180485
2018/08/24,206680
2018/08/25,194621
2018/08/26,206678
2018/08/27,221382
2018/08/28,192952
2018/08/29,168646
2018/08/30,173634
2018/08/31,181733
2018/09/01,208619
2018/09/02,213620
2018/09/03,216319
2018/09/04,202952
2018/09/05,204346
2018/09/06,183003
2018/09/07,193753
2018/09/08,186430
2018/09/09,187563
2018/09/10,181261
2018/09/11,158315
2018/09/12,161244
2018/09/13,171545
2018/09/14,155370
2018/09/15,126179
2018/09/16,124426
2018/09/17,160897
2018/09/18,140097
2018/09/19,134325
2018/09/20,145261
2018/09/21,154444
2018/09/22,135525
2018/09/23,137183
2018/09/24,135090
2018/09/25,143008
2018/09/26,129632
2018/09/27,134904
2018/09/28,131142
2018/09/29,116771
2018/09/30,146774
2018/10/01,127722
2018/10/02,123841
2018/10/03,174634
2018/10/04,172500
2018/10/05,197049
2018/10/06,196658
2018/10/07,150725
2018/10/08,163811
2018/10/09,172027
2018/10/10,156499
2018/10/11,171655
2018/10/12,162181
2018/10/13,168665
2018/10/14,149668
2018/10/15,172454
2018/10/16,180237
2018/10/17,193326
2018/10/18,173322
2018/10/19,175434
2018/10/20,165410
2018/10/21,157068
2018/10/22,187926
