Date,hashrate
2017/06/02,36295190932520
2017/06/03,37395663236245
2017/06/04,38371754243152
2017/06/05,39291444274002
2017/06/06,39828834039852
2017/06/07,41467730532518
2017/06/08,41829684498879
2017/06/09,41760674161064
2017/06/10,43939891193463
2017/06/11,45025182578530
2017/06/12,44968294068819
2017/06/13,46522075087971
2017/06/14,47651607769747
2017/06/15,48521860791531
2017/06/16,49363897981452
2017/06/17,50985969882110
2017/06/18,51995669793454
2017/06/19,52570822426350
2017/06/20,53614719103983
2017/06/21,54098240797200
2017/06/22,54738964742491
2017/06/23,54336704373890
2017/06/24,55693605003757
2017/06/25,56393524710369
2017/06/26,58417112349132
2017/06/27,58320978141848
2017/06/28,59938051087500
2017/06/29,61540789098593
2017/06/30,61649495641450
2017/07/01,62565703649500
2017/07/02,63099816232763
2017/07/03,65002338599111
2017/07/04,66564360885704
2017/07/05,64819978567358
2017/07/06,65974487088450
2017/07/07,67077555537398
2017/07/08,67475713453228
2017/07/09,68043932032263
2017/07/10,69105357448269
2017/07/11,68636544301587
2017/07/12,66934754201803
2017/07/13,67570452633878
2017/07/14,66157611392631
2017/07/15,68604712664505
2017/07/16,70214316465202
2017/07/17,66699855238819
2017/07/18,68405207369200
2017/07/19,71176220538012
2017/07/20,73427793198749
2017/07/21,73177456447550
2017/07/22,72969298228549
2017/07/23,75690247408162
2017/07/24,73613003654415
2017/07/25,77163027212658
2017/07/26,76844126914345
2017/07/27,75605726052384
2017/07/28,77536893123692
2017/07/29,76587712193575
2017/07/30,79036254012639
2017/07/31,80870476773081
2017/08/01,80827530505399
2017/08/02,79669656055409
2017/08/03,76678415380719
2017/08/04,79753467651343
2017/08/05,78969008598029
2017/08/06,80016730186190
2017/08/07,82340643487617
2017/08/08,83297114037169
2017/08/09,84948343528036
2017/08/10,83420854767183
2017/08/11,84612950571944
2017/08/12,87290695848031
2017/08/13,87635589348478
2017/08/14,89581393516323
2017/08/15,90836494873348
2017/08/16,91248373026761
2017/08/17,92535537740725
2017/08/18,91773692624084
2017/08/19,95424273700766
2017/08/20,93274287176701
2017/08/21,95757569588099
2017/08/22,95960991442831
2017/08/23,98272645366046
2017/08/24,97233837607220
2017/08/25,95298874686829
2017/08/26,95967825974359
2017/08/27,95482570176750
2017/08/28,92567335390140
2017/08/29,99220957951685
2017/08/30,99669559523407
2017/08/31,97947765322725
2017/09/01,98965237441495
2017/09/02,98874661449838
2017/09/03,98437959907366
2017/09/04,99992590644828
2017/09/05,1.0046451918649E+14
2017/09/06,99585601607870
2017/09/07,1.017565505944E+14
2017/09/08,1.0671649349166E+14
2017/09/09,1.040565811258E+14
2017/09/10,1.0247784130542E+14
2017/09/11,102497581167686
2017/09/12,1.0806680006406E+14
2017/09/13,1.0354330965242E+14
2017/09/14,1.0559155819586E+14
2017/09/15,1.0923797842524E+14
2017/09/16,1.0717164689102E+14
2017/09/17,1.080321570895E+14
2017/09/18,1.0580774082719E+14
2017/09/19,1.0863393998364E+14
2017/09/20,1.0741638486016E+14
2017/09/21,1.0936518755028E+14
2017/09/22,1.0839693056938E+14
2017/09/23,1.0393780848524E+14
2017/09/24,1.0672659939479E+14
2017/09/25,1.0153718038396E+14
2017/09/26,1.0298451422352E+14
2017/09/27,1.0566583436047E+14
2017/09/28,1.0186486506253E+14
2017/09/29,97743120327242
2017/09/30,97248907770733
2017/10/01,1.0185440802801E+14
2017/10/02,1.0147864426127E+14
2017/10/03,1.0132558098648E+14
2017/10/04,1.0427485716503E+14
2017/10/05,1.0771960382187E+14
2017/10/06,1.0281071747232E+14
2017/10/07,1.0065995893126E+14
2017/10/08,1.0405614257823E+14
2017/10/09,1.0468350218576E+14
2017/10/10,1.0610497121904E+14
2017/10/11,1.09280939673E+14
2017/10/12,1.0544557272764E+14
2017/10/13,1.1008965731621E+14
2017/10/14,1.0510306590743E+14
2017/10/15,1.0859795148666E+14
2017/10/16,1.1173190457869E+14
2017/10/17,1.1445911250568E+14
2017/10/18,1.1375923124842E+14
2017/10/19,117989667731756
2017/10/20,1.1723882115085E+14
2017/10/21,1.1666881960026E+14
2017/10/22,1.1889550536949E+14
2017/10/23,1.1774711528492E+14
2017/10/24,1.2164169217894E+14
2017/10/25,1.1867360796452E+14
2017/10/26,1.1477322274111E+14
2017/10/27,0
2017/10/28,0
2017/10/29,0
2017/10/30,0
2017/10/31,0
2017/11/01,1.2098163266283E+14
2017/11/02,1.1556001036133E+14
2017/11/03,1.1392022117518E+14
2017/11/04,1.1194326981737E+14
2017/11/05,117056719309308
2017/11/06,1.1458566028474E+14
2017/11/07,1.1391368347588E+14
2017/11/08,1.1612561480375E+14
2017/11/09,1.1411517830472E+14
2017/11/10,1.1576390907426E+14
2017/11/11,1.1571758058296E+14
2017/11/12,1.1825501278458E+14
2017/11/13,1.1746000936261E+14
2017/11/14,1.1472004580862E+14
2017/11/15,1.1534524999062E+14
2017/11/16,1.1167448140585E+14
2017/11/17,1.1260795149786E+14
2017/11/18,1.1151829260101E+14
2017/11/19,1.1297851690589E+14
2017/11/20,1.2019444274343E+14
2017/11/21,1.1877201592933E+14
2017/11/22,1.1838870211958E+14
2017/11/23,1.2214942622003E+14
2017/11/24,1.2480782668132E+14
2017/11/25,1.2531928043774E+14
2017/11/26,1.2515528420208E+14
2017/11/27,1.234224186564E+14
2017/11/28,1.2137628666542E+14
2017/11/29,1.2341056806209E+14
2017/11/30,1.2481801075322E+14
2017/12/01,1.2549747034609E+14
2017/12/02,1.2560548649046E+14
2017/12/03,1.2185752247416E+14
2017/12/04,1.2584369602564E+14
2017/12/05,1.234389867591E+14
2017/12/06,1.2362491580987E+14
2017/12/07,1.2515698462745E+14
2017/12/08,1.2731929195828E+14
2017/12/09,1.2829329053724E+14
2017/12/10,1.2670953657027E+14
2017/12/11,1.2831925311419E+14
2017/12/12,1.2898153500279E+14
2017/12/13,1.340363815E+14
2017/12/14,1.3761259733527E+14
2017/12/15,1.4372577460625E+14
2017/12/16,1.4197269537973E+14
2017/12/17,1.4291832463565E+14
2017/12/18,1.473730251697E+14
2017/12/19,1.4474147101095E+14
2017/12/20,1.4378047424512E+14
2017/12/21,1.4392048507963E+14
2017/12/22,1.4322251020596E+14
2017/12/23,1.495402155103E+14
2017/12/24,1.489185045331E+14
2017/12/25,1.5064295107087E+14
2017/12/26,1.5147870360414E+14
2017/12/27,1.5253002954129E+14
2017/12/28,1.5660733449561E+14
2017/12/29,1.5364507568759E+14
2017/12/30,1.5472167246348E+14
2017/12/31,1.569140209148E+14
2018/01/01,159403492170397
2018/01/02,1.5907159958875E+14
2018/01/03,1.5873906645298E+14
2018/01/04,1.6254827323474E+14
2018/01/05,1.6635548511317E+14
2018/01/06,1.6307710841777E+14
2018/01/07,1.6894280351302E+14
2018/01/08,1.6871280891963E+14
2018/01/09,1.707785778056E+14
2018/01/10,1.7427621649499E+14
2018/01/11,1.797084315529E+14
2018/01/12,1.8035087697954E+14
2018/01/13,1.8107323713675E+14
2018/01/14,1.8536954913781E+14
2018/01/15,1.8156050095918E+14
2018/01/16,1.8713571795285E+14
2018/01/17,1.9096865744828E+14
2018/01/18,189385723161977
2018/01/19,1.8880362677282E+14
2018/01/20,1.9663022302358E+14
2018/01/21,1.9248279559058E+14
2018/01/22,1.9701947491833E+14
2018/01/23,1.9656208023443E+14
2018/01/24,2.0168136253066E+14
2018/01/25,2.0345712789507E+14
2018/01/26,2.0346878945857E+14
2018/01/27,2.0203418351656E+14
2018/01/28,204763715588173
2018/01/29,2.1305400122351E+14
2018/01/30,2.1042551128527E+14
2018/01/31,2.1588119695056E+14
2018/02/01,2.2094447278569E+14
2018/02/02,2.2433496096733E+14
2018/02/03,2.2374092810564E+14
2018/02/04,2.2354644823446E+14
2018/02/05,2.2931879093943E+14
2018/02/06,2.2661198252778E+14
2018/02/07,2.319914993826E+14
2018/02/08,2.2951864290667E+14
2018/02/09,2.328466579379E+14
2018/02/10,2.3439488952678E+14
2018/02/11,2.364466626828E+14
2018/02/12,2.4110009404371E+14
2018/02/13,242601631360604
