Date,activeaddresses7sma
2017/06/24,185747
2017/06/25,183688
2017/06/26,190242
2017/06/27,189010
2017/06/28,193478
2017/06/29,190070
2017/06/30,186491
2017/07/01,185077
2017/07/02,187514
2017/07/03,182337
2017/07/04,183892
2017/07/05,182670
2017/07/06,181804
2017/07/07,185497
2017/07/08,183959
2017/07/09,180732
2017/07/10,180604
2017/07/11,180616
2017/07/12,181619
2017/07/13,179734
2017/07/14,174126
2017/07/15,173649
2017/07/16,175348
2017/07/17,170288
2017/07/18,168104
2017/07/19,167177
2017/07/20,168726
2017/07/21,168752
2017/07/22,166432
2017/07/23,169458
2017/07/24,170023
2017/07/25,167782
2017/07/26,163544
2017/07/27,161192
2017/07/28,161264
2017/07/29,161081
2017/07/30,156006
2017/07/31,158396
2017/08/01,156806
2017/08/02,158159
2017/08/03,157961
2017/08/04,159245
2017/08/05,164177
2017/08/06,167510
2017/08/07,167552
2017/08/08,176652
2017/08/09,181166
2017/08/10,191148
2017/08/11,199191
2017/08/12,205048
2017/08/13,210727
2017/08/14,223136
2017/08/15,230535
2017/08/16,241396
2017/08/17,248419
2017/08/18,256782
2017/08/19,259819
2017/08/20,258308
2017/08/21,255324
2017/08/22,249441
2017/08/23,246792
2017/08/24,239726
2017/08/25,232321
2017/08/26,225832
2017/08/27,225588
2017/08/28,222643
2017/08/29,227654
2017/08/30,230226
2017/08/31,237228
2017/09/01,240446
2017/09/02,244992
2017/09/03,244985
2017/09/04,254802
2017/09/05,259107
2017/09/06,265122
2017/09/07,264665
2017/09/08,267579
2017/09/09,270741
2017/09/10,272314
2017/09/11,263981
2017/09/12,262493
2017/09/13,252930
2017/09/14,252257
2017/09/15,256181
2017/09/16,254336
2017/09/17,251679
2017/09/18,253085
2017/09/19,245624
2017/09/20,242150
2017/09/21,233774
2017/09/22,215167
2017/09/23,206540
2017/09/24,205155
2017/09/25,197855
2017/09/26,192630
2017/09/27,189834
2017/09/28,190512
2017/09/29,196292
2017/09/30,199002
2017/10/01,198276
2017/10/02,198336
2017/10/03,200737
2017/10/04,199730
2017/10/05,197413
2017/10/06,194248
2017/10/07,193391
2017/10/08,195229
2017/10/09,194939
2017/10/10,198228
2017/10/11,202612
2017/10/12,206762
2017/10/13,215476
2017/10/14,219646
2017/10/15,221714
2017/10/16,222883
2017/10/17,227272
2017/10/18,229250
2017/10/19,229430
2017/10/20,228488
2017/10/21,232176
2017/10/22,239468
2017/10/23,245505
2017/10/24,244541
2017/10/25,243808
2017/10/26,245612
2017/10/27,243795
2017/10/28,209644
2017/10/29,173265
2017/10/30,137657
2017/10/31,139520
2017/11/01,147071
2017/11/02,158362
2017/11/03,162790
2017/11/04,193113
2017/11/05,222721
2017/11/06,258028
2017/11/07,255347
2017/11/08,253660
2017/11/09,247852
2017/11/10,248813
2017/11/11,252100
2017/11/12,261691
2017/11/13,263798
2017/11/14,269291
2017/11/15,277818
2017/11/16,279848
2017/11/17,285240
2017/11/18,290385
2017/11/19,290783
2017/11/20,298511
2017/11/21,303322
2017/11/22,302764
2017/11/23,307674
2017/11/24,308355
2017/11/25,314368
2017/11/26,320027
2017/11/27,329770
2017/11/28,341823
2017/11/29,358478
2017/11/30,371749
2017/12/01,381135
2017/12/02,392259
2017/12/03,407901
2017/12/04,414720
2017/12/05,416879
2017/12/06,438297
2017/12/07,436436
2017/12/08,448545
2017/12/09,455350
2017/12/10,454537
2017/12/11,466979
2017/12/12,489165
2017/12/13,493601
2017/12/14,531484
2017/12/15,552032
2017/12/16,574247
2017/12/17,598966
2017/12/18,624930
2017/12/19,656276
2017/12/20,675138
2017/12/21,697269
2017/12/22,729402
2017/12/23,737990
2017/12/24,725915
2017/12/25,699129
2017/12/26,667108
2017/12/27,650294
2017/12/28,628354
2017/12/29,625529
2017/12/30,659887
2017/12/31,681627
2018/01/01,700746
2018/01/02,742719
2018/01/03,790906
2018/01/04,854477
2018/01/05,885687
2018/01/06,895543
2018/01/07,925607
2018/01/08,967357
2018/01/09,986480
2018/01/10,980660
2018/01/11,955602
2018/01/12,930040
2018/01/13,918964
2018/01/14,908996
2018/01/15,909875
2018/01/16,911103
2018/01/17,920600
2018/01/18,920245
2018/01/19,904417
2018/01/20,870179
2018/01/21,865048
2018/01/22,832021
2018/01/23,783498
2018/01/24,732302
2018/01/25,669528
2018/01/26,660173
2018/01/27,650538
2018/01/28,628246
2018/01/29,621542
2018/01/30,616617
2018/01/31,614197
2018/02/01,646636
2018/02/02,651173
2018/02/03,647754
2018/02/04,638012
2018/02/05,629820
2018/02/06,629020
2018/02/07,619320
2018/02/08,577745
2018/02/09,551580
2018/02/10,554142
2018/02/11,547933
2018/02/12,542661
2018/02/13,522532
2018/02/14,514436
2018/02/15,525654
2018/02/16,514074
2018/02/17,497351
2018/02/18,492342
2018/02/19,485506
2018/02/20,498865
2018/02/21,502382
2018/02/22,498182
2018/02/23,498378
2018/02/24,488788
2018/02/25,479307
2018/02/26,473232
2018/02/27,454134
2018/02/28,445702
2018/03/01,438451
2018/03/02,437467
2018/03/03,436861
2018/03/04,430625
2018/03/05,424777
2018/03/06,424307
2018/03/07,434684
2018/03/08,432855
2018/03/09,427914
2018/03/10,425944
2018/03/11,423584
2018/03/12,416807
2018/03/13,410782
2018/03/14,396316
2018/03/15,394703
2018/03/16,391415
2018/03/17,388134
2018/03/18,395985
2018/03/19,401210
2018/03/20,398928
2018/03/21,395096
2018/03/22,391120
2018/03/23,401416
2018/03/24,409192
2018/03/25,397656
2018/03/26,391134
2018/03/27,387127
2018/03/28,376138
2018/03/29,373501
2018/03/30,363158
2018/03/31,353433
2018/04/01,353471
2018/04/02,348497
2018/04/03,352243
2018/04/04,356117
2018/04/05,364398
2018/04/06,365690
2018/04/07,366459
2018/04/08,375224
2018/04/09,381877
2018/04/10,378354
2018/04/11,379309
2018/04/12,379266
