Date,price
2017/09/14,255.365
2017/09/15,238.402
2017/09/16,258.206
2017/09/17,253.556
2017/09/18,289.049
2017/09/19,288.019
2017/09/20,287.108
2017/09/21,277.224
2017/09/22,263.055
2017/09/23,275.465
2017/09/24,285.658
2017/09/25,291.62
2017/09/26,292.596
2017/09/27,297.084
2017/09/28,304.622
2017/09/29,292.96
2017/09/30,301.213
2017/10/01,300.398
2017/10/02,299.593
2017/10/03,293.577
2017/10/04,293.48
2017/10/05,293.343
2017/10/06,300.453
2017/10/07,309.106
2017/10/08,311.82
2017/10/09,302.045
2017/10/10,299.494
2017/10/11,301.01
2017/10/12,305.357
2017/10/13,323.599
2017/10/14,341.444
2017/10/15,332.145
2017/10/16,339.631
2017/10/17,324.508
2017/10/18,304.251
2017/10/19,309.27
2017/10/20,306.276
2017/10/21,297.645
2017/10/22,295.789
2017/10/23,285.31
2017/10/24,303.431
2017/10/25,295.64
2017/10/26,296.526
2017/10/27,295.811
2017/10/28,294.268
2017/10/29,301.65
2017/10/30,306.667
2017/10/31,307.08
2017/11/01,299.041
2017/11/02,284.864
2017/11/03,295.189
2017/11/04,299.439
2017/11/05,297.759
2017/11/06,298.239
2017/11/07,295.875
2017/11/08,300.929
2017/11/09,318.067
2017/11/10,310.542
2017/11/11,306.993
2017/11/12,308.916
2017/11/13,314.775
2017/11/14,327.483
2017/11/15,335.229
2017/11/16,328.519
2017/11/17,331.065
2017/11/18,334.009
2017/11/19,354.514
2017/11/20,360.695
2017/11/21,364.873
2017/11/22,366.425
2017/11/23,398.242
2017/11/24,430.176
2017/11/25,467.473
2017/11/26,458.47
2017/11/27,475.312
2017/11/28,470.756
2017/11/29,471.579
2017/11/30,434.809
2017/12/01,443.806
2017/12/02,462.131
2017/12/03,468.332
2017/12/04,463.753
2017/12/05,461.928
2017/12/06,440.041
2017/12/07,426.822
2017/12/08,451.546
2017/12/09,478.17
2017/12/10,447.893
2017/12/11,466.34
2017/12/12,560.868
2017/12/13,663.96
2017/12/14,707.294
2017/12/15,669.39
2017/12/16,693.475
2017/12/17,716.841
2017/12/18,734.651
2017/12/19,823.002
2017/12/20,797.161
2017/12/21,808.987
2017/12/22,681.631
2017/12/23,729.214
2017/12/24,662.122
2017/12/25,716.775
2017/12/26,744.981
2017/12/27,750.511
2017/12/28,707.761
2017/12/29,738.099
2017/12/30,704.505
2017/12/31,721.422
2018/01/01,750.972
2018/01/02,850.339
2018/01/03,887.35
2018/01/04,951.139
2018/01/05,980.277
2018/01/06,996.619
2018/01/07,1081
2018/01/08,1154
2018/01/09,1218
2018/01/10,1322
2018/01/11,1225
2018/01/12,1236
2018/01/13,1356
2018/01/14,1350
2018/01/15,1332
2018/01/16,1135
2018/01/17,955.432
2018/01/18,1046
2018/01/19,1050
2018/01/20,1124
2018/01/21,1086
2018/01/22,1029
2018/01/23,985.307
2018/01/24,1016
2018/01/25,1071
2018/01/26,1050
2018/01/27,1081
2018/01/28,1188
2018/01/29,1190
2018/01/30,1140
2018/01/31,1100
2018/02/01,1111
2018/02/02,930.55
2018/02/03,957.23
2018/02/04,908.425
2018/02/05,776.937
2018/02/06,679.592
2018/02/07,799.065
2018/02/08,814.922
2018/02/09,832.564
2018/02/10,871.238
2018/02/11,825.413
2018/02/12,857.472
2018/02/13,846.939
2018/02/14,884.586
2018/02/15,932.44
2018/02/16,934.689
2018/02/17,965.778
2018/02/18,944.627
2018/02/19,941.382
2018/02/20,939.564
2018/02/21,869.451
2018/02/22,831.455
2018/02/23,846.334
2018/02/24,844.517
2018/02/25,840.435
2018/02/26,861.542
2018/02/27,879.503
2018/02/28,870.604
2018/03/01,866.53
2018/03/02,863.687
2018/03/03,861.705
2018/03/04,854.52
2018/03/05,862.198
2018/03/06,833.453
2018/03/07,782.297
2018/03/08,739.174
2018/03/09,686.236
2018/03/10,724.174
2018/03/11,702.129
2018/03/12,715.011
2018/03/13,695.08
2018/03/14,660.81
2018/03/15,602.203
2018/03/16,609.608
2018/03/17,585.957
2018/03/18,508.635
2018/03/19,539.482
2018/03/20,544.311
2018/03/21,569.452
2018/03/22,548.63
2018/03/23,523.716
2018/03/24,537.53
2018/03/25,522.642
2018/03/26,499.98
2018/03/27,463.714
2018/03/28,451.701
2018/03/29,414.781
2018/03/30,385.057
2018/03/31,401.714
2018/04/01,382.52
2018/04/02,385.716
2018/04/03,401.669
2018/04/04,391.494
2018/04/05,378.655
2018/04/06,372.537
2018/04/07,384.71
2018/04/08,395.618
2018/04/09,404.459
2018/04/10,403.112
2018/04/11,420.062
2018/04/12,450.571
2018/04/13,504.831
2018/04/14,501.885
2018/04/15,520.189
2018/04/16,512.054
2018/04/17,512.062
2018/04/18,514.947
2018/04/19,543.621
2018/04/20,584.742
2018/04/21,604.706
2018/04/22,622.605
2018/04/23,639.477
2018/04/24,689.517
2018/04/25,644.087
2018/04/26,631.231
2018/04/27,665.522
2018/04/28,676.536
2018/04/29,684.336
2018/04/30,682.708
2018/05/01,658.012
2018/05/02,678.864
2018/05/03,734.123
2018/05/04,783.083
2018/05/05,809.529
2018/05/06,792.784
2018/05/07,743.309
2018/05/08,749.138
2018/05/09,739.982
2018/05/10,754.168
2018/05/11,698.979
2018/05/12,671.294
2018/05/13,703.788
2018/05/14,718.634
2018/05/15,723.705
2018/05/16,695.097
2018/05/17,699.933
2018/05/18,678.857
2018/05/19,697.014
2018/05/20,711.294
2018/05/21,707.172
2018/05/22,681.455
2018/05/23,614.983
2018/05/24,587.165
2018/05/25,594.803
2018/05/26,596.332
2018/05/27,575.72
2018/05/28,538.415
2018/05/29,542.952
2018/05/30,562.269
2018/05/31,572.5
2018/06/01,576.459
2018/06/02,588.746
2018/06/03,611.15
