Date,difficulty90var
2016/09/02,4.0654478038668E+25
2016/09/03,4.0482380079508E+25
2016/09/04,3.9707049128872E+25
2016/09/05,3.943617944009E+25
2016/09/06,3.9068673019798E+25
2016/09/07,3.9249588686896E+25
2016/09/08,3.8988959790184E+25
2016/09/09,3.8553426925874E+25
2016/09/10,3.8478354560036E+25
2016/09/11,3.9073519552396E+25
2016/09/12,3.9670345512168E+25
2016/09/13,4.0285905816983E+25
2016/09/14,4.1015657069487E+25
2016/09/15,4.1456521064232E+25
2016/09/16,4.0818021477047E+25
2016/09/17,4.1917982299572E+25
2016/09/18,4.2344306384679E+25
2016/09/19,4.1046878881725E+25
2016/09/20,4.1945485021677E+25
2016/09/21,4.4254861152854E+25
2016/09/22,4.4408181877035E+25
2016/09/23,4.4904868063782E+25
2016/09/24,4.5779457400787E+25
2016/09/25,4.714484749699E+25
2016/09/26,4.8486039625886E+25
2016/09/27,4.8658660588954E+25
2016/09/28,5.1700164969694E+25
2016/09/29,5.5606007571033E+25
2016/09/30,5.937895473135E+25
2016/10/01,6.0683418486036E+25
2016/10/02,6.1777210413244E+25
2016/10/03,6.4703202259901E+25
2016/10/04,6.9410681743096E+25
2016/10/05,7.1651591131558E+25
2016/10/06,7.4930740231296E+25
2016/10/07,7.4262908720142E+25
2016/10/08,7.4967631695233E+25
2016/10/09,7.8572141018669E+25
2016/10/10,8.2723166517864E+25
2016/10/11,8.8273499066668E+25
2016/10/12,9.1136867615297E+25
2016/10/13,9.2959097864878E+25
2016/10/14,9.8905571836838E+25
2016/10/15,1.0676615379689E+26
2016/10/16,1.1416814508773E+26
2016/10/17,1.1970373602265E+26
2016/10/18,1.2509269782533E+26
2016/10/19,1.3008479378924E+26
2016/10/20,1.3501444663594E+26
2016/10/21,1.4560943589345E+26
2016/10/22,1.5698385036759E+26
2016/10/23,1.6612927136506E+26
2016/10/24,1.7418024160211E+26
2016/10/25,1.8139554656792E+26
2016/10/26,1.8983203595057E+26
2016/10/27,1.9737079386246E+26
2016/10/28,2.0220187828175E+26
2016/10/29,1.9931017362723E+26
2016/10/30,1.9497159575814E+26
2016/10/31,1.8922845722407E+26
2016/11/01,1.8158228897672E+26
2016/11/02,1.7636668558667E+26
2016/11/03,1.7311264997145E+26
2016/11/04,1.7124445121921E+26
2016/11/05,1.7152499798649E+26
2016/11/06,1.7307754501653E+26
2016/11/07,1.7235492179629E+26
2016/11/08,1.7005727847361E+26
2016/11/09,1.679811478996E+26
2016/11/10,1.6719014449023E+26
2016/11/11,1.6687941443597E+26
2016/11/12,1.6668631355103E+26
2016/11/13,1.6514584321255E+26
2016/11/14,1.6357530963873E+26
