Date,mining_profitability
2017/03/07,4.9E-8
2017/03/08,4.47E-8
2017/03/09,4.23E-8
2017/03/10,4.47E-8
2017/03/11,4.81E-8
2017/03/12,5.33E-8
2017/03/13,6.4E-8
2017/03/14,6.7E-8
2017/03/15,6.97E-8
2017/03/16,9.21E-8
2017/03/17,1.01E-7
2017/03/18,8.38E-8
2017/03/19,8.81E-8
2017/03/20,9.27E-8
2017/03/21,9.17E-8
2017/03/22,8.7E-8
2017/03/23,8.39E-8
2017/03/24,9.3E-8
2017/03/25,1.02E-7
2017/03/26,9.72E-8
2017/03/27,9.29E-8
2017/03/28,9.28E-8
2017/03/29,9.55E-8
2017/03/30,9.49E-8
2017/03/31,8.91E-8
2017/04/01,8.96E-8
2017/04/02,8.77E-8
2017/04/03,8.61E-8
2017/04/04,7.7E-8
2017/04/05,7.94E-8
2017/04/06,7.58E-8
2017/04/07,7.34E-8
2017/04/08,7.51E-8
2017/04/09,7.36E-8
2017/04/10,7.22E-8
2017/04/11,7.16E-8
2017/04/12,7.22E-8
2017/04/13,8.11E-8
2017/04/14,7.52E-8
2017/04/15,7.49E-8
2017/04/16,7.57E-8
2017/04/17,7.45E-8
2017/04/18,7.46E-8
2017/04/19,7.45E-8
2017/04/20,7.36E-8
2017/04/21,7.25E-8
2017/04/22,7.03E-8
2017/04/23,6.97E-8
2017/04/24,7.24E-8
2017/04/25,7.16E-8
2017/04/26,7.18E-8
2017/04/27,7.84E-8
2017/04/28,8.6E-8
2017/04/29,8.74E-8
2017/04/30,9.27E-8
2017/05/01,1.0E-7
2017/05/02,9.76E-8
2017/05/03,9.71E-8
2017/05/04,1.08E-7
2017/05/05,1.12E-7
2017/05/06,1.11E-7
2017/05/07,1.12E-7
2017/05/08,1.07E-7
2017/05/09,9.75E-8
2017/05/10,1.02E-7
2017/05/11,1.01E-7
2017/05/12,9.89E-8
2017/05/13,9.65E-8
2017/05/14,9.26E-8
2017/05/15,9.21E-8
2017/05/16,9.01E-8
2017/05/17,9.02E-8
2017/05/18,9.51E-8
2017/05/19,1.1E-7
2017/05/20,1.21E-7
2017/05/21,1.26E-7
2017/05/22,1.5E-7
2017/05/23,1.56E-7
2017/05/24,1.74E-7
2017/05/25,1.81E-7
2017/05/26,1.66E-7
2017/05/27,1.34E-7
2017/05/28,1.52E-7
2017/05/29,1.54E-7
2017/05/30,1.72E-7
2017/05/31,1.88E-7
2017/06/01,1.71E-7
2017/06/02,1.66E-7
2017/06/03,1.64E-7
2017/06/04,1.71E-7
2017/06/05,1.75E-7
2017/06/06,1.79E-7
2017/06/07,1.76E-7
2017/06/08,1.7E-7
2017/06/09,1.78E-7
2017/06/10,1.93E-7
2017/06/11,2.13E-7
2017/06/12,2.34E-7
2017/06/13,2.36E-7
2017/06/14,2.23E-7
2017/06/15,1.91E-7
2017/06/16,2.02E-7
2017/06/17,2.0E-7
2017/06/18,2.01E-7
2017/06/19,1.97E-7
2017/06/20,1.85E-7
2017/06/21,1.67E-7
2017/06/22,1.61E-7
2017/06/23,1.6E-7
2017/06/24,1.56E-7
2017/06/25,1.41E-7
2017/06/26,1.23E-7
2017/06/27,1.13E-7
2017/06/28,1.32E-7
2017/06/29,1.37E-7
2017/06/30,1.29E-7
2017/07/01,1.16E-7
2017/07/02,1.14E-7
2017/07/03,1.18E-7
2017/07/04,1.15E-7
2017/07/05,1.1E-7
2017/07/06,1.1E-7
2017/07/07,1.05E-7
2017/07/08,9.8E-8
2017/07/09,9.74E-8
2017/07/10,8.09E-8
2017/07/11,6.92E-8
2017/07/12,7.38E-8
2017/07/13,7.46E-8
2017/07/14,7.14E-8
2017/07/15,6.56E-8
2017/07/16,5.41E-8
2017/07/17,6.12E-8
2017/07/18,7.15E-8
2017/07/19,7.71E-8
2017/07/20,7.31E-8
2017/07/21,7.36E-8
2017/07/22,7.52E-8
2017/07/23,7.44E-8
2017/07/24,7.47E-8
2017/07/25,6.84E-8
2017/07/26,6.47E-8
2017/07/27,6.58E-8
2017/07/28,6.35E-8
2017/07/29,6.06E-8
2017/07/30,6.27E-8
2017/07/31,5.9E-8
2017/08/01,5.82E-8
2017/08/02,5.94E-8
2017/08/03,6.15E-8
2017/08/04,6.03E-8
2017/08/05,6.46E-8
2017/08/06,7.01E-8
2017/08/07,7.09E-8
2017/08/08,7.41E-8
2017/08/09,7.74E-8
2017/08/10,7.86E-8
2017/08/11,7.93E-8
2017/08/12,7.99E-8
2017/08/13,7.54E-8
2017/08/14,7.51E-8
2017/08/15,7.18E-8
2017/08/16,7.64E-8
2017/08/17,7.63E-8
2017/08/18,7.62E-8
2017/08/19,7.05E-8
2017/08/20,7.05E-8
2017/08/21,7.71E-8
2017/08/22,7.44E-8
2017/08/23,7.45E-8
2017/08/24,7.56E-8
2017/08/25,6.66E-8
2017/08/26,6.49E-8
2017/08/27,6.67E-8
2017/08/28,6.97E-8
2017/08/29,7.14E-8
2017/08/30,7.4E-8
2017/08/31,7.69E-8
2017/09/01,7.68E-8
2017/09/02,7.11E-8
2017/09/03,6.76E-8
2017/09/04,6.17E-8
2017/09/05,5.95E-8
2017/09/06,6.59E-8
2017/09/07,6.51E-8
2017/09/08,6.03E-8
2017/09/09,5.69E-8
2017/09/10,5.59E-8
2017/09/11,5.6E-8
2017/09/12,5.58E-8
2017/09/13,5.18E-8
2017/09/14,4.76E-8
2017/09/15,4.4E-8
2017/09/16,4.82E-8
2017/09/17,4.6E-8
2017/09/18,5.32E-8
2017/09/19,5.24E-8
2017/09/20,5.3E-8
2017/09/21,4.98E-8
2017/09/22,3.89E-8
2017/09/23,4.06E-8
2017/09/24,4.26E-8
2017/09/25,4.38E-8
2017/09/26,4.43E-8
2017/09/27,4.45E-8
2017/09/28,4.6E-8
2017/09/29,4.55E-8
2017/09/30,4.74E-8
2017/10/01,4.57E-8
2017/10/02,4.56E-8
2017/10/03,4.51E-8
2017/10/04,4.42E-8
2017/10/05,4.33E-8
2017/10/06,4.52E-8
2017/10/07,4.71E-8
2017/10/08,4.66E-8
2017/10/09,4.5E-8
2017/10/10,4.49E-8
2017/10/11,4.53E-8
2017/10/12,4.58E-8
2017/10/13,4.68E-8
2017/10/14,5.11E-8
2017/10/15,4.88E-8
2017/10/16,5.02E-8
2017/10/17,5.8E-8
2017/10/18,5.53E-8
2017/10/19,5.43E-8
2017/10/20,5.48E-8
2017/10/21,5.2E-8
2017/10/22,5.12E-8
2017/10/23,5.03E-8
2017/10/24,5.21E-8
2017/10/25,5.11E-8
2017/10/26,5.29E-8
2017/10/27,0
2017/10/28,0
2017/10/29,0
2017/10/30,0
2017/10/31,0
2017/11/01,5.09E-8
2017/11/02,5.1E-8
2017/11/03,5.33E-8
2017/11/04,5.46E-8
2017/11/05,5.29E-8
2017/11/06,5.34E-8
2017/11/07,5.38E-8
2017/11/08,5.35E-8
2017/11/09,5.75E-8
2017/11/10,5.58E-8
2017/11/11,5.48E-8
2017/11/12,5.36E-8
2017/11/13,5.56E-8
2017/11/14,5.82E-8
2017/11/15,6.08E-8
2017/11/16,6.05E-8
2017/11/17,6.1E-8
2017/11/18,6.17E-8
2017/11/19,6.5E-8
2017/11/20,6.24E-8
2017/11/21,6.38E-8
2017/11/22,6.46E-8
2017/11/23,6.75E-8
2017/11/24,7.14E-8
2017/11/25,7.69E-8
2017/11/26,7.59E-8
2017/11/27,7.95E-8
2017/11/28,8.04E-8
2017/11/29,7.97E-8
2017/11/30,7.26E-8
2017/12/01,7.39E-8
2017/12/02,7.56E-8
2017/12/03,7.97E-8
2017/12/04,7.82E-8
2017/12/05,8.17E-8
2017/12/06,7.9E-8
2017/12/07,7.89E-8
2017/12/08,8.07E-8
2017/12/09,8.46E-8
2017/12/10,7.89E-8
2017/12/11,7.94E-8
2017/12/12,9.62E-8
2017/12/13,1.09E-7
2017/12/14,1.16E-7
2017/12/15,1.04E-7
2017/12/16,1.07E-7
2017/12/17,1.08E-7
2017/12/18,1.08E-7
2017/12/19,1.26E-7
2017/12/20,1.24E-7
2017/12/21,1.25E-7
2017/12/22,1.06E-7
2017/12/23,1.07E-7
2017/12/24,9.57E-8
2017/12/25,1.01E-7
2017/12/26,1.04E-7
2017/12/27,1.05E-7
2017/12/28,9.61E-8
2017/12/29,1.03E-7
2017/12/30,9.8E-8
2017/12/31,9.81E-8
2018/01/01,1.01E-7
2018/01/02,1.16E-7
2018/01/03,1.22E-7
2018/01/04,1.31E-7
2018/01/05,1.42E-7
2018/01/06,1.5E-7
2018/01/07,1.54E-7
2018/01/08,1.61E-7
2018/01/09,1.7E-7
2018/01/10,1.88E-7
2018/01/11,1.65E-7
2018/01/12,1.59E-7
2018/01/13,1.73E-7
2018/01/14,1.69E-7
2018/01/15,1.66E-7
2018/01/16,1.4E-7
2018/01/17,1.15E-7
2018/01/18,1.25E-7
2018/01/19,1.25E-7
2018/01/20,1.29E-7
2018/01/21,1.22E-7
2018/01/22,1.14E-7
2018/01/23,1.1E-7
2018/01/24,1.1E-7
2018/01/25,1.13E-7
2018/01/26,1.1E-7
2018/01/27,1.14E-7
2018/01/28,1.24E-7
2018/01/29,1.22E-7
2018/01/30,1.16E-7
2018/01/31,1.1E-7
2018/02/01,1.11E-7
2018/02/02,9.06E-8
2018/02/03,9.07E-8
2018/02/04,8.6E-8
2018/02/05,7.29E-8
2018/02/06,6.39E-8
2018/02/07,7.33E-8
2018/02/08,7.47E-8
2018/02/09,7.5E-8
2018/02/10,7.97E-8
2018/02/11,7.25E-8
2018/02/12,7.51E-8
2018/02/13,7.36E-8
2018/02/14,7.75E-8
2018/02/15,8.31E-8
2018/02/16,8.07E-8
2018/02/17,8.42E-8
2018/02/18,8.19E-8
