Date,transactions14ema
2018/02/13,831664
2018/02/14,820294
2018/02/15,814564
2018/02/16,799923
2018/02/17,796210
2018/02/18,790861
2018/02/19,793598
2018/02/20,806037
2018/02/21,811966
2018/02/22,805290
2018/02/23,795662
2018/02/24,787289
2018/02/25,774395
2018/02/26,769469
2018/02/27,759484
2018/02/28,754269
2018/03/01,744953
2018/03/02,744915
2018/03/03,735388
2018/03/04,723102
2018/03/05,727056
2018/03/06,725127
2018/03/07,732945
2018/03/08,727237
2018/03/09,716947
2018/03/10,700204
2018/03/11,688030
2018/03/12,686680
2018/03/13,688335
2018/03/14,686050
2018/03/15,681848
2018/03/16,678213
2018/03/17,666878
2018/03/18,669156
2018/03/19,673787
2018/03/20,672188
2018/03/21,675612
2018/03/22,668125
2018/03/23,669322
2018/03/24,661839
2018/03/25,643777
2018/03/26,641489
2018/03/27,633831
2018/03/28,626634
2018/03/29,620906
2018/03/30,622601
2018/03/31,617507
2018/04/01,607858
2018/04/02,606611
2018/04/03,611853
2018/04/04,614065
2018/04/05,624972
2018/04/06,628040
2018/04/07,615750
2018/04/08,613081
2018/04/09,612643
2018/04/10,607143
2018/04/11,607404
2018/04/12,618764
2018/04/13,633642
2018/04/14,630648
2018/04/15,629226
2018/04/16,633916
2018/04/17,648437
2018/04/18,655751
2018/04/19,676893
2018/04/20,697604
2018/04/21,704070
2018/04/22,710042
2018/04/23,722419
2018/04/24,734935
2018/04/25,743479
2018/04/26,750198
2018/04/27,752102
2018/04/28,755198
2018/04/29,755392
2018/04/30,758424
2018/05/01,752479
2018/05/02,757178
2018/05/03,768166
2018/05/04,799147
2018/05/05,797829
2018/05/06,783622
2018/05/07,784454
2018/05/08,789206
2018/05/09,794796
2018/05/10,802800
2018/05/11,805906
2018/05/12,803584
2018/05/13,798098
2018/05/14,798572
2018/05/15,795990
2018/05/16,797492
2018/05/17,802595
2018/05/18,806493
2018/05/19,811799
2018/05/20,807197
2018/05/21,806532
2018/05/22,808649
2018/05/23,811946
2018/05/24,811842
2018/05/25,810375
2018/05/26,803916
2018/05/27,800197
2018/05/28,808304
2018/05/29,808821
2018/05/30,809914
2018/05/31,812955
2018/06/01,805643
2018/06/02,800626
2018/06/03,801876
2018/06/04,802581
2018/06/05,799657
2018/06/06,793579
2018/06/07,791212
2018/06/08,781719
2018/06/09,780080
2018/06/10,778907
2018/06/11,777584
2018/06/12,776599
2018/06/13,779404
2018/06/14,777606
2018/06/15,775766
2018/06/16,757634
2018/06/17,743089
2018/06/18,736777
2018/06/19,742376
2018/06/20,750469
2018/06/21,750678
2018/06/22,753315
2018/06/23,742995
2018/06/24,733529
2018/06/25,747360
2018/06/26,745335
2018/06/27,748882
2018/06/28,748335
2018/06/29,746570
2018/06/30,731425
2018/07/01,716919
2018/07/02,686604
2018/07/03,671528
2018/07/04,641606
2018/07/05,626403
2018/07/06,604093
2018/07/07,588094
2018/07/08,593883
2018/07/09,601622
2018/07/10,613642
2018/07/11,617679
2018/07/12,610796
2018/07/13,604465
2018/07/14,591730
2018/07/15,573327
2018/07/16,590750
2018/07/17,605489
2018/07/18,624243
2018/07/19,638971
2018/07/20,643322
2018/07/21,640297
2018/07/22,644972
2018/07/23,660130
2018/07/24,676761
2018/07/25,691530
2018/07/26,696077
2018/07/27,708428
2018/07/28,707834
2018/07/29,708964
2018/07/30,715464
2018/07/31,719410
2018/08/01,724523
2018/08/02,731911
2018/08/03,734748
2018/08/04,732855
2018/08/05,729041
2018/08/06,725107
2018/08/07,713271
2018/08/08,693590
2018/08/09,672916
2018/08/10,665046
2018/08/11,664015
2018/08/12,661070
2018/08/13,665586
2018/08/14,668887
2018/08/15,666178
2018/08/16,672918
2018/08/17,664165
2018/08/18,659279
2018/08/19,651330
2018/08/20,652989
2018/08/21,646675
2018/08/22,639768
2018/08/23,634407
2018/08/24,629316
2018/08/25,622373
2018/08/26,615932
2018/08/27,619927
2018/08/28,619116
2018/08/29,609479
2018/08/30,607262
2018/08/31,603261
2018/09/01,610327
2018/09/02,611652
2018/09/03,614289
2018/09/04,610987
2018/09/05,613116
2018/09/06,609895
2018/09/07,606200
2018/09/08,597819
2018/09/09,593527
2018/09/10,589267
2018/09/11,585007
2018/09/12,583096
2018/09/13,579446
2018/09/14,570773
2018/09/15,558629
2018/09/16,545269
2018/09/17,546396
2018/09/18,540278
2018/09/19,535875
2018/09/20,530845
2018/09/21,532690
2018/09/22,524373
2018/09/23,516940
2018/09/24,512060
2018/09/25,512999
2018/09/26,510400
2018/09/27,509553
2018/09/28,508329
2018/09/29,498460
2018/09/30,495912
2018/10/01,493298
2018/10/02,492894
2018/10/03,501709
2018/10/04,509372
2018/10/05,520837
2018/10/06,530974
2018/10/07,526546
2018/10/08,528719
2018/10/09,529827
2018/10/10,528086
2018/10/11,533745
2018/10/12,537531
2018/10/13,538100
2018/10/14,534582
2018/10/15,538239
2018/10/16,543197
2018/10/17,548150
2018/10/18,550502
2018/10/19,557251
2018/10/20,554161
2018/10/21,548008
2018/10/22,551916
2018/10/23,552491
2018/10/24,549854
2018/10/25,548166
2018/10/26,548573
2018/10/27,541985
2018/10/28,537702
2018/10/29,547968
2018/10/30,556025
2018/10/31,559983
2018/11/01,563864
2018/11/02,561820
2018/11/03,554244
2018/11/04,548458
2018/11/05,552978
2018/11/06,558869
2018/11/07,559634
2018/11/08,559068
2018/11/09,557572
2018/11/10,548445
2018/11/11,545692
2018/11/12,549088
2018/11/13,549689
2018/11/14,554021
2018/11/15,555225
2018/11/16,554799
2018/11/17,548237
2018/11/18,539779
2018/11/19,550867
2018/11/20,560852
2018/11/21,563342
2018/11/22,564083
2018/11/23,563537
2018/11/24,554671
2018/11/25,551253
2018/11/26,552068
2018/11/27,553902
2018/11/28,563059
2018/11/29,562064
2018/11/30,566994
2018/12/01,561481
2018/12/02,552271
2018/12/03,551715
2018/12/04,553513
2018/12/05,559170
2018/12/06,563404
2018/12/07,564605
2018/12/08,563003
2018/12/09,555610
2018/12/10,555579
2018/12/11,552970
2018/12/12,550430
2018/12/13,552464
2018/12/14,554443
2018/12/15,554106
2018/12/16,549118
2018/12/17,551909
2018/12/18,552497
2018/12/19,558528
2018/12/20,564381
2018/12/21,570001
2018/12/22,560074
2018/12/23,557885
2018/12/24,565574
2018/12/25,561497
2018/12/26,561304
2018/12/27,559585
2018/12/28,561265
2018/12/29,558929
2018/12/30,545792
2018/12/31,542625
2019/01/01,530030
2019/01/02,538021
2019/01/03,545831
2019/01/04,546306
2019/01/05,541624
2019/01/06,534390
2019/01/07,536600
2019/01/08,538836
2019/01/09,541504
2019/01/10,547015
2019/01/11,546325
2019/01/12,533843
2019/01/13,526843
2019/01/14,533563
2019/01/15,534407
2019/01/16,530844
2019/01/17,529009
2019/01/18,530328
2019/01/19,531501
2019/01/20,532328
2019/01/21,539051
2019/01/22,547919
2019/01/23,546039
2019/01/24,542584
2019/01/25,537560
2019/01/26,527803
2019/01/27,522604
2019/01/28,528732
2019/01/29,533705
2019/01/30,536590
2019/01/31,533986
2019/02/01,529302
2019/02/02,518770
2019/02/03,506185
2019/02/04,494213
2019/02/05,483626
2019/02/06,476351
2019/02/07,469995
2019/02/08,470256
2019/02/09,463172
2019/02/10,452236
2019/02/11,449139
2019/02/12,447668
2019/02/13,453493
2019/02/14,456332
2019/02/15,457967
2019/02/16,457480
2019/02/17,456208
2019/02/18,463708
2019/02/19,473027
2019/02/20,480659
2019/02/21,489214
2019/02/22,494764
2019/02/23,492292
2019/02/24,498680
2019/02/25,508690
2019/02/26,514721
2019/02/27,518027
2019/02/28,521151
2019/03/01,524681
2019/03/02,524978
2019/03/03,520632
2019/03/04,533909
2019/03/05,542466
2019/03/06,547328
2019/03/07,550709
2019/03/08,552263
2019/03/09,552736
2019/03/10,543576
2019/03/11,542621
2019/03/12,545512
2019/03/13,549215
2019/03/14,552497
2019/03/15,552565
2019/03/16,546114
2019/03/17,539282
2019/03/18,543903
2019/03/19,556175
2019/03/20,566060
2019/03/21,573028
2019/03/22,580451
2019/03/23,577961
2019/03/24,574109
2019/03/25,584051
2019/03/26,590045
2019/03/27,594832
2019/03/28,600104
2019/03/29,605470
2019/03/30,613803
2019/03/31,618127
2019/04/01,627386
2019/04/02,644921
2019/04/03,658479
2019/04/04,660485
2019/04/05,655343
2019/04/06,642503
2019/04/07,633220
2019/04/08,637858
2019/04/09,640393
2019/04/10,644884
2019/04/11,656103
2019/04/12,661259
2019/04/13,654997
2019/04/14,641138
2019/04/15,638594
2019/04/16,640976
2019/04/17,646432
2019/04/18,653261
2019/04/19,658584
2019/04/20,662349
2019/04/21,658195
2019/04/22,666343
2019/04/23,674733
2019/04/24,673957
2019/04/25,674871
2019/04/26,672993
2019/04/27,658285
2019/04/28,649645
2019/04/29,646891
2019/04/30,655008
2019/05/01,661512
2019/05/02,656818
2019/05/03,658694
2019/05/04,653987
2019/05/05,651784
2019/05/06,659031
2019/05/07,658899
2019/05/08,662645
2019/05/09,670085
2019/05/10,678975
2019/05/11,687423
2019/05/12,691210
2019/05/13,700187
2019/05/14,717576
2019/05/15,734913
2019/05/16,758019
2019/05/17,764993
2019/05/18,761050
2019/05/19,759901
2019/05/20,773269
2019/05/21,778539
2019/05/22,791185
2019/05/23,798590
2019/05/24,812653
2019/05/25,816292
2019/05/26,809199
2019/05/27,826870
2019/05/28,838026
2019/05/29,852623
2019/05/30,857861
2019/05/31,859570
2019/06/01,872527
2019/06/02,874976
2019/06/03,876855
2019/06/04,878868
2019/06/05,868271
2019/06/06,862478
2019/06/07,848608
2019/06/08,867814
2019/06/09,847537
2019/06/10,863025
2019/06/11,871955
2019/06/12,870452
2019/06/13,854359
2019/06/14,850493
2019/06/15,862288
2019/06/16,865847
2019/06/17,876280
2019/06/18,872774
2019/06/19,874542
2019/06/20,889273
2019/06/21,874387
2019/06/22,858887
2019/06/23,847502
2019/06/24,842453
2019/06/25,854418
2019/06/26,853643
2019/06/27,848373
2019/06/28,869146
2019/06/29,851038
2019/06/30,829027
2019/07/01,845422
2019/07/02,852039
2019/07/03,838864
2019/07/04,826684
2019/07/05,829670
2019/07/06,819586
2019/07/07,787917
2019/07/08,790834
2019/07/09,788317
2019/07/10,781354
2019/07/11,807212
2019/07/12,796436
2019/07/13,768549
2019/07/14,747874
2019/07/15,747264
2019/07/16,781399
2019/07/17,787883
2019/07/18,771882
2019/07/19,777704
2019/07/20,751888
2019/07/21,721289
2019/07/22,710539
2019/07/23,696707
2019/07/24,724774
2019/07/25,754785
2019/07/26,739515
2019/07/27,717939
2019/07/28,698574
2019/07/29,695696
2019/07/30,698374
2019/07/31,696495
2019/08/01,720648
2019/08/02,727003
2019/08/03,734535
2019/08/04,712482
2019/08/05,713276
2019/08/06,715779
2019/08/07,719339
2019/08/08,715792
2019/08/09,716588
2019/08/10,705167
2019/08/11,688812
2019/08/12,692030
2019/08/13,692916
2019/08/14,698747
2019/08/15,697457
2019/08/16,700313
2019/08/17,692419
2019/08/18,683731
2019/08/19,689162
2019/08/20,695074
2019/08/21,699931
2019/08/22,704892
2019/08/23,708678
2019/08/24,705419
2019/08/25,701664
2019/08/26,708222
2019/08/27,713546
2019/08/28,714709
2019/08/29,715973
2019/08/30,715602
2019/08/31,710825
2019/09/01,708080
2019/09/02,714670
2019/09/03,719544
2019/09/04,718862
2019/09/05,725664
2019/09/06,731375
2019/09/07,724184
2019/09/08,717636
2019/09/09,722819
2019/09/10,718658
2019/09/11,716876
2019/09/12,717789
2019/09/13,705214
2019/09/14,694981
2019/09/15,686845
2019/09/16,693000
2019/09/17,691509
2019/09/18,693807
2019/09/19,693630
2019/09/20,696763
2019/09/21,683458
2019/09/22,669186
2019/09/23,665213
2019/09/24,671121
2019/09/25,671995
2019/09/26,670086
2019/09/27,663892
2019/09/28,656421
2019/09/29,647829
2019/09/30,652642
2019/10/01,651617
2019/10/02,648339
2019/10/03,643919
2019/10/04,636756
2019/10/05,631204
2019/10/06,623280
2019/10/07,624093
2019/10/08,635597
2019/10/09,651031
2019/10/10,658378
2019/10/11,664259
2019/10/12,660283
2019/10/13,647824
2019/10/14,648195
2019/10/15,653858
2019/10/16,659288
2019/10/17,665211
2019/10/18,674335
2019/10/19,673113
2019/10/20,665010
2019/10/21,666813
2019/10/22,674735
2019/10/23,682955
2019/10/24,688550
2019/10/25,695631
