Date,sentbyaddress90trx
2017/09/22,0.91
2017/09/23,0.902
2017/09/24,0.895
2017/09/25,0.887
2017/09/26,0.879
2017/09/27,0.87
2017/09/28,0.861
2017/09/29,0.853
2017/09/30,0.844
2017/10/01,0.834
2017/10/02,0.825
2017/10/03,0.815
2017/10/04,0.806
2017/10/05,0.796
2017/10/06,0.786
2017/10/07,0.776
2017/10/08,0.766
2017/10/09,0.755
2017/10/10,0.746
2017/10/11,0.736
2017/10/12,0.727
2017/10/13,0.718
2017/10/14,0.71
2017/10/15,0.701
2017/10/16,0.692
2017/10/17,0.684
2017/10/18,0.676
2017/10/19,0.668
2017/10/20,0.661
2017/10/21,0.654
2017/10/22,0.647
2017/10/23,0.641
2017/10/24,0.634
2017/10/25,0.628
2017/10/26,0.622
2017/10/27,0.614
2017/10/28,0.604
2017/10/29,0.594
2017/10/30,0.581
2017/10/31,0.568
2017/11/01,0.556
2017/11/02,0.545
2017/11/03,0.535
2017/11/04,0.526
2017/11/05,0.516
2017/11/06,0.507
2017/11/07,0.499
2017/11/08,0.491
2017/11/09,0.484
2017/11/10,0.478
2017/11/11,0.472
2017/11/12,0.466
2017/11/13,0.46
2017/11/14,0.455
2017/11/15,0.451
2017/11/16,0.448
2017/11/17,0.445
2017/11/18,0.442
2017/11/19,0.439
2017/11/20,0.437
2017/11/21,0.435
2017/11/22,0.434
2017/11/23,0.433
2017/11/24,0.433
2017/11/25,0.432
2017/11/26,0.432
2017/11/27,0.433
2017/11/28,0.435
2017/11/29,0.437
2017/11/30,0.44
2017/12/01,0.443
2017/12/02,0.446
2017/12/03,0.45
2017/12/04,0.454
2017/12/05,0.459
2017/12/06,0.465
2017/12/07,0.471
2017/12/08,0.477
2017/12/09,0.484
2017/12/10,0.491
2017/12/11,0.499
2017/12/12,0.507
2017/12/13,0.518
2017/12/14,0.529
2017/12/15,0.541
2017/12/16,0.554
2017/12/17,0.566
2017/12/18,0.58
2017/12/19,0.594
2017/12/20,0.609
2017/12/21,0.626
2017/12/22,0.643
2017/12/23,0.66
2017/12/24,0.677
2017/12/25,0.692
2017/12/26,0.707
2017/12/27,0.721
2017/12/28,0.736
2017/12/29,0.751
2017/12/30,0.767
2017/12/31,0.782
2018/01/01,0.797
2018/01/02,0.812
2018/01/03,0.828
2018/01/04,0.845
2018/01/05,0.862
2018/01/06,0.88
2018/01/07,0.897
2018/01/08,0.915
2018/01/09,0.933
2018/01/10,0.95
2018/01/11,0.968
2018/01/12,0.985
2018/01/13,1.001
2018/01/14,1.017
2018/01/15,1.033
2018/01/16,1.049
2018/01/17,1.065
2018/01/18,1.081
2018/01/19,1.095
2018/01/20,1.107
2018/01/21,1.119
2018/01/22,1.129
2018/01/23,1.137
2018/01/24,1.144
2018/01/25,1.148
2018/01/26,1.152
2018/01/27,1.153
2018/01/28,1.154
2018/01/29,1.153
2018/01/30,1.151
2018/01/31,1.148
2018/02/01,1.144
2018/02/02,1.14
2018/02/03,1.135
2018/02/04,1.128
2018/02/05,1.121
2018/02/06,1.114
2018/02/07,1.106
2018/02/08,1.096
2018/02/09,1.086
2018/02/10,1.075
2018/02/11,1.064
2018/02/12,1.052
2018/02/13,1.04
2018/02/14,1.027
2018/02/15,1.014
2018/02/16,1.001
2018/02/17,0.987
2018/02/18,0.972
2018/02/19,0.957
2018/02/20,0.943
2018/02/21,0.928
2018/02/22,0.913
2018/02/23,0.898
2018/02/24,0.882
2018/02/25,0.866
2018/02/26,0.85
2018/02/27,0.835
2018/02/28,0.819
2018/03/01,0.803
2018/03/02,0.788
2018/03/03,0.772
2018/03/04,0.756
2018/03/05,0.74
2018/03/06,0.725
2018/03/07,0.71
2018/03/08,0.696
2018/03/09,0.681
2018/03/10,0.667
2018/03/11,0.652
2018/03/12,0.638
2018/03/13,0.623
2018/03/14,0.609
2018/03/15,0.595
2018/03/16,0.581
2018/03/17,0.566
2018/03/18,0.552
2018/03/19,0.539
2018/03/20,0.525
2018/03/21,0.512
2018/03/22,0.498
2018/03/23,0.486
2018/03/24,0.473
2018/03/25,0.461
2018/03/26,0.448
2018/03/27,0.436
2018/03/28,0.423
2018/03/29,0.411
2018/03/30,0.399
2018/03/31,0.387
2018/04/01,0.375
2018/04/02,0.363
2018/04/03,0.351
2018/04/04,0.34
2018/04/05,0.328
2018/04/06,0.317
2018/04/07,0.306
2018/04/08,0.295
2018/04/09,0.285
2018/04/10,0.274
2018/04/11,0.264
2018/04/12,0.254
2018/04/13,0.245
2018/04/14,0.236
2018/04/15,0.226
2018/04/16,0.217
2018/04/17,0.209
2018/04/18,0.2
2018/04/19,0.192
2018/04/20,0.184
2018/04/21,0.177
2018/04/22,0.17
2018/04/23,0.163
2018/04/24,0.157
2018/04/25,0.151
2018/04/26,0.146
2018/04/27,0.141
2018/04/28,0.135
2018/04/29,0.13
2018/04/30,0.126
2018/05/01,0.121
2018/05/02,0.116
2018/05/03,0.112
2018/05/04,0.11
2018/05/05,0.108
2018/05/06,0.105
2018/05/07,0.104
2018/05/08,0.102
2018/05/09,0.101
2018/05/10,0.1
2018/05/11,0.099
2018/05/12,0.098
2018/05/13,0.097
2018/05/14,0.097
2018/05/15,0.096
2018/05/16,0.096
2018/05/17,0.096
2018/05/18,0.096
2018/05/19,0.097
2018/05/20,0.097
2018/05/21,0.098
2018/05/22,0.099
2018/05/23,0.1
2018/05/24,0.101
2018/05/25,0.103
2018/05/26,0.104
2018/05/27,0.105
2018/05/28,0.107
2018/05/29,0.109
2018/05/30,0.11
2018/05/31,0.112
2018/06/01,0.114
2018/06/02,0.115
2018/06/03,0.117
2018/06/04,0.119
2018/06/05,0.12
2018/06/06,0.122
2018/06/07,0.123
2018/06/08,0.124
2018/06/09,0.126
2018/06/10,0.127
2018/06/11,0.128
2018/06/12,0.129
2018/06/13,0.13
2018/06/14,0.131
2018/06/15,0.131
2018/06/16,0.132
2018/06/17,0.132
2018/06/18,0.132
2018/06/19,0.131
2018/06/20,0.131
2018/06/21,0.131
2018/06/22,0.131
2018/06/23,0.131
2018/06/24,0.131
2018/06/25,0.131
2018/06/26,0.132
2018/06/27,0.132
2018/06/28,0.132
2018/06/29,0.132
2018/06/30,0.132
2018/07/01,0.131
2018/07/02,0.129
2018/07/03,0.127
2018/07/04,0.124
2018/07/05,0.121
2018/07/06,0.117
2018/07/07,0.113
2018/07/08,0.109
2018/07/09,0.105
2018/07/10,0.101
2018/07/11,0.096
2018/07/12,0.092
2018/07/13,0.087
2018/07/14,0.082
2018/07/15,0.077
2018/07/16,0.072
2018/07/17,0.067
2018/07/18,0.062
2018/07/19,0.059
2018/07/20,0.055
2018/07/21,0.051
2018/07/22,0.047
2018/07/23,0.044
2018/07/24,0.041
2018/07/25,0.039
2018/07/26,0.037
2018/07/27,0.035
2018/07/28,0.034
2018/07/29,0.032
2018/07/30,0.031
2018/07/31,0.03
2018/08/01,0.029
2018/08/02,0.028
2018/08/03,0.027
2018/08/04,0.027
2018/08/05,0.026
2018/08/06,0.025
2018/08/07,0.025
2018/08/08,0.024
2018/08/09,0.023
2018/08/10,0.022
2018/08/11,0.021
2018/08/12,0.019
2018/08/13,0.019
2018/08/14,0.018
2018/08/15,0.017
2018/08/16,0.016
2018/08/17,0.015
2018/08/18,0.014
2018/08/19,0.013
2018/08/20,0.012
2018/08/21,0.011
2018/08/22,0.01
2018/08/23,0.008
2018/08/24,0.007
2018/08/25,0.006
2018/08/26,0.004
2018/08/27,0.003
2018/08/28,0.002
2018/08/29,0
2018/08/30,-0.002
2018/08/31,-0.003
2018/09/01,-0.005
2018/09/02,-0.007
2018/09/03,-0.008
2018/09/04,-0.01
2018/09/05,-0.011
2018/09/06,-0.013
2018/09/07,-0.014
2018/09/08,-0.016
2018/09/09,-0.018
2018/09/10,-0.019
2018/09/11,-0.021
2018/09/12,-0.023
2018/09/13,-0.025
2018/09/14,-0.028
2018/09/15,-0.03
2018/09/16,-0.033
2018/09/17,-0.036
2018/09/18,-0.039
2018/09/19,-0.042
2018/09/20,-0.045
2018/09/21,-0.048
2018/09/22,-0.052
2018/09/23,-0.056
2018/09/24,-0.059
2018/09/25,-0.063
2018/09/26,-0.067
2018/09/27,-0.071
2018/09/28,-0.075
2018/09/29,-0.079
2018/09/30,-0.083
2018/10/01,-0.087
2018/10/02,-0.092
2018/10/03,-0.096
2018/10/04,-0.1
2018/10/05,-0.103
2018/10/06,-0.107
2018/10/07,-0.11
2018/10/08,-0.113
2018/10/09,-0.117
2018/10/10,-0.12
2018/10/11,-0.123
2018/10/12,-0.126
2018/10/13,-0.128
2018/10/14,-0.131
2018/10/15,-0.134
2018/10/16,-0.136
2018/10/17,-0.138
2018/10/18,-0.141
2018/10/19,-0.143
2018/10/20,-0.145
2018/10/21,-0.146
2018/10/22,-0.148
2018/10/23,-0.15
2018/10/24,-0.151
2018/10/25,-0.153
2018/10/26,-0.154
2018/10/27,-0.155
2018/10/28,-0.156
2018/10/29,-0.158
2018/10/30,-0.159
2018/10/31,-0.159
2018/11/01,-0.16
2018/11/02,-0.161
2018/11/03,-0.162
2018/11/04,-0.163
2018/11/05,-0.163
2018/11/06,-0.164
2018/11/07,-0.165
2018/11/08,-0.166
2018/11/09,-0.167
2018/11/10,-0.168
2018/11/11,-0.168
2018/11/12,-0.169
2018/11/13,-0.17
2018/11/14,-0.17
2018/11/15,-0.171
2018/11/16,-0.171
2018/11/17,-0.172
2018/11/18,-0.173
2018/11/19,-0.173
2018/11/20,-0.174
2018/11/21,-0.174
2018/11/22,-0.174
2018/11/23,-0.175
2018/11/24,-0.175
2018/11/25,-0.176
2018/11/26,-0.176
2018/11/27,-0.177
2018/11/28,-0.177
2018/11/29,-0.178
2018/11/30,-0.178
2018/12/01,-0.179
2018/12/02,-0.18
2018/12/03,-0.181
2018/12/04,-0.181
2018/12/05,-0.182
2018/12/06,-0.183
2018/12/07,-0.183
2018/12/08,-0.184
2018/12/09,-0.184
2018/12/10,-0.184
2018/12/11,-0.185
2018/12/12,-0.185
2018/12/13,-0.185
2018/12/14,-0.186
2018/12/15,-0.186
2018/12/16,-0.186
2018/12/17,-0.186
2018/12/18,-0.186
2018/12/19,-0.186
2018/12/20,-0.186
2018/12/21,-0.186
2018/12/22,-0.186
2018/12/23,-0.186
2018/12/24,-0.186
2018/12/25,-0.185
2018/12/26,-0.185
2018/12/27,-0.185
2018/12/28,-0.185
2018/12/29,-0.184
2018/12/30,-0.184
2018/12/31,-0.183
2019/01/01,-0.183
2019/01/02,-0.182
2019/01/03,-0.182
2019/01/04,-0.181
2019/01/05,-0.18
2019/01/06,-0.18
2019/01/07,-0.179
2019/01/08,-0.178
2019/01/09,-0.177
2019/01/10,-0.176
2019/01/11,-0.175
2019/01/12,-0.174
2019/01/13,-0.174
2019/01/14,-0.173
2019/01/15,-0.172
2019/01/16,-0.171
2019/01/17,-0.17
2019/01/18,-0.169
2019/01/19,-0.168
2019/01/20,-0.167
2019/01/21,-0.167
