Date,size
2017/07/22,7992
2017/07/23,9282
2017/07/24,10560
2017/07/25,9767
2017/07/26,8403
2017/07/27,8346
2017/07/28,9258
2017/07/29,7452
2017/07/30,7621
2017/07/31,9293
2017/08/01,9503
2017/08/02,9426
2017/08/03,9597
2017/08/04,10507
2017/08/05,10427
2017/08/06,10463
2017/08/07,11867
2017/08/08,13278
2017/08/09,11373
2017/08/10,13581
2017/08/11,14429
2017/08/12,13642
2017/08/13,12996
2017/08/14,15655
2017/08/15,16403
2017/08/16,17360
2017/08/17,17330
2017/08/18,17335
2017/08/19,16348
2017/08/20,12825
2017/08/21,15179
2017/08/22,14259
2017/08/23,14352
2017/08/24,13796
2017/08/25,15772
2017/08/26,14625
2017/08/27,14945
2017/08/28,17757
2017/08/29,18455
2017/08/30,18827
2017/08/31,17436
2017/09/01,18436
2017/09/02,15334
2017/09/03,13871
2017/09/04,19760
2017/09/05,19704
2017/09/06,22603
2017/09/07,21135
2017/09/08,20975
2017/09/09,17147
2017/09/10,14680
2017/09/11,16764
2017/09/12,18037
2017/09/13,16933
2017/09/14,17288
2017/09/15,19312
2017/09/16,16698
2017/09/17,14350
2017/09/18,17536
2017/09/19,16596
2017/09/20,16028
2017/09/21,16104
2017/09/22,16972
2017/09/23,15951
2017/09/24,17983
2017/09/25,19577
2017/09/26,18527
2017/09/27,18893
2017/09/28,20553
2017/09/29,21540
2017/09/30,21998
2017/10/01,21781
2017/10/02,21143
2017/10/03,20918
2017/10/04,20393
2017/10/05,20313
2017/10/06,21656
2017/10/07,19657
2017/10/08,19150
2017/10/09,19671
2017/10/10,21438
2017/10/11,20045
2017/10/12,21137
2017/10/13,21845
2017/10/14,19951
2017/10/15,19011
2017/10/16,16294
2017/10/17,14412
2017/10/18,13060
2017/10/19,12978
2017/10/20,15254
2017/10/21,11983
2017/10/22,10947
2017/10/23,12828
2017/10/24,13946
2017/10/25,14347
2017/10/26,14417
2017/10/27,0
2017/10/28,0
2017/10/29,0
2017/10/30,0
2017/10/31,0
2017/11/01,15664
2017/11/02,15733
2017/11/03,15851
2017/11/04,12156
2017/11/05,11640
2017/11/06,13796
2017/11/07,14267
2017/11/08,14220
2017/11/09,13929
2017/11/10,13413
2017/11/11,12665
2017/11/12,13233
2017/11/13,14443
2017/11/14,16232
2017/11/15,16453
2017/11/16,15278
2017/11/17,15301
2017/11/18,14628
2017/11/19,14551
2017/11/20,16654
2017/11/21,16182
2017/11/22,15978
2017/11/23,16029
2017/11/24,15104
2017/11/25,16194
2017/11/26,16099
2017/11/27,22187
2017/11/28,18980
2017/11/29,18539
2017/11/30,18059
2017/12/01,18184
2017/12/02,17954
2017/12/03,19326
2017/12/04,19741
2017/12/05,19800
2017/12/06,21174
2017/12/07,17899
2017/12/08,21220
2017/12/09,19891
2017/12/10,20864
2017/12/11,23554
2017/12/12,25607
2017/12/13,26216
2017/12/14,26049
2017/12/15,26180
2017/12/16,26389
2017/12/17,25965
2017/12/18,27932
2017/12/19,31463
2017/12/20,27465
2017/12/21,30221
2017/12/22,29198
2017/12/23,26198
2017/12/24,20519
2017/12/25,21721
2017/12/26,22433
2017/12/27,24734
2017/12/28,25965
2017/12/29,29542
2017/12/30,29346
