Date,difficulty3sma
2016/12/07,72817079523299
2016/12/08,73739913210364
2016/12/09,76430945727493
2016/12/10,78878366829670
2016/12/11,81067866677694
2016/12/12,81600396749913
2016/12/13,82013402643968
2016/12/14,81593457499675
2016/12/15,82145303132940
2016/12/16,82783207128802
2016/12/17,83735220854708
2016/12/18,85477332986440
2016/12/19,87065254084641
2016/12/20,89056693922792
2016/12/21,89840462269333
2016/12/22,89723715432937
2016/12/23,86942872027379
2016/12/24,82548488749611
2016/12/25,79281212419679
2016/12/26,79402057147470
2016/12/27,80741769854522
2016/12/28,80985979631192
2016/12/29,79642541312965
2016/12/30,78992271271638
2016/12/31,79522491683729
2017/01/01,79988241093571
2017/01/02,80519652876689
2017/01/03,80343579949659
2017/01/04,82817884446576
2017/01/05,85986279565458
2017/01/06,89750233816585
2017/01/07,91792606310685
2017/01/08,93271848516679
2017/01/09,95120270794124
2017/01/10,96879076405707
2017/01/11,98399848625679
2017/01/12,99264579055378
2017/01/13,1.0014256612851E+14
2017/01/14,1.0128305481825E+14
2017/01/15,1.0250477681504E+14
2017/01/16,1.0343082448482E+14
2017/01/17,1.0386397480835E+14
2017/01/18,1.0333440726921E+14
2017/01/19,1.0435097888119E+14
2017/01/20,1.05364351957E+14
2017/01/21,1.0746614224384E+14
2017/01/22,1.0800850389516E+14
2017/01/23,1.0942593592383E+14
2017/01/24,1.0993480723216E+14
2017/01/25,1.1033831706002E+14
2017/01/26,1.1051986609977E+14
2017/01/27,1.1146058316769E+14
2017/01/28,1.119859357212E+14
2017/01/29,1.1166040229107E+14
2017/01/30,1.1107994742809E+14
2017/01/31,1.1145974881381E+14
2017/02/01,1.117528488074E+14
2017/02/02,1.1272758490342E+14
2017/02/03,1.1258905681057E+14
2017/02/04,1.1295854136624E+14
2017/02/05,1.1438285867925E+14
2017/02/06,1.1668701946206E+14
2017/02/07,1.1893474986023E+14
2017/02/08,1.1962739001642E+14
2017/02/09,1.2025374857709E+14
2017/02/10,1.2192465120753E+14
2017/02/11,1.2342090363196E+14
2017/02/12,125203256454746
2017/02/13,1.2623719538756E+14
2017/02/14,1.2798620992939E+14
2017/02/15,1.2903005126489E+14
2017/02/16,1.2985376468332E+14
2017/02/17,1.3095431065839E+14
2017/02/18,1.3276203389496E+14
2017/02/19,1.3517026872134E+14
2017/02/20,1.3644006936681E+14
2017/02/21,1.381831973678E+14
2017/02/22,1.3928634484291E+14
2017/02/23,1.4018098954666E+14
2017/02/24,1.4018113581629E+14
2017/02/25,1.4097907238001E+14
2017/02/26,1.4352303932558E+14
2017/02/27,1.4702934963872E+14
2017/02/28,1.5089918382685E+14
2017/03/01,1.5263469317828E+14
2017/03/02,1.5329712725207E+14
2017/03/03,1.5519278203375E+14
2017/03/04,157221634307353
2017/03/05,1.6095717859367E+14
2017/03/06,1.6300601004955E+14
2017/03/07,1.6541820455239E+14
2017/03/08,1.6761529883351E+14
2017/03/09,170124880416682
2017/03/10,1.7246262532841E+14
2017/03/11,1.7399682912702E+14
2017/03/12,1.7528062904068E+14
2017/03/13,1.7771014336764E+14
2017/03/14,1.7927477797486E+14
2017/03/15,1.8140375682407E+14
2017/03/16,1.8327706302844E+14
2017/03/17,1.8759883400182E+14
2017/03/18,1.9208840930531E+14
2017/03/19,1.9375926937294E+14
2017/03/20,1.9595869415678E+14
2017/03/21,1.9663549102392E+14
2017/03/22,2.0022396284536E+14
2017/03/23,2.0404760396797E+14
2017/03/24,2.0783716808075E+14
2017/03/25,2.1102792608412E+14
2017/03/26,2.1445977040615E+14
2017/03/27,2.2134562041673E+14
2017/03/28,2.2746025296995E+14
2017/03/29,2.3139526381346E+14
2017/03/30,2.3317035670236E+14
2017/03/31,2.3670040200078E+14
2017/04/01,2.3872320703396E+14
2017/04/02,2.4040818177421E+14
2017/04/03,2.3562115977006E+14
2017/04/04,2.3613442838686E+14
2017/04/05,2.3754845007126E+14
2017/04/06,2.4516231933357E+14
2017/04/07,2.4815780326937E+14
2017/04/08,2.5022625093371E+14
2017/04/09,2.5174484174547E+14
2017/04/10,2.5387777487237E+14
2017/04/11,2.5672849088832E+14
2017/04/12,2.5931747252506E+14
2017/04/13,2.5892838517532E+14
2017/04/14,2.6244123065631E+14
2017/04/15,2.6625970622202E+14
2017/04/16,272184764392475
2017/04/17,2.7350364901808E+14
2017/04/18,2.7695116849341E+14
2017/04/19,2.8234104269699E+14
2017/04/20,2.8515436227414E+14
2017/04/21,2.8784868501177E+14
2017/04/22,2.9063548361932E+14
2017/04/23,2.9546186194426E+14
2017/04/24,2.9692470343565E+14
2017/04/25,2.973236063928E+14
2017/04/26,3.008167820158E+14
