Date,transactionfees90rsiUSD
2017/03/22,53.487
2017/03/23,53.351
2017/03/24,54.67
2017/03/25,53.922
2017/03/26,54.273
2017/03/27,55.053
2017/03/28,54.296
2017/03/29,54.491
2017/03/30,54.508
2017/03/31,54.239
2017/04/01,53.829
2017/04/02,54.077
2017/04/03,53.448
2017/04/04,53.194
2017/04/05,53.746
2017/04/06,53.379
2017/04/07,53.263
2017/04/08,53
2017/04/09,53.199
2017/04/10,53.721
2017/04/11,53.258
2017/04/12,55.103
2017/04/13,53.305
2017/04/14,53.586
2017/04/15,53.557
2017/04/16,53.701
2017/04/17,54.116
2017/04/18,54.737
2017/04/19,55.134
2017/04/20,54.102
2017/04/21,56.565
2017/04/22,55.313
2017/04/23,53.647
2017/04/24,54.332
2017/04/25,53.744
2017/04/26,53.911
2017/04/27,54.686
2017/04/28,54.897
2017/04/29,55.586
2017/04/30,56.529
2017/05/01,58.611
2017/05/02,59.191
2017/05/03,55.987
2017/05/04,56.949
2017/05/05,57.398
2017/05/06,58.577
2017/05/07,59.991
2017/05/08,56.543
2017/05/09,57.414
2017/05/10,57.916
2017/05/11,57.598
2017/05/12,58.602
2017/05/13,58.71
2017/05/14,58.934
2017/05/15,59.43
2017/05/16,60.3
2017/05/17,63.554
2017/05/18,59.019
2017/05/19,60.379
2017/05/20,62.935
2017/05/21,62.185
2017/05/22,64.357
2017/05/23,68.089
2017/05/24,70.977
2017/05/25,66.167
2017/05/26,64.288
2017/05/27,60.793
2017/05/28,62.423
2017/05/29,62.823
2017/05/30,69.088
2017/05/31,78.481
2017/06/01,57.659
2017/06/02,59.025
2017/06/03,57.229
2017/06/04,58.656
2017/06/05,56.638
2017/06/06,58.105
2017/06/07,58.354
2017/06/08,57.558
2017/06/09,56.933
2017/06/10,56.627
2017/06/11,60.191
2017/06/12,64.367
2017/06/13,57.166
2017/06/14,56.484
2017/06/15,55.653
2017/06/16,55.94
2017/06/17,55.707
2017/06/18,56.099
2017/06/19,55.625
2017/06/20,64.056
2017/06/21,70.277
2017/06/22,58.792
2017/06/23,55.365
2017/06/24,58.244
2017/06/25,54.31
2017/06/26,56.283
2017/06/27,51.572
2017/06/28,56.17
2017/06/29,53.327
2017/06/30,52.029
2017/07/01,51.508
2017/07/02,51.401
2017/07/03,51.865
2017/07/04,51.647
2017/07/05,51.886
2017/07/06,51.08
2017/07/07,51.021
2017/07/08,51.42
2017/07/09,50.718
2017/07/10,49.947
2017/07/11,49.921
2017/07/12,50.338
2017/07/13,50.582
2017/07/14,50.144
2017/07/15,50.254
2017/07/16,49.72
2017/07/17,49.92
2017/07/18,51.069
2017/07/19,50.601
2017/07/20,50.172
2017/07/21,50.888
2017/07/22,50.377
2017/07/23,50.445
2017/07/24,50.578
2017/07/25,50.995
2017/07/26,50.555
2017/07/27,50.275
2017/07/28,50.164
2017/07/29,49.835
2017/07/30,49.908
2017/07/31,49.72
2017/08/01,50.537
2017/08/02,50.182
2017/08/03,50.135
2017/08/04,49.807
2017/08/05,50.057
2017/08/06,50.33
2017/08/07,51.004
2017/08/08,50.925
2017/08/09,50.793
2017/08/10,50.71
2017/08/11,50.927
2017/08/12,51.14
2017/08/13,50.599
2017/08/14,50.407
2017/08/15,50.566
2017/08/16,56.086
2017/08/17,52.509
2017/08/18,54.235
2017/08/19,51.164
2017/08/20,50.381
2017/08/21,50.304
2017/08/22,50.392
2017/08/23,50.307
2017/08/24,50.535
2017/08/25,50.509
2017/08/26,50.775
2017/08/27,50.448
2017/08/28,50.626
2017/08/29,52.131
2017/08/30,51.553
2017/08/31,54.317
2017/09/01,52.272
2017/09/02,53.464
2017/09/03,50.704
2017/09/04,50.751
2017/09/05,51.305
2017/09/06,52.069
2017/09/07,52.286
2017/09/08,52.118
2017/09/09,50.642
2017/09/10,50.849
2017/09/11,50.404
2017/09/12,50.958
2017/09/13,50.633
2017/09/14,50.004
2017/09/15,50.566
2017/09/16,51.463
2017/09/17,50.385
2017/09/18,50.354
2017/09/19,50.411
2017/09/20,52.385
2017/09/21,50.025
2017/09/22,50.115
2017/09/23,50.404
2017/09/24,51.269
2017/09/25,50.615
2017/09/26,50.648
2017/09/27,50.938
2017/09/28,50.43
