Date,transactionvalue3wmaUSD
2018/01/02,8579
2018/01/03,9587
2018/01/04,12193
2018/01/05,13570
2018/01/06,13404
2018/01/07,12326
2018/01/08,13126
2018/01/09,14535
2018/01/10,17362
2018/01/11,17352
2018/01/12,15664
2018/01/13,12862
2018/01/14,21497
2018/01/15,18655
2018/01/16,16274
2018/01/17,12670
2018/01/18,12237
2018/01/19,10585
2018/01/20,9521
2018/01/21,8532
2018/01/22,8897
2018/01/23,9063
2018/01/24,9412
2018/01/25,7505
2018/01/26,8938
2018/01/27,8761
2018/01/28,9507
2018/01/29,9719
2018/01/30,10351
2018/01/31,10405
2018/02/01,9785
2018/02/02,10041
2018/02/03,8705
2018/02/04,7084
2018/02/05,6340
2018/02/06,6501
2018/02/07,6771
2018/02/08,5609
2018/02/09,5316
2018/02/10,5508
2018/02/11,5018
2018/02/12,4822
2018/02/13,5978
2018/02/14,6144
2018/02/15,6454
2018/02/16,6054
2018/02/17,5647
2018/02/18,5310
2018/02/19,4820
2018/02/20,4701
2018/02/21,4537
2018/02/22,5364
2018/02/23,4626
2018/02/24,3922
2018/02/25,2870
2018/02/26,2763
2018/02/27,2324
2018/02/28,2084
2018/03/01,2039
2018/03/02,1940
2018/03/03,1630
2018/03/04,1462
2018/03/05,1606
2018/03/06,1988
2018/03/07,2059
2018/03/08,1943
2018/03/09,1890
2018/03/10,1640
2018/03/11,1415
2018/03/12,1442
2018/03/13,2093
2018/03/14,2119
2018/03/15,1952
2018/03/16,1541
2018/03/17,1329
2018/03/18,1687
2018/03/19,1807
2018/03/20,1737
2018/03/21,1549
2018/03/22,1432
2018/03/23,1482
2018/03/24,1276
2018/03/25,1104
2018/03/26,1283
2018/03/27,1671
2018/03/28,1877
2018/03/29,1884
2018/03/30,1637
2018/03/31,1294
2018/04/01,1026
2018/04/02,933.522
2018/04/03,978.892
2018/04/04,991.686
2018/04/05,852.897
2018/04/06,777.305
2018/04/07,686.723
2018/04/08,751.808
2018/04/09,898.623
2018/04/10,929.549
2018/04/11,982.081
2018/04/12,1227
2018/04/13,1431
2018/04/14,1156
2018/04/15,1013
2018/04/16,998.945
2018/04/17,1022
2018/04/18,1153
2018/04/19,1199
2018/04/20,1382
2018/04/21,1401
2018/04/22,1238
2018/04/23,1811
2018/04/24,2144
2018/04/25,2193
2018/04/26,1867
2018/04/27,1793
2018/04/28,1664
2018/04/29,1579
2018/04/30,1646
2018/05/01,1708
2018/05/02,2025
2018/05/03,2312
2018/05/04,2233
2018/05/05,1984
2018/05/06,1807
2018/05/07,2272
2018/05/08,2186
2018/05/09,2102
2018/05/10,1933
2018/05/11,1894
2018/05/12,1620
2018/05/13,1313
2018/05/14,1567
2018/05/15,1749
2018/05/16,1664
2018/05/17,1507
2018/05/18,1398
2018/05/19,1192
2018/05/20,1142
2018/05/21,1286
2018/05/22,1598
2018/05/23,1866
2018/05/24,1747
2018/05/25,1524
2018/05/26,1227
2018/05/27,1305
2018/05/28,1519
2018/05/29,1565
2018/05/30,1535
2018/05/31,1531
2018/06/01,1714
2018/06/02,1388
2018/06/03,1070
2018/06/04,1207
2018/06/05,1437
2018/06/06,1680
2018/06/07,1707
2018/06/08,1834
2018/06/09,1398
2018/06/10,1288
2018/06/11,1339
2018/06/12,1724
2018/06/13,2159
2018/06/14,2473
2018/06/15,2466
2018/06/16,1849
2018/06/17,1268
2018/06/18,1088
2018/06/19,1192
2018/06/20,1312
2018/06/21,1335
2018/06/22,1434
2018/06/23,1180
2018/06/24,1224
2018/06/25,1255
2018/06/26,1260
2018/06/27,1163
2018/06/28,1090
2018/06/29,1149
2018/06/30,1029
2018/07/01,865.478
2018/07/02,1061
2018/07/03,1312
2018/07/04,1530
2018/07/05,1526
2018/07/06,1575
2018/07/07,1330
2018/07/08,1122
2018/07/09,1153
2018/07/10,1215
2018/07/11,1115
2018/07/12,1032
2018/07/13,978.602
2018/07/14,885.18
2018/07/15,812.819
2018/07/16,960.888
2018/07/17,1123
2018/07/18,1278
2018/07/19,1192
2018/07/20,1187
2018/07/21,984.377
2018/07/22,826.109
2018/07/23,867.287
2018/07/24,964.562
2018/07/25,968.952
2018/07/26,885.825
2018/07/27,825.421
2018/07/28,667.397
2018/07/29,560.128
2018/07/30,727.972
2018/07/31,1240
2018/08/01,1140
2018/08/02,989.344
2018/08/03,786.47
2018/08/04,657.407
2018/08/05,561.428
2018/08/06,622.149
2018/08/07,762.708
2018/08/08,1080
2018/08/09,1130
2018/08/10,1113
2018/08/11,935.824
2018/08/12,699.269
2018/08/13,858.37
2018/08/14,1056
2018/08/15,1102
2018/08/16,856.598
2018/08/17,841.375
2018/08/18,680.041
2018/08/19,527.779
2018/08/20,539.274
2018/08/21,615.736
2018/08/22,742.689
2018/08/23,721.018
2018/08/24,692.343
2018/08/25,594.572
2018/08/26,519.311
2018/08/27,589.313
2018/08/28,650.083
2018/08/29,761.43
2018/08/30,733.752
2018/08/31,733.403
2018/09/01,617.158
2018/09/02,512.827
2018/09/03,644.104
2018/09/04,1062
2018/09/05,1138
2018/09/06,1172
2018/09/07,1056
2018/09/08,936.712
2018/09/09,820.694
2018/09/10,823.388
