Date,mediantransactionvalue3momUSD
2016/12/14,-4.818
2016/12/15,-3.946
2016/12/16,0.09
2016/12/17,4.269
2016/12/18,3.44
2016/12/19,-0.617
2016/12/20,-2.408
2016/12/21,-4.379
2016/12/22,-2.286
2016/12/23,1.934
2016/12/24,3.793
2016/12/25,5.551
2016/12/26,0.065
2016/12/27,-2.297
2016/12/28,-2.441
2016/12/29,0.87
2016/12/30,-0.441
2016/12/31,3.243
2017/01/01,0.152
2017/01/02,3.683
2017/01/03,-2.224
2017/01/04,2.208
2017/01/05,2.298
2017/01/06,4.245
2017/01/07,-0.663
2017/01/08,-0.496
2017/01/09,0.409
2017/01/10,-3.542
2017/01/11,0.053
2017/01/12,-5.675
2017/01/13,-3.052
2017/01/14,-0.981
2017/01/15,0.068
2017/01/16,6.415
2017/01/17,-2.734
2017/01/18,5.351
2017/01/19,0.631
2017/01/20,4.161
2017/01/21,0.536
2017/01/22,-4.956
2017/01/23,-3.389
2017/01/24,-7.147
2017/01/25,-0.087
2017/01/26,-1.851
2017/01/27,2.085
2017/01/28,-0.006
2017/01/29,3.892
2017/01/30,-0.094
2017/01/31,5.367
2017/02/01,-2.832
2017/02/02,5.067
2017/02/03,0.162
2017/02/04,4.91
2017/02/05,-1.245
2017/02/06,-0.938
2017/02/07,-6.372
2017/02/08,-4.108
2017/02/09,-1.139
2017/02/10,1.938
2017/02/11,1.581
2017/02/12,1.967
2017/02/13,-1.164
2017/02/14,0.612
2017/02/15,-0.174
2017/02/16,7.099
2017/02/17,3.741
2017/02/18,2.277
2017/02/19,-1.258
2017/02/20,-2.449
2017/02/21,-8.7
2017/02/22,-4.868
2017/02/23,3.997
2017/02/24,7.478
2017/02/25,1.077
2017/02/26,0.837
2017/02/27,3.174
2017/02/28,8.018
2017/03/01,2.309
2017/03/02,3.412
2017/03/03,4.073
2017/03/04,3.508
2017/03/05,0.74
2017/03/06,-0.267
2017/03/07,-9.822
2017/03/08,-0.89
2017/03/09,-10.242
2017/03/10,8.586
2017/03/11,1.842
2017/03/12,13.041
2017/03/13,9.055
2017/03/14,8.617
2017/03/15,7.921
2017/03/16,13.2
2017/03/17,17.893
2017/03/18,8.953
2017/03/19,-0.997
2017/03/20,-2.839
2017/03/21,0.922
2017/03/22,1.833
2017/03/23,-18.04
2017/03/24,6.183
2017/03/25,9.311
2017/03/26,3.892
2017/03/27,-32.282
2017/03/28,-23.896
2017/03/29,-6.714
2017/03/30,18.595
2017/03/31,11.843
2017/04/01,2.611
2017/04/02,17.231
2017/04/03,7.133
2017/04/04,17.896
2017/04/05,-7.27
2017/04/06,-1.44
2017/04/07,-32.827
2017/04/08,-19.228
2017/04/09,-27.795
2017/04/10,16.829
2017/04/11,-1.873
2017/04/12,5.479
2017/04/13,-2.458
2017/04/14,-0.568
2017/04/15,-2.651
2017/04/16,-10.055
2017/04/17,3.542
2017/04/18,5.498
2017/04/19,10.627
2017/04/20,-8.069
2017/04/21,-9.741
2017/04/22,-1.138
2017/04/23,4.672
2017/04/24,20.099
2017/04/25,-11.762
2017/04/26,0.142
2017/04/27,-17.433
2017/04/28,16.2
2017/04/29,13.849
2017/04/30,21.702
2017/05/01,11.079
2017/05/02,3.604
2017/05/03,-0.671
2017/05/04,8.426
2017/05/05,53.585
2017/05/06,25.77
2017/05/07,28.731
2017/05/08,-3.75
2017/05/09,19.125
2017/05/10,-21.139
2017/05/11,-54.164
2017/05/12,-36.422
2017/05/13,-23.221
2017/05/14,4.506
2017/05/15,-23.03
2017/05/16,19.759
2017/05/17,46.509
2017/05/18,7.987
2017/05/19,23.895
2017/05/20,-52.969
2017/05/21,6.471
2017/05/22,11.929
2017/05/23,30.976
2017/05/24,54.453
2017/05/25,9.209
2017/05/26,21.873
2017/05/27,-18.153
2017/05/28,-62.083
2017/05/29,-27.674
