Date,hashrate7var
2016/12/04,2.0627164980623E+22
2016/12/05,1.831756899856E+22
2016/12/06,1.8103925409124E+22
2016/12/07,1.3033876789073E+22
2016/12/08,2.0912149292575E+22
2016/12/09,3.3656128709254E+22
2016/12/10,5.8731017760663E+22
2016/12/11,9.2293585215349E+22
2016/12/12,7.7212243296245E+22
2016/12/13,5.0778048514008E+22
2016/12/14,1.9694903511786E+22
2016/12/15,9.5290145073399E+21
2016/12/16,9.4415222449885E+21
2016/12/17,1.4301732117304E+22
2016/12/18,3.6100942468096E+22
2016/12/19,3.6891608981304E+22
2016/12/20,5.3003458202032E+22
2016/12/21,4.8417615249541E+22
2016/12/22,2.4184499449089E+22
2016/12/23,5.1809442397569E+22
2016/12/24,1.3734044791151E+23
2016/12/25,1.5335984240503E+23
2016/12/26,1.4170149041341E+23
2016/12/27,1.0479393159383E+23
2016/12/28,5.2878952243146E+22
2016/12/29,1.7926636515303E+22
2016/12/30,1.6591702805396E+22
2016/12/31,6.9396296671069E+21
2017/01/01,6.9158092036363E+21
2017/01/02,1.2147229982255E+21
2017/01/03,1.5425022932544E+21
2017/01/04,5.469601881943E+22
2017/01/05,1.0840026480016E+23
2017/01/06,1.3705455235713E+23
2017/01/07,1.7567735594458E+23
2017/01/08,1.7210261334925E+23
2017/01/09,1.5010971956476E+23
2017/01/10,6.0348397299534E+22
2017/01/11,5.1348304971992E+22
2017/01/12,4.4721190614941E+22
2017/01/13,3.2661784940634E+22
2017/01/14,2.960542106068E+22
2017/01/15,2.6000907120498E+22
2017/01/16,2.7452144577034E+22
2017/01/17,1.8278032554145E+22
2017/01/18,9.8548629736774E+21
2017/01/19,3.0524469243067E+22
2017/01/20,2.8268106908455E+22
2017/01/21,3.2329484553675E+22
2017/01/22,3.9269106847096E+22
2017/01/23,5.0947219163687E+22
2017/01/24,4.0312624489444E+22
2017/01/25,1.2852980946953E+22
2017/01/26,2.294660261159E+22
2017/01/27,1.0537950330127E+22
2017/01/28,8.3518399586818E+21
2017/01/29,7.3030412586747E+21
2017/01/30,9.335270884915E+21
2017/01/31,8.4311653985988E+21
2017/02/01,6.5408277002145E+21
2017/02/02,7.8244554960827E+21
2017/02/03,7.6312689745746E+21
2017/02/04,1.0172700066951E+22
2017/02/05,2.7889756420265E+22
2017/02/06,5.4177541042211E+22
2017/02/07,6.7731724429186E+22
2017/02/08,6.7827701145719E+22
2017/02/09,6.4784035306786E+22
2017/02/10,4.9131105136873E+22
2017/02/11,2.9980963018138E+22
2017/02/12,3.8542127911602E+22
2017/02/13,5.2150994442343E+22
2017/02/14,5.7061122959719E+22
2017/02/15,5.6403015810714E+22
2017/02/16,2.9089511169624E+22
2017/02/17,2.8300226746405E+22
2017/02/18,2.5451851851192E+22
2017/02/19,3.165507432199E+22
2017/02/20,3.6143151703941E+22
2017/02/21,5.6864072413794E+22
2017/02/22,5.1928533773201E+22
2017/02/23,3.093971402112E+22
2017/02/24,1.9408107087698E+22
2017/02/25,2.6773770033996E+22
2017/02/26,8.5491793036879E+22
2017/02/27,1.1760755088798E+23
2017/02/28,2.3192290515247E+23
2017/03/01,2.0753689687178E+23
2017/03/02,1.645816195811E+23
2017/03/03,1.2808833848628E+23
2017/03/04,7.40691397105E+22
2017/03/05,1.1892921740941E+23
2017/03/06,1.2332210555838E+23
2017/03/07,1.4006285864691E+23
2017/03/08,1.3871470758386E+23
2017/03/09,1.0864473655611E+23
2017/03/10,1.0664148131972E+23
2017/03/11,6.944148000733E+22
2017/03/12,7.7420402447495E+22
2017/03/13,1.3903419766627E+23
2017/03/14,9.9476603939058E+22
2017/03/15,1.3851855600833E+23
2017/03/16,1.5964288654341E+23
2017/03/17,2.7831912607929E+23
2017/03/18,3.6471199065132E+23
2017/03/19,2.479899151358E+23
2017/03/20,3.11465992267E+23
2017/03/21,2.0634785772556E+23
2017/03/22,1.6847306029219E+23
2017/03/23,1.809920576889E+23
2017/03/24,2.2049350207073E+23
2017/03/25,2.6274430676072E+23
2017/03/26,2.5109327969797E+23
2017/03/27,5.3030881295888E+23
2017/03/28,4.4024137808934E+23
2017/03/29,4.7534680025482E+23
2017/03/30,4.9976067423671E+23
2017/03/31,4.6144328096021E+23
2017/04/01,2.1287965216488E+23
2017/04/02,1.2189451133104E+23
2017/04/03,1.5845454430449E+23
2017/04/04,1.103400985294E+23
2017/04/05,1.9060728442254E+23
2017/04/06,2.19255235191E+23
2017/04/07,2.8913443790283E+23
2017/04/08,3.4097010395984E+23
2017/04/09,3.1769698324101E+23
2017/04/10,4.9754511886286E+22
2017/04/11,5.1974900676279E+22
2017/04/12,6.4224218479445E+22
2017/04/13,5.0800801155709E+22
2017/04/14,3.3631425017504E+23
2017/04/15,3.9090955707927E+23
2017/04/16,4.0412907659613E+23
2017/04/17,3.8649530003888E+23
2017/04/18,4.9062693026623E+23
2017/04/19,4.1818588018712E+23
2017/04/20,1.2145856078886E+23
2017/04/21,2.2085923344571E+23
2017/04/22,1.8896336866028E+23
2017/04/23,2.3949320961658E+23
2017/04/24,1.7304461697525E+23
2017/04/25,2.5195011392926E+23
2017/04/26,1.7684367533144E+23
2017/04/27,1.267781614892E+23
2017/04/28,4.6215316263341E+23
2017/04/29,8.3942383921061E+23
2017/04/30,9.2834004163149E+23
2017/05/01,6.975909579281E+23
2017/05/02,6.3021657054301E+23
2017/05/03,3.7414403943233E+23
2017/05/04,5.2317359889709E+22
2017/05/05,2.0752807470917E+23
2017/05/06,3.1999705919147E+23
2017/05/07,4.1321543426046E+23
2017/05/08,3.7099187679476E+23
2017/05/09,5.106060769128E+23
2017/05/10,4.9613028824414E+23
2017/05/11,2.911580777328E+23
2017/05/12,5.6176595277881E+23
2017/05/13,4.688119841036E+23
2017/05/14,5.723221294909E+23
2017/05/15,6.4160656288113E+23
2017/05/16,9.5391653814258E+23
2017/05/17,6.5805312412782E+23
2017/05/18,5.1254976090065E+23
2017/05/19,7.7751473169005E+23
2017/05/20,8.8275119319601E+23
2017/05/21,1.3512184374428E+24
2017/05/22,2.2147824705562E+24
2017/05/23,2.2626920356419E+24
2017/05/24,1.3936044911668E+24
2017/05/25,7.1530880498499E+23
2017/05/26,3.4789852321454E+23
2017/05/27,3.2976415322236E+23
2017/05/28,3.4336413054619E+23
2017/05/29,1.2645673416466E+24
2017/05/30,3.2511678352352E+24
2017/05/31,3.631164258523E+24
2017/06/01,4.6980209775576E+24
2017/06/02,3.7779816316206E+24
2017/06/03,3.2541789307913E+24
2017/06/04,1.7849158650325E+24
2017/06/05,1.5799999102461E+24
2017/06/06,2.2157213678039E+24
2017/06/07,2.6913639902469E+24
2017/06/08,3.54860762142E+24
2017/06/09,2.6523764448663E+24
2017/06/10,3.0414352148525E+24
2017/06/11,3.6042749961414E+24
2017/06/12,3.3557026639186E+24
2017/06/13,3.3724413260796E+24
2017/06/14,4.2084544094459E+24
2017/06/15,4.5326592148972E+24
2017/06/16,3.5224560867627E+24
2017/06/17,4.3060562348647E+24
2017/06/18,5.1734840160968E+24
2017/06/19,4.4213823875919E+24
2017/06/20,4.2246856898792E+24
2017/06/21,3.7501623790911E+24
2017/06/22,3.0277492672135E+24
2017/06/23,1.6267210078337E+24
2017/06/24,1.3737775477151E+24
2017/06/25,1.3943356461087E+24
2017/06/26,2.3698417589442E+24
2017/06/27,2.7787944932157E+24
2017/06/28,3.7818084477712E+24
2017/06/29,5.3751804611238E+24
2017/06/30,4.675104463955E+24
2017/07/01,4.2594055876102E+24
2017/07/02,3.1776103794737E+24
2017/07/03,4.0225403301073E+24
2017/07/04,4.3118402572829E+24
2017/07/05,3.0866926310797E+24
2017/07/06,2.8775189007757E+24
2017/07/07,2.4686350049498E+24
2017/07/08,1.9847914956537E+24
2017/07/09,1.2818816413837E+24
2017/07/10,1.6782936482236E+24
2017/07/11,1.9409696599082E+24
2017/07/12,9.8721520957268E+23
2017/07/13,5.547386546469E+23
2017/07/14,8.5742856302554E+23
2017/07/15,9.4003565392782E+23
2017/07/16,1.6279423529453E+24
2017/07/17,1.6969413461491E+24
2017/07/18,1.6502627236632E+24
2017/07/19,2.8068445401031E+24
2017/07/20,5.6128247746302E+24
2017/07/21,5.4630006646064E+24
2017/07/22,5.7518085731258E+24
2017/07/23,8.4021279924134E+24
2017/07/24,4.4778167908259E+24
2017/07/25,3.2805635760921E+24
2017/07/26,2.8225542216352E+24
2017/07/27,2.6130635619111E+24
2017/07/28,2.6589033487429E+24
2017/07/29,1.5095779403273E+24
2017/07/30,2.4422281307204E+24
2017/07/31,2.6426830257523E+24
2017/08/01,3.7630464376597E+24
2017/08/02,3.6565708407538E+24
2017/08/03,2.8826540210737E+24
2017/08/04,2.7198975040996E+24
2017/08/05,1.7318404744069E+24
2017/08/06,1.7474639673413E+24
2017/08/07,2.5706704619327E+24
2017/08/08,4.0772184522861E+24
2017/08/09,6.8347658785141E+24
2017/08/10,4.3503841791185E+24
2017/08/11,4.3715199676497E+24
2017/08/12,4.4199137242832E+24
2017/08/13,3.5014078108913E+24
