Date,transactionfees7rocUSD
2017/02/27,20.549
2017/02/28,12.343
2017/03/01,14.266
2017/03/02,20.674
2017/03/03,42.972
2017/03/04,25.696
2017/03/05,37.251
2017/03/06,12.71
2017/03/07,0.923
2017/03/08,-10.731
2017/03/09,-4.568
2017/03/10,8.87
2017/03/11,4.248
2017/03/12,13.12
2017/03/13,79.565
2017/03/14,105.845
2017/03/15,83.494
2017/03/16,134.243
2017/03/17,147.302
2017/03/18,79.66
2017/03/19,63.903
2017/03/20,21.405
2017/03/21,18.792
2017/03/22,31.796
2017/03/23,-1.466
2017/03/24,0.541
2017/03/25,32.377
2017/03/26,38.634
2017/03/27,34.796
2017/03/28,15.429
2017/03/29,23.426
2017/03/30,26.461
2017/03/31,-2.138
2017/04/01,2.551
2017/04/02,0.67
2017/04/03,-18.022
2017/04/04,-13.169
2017/04/05,-7.79
2017/04/06,-12.611
2017/04/07,-11.047
2017/04/08,-9.602
2017/04/09,-10.157
2017/04/10,6.365
2017/04/11,3.707
2017/04/12,23.684
2017/04/13,4.429
2017/04/14,10.979
2017/04/15,14.926
2017/04/16,13.633
2017/04/17,11.152
2017/04/18,28.804
2017/04/19,3.851
2017/04/20,15.566
2017/04/21,50.348
2017/04/22,34.257
2017/04/23,8.764
2017/04/24,12.903
2017/04/25,-3.315
2017/04/26,-5.925
2017/04/27,17.03
2017/04/28,-11.589
2017/04/29,8.108
2017/04/30,45.39
2017/05/01,63.335
2017/05/02,85.159
2017/05/03,41.745
2017/05/04,41.99
2017/05/05,44.877
2017/05/06,49.715
2017/05/07,53.228
2017/05/08,-3.029
2017/05/09,0.695
2017/05/10,35.137
2017/05/11,18.675
2017/05/12,24.825
2017/05/13,12.172
2017/05/14,0.489
2017/05/15,34.025
2017/05/16,31.683
2017/05/17,62.388
2017/05/18,30.878
2017/05/19,33.954
2017/05/20,63.619
2017/05/21,54.67
2017/05/22,75.122
2017/05/23,113.198
2017/05/24,101.08
2017/05/25,118.288
2017/05/26,79.436
2017/05/27,22.682
2017/05/28,45.737
2017/05/29,27.146
2017/05/30,54.571
2017/05/31,147.043
2017/06/01,23.016
2017/06/02,54.853
2017/06/03,58.204
2017/06/04,62.827
2017/06/05,32.311
2017/06/06,-1.054
2017/06/07,-47.977
2017/06/08,14.477
2017/06/09,-7.226
2017/06/10,4.632
2017/06/11,30.709
2017/06/12,126.403
2017/06/13,19.472
2017/06/14,8.893
2017/06/15,6.607
2017/06/16,17.12
2017/06/17,17.565
2017/06/18,-16.014
2017/06/19,-44.979
2017/06/20,107.905
2017/06/21,261.904
2017/06/22,124.163
2017/06/23,54.197
2017/06/24,131.675
2017/06/25,42.368
2017/06/26,103.422
2017/06/27,-61.884
2017/06/28,-40.631
2017/06/29,-30.681
2017/06/30,-27.044
2017/07/01,-56.967
2017/07/02,-35.627
2017/07/03,-45.47
2017/07/04,15.259
2017/07/05,-51.396
2017/07/06,-42.191
2017/07/07,-24.687
2017/07/08,-0.594
2017/07/09,-18.677
2017/07/10,-50.149
2017/07/11,-47.843
2017/07/12,-40.244
2017/07/13,-15.978
2017/07/14,-29.114
2017/07/15,-34.606
2017/07/16,-37.302
2017/07/17,-0.791
2017/07/18,62.641
2017/07/19,12.322
2017/07/20,-15.447
2017/07/21,36.647
2017/07/22,6.922
2017/07/23,44.915
2017/07/24,36.731
2017/07/25,-1.7
2017/07/26,-0.564
2017/07/27,6.543
2017/07/28,-24.033
2017/07/29,-21.153
2017/07/30,-20.543
2017/07/31,-31.61
2017/08/01,-15.174
2017/08/02,-14.114
2017/08/03,-5.941
2017/08/04,-15.31
2017/08/05,11.419
2017/08/06,20.504
2017/08/07,68.501
2017/08/08,14.125
2017/08/09,26.084
2017/08/10,25.272
2017/08/11,56.603
2017/08/12,48.498
2017/08/13,12.263
2017/08/14,-17.2
2017/08/15,-10.32
2017/08/16,189.63
2017/08/17,75.974
2017/08/18,130.269
2017/08/19,14.416
2017/08/20,2.483
2017/08/21,6.031
2017/08/22,4.032
2017/08/23,-67.563
2017/08/24,-39.968
2017/08/25,-57.641
2017/08/26,-12.054
2017/08/27,3.188
2017/08/28,13.739
2017/08/29,69.799
2017/08/30,53.103
2017/08/31,151.469
2017/09/01,77.465
2017/09/02,107.95
2017/09/03,20.428
2017/09/04,14.729
2017/09/05,-11.167
2017/09/06,25.705
2017/09/07,-26.303
2017/09/08,1.61
2017/09/09,-47.688
2017/09/10,8.937
2017/09/11,-8.343
2017/09/12,-7.101
2017/09/13,-32.218
2017/09/14,-49.719
2017/09/15,-34.68
2017/09/16,30.667
2017/09/17,-13.404
2017/09/18,-0.01
2017/09/19,-15.886
2017/09/20,65.268
2017/09/21,3.798
2017/09/22,-13.708
2017/09/23,-26.807
2017/09/24,37.659
2017/09/25,13.44
2017/09/26,12.307
2017/09/27,-29.974
2017/09/28,20.205
2017/09/29,0.091
2017/09/30,13.351
2017/10/01,-15.197
2017/10/02,-4.133
2017/10/03,-7.444
2017/10/04,-9.459
2017/10/05,13.985
2017/10/06,38.331
2017/10/07,-11.331
2017/10/08,-1.08
2017/10/09,0.073
2017/10/10,4.856
2017/10/11,123.271
2017/10/12,-9.152
2017/10/13,-0.497
2017/10/14,21.83
2017/10/15,3.937
2017/10/16,-19.789
2017/10/17,-42.106
2017/10/18,-76.43
2017/10/19,-49.902
2017/10/20,-32.614
2017/10/21,-63.84
2017/10/22,-65.858
2017/10/23,-41.383
2017/10/24,6.223
2017/10/25,-3.601
2017/10/26,-1.591
