Date,size90wma
2017/04/02,2126
2017/04/03,2145
2017/04/04,2158
2017/04/05,2171
2017/04/06,2190
2017/04/07,2207
2017/04/08,2213
2017/04/09,2221
2017/04/10,2231
2017/04/11,2239
2017/04/12,2254
2017/04/13,2266
2017/04/14,2275
2017/04/15,2282
2017/04/16,2285
2017/04/17,2291
2017/04/18,2302
2017/04/19,2315
2017/04/20,2326
2017/04/21,2338
2017/04/22,2345
2017/04/23,2351
2017/04/24,2360
2017/04/25,2374
2017/04/26,2387
2017/04/27,2407
2017/04/28,2428
2017/04/29,2441
2017/04/30,2460
2017/05/01,2489
2017/05/02,2515
2017/05/03,2531
2017/05/04,2554
2017/05/05,2573
2017/05/06,2586
2017/05/07,2608
2017/05/08,2631
2017/05/09,2652
2017/05/10,2670
2017/05/11,2691
2017/05/12,2707
2017/05/13,2720
2017/05/14,2735
2017/05/15,2764
2017/05/16,2789
2017/05/17,2828
2017/05/18,2865
2017/05/19,2914
2017/05/20,2948
2017/05/21,2991
2017/05/22,3049
2017/05/23,3135
2017/05/24,3220
2017/05/25,3289
2017/05/26,3348
2017/05/27,3396
2017/05/28,3450
2017/05/29,3492
2017/05/30,3581
2017/05/31,3663
2017/06/01,3738
2017/06/02,3834
2017/06/03,3909
2017/06/04,3978
2017/06/05,4046
2017/06/06,4133
2017/06/07,4220
2017/06/08,4295
2017/06/09,4381
2017/06/10,4446
2017/06/11,4555
2017/06/12,4680
2017/06/13,4790
2017/06/14,4879
2017/06/15,4972
2017/06/16,5060
2017/06/17,5145
2017/06/18,5229
2017/06/19,5333
2017/06/20,5443
2017/06/21,5484
2017/06/22,5578
2017/06/23,5681
2017/06/24,5778
2017/06/25,5874
2017/06/26,5981
2017/06/27,6050
2017/06/28,6165
2017/06/29,6265
2017/06/30,6350
2017/07/01,6417
2017/07/02,6492
2017/07/03,6602
2017/07/04,6710
2017/07/05,6815
2017/07/06,6890
2017/07/07,6983
2017/07/08,7056
2017/07/09,7086
2017/07/10,7194
2017/07/11,7298
2017/07/12,7405
2017/07/13,7509
2017/07/14,7597
2017/07/15,7655
2017/07/16,7721
2017/07/17,7799
2017/07/18,7908
2017/07/19,7992
2017/07/20,8055
2017/07/21,8100
2017/07/22,8129
2017/07/23,8185
2017/07/24,8267
2017/07/25,8330
2017/07/26,8362
2017/07/27,8390
2017/07/28,8438
2017/07/29,8444
2017/07/30,8453
2017/07/31,8498
2017/08/01,8546
2017/08/02,8590
2017/08/03,8637
2017/08/04,8703
2017/08/05,8764
2017/08/06,8825
2017/08/07,8915
2017/08/08,9034
2017/08/09,9109
2017/08/10,9230
2017/08/11,9367
2017/08/12,9484
2017/08/13,9584
2017/08/14,9741
2017/08/15,9911
2017/08/16,10099
2017/08/17,10283
2017/08/18,10465
2017/08/19,10621
2017/08/20,10697
2017/08/21,10823
2017/08/22,10927
2017/08/23,11031
2017/08/24,11121
2017/08/25,11252
2017/08/26,11355
2017/08/27,11463
2017/08/28,11631
2017/08/29,11811
2017/08/30,11996
2017/08/31,12148
2017/09/01,12319
2017/09/02,12420
2017/09/03,12486
2017/09/04,12680
2017/09/05,12869
2017/09/06,13119
2017/09/07,13333
2017/09/08,13540
2017/09/09,13660
2017/09/10,13723
2017/09/11,13831
2017/09/12,13965
2017/09/13,14072
2017/09/14,14185
2017/09/15,14340
2017/09/16,14434
2017/09/17,14475
2017/09/18,14585
2017/09/19,14672
2017/09/20,14744
2017/09/21,14816
2017/09/22,14905
2017/09/23,14970
2017/09/24,15078
2017/09/25,15219
2017/09/26,15334
2017/09/27,15455
2017/09/28,15610
2017/09/29,15783
2017/09/30,15964
2017/10/01,16137
2017/10/02,16292
2017/10/03,16440
2017/10/04,16574
2017/10/05,16703
2017/10/06,16860
2017/10/07,16969
2017/10/08,17064
2017/10/09,17168
2017/10/10,17309
2017/10/11,17417
2017/10/12,17546
2017/10/13,17688
2017/10/14,17786
2017/10/15,17860
2017/10/16,17872
2017/10/17,17841
2017/10/18,17780
2017/10/19,17716
2017/10/20,17702
2017/10/21,17613
2017/10/22,17501
2017/10/23,17430
2017/10/24,17383
2017/10/25,17344
2017/10/26,17304
2017/10/27,16947
2017/10/28,16591
2017/10/29,16237
2017/10/30,15886
2017/10/31,15537
2017/11/01,15534
2017/11/02,15531
2017/11/03,15530
2017/11/04,15446
2017/11/05,15351
2017/11/06,15302
2017/11/07,15265
2017/11/08,15225
2017/11/09,15179
2017/11/10,15121
2017/11/11,15047
2017/11/12,14986
2017/11/13,14952
2017/11/14,14958
2017/11/15,14969
2017/11/16,14954
2017/11/17,14940
2017/11/18,14912
2017/11/19,14881
2017/11/20,14897
2017/11/21,14902
2017/11/22,14902
2017/11/23,14903
2017/11/24,14883
2017/11/25,14887
2017/11/26,14889
2017/11/27,15025
2017/11/28,15089
2017/11/29,15144
2017/11/30,15188
2017/12/01,15235
2017/12/02,15276
2017/12/03,15346
2017/12/04,15426
2017/12/05,15506
2017/12/06,15618
