Date,difficulty30mom
2016/11/04,-23640725377186
2016/11/05,-30816332740865
2016/11/06,-18261019488509
2016/11/07,-17611845543106
2016/11/08,-17686208200541
2016/11/09,-17925989944673
2016/11/10,-27154300504289
2016/11/11,-23574467888581
2016/11/12,-21732567877957
2016/11/13,-27340074746678
2016/11/14,-27345024813268
2016/11/15,-25558304300203
2016/11/16,-24214433084965
2016/11/17,-26401160483939
2016/11/18,-25919931813128
2016/11/19,-20875503290767
2016/11/20,-23820451980914
2016/11/21,-19344011737478
2016/11/22,-21262810596666
2016/11/23,-26101998836810
2016/11/24,-36557622007548
2016/11/25,-38797042133933
2016/11/26,-35641648500576
2016/11/27,-36211112719562
2016/11/28,-17386773970911
2016/11/29,-7359596334381
2016/11/30,-12380028018449
2016/12/01,-3040788769221
2016/12/02,6546416971409
2016/12/03,12738205573949
2016/12/04,18512739291417
2016/12/05,20595783911011
2016/12/06,19560483966844
2016/12/07,15043827420628
2016/12/08,9104904956227
2016/12/09,10779691663577
2016/12/10,18453572519737
2016/12/11,22355890470310
2016/12/12,20412987137912
2016/12/13,17573243043819
2016/12/14,13568545735572
2016/12/15,12923940637988
2016/12/16,16195057519007
2016/12/17,18003643443671
2016/12/18,21321847430261
2016/12/19,16952788582536
2016/12/20,12173109132047
2016/12/21,5661611869555
2016/12/22,7473827814456
2016/12/23,6576604159092
2016/12/24,8816838128852
2016/12/25,12763166355268
2016/12/26,13511202470248
2016/12/27,15423037741337
2016/12/28,11832822660804
2016/12/29,9487762375566
2016/12/30,9712086440986
2016/12/31,10762983513010
2017/01/01,8629827257078
2017/01/02,6337685121147
2017/01/03,4872562928286
2017/01/04,13717376596855
2017/01/05,18888464972522
2017/01/06,18193621310481
2017/01/07,17075993017960
2017/01/08,15253094039119
2017/01/09,16396624836282
2017/01/10,15783910308637
2017/01/11,18217820482379
2017/01/12,17751798443214
2017/01/13,19677706960909
2017/01/14,19983749651807
2017/01/15,19503252446001
2017/01/16,19599808792535
2017/01/17,16056864227196
2017/01/18,13150786533971
2017/01/19,16675204114030
2017/01/20,16745678414987
2017/01/21,19806397903680
2017/01/22,26644819284670
2017/01/23,34181124334312
2017/01/24,31134840818454
2017/01/25,27492814584885
2017/01/26,30706633332396
2017/01/27,33224362692207
2017/01/28,33099187200113
2017/01/29,31680843165970
2017/01/30,29892336867009
2017/01/31,32841343127736
2017/02/01,30965907797383
2017/02/02,33344763936175
2017/02/03,25002845358428
2017/02/04,22569176107731
2017/02/05,26325853121824
2017/02/06,25788210224557
2017/02/07,24874640684263
2017/02/08,22858506758072
2017/02/09,22390869071817
2017/02/10,25325031915677
2017/02/11,24753072742245
2017/02/12,25103966320788
2017/02/13,25005382644884
2017/02/14,26334950377384
2017/02/15,25457347317936
2017/02/16,26177071929574
2017/02/17,31225290920026
2017/02/18,27830802191716
2017/02/19,30361657181305
2017/02/20,28729321995890
2017/02/21,31433101240723
2017/02/22,29418803520636
2017/02/23,29886642182165
2017/02/24,30223010566001
2017/02/25,31267966092576
2017/02/26,34696391815096
2017/02/27,39165883844886
2017/02/28,43854068947376
2017/03/01,41644284458298
2017/03/02,40013781909102
2017/03/03,48661733311652
2017/03/04,44806632991034
2017/03/05,51635999046607
2017/03/06,53699774012303
2017/03/07,47770264560514
2017/03/08,51314799541554
2017/03/09,54485327567296
2017/03/10,52705578827117
2017/03/11,54038335255373
2017/03/12,53324019416963
2017/03/13,55505364534720
2017/03/14,53385180608647
2017/03/15,56609139166164
2017/03/16,55878239522347
2017/03/17,63218969522288
2017/03/18,67606724821359
2017/03/19,57589181800025
2017/03/20,64394074164058
2017/03/21,62412410943646
2017/03/22,64545195327949
2017/03/23,70635613528927
2017/03/24,70471660856636
2017/03/25,71433535226786
2017/03/26,80930707686154
2017/03/27,88735401197211
2017/03/28,82145532049738
2017/03/29,82216809277263
2017/03/30,82451177299515
2017/03/31,87529139890738
2017/04/01,86297922155436
2017/04/02,81819137175202
2017/04/03,67081517057483
2017/04/04,76631095146898
2017/04/05,79914707860737
2017/04/06,82686541335917
2017/04/07,79026264110928
2017/04/08,78591306104247
2017/04/09,80229079036002
2017/04/10,80822452095813
2017/04/11,83292054411088
2017/04/12,80707480965335
2017/04/13,74961286224979
2017/04/14,87443654306408
2017/04/15,86542989049338
2017/04/16,79771147816208
2017/04/17,77931582272760
2017/04/18,91872967272431
2017/04/19,89342496075455
2017/04/20,84341150402755
2017/04/21,89190520021023
2017/04/22,86231968530262
2017/04/23,87451593039229
2017/04/24,84006770485121
2017/04/25,77133144435596
2017/04/26,77273569876489
2017/04/27,84146995752360
2017/04/28,95652737446244
2017/04/29,1.0510994433094E+14
2017/04/30,92444966605913
2017/05/01,97124699218266
2017/05/02,93162572519642
2017/05/03,1.1370162909569E+14
2017/05/04,95832482556895
2017/05/05,1.0350892912211E+14
2017/05/06,1.0064063528477E+14
2017/05/07,1.0401861860776E+14
2017/05/08,1.0134356502601E+14
2017/05/09,1.1239455823872E+14
2017/05/10,107705216641769
2017/05/11,1.0822477053106E+14
2017/05/12,1.1830857744201E+14
2017/05/13,1.2368492989595E+14
2017/05/14,1.3320308077600E+14
2017/05/15,1.4165027420046E+14
2017/05/16,1.4449828642005E+14
2017/05/17,1.3257180914269E+14
2017/05/18,1.3170826707239E+14
2017/05/19,1.428990739296E+14
2017/05/20,1.5574221655220E+14
2017/05/21,1.6050410131351E+14
2017/05/22,1.6599125224400E+14
2017/05/23,1.5026563636893E+14
2017/05/24,1.637665105676E+14
2017/05/25,1.5940337237563E+14
2017/05/26,1.4761145092215E+14
2017/05/27,1.5957210224682E+14
2017/05/28,1.4054442617806E+14
2017/05/29,1.4562066060564E+14
2017/05/30,1.8063280166189E+14
2017/05/31,1.8355073112094E+14
2017/06/01,2.2580120549177E+14
2017/06/02,2.3502648063644E+14
2017/06/03,2.3933001253615E+14
2017/06/04,2.4789000856686E+14
2017/06/05,2.503963121203E+14
2017/06/06,2.6150349743837E+14
2017/06/07,2.7870572955428E+14
2017/06/08,275085120240995
2017/06/09,2.7630969341932E+14
2017/06/10,2.9297149817718E+14
2017/06/11,3.0360672374117E+14
2017/06/12,2.9784036962658E+14
2017/06/13,2.8983876455152E+14
2017/06/14,2.9914179902841E+14
2017/06/15,3.111708655078E+14
2017/06/16,3.290208181514E+14
2017/06/17,3.4708122805545E+14
2017/06/18,3.3827262291656E+14
2017/06/19,3.3575169920663E+14
2017/06/20,3.9585771488845E+14
2017/06/21,4.1120616222735E+14
2017/06/22,4.2370244303618E+14
2017/06/23,4.2255438931039E+14
2017/06/24,4.3096853311134E+14
2017/06/25,4.4811130106699E+14
2017/06/26,4.5058548134934E+14
2017/06/27,4.6118209089546E+14
2017/06/28,4.6234825706565E+14
2017/06/29,4.4953248690226E+14
2017/06/30,4.5228521013627E+14
2017/07/01,4.3163529181237E+14
2017/07/02,427702553658399
2017/07/03,4.3719084580742E+14
2017/07/04,4.2957570519247E+14
2017/07/05,4.2329975535268E+14
2017/07/06,4.2212007495598E+14
2017/07/07,4.0565202139876E+14
2017/07/08,4.1530811364131E+14
2017/07/09,4.3111920013480E+14
2017/07/10,5.36501724038E+14
2017/07/11,5.3134544604164E+14
2017/07/12,5.0962705995496E+14
2017/07/13,5.1332726586911E+14
2017/07/14,4.6936617021442E+14
2017/07/15,4.7969451765406E+14
2017/07/16,5.0665718207736E+14
2017/07/17,4.429645702657E+14
2017/07/18,4.4397470668437E+14
2017/07/19,4.5853293717088E+14
2017/07/20,4.2423349369683E+14
2017/07/21,430662138705626
2017/07/22,4.0584058959802E+14
2017/07/23,4.3349542676778E+14
2017/07/24,4.1382853757385E+14
2017/07/25,4.2372680694543E+14
2017/07/26,4.0760454136958E+14
2017/07/27,3.9136139014522E+14
2017/07/28,3.8230656163707E+14
2017/07/29,369429297653752
2017/07/30,3.8789248145997E+14
2017/07/31,4.3391481171947E+14
2017/08/01,6.0452162101729E+14
2017/08/02,5.9358292813255E+14
2017/08/03,528621098534909
2017/08/04,5.6771188034859E+14
2017/08/05,5.4847214339572E+14
2017/08/06,5.607458989411E+14
2017/08/07,5.6400460854787E+14
2017/08/08,5.6514874751828E+14
2017/08/09,4.6259987157382E+14
2017/08/10,4.359239237827E+14
2017/08/11,4.5419297252837E+14
2017/08/12,4.8458252769992E+14
2017/08/13,508295424511873
2017/08/14,5.2091004775681E+14
2017/08/15,4.9056664693529E+14
2017/08/16,5.0903671566448E+14
2017/08/17,5.2452793856958E+14
