Date,transactionvalue3trxUSD
2017/07/28,5.749
2017/07/29,5.704
2017/07/30,-0.204
2017/07/31,-8.485
2017/08/01,-11.005
2017/08/02,-11.529
2017/08/03,-11.958
2017/08/04,-11.654
2017/08/05,-8.435
2017/08/06,-4.805
2017/08/07,-1.149
2017/08/08,1.421
2017/08/09,5.494
2017/08/10,18.625
2017/08/11,41.724
2017/08/12,25.214
2017/08/13,14.555
2017/08/14,3.229
2017/08/15,-4.724
2017/08/16,-9.742
2017/08/17,-11.729
2017/08/18,-11.67
2017/08/19,-11.477
2017/08/20,-9.969
2017/08/21,-7.299
2017/08/22,-5.225
2017/08/23,-2.009
2017/08/24,-0.251
2017/08/25,-0.836
2017/08/26,-6.076
2017/08/27,9.52
2017/08/28,24.621
2017/08/29,16.96
2017/08/30,21.538
2017/08/31,8.004
2017/09/01,-0.433
2017/09/02,-4.596
2017/09/03,-7.593
2017/09/04,-8.91
2017/09/05,-9.295
2017/09/06,-8.441
2017/09/07,-9.076
2017/09/08,-8.252
2017/09/09,0.357
2017/09/10,5.716
2017/09/11,3.436
2017/09/12,0.266
2017/09/13,-5.441
2017/09/14,-5.597
2017/09/15,-4.787
2017/09/16,-6.792
2017/09/17,-3.294
2017/09/18,5.388
2017/09/19,6.623
2017/09/20,0.578
2017/09/21,-3.603
2017/09/22,-5.203
2017/09/23,-5.485
2017/09/24,-6.53
2017/09/25,-4.845
2017/09/26,-2.529
2017/09/27,-0.105
2017/09/28,1.462
2017/09/29,-0.441
2017/09/30,-3.021
2017/10/01,-6.923
2017/10/02,-5.094
2017/10/03,20.998
2017/10/04,19.877
2017/10/05,6.801
2017/10/06,-0.313
2017/10/07,-4.33
2017/10/08,-4.536
2017/10/09,-2.901
2017/10/10,-1.439
2017/10/11,-1.684
2017/10/12,-1.104
2017/10/13,3.252
2017/10/14,3.149
2017/10/15,0.876
2017/10/16,-4.542
2017/10/17,-6.154
2017/10/18,-2.633
2017/10/19,-2.127
2017/10/20,-4.08
2017/10/21,-4.512
2017/10/22,-4.725
2017/10/23,-1.737
2017/10/24,0.383
2017/10/25,-0.801
2017/10/26,-2.317
2017/10/27,-13.879
2017/10/28,-22.228
2017/10/29,-27.773
2017/10/30,-31.586
2017/10/31,-34.33
2017/11/01,28.687
2017/11/02,59.728
2017/11/03,39.359
2017/11/04,19.897
2017/11/05,8.414
2017/11/06,2.774
2017/11/07,-1.04
2017/11/08,1.81
2017/11/09,15.353
2017/11/10,12.51
2017/11/11,8.904
2017/11/12,9.69
2017/11/13,2.987
2017/11/14,-1.779
2017/11/15,-0.04
2017/11/16,1.547
2017/11/17,1.88
2017/11/18,0.61
2017/11/19,0.22
2017/11/20,2.386
2017/11/21,3.38
2017/11/22,2.943
2017/11/23,3.133
2017/11/24,2.07
2017/11/25,3.591
2017/11/26,3.844
2017/11/27,5.595
2017/11/28,8.133
2017/11/29,9.619
2017/11/30,6.487
2017/12/01,2.239
2017/12/02,0.891
2017/12/03,-1.286
2017/12/04,-2.894
2017/12/05,-8.966
2017/12/06,-11.32
2017/12/07,-12.126
2017/12/08,-13.334
2017/12/09,-14.344
2017/12/10,-14.689
2017/12/11,-14.26
2017/12/12,-3.089
2017/12/13,4.274
2017/12/14,9.186
2017/12/15,6.318
2017/12/16,1.513
2017/12/17,-0.832
2017/12/18,-1.857
2017/12/19,1.595
2017/12/20,7.231
2017/12/21,7.908
2017/12/22,4.794
2017/12/23,0.432
2017/12/24,-3.434
2017/12/25,-5.857
2017/12/26,-3.039
2017/12/27,0.003
2017/12/28,3.314
2017/12/29,5.273
2017/12/30,5.482
2017/12/31,-0.003
2018/01/01,-3.422
2018/01/02,0.52
2018/01/03,2.999
2018/01/04,9.613
2018/01/05,11.248
2018/01/06,7.494
2018/01/07,3.241
2018/01/08,3.786
2018/01/09,5.285
2018/01/10,9.027
2018/01/11,6.693
2018/01/12,1.927
2018/01/13,-3.131
2018/01/14,11.32
2018/01/15,3.988
2018/01/16,-1.477
2018/01/17,-5.098
2018/01/18,-6.373
2018/01/19,-8.41
2018/01/20,-9.235
2018/01/21,-9.565
2018/01/22,-7.279
2018/01/23,-5.11
2018/01/24,-2.825
2018/01/25,-6.431
2018/01/26,-1.291
2018/01/27,-0.781
2018/01/28,0.952
2018/01/29,2.307
2018/01/30,3.359
2018/01/31,2.852
2018/02/01,0.548
2018/02/02,0.954
2018/02/03,-2.722
2018/02/04,-6.888
2018/02/05,-7.832
2018/02/06,-6.494
2018/02/07,-4.597
2018/02/08,-7.195
2018/02/09,-6.77
2018/02/10,-4.358
2018/02/11,-5.656
