Date,hashrate7wma
2017/01/30,8249446651643
2017/01/31,8276368772919
2017/02/01,8267313168838
2017/02/02,8300891176907
2017/02/03,8298959123047
2017/02/04,8335172850026
2017/02/05,8452759835311
2017/02/06,8572029772223
2017/02/07,8669787748309
2017/02/08,8778107175909
2017/02/09,8850009114198
2017/02/10,8970734479289
2017/02/11,9071912356990
2017/02/12,9172285164359
2017/02/13,9283126971254
2017/02/14,9398243662091
2017/02/15,9495671954152
2017/02/16,9559275849112
2017/02/17,9643256086177
2017/02/18,9730171360806
2017/02/19,9835785490473
2017/02/20,9927448742689
2017/02/21,10054828646724
2017/02/22,10125741306735
2017/02/23,10184012154769
2017/02/24,10232864044690
2017/02/25,10342370452444
2017/02/26,10533250558687
2017/02/27,10699720457511
2017/02/28,10956982196247
2017/03/01,11073654506401
2017/03/02,11200178326631
2017/03/03,11391507366318
2017/03/04,11492501106967
2017/03/05,11688753074570
2017/03/06,11852556675913
2017/03/07,11957498425163
2017/03/08,12152774061996
2017/03/09,12305847456877
2017/03/10,12422676629637
2017/03/11,12571800835367
2017/03/12,12687208555797
2017/03/13,12907279268253
2017/03/14,13037696126092
2017/03/15,13221827639731
2017/03/16,13408584855518
2017/03/17,13734341675473
2017/03/18,14036608889822
2017/03/19,14078036258369
2017/03/20,14320792167901
2017/03/21,14437288698174
2017/03/22,14594504121426
2017/03/23,14834554911462
2017/03/24,14993330318162
2017/03/25,15149129550836
2017/03/26,15474463007294
2017/03/27,15884750740520
2017/03/28,16114211258241
2017/03/29,16446518100916
2017/03/30,16709745845783
2017/03/31,17024999951265
2017/04/01,17182624224987
2017/04/02,17266965884590
2017/04/03,17122737728413
2017/04/04,17247485162588
2017/04/05,17457339347149
2017/04/06,17601251201430
2017/04/07,17788630516215
2017/04/08,17977040098089
2017/04/09,18045362083420
2017/04/10,18105556654094
2017/04/11,18261379108810
2017/04/12,18350777763843
2017/04/13,18334524208270
2017/04/14,18718543781365
2017/04/15,18901475879493
2017/04/16,19135579650393
2017/04/17,19386643302080
2017/04/18,19675234266233
2017/04/19,19850780696002
2017/04/20,20024419620183
2017/04/21,20252547196144
2017/04/22,20470073753632
2017/04/23,20751115541044
2017/04/24,20787944572395
2017/04/25,21024969982499
2017/04/26,21144317428175
2017/04/27,21300873585091
2017/04/28,21744370161089
2017/04/29,22239622271835
2017/04/30,22511218918343
2017/05/01,22793825643803
2017/05/02,22996306937823
2017/05/03,23231210472812
2017/05/04,23296900188638
2017/05/05,23602706891536
2017/05/06,23841928691773
2017/05/07,24158952203425
2017/05/08,24312528983982
2017/05/09,24701334089272
2017/05/10,24942111012591
2017/05/11,25232110716501
2017/05/12,25656904839153
2017/05/13,25841052115678
2017/05/14,26174733868757
2017/05/15,26669052311836
2017/05/16,27148113501499
2017/05/17,27166898304275
2017/05/18,27379264344283
2017/05/19,27791754452166
2017/05/20,28325600845164
2017/05/21,28955523231980
2017/05/22,29676927973996
2017/05/23,29984311049852
2017/05/24,30406304625575
2017/05/25,30716728662222
2017/05/26,30922731720445
2017/05/27,31279310280278
2017/05/28,31493274711876
2017/05/29,32175653083019
2017/05/30,33325238199578
2017/05/31,34020155682128
2017/06/01,35046094381858
2017/06/02,35615329558516
2017/06/03,36277845282452
2017/06/04,36996924922039
2017/06/05,37716192470747
2017/06/06,38381489494794
2017/06/07,39329196892885
2017/06/08,40147353647035
2017/06/09,40784654267403
2017/06/10,41771563316279
2017/06/11,42796072784378
2017/06/12,43568737684500
2017/06/13,44527103203881
2017/06/14,45528807570559
2017/06/15,46527222434211
2017/06/16,47497140299177
2017/06/17,48601032431436
2017/06/18,49705703874079
2017/06/19,50705217502985
2017/06/20,51694186431388
2017/06/21,52550727068237
2017/06/22,53337211797571
2017/06/23,53801092007935
2017/06/24,54426597147464
2017/06/25,55058952387874
2017/06/26,56040138290941
2017/06/27,56788494573516
2017/06/28,57773038412581
2017/06/29,58949702101194
2017/06/30,59910620127089
2017/07/01,60839419038298
2017/07/02,61656314000832
2017/07/03,62709329143439
2017/07/04,63917663205909
2017/07/05,64395495162226
2017/07/06,64987599695964
2017/07/07,65697124985159
2017/07/08,66312330471313
2017/07/09,66894233109235
2017/07/10,67564916536891
2017/07/11,67971860290407
2017/07/12,67879349968410
2017/07/13,67870236553201
2017/07/14,67450914058200
2017/07/15,67676222029196
2017/07/16,68263609549963
2017/07/17,67894868034386
2017/07/18,68038375344600
2017/07/19,68882897980316
2017/07/20,70138832840637
2017/07/21,71122992778699
2017/07/22,71804404410049
2017/07/23,73010175280444
2017/07/24,73501066250153
2017/07/25,74632564951723
2017/07/26,75371559298592
2017/07/27,75598528202244
2017/07/28,76230505557522
2017/07/29,76469493513265
2017/07/30,77191387853596
2017/07/31,78252337648162
2017/08/01,79043355407284
2017/08/02,79414029436311
2017/08/03,78935981541627
2017/08/04,79188386381444
2017/08/05,79165513081946
2017/08/06,79319523879328
2017/08/07,80019495995869
2017/08/08,80906079795708
2017/08/09,82117271556414
2017/08/10,82758066574313
2017/08/11,83456084136743
2017/08/12,84649985056745
2017/08/13,85632906235787
2017/08/14,86830176343851
2017/08/15,88082623575861
2017/08/16,89168776744932
2017/08/17,90351720038968
2017/08/18,91018677661932
2017/08/19,92342539766489
2017/08/20,92838420316718
2017/08/21,93753739404503
2017/08/22,94499336239122
2017/08/23,95639828819921
2017/08/24,96269752591753
2017/08/25,96248139209683
2017/08/26,96267864290113
2017/08/27,96146862839940
2017/08/28,95218185443113
2017/08/29,96066850622314
2017/08/30,96911238819129
2017/08/31,97275288674439
2017/09/01,97868209141031
2017/09/02,98307544082756
2017/09/03,98533888086167
2017/09/04,99043340140708
2017/09/05,99405586642996
2017/09/06,99503690849387
2017/09/07,1.0014753079939E+14
2017/09/08,1.018953284283E+14
2017/09/09,1.0270131739252E+14
2017/09/10,1.0292755284178E+14
2017/09/11,1.0301444177812E+14
2017/09/12,1.044041714913E+14
2017/09/13,1.0439151857023E+14
2017/09/14,1.0474958106915E+14
