Date,mediantransactionvalue90varUSD
2017/04/03,156.957
2017/04/04,164.327
2017/04/05,171.134
2017/04/06,178.567
2017/04/07,178.489
2017/04/08,178.209
2017/04/09,177.639
2017/04/10,177.087
2017/04/11,176.507
2017/04/12,174.652
2017/04/13,172.509
2017/04/14,171.558
2017/04/15,169.409
2017/04/16,168.664
2017/04/17,167.216
2017/04/18,166.666
2017/04/19,166.133
2017/04/20,165.349
2017/04/21,164.717
2017/04/22,162.652
2017/04/23,160.875
2017/04/24,160.368
2017/04/25,158.549
2017/04/26,156.006
2017/04/27,153.63
2017/04/28,151.608
2017/04/29,152.214
2017/04/30,153.046
2017/05/01,155.216
2017/05/02,155.518
2017/05/03,156.94
2017/05/04,162.425
2017/05/05,213.376
2017/05/06,229.005
2017/05/07,256.419
2017/05/08,295.399
2017/05/09,326.486
2017/05/10,331.551
2017/05/11,327.186
2017/05/12,326.248
2017/05/13,322.907
2017/05/14,318.116
2017/05/15,313.23
2017/05/16,315.063
2017/05/17,345.822
2017/05/18,341.731
2017/05/19,360.644
2017/05/20,356.237
2017/05/21,350.928
2017/05/22,376.436
2017/05/23,378.78
2017/05/24,412.766
2017/05/25,449.993
2017/05/26,468.501
2017/05/27,479.111
2017/05/28,473.65
2017/05/29,473.042
2017/05/30,499.031
2017/05/31,880.754
2017/06/01,913.116
2017/06/02,907.882
2017/06/03,916.485
2017/06/04,913.992
2017/06/05,935.692
2017/06/06,952.181
2017/06/07,939.093
2017/06/08,932.379
2017/06/09,926.553
2017/06/10,968.635
2017/06/11,1029
2017/06/12,1377
2017/06/13,1449
2017/06/14,1494
2017/06/15,1572
2017/06/16,1578
2017/06/17,1584
2017/06/18,1587
2017/06/19,1589
2017/06/20,2611
2017/06/21,3435
2017/06/22,3469
2017/06/23,3481
2017/06/24,3482
2017/06/25,3453
2017/06/26,3487
2017/06/27,3468
2017/06/28,3459
2017/06/29,3452
2017/06/30,3434
2017/07/01,3432
2017/07/02,3439
2017/07/03,3446
2017/07/04,3451
2017/07/05,3459
2017/07/06,3435
2017/07/07,3464
2017/07/08,3452
2017/07/09,3453
2017/07/10,3450
2017/07/11,3436
2017/07/12,3435
2017/07/13,3434
2017/07/14,3428
2017/07/15,3408
2017/07/16,3407
2017/07/17,3404
2017/07/18,3398
2017/07/19,3386
2017/07/20,3373
2017/07/21,3371
2017/07/22,3368
2017/07/23,3378
2017/07/24,3365
2017/07/25,3355
2017/07/26,3344
2017/07/27,3341
2017/07/28,3350
2017/07/29,3354
2017/07/30,3368
2017/07/31,3375
2017/08/01,3372
2017/08/02,3374
2017/08/03,3382
2017/08/04,3402
2017/08/05,3414
2017/08/06,3425
2017/08/07,3430
2017/08/08,3441
2017/08/09,3432
2017/08/10,3440
2017/08/11,3441
2017/08/12,3447
2017/08/13,3441
2017/08/14,3462
2017/08/15,3460
2017/08/16,3454
2017/08/17,3461
2017/08/18,3450
2017/08/19,3467
2017/08/20,3472
2017/08/21,3479
2017/08/22,3480
2017/08/23,3474
