Date,activeaddresses30trx
2017/01/06,-0.184
2017/01/07,-0.172
2017/01/08,-0.162
2017/01/09,-0.15
2017/01/10,-0.138
2017/01/11,-0.126
2017/01/12,-0.114
2017/01/13,-0.104
2017/01/14,-0.096
2017/01/15,-0.09
2017/01/16,-0.083
2017/01/17,-0.075
2017/01/18,-0.068
2017/01/19,-0.062
2017/01/20,-0.054
2017/01/21,-0.048
2017/01/22,-0.042
2017/01/23,-0.038
2017/01/24,-0.032
2017/01/25,-0.028
2017/01/26,-0.025
2017/01/27,-0.024
2017/01/28,-0.023
2017/01/29,-0.025
2017/01/30,-0.026
2017/01/31,-0.027
2017/02/01,-0.028
2017/02/02,-0.027
2017/02/03,-0.027
2017/02/04,-0.026
2017/02/05,-0.022
2017/02/06,-0.018
2017/02/07,-0.013
2017/02/08,-0.008
2017/02/09,-0.002
2017/02/10,0.006
2017/02/11,0.012
2017/02/12,0.018
2017/02/13,0.028
2017/02/14,0.042
2017/02/15,0.058
2017/02/16,0.076
2017/02/17,0.093
2017/02/18,0.111
2017/02/19,0.127
2017/02/20,0.143
2017/02/21,0.159
2017/02/22,0.174
2017/02/23,0.188
2017/02/24,0.203
2017/02/25,0.218
2017/02/26,0.232
2017/02/27,0.248
2017/02/28,0.27
2017/03/01,0.298
2017/03/02,0.34
2017/03/03,0.387
2017/03/04,0.433
2017/03/05,0.475
2017/03/06,0.515
2017/03/07,0.551
2017/03/08,0.582
2017/03/09,0.614
2017/03/10,0.644
2017/03/11,0.675
2017/03/12,0.707
2017/03/13,0.755
2017/03/14,0.805
2017/03/15,0.859
2017/03/16,0.936
2017/03/17,1.027
2017/03/18,1.115
2017/03/19,1.192
2017/03/20,1.259
2017/03/21,1.316
2017/03/22,1.362
2017/03/23,1.396
2017/03/24,1.428
2017/03/25,1.454
2017/03/26,1.468
2017/03/27,1.477
2017/03/28,1.48
2017/03/29,1.479
2017/03/30,1.482
2017/03/31,1.495
2017/04/01,1.496
2017/04/02,1.494
2017/04/03,1.497
2017/04/04,1.494
2017/04/05,1.486
2017/04/06,1.481
2017/04/07,1.466
2017/04/08,1.44
2017/04/09,1.404
2017/04/10,1.363
2017/04/11,1.317
2017/04/12,1.271
2017/04/13,1.226
2017/04/14,1.181
2017/04/15,1.135
2017/04/16,1.083
2017/04/17,1.029
2017/04/18,0.98
2017/04/19,0.935
2017/04/20,0.896
2017/04/21,0.856
2017/04/22,0.814
2017/04/23,0.773
2017/04/24,0.736
2017/04/25,0.701
2017/04/26,0.674
2017/04/27,0.66
2017/04/28,0.653
2017/04/29,0.648
2017/04/30,0.646
2017/05/01,0.654
2017/05/02,0.666
2017/05/03,0.677
2017/05/04,0.697
2017/05/05,0.722
2017/05/06,0.743
2017/05/07,0.766
2017/05/08,0.795
2017/05/09,0.826
2017/05/10,0.856
2017/05/11,0.886
2017/05/12,0.911
2017/05/13,0.927
2017/05/14,0.937
2017/05/15,0.949
2017/05/16,0.96
2017/05/17,0.968
2017/05/18,0.982
2017/05/19,1.011
2017/05/20,1.035
2017/05/21,1.06
2017/05/22,1.096
2017/05/23,1.145
2017/05/24,1.201
2017/05/25,1.262
2017/05/26,1.32
2017/05/27,1.366
2017/05/28,1.401
2017/05/29,1.428
2017/05/30,1.453
2017/05/31,1.481
2017/06/01,1.517
2017/06/02,1.547
2017/06/03,1.572
2017/06/04,1.592
2017/06/05,1.611
2017/06/06,1.632
2017/06/07,1.652
2017/06/08,1.666
2017/06/09,1.683
2017/06/10,1.702
2017/06/11,1.729
2017/06/12,1.777
2017/06/13,1.835
2017/06/14,1.891
2017/06/15,1.946
2017/06/16,1.99
2017/06/17,2.023
2017/06/18,2.048
2017/06/19,2.071
2017/06/20,2.091
2017/06/21,2.096
2017/06/22,2.104
2017/06/23,2.112
2017/06/24,2.112
2017/06/25,2.096
2017/06/26,2.093
2017/06/27,2.081
2017/06/28,2.064
2017/06/29,2.04
2017/06/30,2.01
2017/07/01,1.973
2017/07/02,1.93
2017/07/03,1.89
2017/07/04,1.85
2017/07/05,1.808
2017/07/06,1.761
2017/07/07,1.719
2017/07/08,1.67
2017/07/09,1.613
2017/07/10,1.562
2017/07/11,1.514
2017/07/12,1.467
2017/07/13,1.416
2017/07/14,1.363
2017/07/15,1.307
2017/07/16,1.25
2017/07/17,1.193
2017/07/18,1.14
2017/07/19,1.09
2017/07/20,1.042
2017/07/21,0.994
2017/07/22,0.942
2017/07/23,0.895
2017/07/24,0.85
2017/07/25,0.805
2017/07/26,0.76
2017/07/27,0.715
2017/07/28,0.672
2017/07/29,0.627
2017/07/30,0.582
2017/07/31,0.544
2017/08/01,0.506
2017/08/02,0.47
2017/08/03,0.435
2017/08/04,0.404
2017/08/05,0.378
2017/08/06,0.354
2017/08/07,0.335
2017/08/08,0.325
2017/08/09,0.319
2017/08/10,0.321
2017/08/11,0.331
