Date,size90roc
2017/01/21,16.443
2017/01/22,-9.776
2017/01/23,-3.758
2017/01/24,13.184
2017/01/25,8.286
2017/01/26,13.636
2017/01/27,13.438
2017/01/28,14.426
2017/01/29,-0.857
2017/01/30,-6.497
2017/01/31,2.811
2017/02/01,9.303
2017/02/02,25.035
2017/02/03,15.486
2017/02/04,21.027
2017/02/05,15.352
2017/02/06,8.81
2017/02/07,23.124
2017/02/08,18.219
2017/02/09,11.44
2017/02/10,21.689
2017/02/11,8.581
2017/02/12,-0.313
2017/02/13,15.602
2017/02/14,29.193
2017/02/15,23.152
2017/02/16,9.746
2017/02/17,20.772
2017/02/18,20.381
2017/02/19,6.339
2017/02/20,-0.685
2017/02/21,2.017
2017/02/22,25.771
2017/02/23,-5.655
2017/02/24,18.487
2017/02/25,3.392
2017/02/26,-1.055
2017/02/27,7.467
2017/02/28,-12.379
2017/03/01,58.799
2017/03/02,51.17
2017/03/03,48.371
2017/03/04,32.521
2017/03/05,22.113
2017/03/06,11.959
2017/03/07,28.946
2017/03/08,27.125
2017/03/09,60
2017/03/10,53.418
2017/03/11,19.808
2017/03/12,38.312
2017/03/13,59.358
2017/03/14,32.591
2017/03/15,55.275
2017/03/16,103.915
2017/03/17,103.09
2017/03/18,86.762
2017/03/19,48.237
2017/03/20,50.746
2017/03/21,41.698
2017/03/22,34.426
2017/03/23,65.103
2017/03/24,87.892
2017/03/25,84.397
2017/03/26,83.491
2017/03/27,85.873
2017/03/28,66.159
2017/03/29,63.499
2017/03/30,75.786
2017/03/31,90.953
2017/04/01,72.84
2017/04/02,83.014
2017/04/03,71.324
2017/04/04,46.648
2017/04/05,52.638
2017/04/06,75.768
2017/04/07,76.827
2017/04/08,44.386
2017/04/09,47.821
2017/04/10,45.946
2017/04/11,49.341
2017/04/12,58.929
2017/04/13,49.735
2017/04/14,63.464
2017/04/15,56.773
2017/04/16,40.951
2017/04/17,40.604
2017/04/18,64.426
2017/04/19,71.624
2017/04/20,60.486
2017/04/21,78.917
2017/04/22,50.298
2017/04/23,48.422
2017/04/24,45.563
2017/04/25,70.537
2017/04/26,62.796
2017/04/27,86.693
2017/04/28,95.23
2017/04/29,83.431
2017/04/30,94.044
2017/05/01,130.347
2017/05/02,115.324
2017/05/03,91.845
2017/05/04,113.655
2017/05/05,103.195
2017/05/06,81.755
2017/05/07,106.847
2017/05/08,86.583
2017/05/09,91.363
2017/05/10,98.036
2017/05/11,93.144
2017/05/12,97.895
2017/05/13,95.09
2017/05/14,72.222
2017/05/15,100.185
2017/05/16,100.469
2017/05/17,159.169
2017/05/18,155.593
2017/05/19,170.787
2017/05/20,155.589
2017/05/21,170.367
2017/05/22,167.857
2017/05/23,270.11
2017/05/24,299.804
2017/05/25,234.696
2017/05/26,215.743
2017/05/27,199.329
2017/05/28,195.746
2017/05/29,154.336
2017/05/30,216.288
2017/05/31,209.7
2017/06/01,213.896
2017/06/02,305.579
2017/06/03,264.391
2017/06/04,257.173
2017/06/05,227.937
2017/06/06,309.722
2017/06/07,207.392
2017/06/08,216.482
2017/06/09,271.531
2017/06/10,222.678
2017/06/11,253.154
2017/06/12,288.372
2017/06/13,258.6
2017/06/14,158.62
2017/06/15,184.483
2017/06/16,219.77
2017/06/17,232.133
2017/06/18,242.447
2017/06/19,257.236
2017/06/20,290.889
2017/06/21,146.524
2017/06/22,239.906
2017/06/23,275.774
2017/06/24,276.268
2017/06/25,210.04
2017/06/26,275.3
2017/06/27,188.27
2017/06/28,250.728
2017/06/29,220.823
2017/06/30,266.242
2017/07/01,203.716
2017/07/02,204.958
2017/07/03,302.782
2017/07/04,296.149
2017/07/05,260.618
2017/07/06,218.035
2017/07/07,331.789
2017/07/08,276.706
2017/07/09,183.699
2017/07/10,345.409
2017/07/11,288.798
2017/07/12,314.665
2017/07/13,335.588
2017/07/14,327.572
2017/07/15,294.084
2017/07/16,299.436
2017/07/17,277.062
2017/07/18,323.657
2017/07/19,298.306
2017/07/20,248.219
2017/07/21,256.521
2017/07/22,233.947
2017/07/23,263.578
2017/07/24,276.695
2017/07/25,258.604
2017/07/26,171.502
2017/07/27,162.641
2017/07/28,231.479
2017/07/29,143.252
2017/07/30,115.003
2017/07/31,168.493
2017/08/01,213.899
2017/08/02,181.317
2017/08/03,202.664
2017/08/04,258.118
2017/08/05,213.887
2017/08/06,206.924
2017/08/07,251.503
2017/08/08,311.47
2017/08/09,239.307
2017/08/10,330.547
2017/08/11,370.76
2017/08/12,334.386
2017/08/13,239.201
2017/08/14,329.642
2017/08/15,281.02
2017/08/16,308.947
2017/08/17,260.953
2017/08/18,314.841
2017/08/19,256.475
2017/08/20,140.683
2017/08/21,129.059
2017/08/22,113.917
2017/08/23,141.12
2017/08/24,148.167
2017/08/25,207.635
2017/08/26,171.909
2017/08/27,203.621
2017/08/28,151.199
2017/08/29,169.714
2017/08/30,187.844
2017/08/31,131.183
2017/09/01,177.8
2017/09/02,137.441
2017/09/03,115.422
2017/09/04,167.979
2017/09/05,166.718
2017/09/06,226.059
2017/09/07,182.469
2017/09/08,218.195
2017/09/09,98.046
2017/09/10,55.325
2017/09/11,90.351
2017/09/12,127.102
2017/09/13,106.708
2017/09/14,115.174
2017/09/15,142.683
2017/09/16,110.53
2017/09/17,60.217
2017/09/18,89.418
2017/09/19,167.9
2017/09/20,84.408
2017/09/21,76.526
2017/09/22,89.955
2017/09/23,77.637
2017/09/24,88.423
2017/09/25,147.476
2017/09/26,85.174
2017/09/27,99.701
2017/09/28,133.551
2017/09/29,165.736
2017/09/30,158.712
2017/10/01,114.747
2017/10/02,108.681
2017/10/03,107.226
2017/10/04,130.958
2017/10/05,109.217
2017/10/06,143.765
2017/10/07,181.606
2017/10/08,80.895
2017/10/09,87.623
2017/10/10,99.709
2017/10/11,87.767
2017/10/12,110.53
2017/10/13,149.732
2017/10/14,116.284
2017/10/15,93.712
2017/10/16,44.372
2017/10/17,40.165
2017/10/18,39.387
2017/10/19,49.848
2017/10/20,90.873
2017/10/21,29.092
2017/10/22,3.672
2017/10/23,31.339
2017/10/24,65.965
2017/10/25,71.904
2017/10/26,55.732
2017/10/27,-100
2017/10/28,-100
2017/10/29,-100
2017/10/30,-100
2017/10/31,-100
2017/11/01,63.224
2017/11/02,49.741
2017/11/03,52.021
2017/11/04,16.187
2017/11/05,-1.911
2017/11/06,3.898
2017/11/07,25.448
2017/11/08,4.707
2017/11/09,-3.468
2017/11/10,-1.677
2017/11/11,-2.549
2017/11/12,-15.473
2017/11/13,-11.947
2017/11/14,-6.497
2017/11/15,-5.061
2017/11/16,-11.866
2017/11/17,-6.409
2017/11/18,14.061
2017/11/19,-4.139
2017/11/20,16.796
2017/11/21,12.754
2017/11/22,15.819
2017/11/23,1.63
2017/11/24,3.271
2017/11/25,8.358
2017/11/26,-9.338
2017/11/27,20.22
2017/11/28,0.811
2017/11/29,6.325
2017/11/30,-2.044
2017/12/01,18.583
2017/12/02,29.437
2017/12/03,-2.197
2017/12/04,0.185
2017/12/05,-12.401
2017/12/06,0.187
2017/12/07,-14.666
2017/12/08,23.753
2017/12/09,35.502
2017/12/10,24.458
2017/12/11,30.587
2017/12/12,51.224
2017/12/13,51.641
2017/12/14,34.89
2017/12/15,56.789
2017/12/16,83.9
2017/12/17,48.065
2017/12/18,68.311
2017/12/19,96.307
2017/12/20,70.546
2017/12/21,78.063
2017/12/22,83.051
2017/12/23,45.682
2017/12/24,4.812
2017/12/25,17.24
2017/12/26,18.742
2017/12/27,20.342
2017/12/28,20.546
2017/12/29,34.295
2017/12/30,34.732
2017/12/31,18.432
2018/01/01,14.856
2018/01/02,47.878
2018/01/03,59.866
2018/01/04,55.523
2018/01/05,69.997
2018/01/06,70.527
2018/01/07,58.947
2018/01/08,51.607
2018/01/09,64.813
2018/01/10,44.988
2018/01/11,43.271
2018/01/12,53.648
2018/01/13,64.449
2018/01/14,79.96
2018/01/15,120.967
2018/01/16,150.891
2018/01/17,149.852
2018/01/18,107.853
2018/01/19,140.729
2018/01/20,150.416
2018/01/21,108.908
2018/01/22,85.456
2018/01/23,74.808
2018/01/24,70.393
2018/01/25,0
2018/01/26,0
2018/01/27,0
2018/01/28,0
2018/01/29,0
2018/01/30,61.033
2018/01/31,58.273
2018/02/01,66.094
2018/02/02,115.4
2018/02/03,94.085
2018/02/04,64.869
2018/02/05,69.453
2018/02/06,75.345
2018/02/07,64.921
2018/02/08,49.806
2018/02/09,74.463
2018/02/10,67.168
2018/02/11,45.272
2018/02/12,36.626
2018/02/13,24.194
2018/02/14,43.002
2018/02/15,42.509
2018/02/16,41.582
2018/02/17,50.448
2018/02/18,24.508
2018/02/19,34.785
2018/02/20,52.789
2018/02/21,45.411
2018/02/22,43.983
2018/02/23,28.4
2018/02/24,32.089
2018/02/25,-7.305
2018/02/26,14.076
2018/02/27,13.076
2018/02/28,19.569
2018/03/01,13.636
2018/03/02,25.6
2018/03/03,9.56
2018/03/04,5.334
2018/03/05,13.97
2018/03/06,2.118
2018/03/07,27.518
2018/03/08,1.215
2018/03/09,2.427
2018/03/10,-9.598
2018/03/11,-20.98
2018/03/12,-15.385
2018/03/13,-20.101
2018/03/14,-22.815
2018/03/15,-23.392
2018/03/16,-26.098
2018/03/17,-33.08
2018/03/18,-27.692
2018/03/19,-34.394
2018/03/20,-26.936
2018/03/21,-31.736
2018/03/22,-38.753
2018/03/23,-28.06
2018/03/24,-19.105
2018/03/25,-31.023
2018/03/26,-20.471
2018/03/27,-30.339
2018/03/28,-33.438
2018/03/29,-40.736
2018/03/30,-37.106
2018/03/31,-32.011
2018/04/01,-33.847
2018/04/02,-44.057
2018/04/03,-41.252
2018/04/04,-44.551
2018/04/05,-41.658
2018/04/06,-45.587
2018/04/07,-49.367
2018/04/08,-46.98
2018/04/09,-43.609
2018/04/10,-42.629
2018/04/11,-40.904
2018/04/12,-30.698
2018/04/13,-32.395
2018/04/14,-38.11
2018/04/15,-41.367
2018/04/16,-36.621
2018/04/17,-31.23
2018/04/18,-29.115
2018/04/19,-12.62
2018/04/20,-3.75
2018/04/21,-19.129
2018/04/22,-10.787
2018/04/23,-3.343
2018/04/24,4.219
2018/04/25,6.228
2018/04/26,-5.194
2018/04/27,7.436
2018/04/28,1.479
2018/04/29,-2.352
2018/04/30,2.645
2018/05/01,-1.139
2018/05/02,-2.664
2018/05/03,0.584
2018/05/04,22.902
2018/05/05,5.971
2018/05/06,-7.394
2018/05/07,-7.402
2018/05/08,3.864
2018/05/09,21.98
2018/05/10,21.067
2018/05/11,13.548
2018/05/12,13.203
2018/05/13,6.053
2018/05/14,26.904
2018/05/15,13.473
2018/05/16,13.478
2018/05/17,18.821
2018/05/18,12.572
2018/05/19,17.96
2018/05/20,8.931
2018/05/21,4.78
2018/05/22,8.661
2018/05/23,19.395
2018/05/24,22.483
2018/05/25,17.234
2018/05/26,12.089
2018/05/27,8.523
2018/05/28,21.23
2018/05/29,17.316
2018/05/30,23.444
2018/05/31,21.667
2018/06/01,18.692
2018/06/02,18.383
2018/06/03,11.128
2018/06/04,22.218
2018/06/05,13.246
2018/06/06,13.491
2018/06/07,19.68
2018/06/08,29.962
2018/06/09,29.825
2018/06/10,13.348
2018/06/11,16.826
2018/06/12,17.784
2018/06/13,26.886
2018/06/14,23.827
2018/06/15,30.151
2018/06/16,30.478
2018/06/17,-3.267
2018/06/18,10.001
2018/06/19,21.181
2018/06/20,43.083
2018/06/21,24.826
2018/06/22,47.601
2018/06/23,37.435
2018/06/24,17.528
2018/06/25,46.423
2018/06/26,38.056
2018/06/27,40.393
2018/06/28,29.63
2018/06/29,36.383
2018/06/30,38.955
2018/07/01,33.363
2018/07/02,2.872
2018/07/03,18.052
2018/07/04,-2.978
2018/07/05,20.953
2018/07/06,21.414
2018/07/07,14.375
2018/07/08,20.052
2018/07/09,27.188
2018/07/10,26.673
2018/07/11,4.054
