Date,difficulty14rsi
2017/10/30,10.899
2017/10/31,10.899
2017/11/01,51.149
2017/11/02,50.127
2017/11/03,49.725
2017/11/04,49.466
2017/11/05,50.134
2017/11/06,50.015
2017/11/07,49.539
2017/11/08,50.533
2017/11/09,49.687
2017/11/10,49.927
2017/11/11,50.158
2017/11/12,51.622
2017/11/13,50.635
2017/11/14,50.363
2017/11/15,49.492
2017/11/16,48.483
2017/11/17,48.735
2017/11/18,48.174
2017/11/19,48.766
2017/11/20,52.781
2017/11/21,51.887
2017/11/22,51.431
2017/11/23,54.246
2017/11/24,55.747
2017/11/25,56.39
2017/11/26,55.793
2017/11/27,54.634
2017/11/28,52.516
2017/11/29,53.366
2017/11/30,54.868
2017/12/01,55.165
2017/12/02,56.865
2017/12/03,51.419
2017/12/04,53.105
2017/12/05,48.52
2017/12/06,47.768
2017/12/07,48.925
2017/12/08,55.213
2017/12/09,55.239
2017/12/10,54.83
2017/12/11,57.207
2017/12/12,54.904
2017/12/13,59.946
2017/12/14,62.245
2017/12/15,67.516
2017/12/16,69.011
2017/12/17,69.901
2017/12/18,71.675
2017/12/19,64.966
2017/12/20,62.269
2017/12/21,64.266
2017/12/22,62.073
2017/12/23,67.173
2017/12/24,69.203
2017/12/25,71.143
2017/12/26,71.928
2017/12/27,71.627
2017/12/28,74.904
2017/12/29,67.548
2017/12/30,67.851
2017/12/31,71.05
2018/01/01,72.083
2018/01/02,70.282
2018/01/03,66.743
2018/01/04,65.201
2018/01/05,68.515
2018/01/06,62.713
2018/01/07,67.248
2018/01/08,71.276
2018/01/09,71.53
2018/01/10,70.874
2018/01/11,75.527
2018/01/12,76.914
2018/01/13,79.076
2018/01/14,80.438
2018/01/15,81.368
2018/01/16,81.935
2018/01/17,84.245
2018/01/18,84.931
2018/01/19,83.498
2018/01/20,86.878
2018/01/21,87.146
2018/01/22,87.813
2018/01/23,87.937
2018/01/24,89.616
2018/01/25,90.71
2018/01/26,89.275
2018/01/27,85.914
2018/01/28,86.447
2018/01/29,89.127
2018/01/30,89.25
2018/01/31,90.009
2018/02/01,90.902
2018/02/02,91.811
2018/02/03,92.743
2018/02/04,91.452
2018/02/05,91.97
2018/02/06,91.986
2018/02/07,92.914
2018/02/08,89.465
2018/02/09,90.785
2018/02/10,82.236
2018/02/11,86.075
2018/02/12,84.883
2018/02/13,85.727
2018/02/14,82.39
2018/02/15,72.567
2018/02/16,77.326
2018/02/17,74.852
2018/02/18,76.259
2018/02/19,72.368
2018/02/20,66.382
2018/02/21,63.626
2018/02/22,68.246
2018/02/23,66.488
2018/02/24,66.978
2018/02/25,73.902
2018/02/26,65.838
2018/02/27,60.276
2018/02/28,64.837
2018/03/01,67.58
2018/03/02,64.797
2018/03/03,70.544
2018/03/04,65.415
2018/03/05,64.919
2018/03/06,63.164
2018/03/07,67.439
2018/03/08,69.623
2018/03/09,61.302
2018/03/10,61.95
2018/03/11,60.165
2018/03/12,62.882
2018/03/13,61.352
2018/03/14,57.064
2018/03/15,58.965
2018/03/16,66.159
2018/03/17,64.869
2018/03/18,65.116
2018/03/19,66.493
2018/03/20,65.745
2018/03/21,63.09
2018/03/22,58.563
2018/03/23,63.233
2018/03/24,55.703
2018/03/25,59.345
2018/03/26,64.12
2018/03/27,57.865
2018/03/28,56.231
2018/03/29,49.337
2018/03/30,51.76
2018/03/31,49.702
2018/04/01,54.049
2018/04/02,50.191
2018/04/03,44.638
2018/04/04,48.848
2018/04/05,46.735
2018/04/06,55.233
2018/04/07,53.455
2018/04/08,49.683
2018/04/09,42.289
2018/04/10,46.235
2018/04/11,47.128
2018/04/12,45.973
2018/04/13,42.586
2018/04/14,46.875
2018/04/15,47.347
2018/04/16,45.35
2018/04/17,47.274
2018/04/18,42.645
2018/04/19,44.797
2018/04/20,42.401
2018/04/21,52.005
2018/04/22,50.036
2018/04/23,53.103
2018/04/24,48.53
2018/04/25,48.279
2018/04/26,55.774
2018/04/27,50.098
2018/04/28,48.071
2018/04/29,53.438
2018/04/30,53.892
2018/05/01,46.55
2018/05/02,46.333
2018/05/03,51.287
2018/05/04,54.53
2018/05/05,57.66
2018/05/06,59.907
2018/05/07,63.785
2018/05/08,64.822
2018/05/09,56.528
2018/05/10,57.413
2018/05/11,57.857
2018/05/12,63.943
2018/05/13,65.883
2018/05/14,57.545
2018/05/15,51.918
2018/05/16,53.854
2018/05/17,53.325
2018/05/18,49.085
2018/05/19,50.388
2018/05/20,55.59
2018/05/21,58.34
2018/05/22,56.29
2018/05/23,49.12
2018/05/24,46.556
2018/05/25,44.739
2018/05/26,49.861
2018/05/27,46.353
2018/05/28,48.139
2018/05/29,46.833
2018/05/30,42.941
2018/05/31,50.583
2018/06/01,42.311
2018/06/02,46.416
2018/06/03,47.222
2018/06/04,43.597
2018/06/05,50.534
2018/06/06,44.926
2018/06/07,44.797
2018/06/08,48.163
2018/06/09,56.775
2018/06/10,52.271
2018/06/11,50.899
2018/06/12,58.012
2018/06/13,52.643
2018/06/14,53.183
2018/06/15,51.475
2018/06/16,54.355
2018/06/17,54.517
2018/06/18,61.864
2018/06/19,64.192
2018/06/20,58.222
2018/06/21,63.239
2018/06/22,60.555
2018/06/23,57.304
2018/06/24,61.241
2018/06/25,55.894
2018/06/26,52.994
2018/06/27,60.97
2018/06/28,54.521
2018/06/29,52.467
2018/06/30,58.092
2018/07/01,50.435
2018/07/02,52.341
2018/07/03,56.131
2018/07/04,54.726
2018/07/05,61.442
2018/07/06,57.818
2018/07/07,58.552
2018/07/08,53.194
2018/07/09,57.693
2018/07/10,55.349
2018/07/11,46.369
2018/07/12,51.442
2018/07/13,51.688
2018/07/14,50.286
2018/07/15,50.121
2018/07/16,51.756
2018/07/17,52.141
2018/07/18,54.168
2018/07/19,50.439
2018/07/20,49.947
2018/07/21,37.283
2018/07/22,45.74
2018/07/23,55.75
2018/07/24,50.449
2018/07/25,53.098
2018/07/26,55.838
2018/07/27,54.182
2018/07/28,56.42
2018/07/29,57.098
2018/07/30,57.407
2018/07/31,54.813
2018/08/01,53.675
2018/08/02,56.297
2018/08/03,50.24
2018/08/04,56.096
2018/08/05,56.218
2018/08/06,58.01
2018/08/07,55.454
2018/08/08,57.196
2018/08/09,58.246
2018/08/10,55.892
2018/08/11,53.098
2018/08/12,47.479
2018/08/13,48.366
2018/08/14,52.462
2018/08/15,48.89
2018/08/16,43.107
2018/08/17,47.52
2018/08/18,44.222
2018/08/19,46.835
2018/08/20,49.268
2018/08/21,51.25
2018/08/22,57.738
2018/08/23,45.776
2018/08/24,44.332
2018/08/25,50.007
2018/08/26,54.949
2018/08/27,49.313
2018/08/28,49.003
2018/08/29,46.414
2018/08/30,44.688
2018/08/31,47.647
2018/09/01,44.684
2018/09/02,41.701
2018/09/03,43.721
2018/09/04,42.808
2018/09/05,46.932
2018/09/06,43.942
2018/09/07,43.931
