Date,size3rsi
2016/12/17,30.835
2016/12/18,24.454
2016/12/19,65.012
2016/12/20,52.54
2016/12/21,74.198
2016/12/22,72.613
2016/12/23,35.682
2016/12/24,23.597
2016/12/25,20.705
2016/12/26,18.938
2016/12/27,67.622
2016/12/28,61.794
2016/12/29,77.416
2016/12/30,62.912
2016/12/31,45.031
2017/01/01,24.525
2017/01/02,42.024
2017/01/03,68.903
2017/01/04,77.277
2017/01/05,65.095
2017/01/06,44.196
2017/01/07,39.117
2017/01/08,35.602
2017/01/09,54.023
2017/01/10,77.215
2017/01/11,43.143
2017/01/12,67.282
2017/01/13,72.619
2017/01/14,26.465
2017/01/15,26.295
2017/01/16,50.087
2017/01/17,64.986
2017/01/18,46.625
2017/01/19,38.26
2017/01/20,58.652
2017/01/21,30.539
2017/01/22,60.814
2017/01/23,59.431
2017/01/24,81.623
2017/01/25,49.821
2017/01/26,56.554
2017/01/27,51.194
2017/01/28,39.931
2017/01/29,18.57
2017/01/30,43.056
2017/01/31,32.586
2017/02/01,58.485
2017/02/02,46.955
2017/02/03,42.702
2017/02/04,38.528
2017/02/05,69.343
2017/02/06,62.129
2017/02/07,92.646
2017/02/08,68.971
2017/02/09,37.845
2017/02/10,59.424
2017/02/11,35.039
2017/02/12,31.875
2017/02/13,72.737
2017/02/14,79.384
2017/02/15,57.137
2017/02/16,33.938
2017/02/17,33.915
2017/02/18,60.05
2017/02/19,34.705
2017/02/20,49.025
2017/02/21,80.188
2017/02/22,49.429
2017/02/23,36.437
2017/02/24,53.115
2017/02/25,49.981
2017/02/26,40.326
2017/02/27,63.631
2017/02/28,77.881
2017/03/01,91.192
2017/03/02,84.68
2017/03/03,55.448
2017/03/04,28.824
2017/03/05,25.66
2017/03/06,24.289
2017/03/07,61.099
2017/03/08,34.542
2017/03/09,80.769
2017/03/10,58.793
2017/03/11,43.936
2017/03/12,47.227
2017/03/13,76.438
2017/03/14,73.707
2017/03/15,75.334
2017/03/16,93.037
2017/03/17,69.687
2017/03/18,40.475
2017/03/19,33.732
2017/03/20,28.806
2017/03/21,53.293
2017/03/22,38.776
2017/03/23,57.047
2017/03/24,62.223
2017/03/25,40.703
2017/03/26,33.543
2017/03/27,81.478
2017/03/28,47.03
2017/03/29,61.086
2017/03/30,67.965
2017/03/31,74.059
2017/04/01,28.258
2017/04/02,50.591
2017/04/03,59.151
2017/04/04,37.251
2017/04/05,41.958
2017/04/06,65.638
2017/04/07,62.061
2017/04/08,21.425
2017/04/09,34.76
2017/04/10,47.242
2017/04/11,38.239
2017/04/12,70.472
2017/04/13,55.764
2017/04/14,39.811
2017/04/15,30.167
2017/04/16,20.747
2017/04/17,40.288
2017/04/18,72.975
2017/04/19,76.928
2017/04/20,59.364
2017/04/21,72.045
2017/04/22,33.992
2017/04/23,30.627
2017/04/24,58.09
2017/04/25,78.265
2017/04/26,63.629
2017/04/27,84.237
2017/04/28,86.744
2017/04/29,41.096
2017/04/30,62.135
2017/05/01,80.591
2017/05/02,71.518
2017/05/03,38.092
2017/05/04,59.341
2017/05/05,46.116
2017/05/06,32.033
2017/05/07,61.174
2017/05/08,66.07
2017/05/09,61.673
2017/05/10,42.429
2017/05/11,58.628
2017/05/12,35.143
2017/05/13,27.638
2017/05/14,43.043
2017/05/15,85.505
2017/05/16,65.592
2017/05/17,84.579
2017/05/18,78.684
2017/05/19,89.189
2017/05/20,48.807
2017/05/21,64.557
2017/05/22,80.75
2017/05/23,91.243
2017/05/24,91.453
2017/05/25,55.164
2017/05/26,41.542
2017/05/27,29.513
2017/05/28,43.753
2017/05/29,28.245
2017/05/30,79.494
2017/05/31,71.427
2017/06/01,59.377
2017/06/02,77.921
2017/06/03,48.118
2017/06/04,43.232
2017/06/05,42.533
2017/06/06,73.61
2017/06/07,73.929
2017/06/08,46.616
2017/06/09,68.013
2017/06/10,34.473
2017/06/11,75.884
2017/06/12,82.315
2017/06/13,62.125
2017/06/14,41.582
2017/06/15,48.899
2017/06/16,43.719
2017/06/17,40.572
2017/06/18,39.124
2017/06/19,80.257
2017/06/20,84.793
2017/06/21,18.847
2017/06/22,58.4
2017/06/23,63.067
2017/06/24,58.756
2017/06/25,59.733
2017/06/26,72.245
2017/06/27,30.77
2017/06/28,67.099
2017/06/29,55.698
2017/06/30,42.55
2017/07/01,31.005
2017/07/02,44.035
2017/07/03,74.201
2017/07/04,73.808
2017/07/05,71.82
2017/07/06,30.462
2017/07/07,56.552
2017/07/08,37.009
2017/07/09,16.848
2017/07/10,67.361
2017/07/11,65.67
2017/07/12,68.581
2017/07/13,66.581
2017/07/14,45.3
2017/07/15,22.943
2017/07/16,39.484
2017/07/17,56.707
2017/07/18,79.045
2017/07/19,51.733
2017/07/20,35.173
2017/07/21,25.615
2017/07/22,18.495
2017/07/23,54.818
2017/07/24,72.805
2017/07/25,53.115
2017/07/26,31.285
2017/07/27,30.497
2017/07/28,56.634
2017/07/29,26.756
2017/07/30,31.786
2017/07/31,66.296
2017/08/01,69.239
2017/08/02,66.064
2017/08/03,70.532
2017/08/04,85.658
2017/08/05,80.211
2017/08/06,81.019
2017/08/07,94.417
2017/08/08,97.295
2017/08/09,47.596
2017/08/10,72.241
2017/08/11,78.161
2017/08/12,60.265
2017/08/13,47.028
2017/08/14,77.527
2017/08/15,81.917
2017/08/16,86.852
2017/08/17,85.756
2017/08/18,85.8
2017/08/19,44.352
2017/08/20,12.365
2017/08/21,49.13
2017/08/22,39.432
2017/08/23,41.197
2017/08/24,32.683
2017/08/25,67.972
2017/08/26,46.677
2017/08/27,52.846
2017/08/28,81.359
2017/08/29,84.786
2017/08/30,86.734
2017/08/31,50.477
2017/09/01,65.861
2017/09/02,26.926
2017/09/03,18.984
2017/09/04,70.862
2017/09/05,70.228
2017/09/06,82.514
2017/09/07,62.817
2017/09/08,60.468
2017/09/09,25.752
2017/09/10,16.559
2017/09/11,42.546
2017/09/12,55.297
2017/09/13,42.91
2017/09/14,48.474
2017/09/15,71.907
2017/09/16,38.225
2017/09/17,23.435
2017/09/18,57.172
2017/09/19,47.837
2017/09/20,41.676
2017/09/21,43.158
2017/09/22,60.293
2017/09/23,39.349
2017/09/24,70.224
2017/09/25,81.374
2017/09/26,59.392
2017/09/27,64.414
2017/09/28,80.681
2017/09/29,86.276
2017/09/30,88.58
2017/10/01,79.14
2017/10/02,53.851
2017/10/03,46.052
2017/10/04,30.588
2017/10/05,28.385
2017/10/06,74.392
2017/10/07,30.568
2017/10/08,24.969
2017/10/09,41.481
2017/10/10,72.395
2017/10/11,44.565
2017/10/12,61.816
2017/10/13,70.695
2017/10/14,36.584
2017/10/15,26.914
2017/10/16,12.542
2017/10/17,8.067
2017/10/18,5.827
2017/10/19,5.683
2017/10/20,53.441
2017/10/21,25.547
2017/10/22,20.473
2017/10/23,48.393
2017/10/24,60.701
2017/10/25,65.168
2017/10/26,66.18
2017/10/27,6.664
2017/10/28,6.664
2017/10/29,6.664
2017/10/30,6.664
2017/10/31,6.664
2017/11/01,88.915
2017/11/02,88.979
2017/11/03,89.14
2017/11/04,52.831
2017/11/05,48.677
2017/11/06,65.617
2017/11/07,68.972
2017/11/08,67.986
2017/11/09,59.96
2017/11/10,45.638
2017/11/11,30.038
2017/11/12,49.647
2017/11/13,73.435
2017/11/14,87.028
2017/11/15,88.151
2017/11/16,52.143
2017/11/17,52.692
2017/11/18,34.664
2017/11/19,32.731
2017/11/20,79.446
2017/11/21,64.412
2017/11/22,57.366
2017/11/23,59.024
2017/11/24,28.473
2017/11/25,62.645
2017/11/26,58.974
2017/11/27,93.834
2017/11/28,56.141
2017/11/29,51.848
2017/11/30,46.089
2017/12/01,48.319
2017/12/02,43.343
2017/12/03,70.51
2017/12/04,75.783
2017/12/05,76.668
2017/12/06,89.779
2017/12/07,29.843
2017/12/08,65.192
2017/12/09,50.052
2017/12/10,60.201
2017/12/11,78.398
2017/12/12,85.822
2017/12/13,87.701
2017/12/14,83.184
2017/12/15,84.147
2017/12/16,86.062
2017/12/17,62.944
2017/12/18,87.091
2017/12/19,95.314
2017/12/20,45.783
2017/12/21,64.732
2017/12/22,54.183
2017/12/23,31.568
2017/12/24,14.445
2017/12/25,27.012
2017/12/26,35.444
2017/12/27,58.604
2017/12/28,67.865
2017/12/29,83.725
2017/12/30,80.456
2017/12/31,35.218
2018/01/01,29.378
2018/01/02,71.784
2018/01/03,78.945
2018/01/04,82.433
2018/01/05,78.181
2018/01/06,63.937
2018/01/07,42.659
2018/01/08,60.296
2018/01/09,66.906
2018/01/10,31.62
2018/01/11,43.753
2018/01/12,34.657
2018/01/13,49.55
2018/01/14,23.709
2018/01/15,62.174
2018/01/16,70.363
2018/01/17,62.822
2018/01/18,46.865
2018/01/19,18.675
2018/01/20,12.861
2018/01/21,10.71
2018/01/22,7.758
2018/01/23,5.759
2018/01/24,4.596
2018/01/25,3.008
2018/01/26,59.293
