Date,sentinusd14momUSD
2017/11/28,7829991534
2017/11/29,7423169569
2017/11/30,6182990139
2017/12/01,4324970643
2017/12/02,6127131298
2017/12/03,5432599122
2017/12/04,3487569527
2017/12/05,-1435630586
2017/12/06,157217732
2017/12/07,-1782551776
2017/12/08,-1855140130
2017/12/09,-4392752452
2017/12/10,-4316760287
2017/12/11,-6328680403
2017/12/12,-4116644211
2017/12/13,-5925911539
2017/12/14,-2588455373
2017/12/15,-2687000294
2017/12/16,-4639736961
2017/12/17,-4142904813
2017/12/18,-3174027133
2017/12/19,4734615341
2017/12/20,4127606299
2017/12/21,6070986463
2017/12/22,5730282820
2017/12/23,3787356793
2017/12/24,2065557750
2017/12/25,1433017003
2017/12/26,-692083903
2017/12/27,535318914
2017/12/28,316635723
2017/12/29,4084242253
2017/12/30,5745597490
2017/12/31,746224079
2018/01/01,-179839891
2018/01/02,2617742513
2018/01/03,2020499677
2018/01/04,8537106687
2018/01/05,8360713714
2018/01/06,8422921879
2018/01/07,8377301449
2018/01/08,12992772593
2018/01/09,13038839802
2018/01/10,15354931775
2018/01/11,10412351023
2018/01/12,4626892501
2018/01/13,1474136499
2018/01/14,27046561246
2018/01/15,9418643995
2018/01/16,5441137813
2018/01/17,2887463419
2018/01/18,-4838902055
2018/01/19,-8568867447
2018/01/20,-6582760501
2018/01/21,-5195845128
2018/01/22,-8287243640
2018/01/23,-11152780438
2018/01/24,-14219906269
2018/01/25,-14959709393
2018/01/26,-5022130907
2018/01/27,-6029518960
2018/01/28,-24874685642
2018/01/29,-6128588884
2018/01/30,-7651791877
2018/01/31,-6254791532
2018/02/01,-5203978812
2018/02/02,756410298
2018/02/03,-2813568922
2018/02/04,-3487320078
2018/02/05,-3598069092
2018/02/06,-2430307364
2018/02/07,-3131462308
2018/02/08,-1421580968
2018/02/09,-6164506837
2018/02/10,-1910261086
2018/02/11,-5404259827
2018/02/12,-5492658422
2018/02/13,-4229040802
2018/02/14,-4714720683
2018/02/15,-4083185580
2018/02/16,-6285423297
2018/02/17,-1919151386
2018/02/18,-685033135
2018/02/19,-2009422959
2018/02/20,-1870312288
2018/02/21,-1833682090
2018/02/22,1737178540
2018/02/23,-1618962244
2018/02/24,-2582438776
2018/02/25,-1718641815
2018/02/26,-1870284926
2018/02/27,-4095110663
2018/02/28,-2962654691
2018/03/01,-3653599268
2018/03/02,-2721973529
2018/03/03,-3150845847
2018/03/04,-3009338622
2018/03/05,-2225965672
2018/03/06,-2554191395
2018/03/07,-2229538750
2018/03/08,-3472642902
2018/03/09,-1423306557
2018/03/10,-1628675100
2018/03/11,-816068718
2018/03/12,-1054017593
2018/03/13,533289809
2018/03/14,-90553159
2018/03/15,-343901149
2018/03/16,-501083714
2018/03/17,-174626104
2018/03/18,535086980
2018/03/19,-106452608
2018/03/20,-590253557
2018/03/21,-543044678
2018/03/22,-390718510
2018/03/23,-188538484
2018/03/24,-183158240
2018/03/25,-246784242
2018/03/26,-94222608
2018/03/27,-745019635
2018/03/28,-164293094
2018/03/29,-64700521
2018/03/30,50056770
2018/03/31,-119025735
2018/04/01,-971205938
2018/04/02,-702153488
2018/04/03,-368212120
2018/04/04,-398766112
2018/04/05,-358618256
2018/04/06,-568586169
2018/04/07,-305506080
2018/04/08,-24598513
2018/04/09,-346471161
2018/04/10,-642112855
2018/04/11,-488908273
2018/04/12,-48058985
2018/04/13,226851527
2018/04/14,-118527161
2018/04/15,123855405
2018/04/16,160242099
2018/04/17,68693514
2018/04/18,285568303
2018/04/19,495681363
2018/04/20,782177956
2018/04/21,688422907
2018/04/22,291255671
2018/04/23,1347879649
2018/04/24,1364269168
2018/04/25,1001932680
2018/04/26,259373562
2018/04/27,277989150
2018/04/28,729568225
2018/04/29,527503255
2018/04/30,659056292
2018/05/01,498390148
2018/05/02,912647186
2018/05/03,1120178286
2018/05/04,752894403
2018/05/05,378879538
2018/05/06,425902616
2018/05/07,219785932
2018/05/08,-290208645
2018/05/09,26339144
2018/05/10,340691568
2018/05/11,136121068
2018/05/12,-137509071
2018/05/13,-301810275
2018/05/14,186349962
2018/05/15,189320109
2018/05/16,-637816891
2018/05/17,-911104169
2018/05/18,-897412632
2018/05/19,-558777736
2018/05/20,-307000652
2018/05/21,-1024634384
2018/05/22,-76229450
2018/05/23,33262905
2018/05/24,-375491528
2018/05/25,-454796953
2018/05/26,-284733276
2018/05/27,302364005
2018/05/28,-85127984
2018/05/29,-211794575
2018/05/30,48366820
2018/05/31,106459806
2018/06/01,300739522
2018/06/02,-81416526
2018/06/03,-217887940
2018/06/04,50752726
2018/06/05,-275067431
2018/06/06,-327177152
2018/06/07,63003564
2018/06/08,317145536
2018/06/09,-71802224
2018/06/10,-132071818
2018/06/11,-325996168
2018/06/12,335029818
2018/06/13,749985353
2018/06/14,707256389
2018/06/15,370846706
2018/06/16,34585011
2018/06/17,-92815627
2018/06/18,-424912931
2018/06/19,-210470633
2018/06/20,-260974861
2018/06/21,-314789311
2018/06/22,-219672171
2018/06/23,-114606249
2018/06/24,-106158574
2018/06/25,-45649647
2018/06/26,-677402521
2018/06/27,-1132767086
2018/06/28,-1223975579
2018/06/29,-894235971
2018/06/30,-241321771
2018/07/01,-138337291
2018/07/02,-143408312
2018/07/03,-170139016
2018/07/04,-371293325
2018/07/05,-216237968
2018/07/06,-432598302
2018/07/07,-82625592
2018/07/08,-280123779
2018/07/09,-262106498
2018/07/10,-15880272
2018/07/11,-215874466
2018/07/12,-218203309
2018/07/13,-362293093
2018/07/14,-156113682
2018/07/15,-103185319
2018/07/16,147251067
2018/07/17,8022214
2018/07/18,286759667
2018/07/19,9175661
2018/07/20,64044141
2018/07/21,-23739103
2018/07/22,-138255018
2018/07/23,-90565798
2018/07/24,-50102285
2018/07/25,99127219
2018/07/26,23708918
2018/07/27,88117683
2018/07/28,-30939510
2018/07/29,6659202
2018/07/30,-86236681
2018/07/31,392609281
2018/08/01,-373387846
2018/08/02,-119127423
2018/08/03,-267859753
2018/08/04,-105320847
2018/08/05,-116895768
2018/08/06,-250368197
2018/08/07,-252338796
2018/08/08,32377717
2018/08/09,-11337355
2018/08/10,19910088
2018/08/11,156611201
2018/08/12,-32382216
2018/08/13,54473664
2018/08/14,-423341708
2018/08/15,31137870
2018/08/16,-220497462
2018/08/17,16964320
2018/08/18,-58267170
2018/08/19,-130017238
2018/08/20,-77044672
2018/08/21,-148048735
2018/08/22,-267955868
2018/08/23,-178654118
2018/08/24,-255444846
2018/08/25,-227244767
2018/08/26,-57192802
2018/08/27,-324237749
2018/08/28,-411043618
2018/08/29,-212475775
2018/08/30,-42589723
2018/08/31,-137060435
2018/09/01,3005864
2018/09/02,36490350
2018/09/03,96376607
2018/09/04,433985812
2018/09/05,167507465
2018/09/06,287455489
2018/09/07,176843465
2018/09/08,147650371
2018/09/09,161916326
2018/09/10,37791769
2018/09/11,55885686
2018/09/12,208506859
2018/09/13,58068974
2018/09/14,32088166
2018/09/15,-25215998
2018/09/16,-4626567
2018/09/17,-106616386
2018/09/18,-472998392
2018/09/19,-331925867
2018/09/20,-289955051
2018/09/21,96693682
2018/09/22,-71594897
2018/09/23,-93311831
2018/09/24,-38025289
2018/09/25,-71391662
2018/09/26,-269414600
2018/09/27,-97687706
2018/09/28,-72966482
2018/09/29,8706939
2018/09/30,48936784
