Date,price7wmaUSD
2017/12/01,455.956
2017/12/02,456.41
2017/12/03,458.605
2017/12/04,459.303
2017/12/05,459.958
2017/12/06,455.456
2017/12/07,448.776
2017/12/08,448.561
2017/12/09,454.727
2017/12/10,452.751
2017/12/11,456.116
2017/12/12,483.021
2017/12/13,532.165
2017/12/14,584.146
2017/12/15,616.633
2017/12/16,647.362
2017/12/17,676.243
2017/12/18,699.972
2017/12/19,736.205
2017/12/20,756.616
2017/12/21,775.227
2017/12/22,758.366
2017/12/23,752.965
2017/12/24,729.513
2017/12/25,721.68
2017/12/26,721.536
2017/12/27,725.561
2017/12/28,720.565
2017/12/29,726.769
2017/12/30,722.557
2017/12/31,723.457
2018/01/01,729.627
2018/01/02,759.417
2018/01/03,794.697
2018/01/04,841.037
2018/01/05,885.97
2018/01/06,926.338
2018/01/07,977.491
2018/01/08,1034
2018/01/09,1092
2018/01/10,1163
2018/01/11,1194
2018/01/12,1218
2018/01/13,1263
2018/01/14,1293
2018/01/15,1310
2018/01/16,1271
2018/01/17,1190
2018/01/18,1145
2018/01/19,1107
2018/01/20,1094
2018/01/21,1080
2018/01/22,1062
2018/01/23,1043
2018/01/24,1037
2018/01/25,1043
2018/01/26,1042
2018/01/27,1050
2018/01/28,1085
2018/01/29,1118
2018/01/30,1132
2018/01/31,1131
2018/02/01,1129
2018/02/02,1081
2018/02/03,1044
2018/02/04,998.918
2018/02/05,931.103
2018/02/06,853.713
2018/02/07,822.624
2018/02/08,806.244
2018/02/09,804.859
2018/02/10,816.643
2018/02/11,820.041
2018/02/12,834.418
2018/02/13,843.287
2018/02/14,855.59
2018/02/15,876.802
2018/02/16,894.38
2018/02/17,916.082
2018/02/18,929.12
2018/02/19,937.09
2018/02/20,941.608
2018/02/21,925.29
2018/02/22,900.013
2018/02/23,882.063
2018/02/24,866.814
2018/02/25,854.875
2018/02/26,851.934
2018/02/27,856.335
2018/02/28,860.656
2018/03/01,863.918
2018/03/02,865.216
2018/03/03,865.398
2018/03/04,863.171
2018/03/05,862.36
2018/03/06,854.34
2018/03/07,835.175
2018/03/08,808.383
2018/03/09,772.905
2018/03/10,753.249
2018/03/11,732.994
2018/03/12,721.401
2018/03/13,710.083
2018/03/14,695.139
2018/03/15,669.882
2018/03/16,651.368
2018/03/17,629.678
2018/03/18,593.594
2018/03/19,572.132
2018/03/20,558.147
2018/03/21,555.831
2018/03/22,551.573
2018/03/23,542.999
2018/03/24,540.946
2018/03/25,536.901
2018/03/26,526.69
2018/03/27,508.824
2018/03/28,490.833
2018/03/29,467.817
2018/03/30,442.15
2018/03/31,425.6
2018/04/01,409.102
2018/04/02,398.407
2018/04/03,395.781
2018/04/04,392.827
2018/04/05,388.814
2018/04/06,384.562
2018/04/07,383.8
2018/04/08,386.372
2018/04/09,390.687
2018/04/10,393.996
2018/04/11,401.49
2018/04/12,415.592
2018/04/13,440.69
2018/04/14,460.327
2018/04/15,480.355
2018/04/16,493.9
2018/04/17,503.605
2018/04/18,510.14
2018/04/19,520.454
2018/04/20,537.726
2018/04/21,557.135
2018/04/22,577.346
2018/04/23,598.117
2018/04/24,626.848
2018/04/25,637.884
2018/04/26,641.093
2018/04/27,649.746
2018/04/28,658.268
2018/04/29,666.174
2018/04/30,671.469
2018/05/01,669.045
2018/05/02,672.96
2018/05/03,689.448
2018/05/04,714.501
2018/05/05,741.966
2018/05/06,760.496
2018/05/07,762.784
2018/05/08,764.365
2018/05/09,760.402
2018/05/10,757.803
2018/05/11,740.691
2018/05/12,719.661
2018/05/13,711.692
2018/05/14,710.613
2018/05/15,711.682
2018/05/16,706.509
2018/05/17,704.146
2018/05/18,698.453
2018/05/19,698.016
2018/05/20,700.232
2018/05/21,701.149
2018/05/22,696.045
2018/05/23,675.833
2018/05/24,651.528
2018/05/25,633.159
2018/05/26,618.175
2018/05/27,601.634
2018/05/28,580.608
2018/05/29,566.743
2018/05/30,562.654
2018/05/31,563.006
2018/06/01,564.871
2018/06/02,570.463
2018/06/03,581.926
2018/06/04,589.864
2018/06/05,593.818
2018/06/06,598.351
2018/06/07,602.191
2018/06/08,603.13
2018/06/09,603.694
2018/06/10,592.438
2018/06/11,574.76
2018/06/12,558.614
2018/06/13,535.108
2018/06/14,518.927
2018/06/15,509.179
2018/06/16,501.694
2018/06/17,499.339
2018/06/18,499.213
2018/06/19,506.264
2018/06/20,513.514
2018/06/21,520.046
2018/06/22,514.274
2018/06/23,504.193
2018/06/24,489.992
2018/06/25,479.202
2018/06/26,468.284
2018/06/27,456.068
2018/06/28,447.541
2018/06/29,437.827
2018/06/30,438.927
2018/07/01,441.553
2018/07/02,446.263
2018/07/03,453.647
2018/07/04,458.94
2018/07/05,463.737
2018/07/06,466.526
2018/07/07,468.141
2018/07/08,473.55
2018/07/09,476.229
2018/07/10,470.195
2018/07/11,462.439
2018/07/12,454.314
2018/07/13,447.993
2018/07/14,442.277
2018/07/15,440.206
2018/07/16,444.959
2018/07/17,454.479
2018/07/18,466.338
2018/07/19,470.942
2018/07/20,470.311
2018/07/21,469.121
2018/07/22,467.929
2018/07/23,465.168
2018/07/24,464.564
2018/07/25,466.163
2018/07/26,468.816
2018/07/27,468.618
2018/07/28,468.838
2018/07/29,468.381
2018/07/30,466.256
2018/07/31,459.498
2018/08/01,448.667
2018/08/02,438.493
2018/08/03,429.012
2018/08/04,422.006
2018/08/05,415.671
2018/08/06,411.659
2018/08/07,408.365
2018/08/08,397.227
2018/08/09,386.763
2018/08/10,377.003
2018/08/11,359.739
2018/08/12,346.535
2018/08/13,333.102
2018/08/14,312.032
2018/08/15,301.828
2018/08/16,294.645
2018/08/17,293.064
2018/08/18,294.229
2018/08/19,294.49
2018/08/20,294.2
2018/08/21,291.197
2018/08/22,288.504
2018/08/23,284.079
2018/08/24,280.889
2018/08/25,279.361
2018/08/26,277.193
2018/08/27,276.623
2018/08/28,279.432
2018/08/29,282.861
2018/08/30,283.331
2018/08/31,283.255
2018/09/01,285.374
2018/09/02,288.125
2018/09/03,288.995
2018/09/04,288.796
2018/09/05,282.96
2018/09/06,268.412
2018/09/07,255.032
2018/09/08,241.034
2018/09/09,226.148
2018/09/10,214.467
2018/09/11,204.573
2018/09/12,194.679
2018/09/13,193.253
2018/09/14,196.818
2018/09/15,202.105
2018/09/16,207.027
2018/09/17,209.894
2018/09/18,209.795
2018/09/19,210.757
2018/09/20,210.819
2018/09/21,215.244
2018/09/22,221.751
2018/09/23,227.88
2018/09/24,231.648
2018/09/25,229.061
2018/09/26,226.264
2018/09/27,224.209
2018/09/28,223.637
2018/09/29,223.382
2018/09/30,225.192
2018/10/01,226.775
2018/10/02,228.046
2018/10/03,226.663
2018/10/04,226.049
2018/10/05,225.071
2018/10/06,224.903
2018/10/07,224.348
2018/10/08,224.925
2018/10/09,225.886
2018/10/10,226.125
2018/10/11,220.213
2018/10/12,213.717
2018/10/13,208.973
2018/10/14,205.454
2018/10/15,204.968
2018/10/16,205.472
2018/10/17,206.464
2018/10/18,207.296
2018/10/19,207.056
2018/10/20,207.061
2018/10/21,207.283
2018/10/22,206.703
2018/10/23,205.778
2018/10/24,205.345
2018/10/25,204.63
2018/10/26,204.186
2018/10/27,203.891
2018/10/28,203.767
2018/10/29,202.925
2018/10/30,201.243
2018/10/31,199.908
2018/11/01,199.189
2018/11/02,199.256
2018/11/03,199.296
2018/11/04,200.42
2018/11/05,202.832
2018/11/06,205.96
2018/11/07,210.058
2018/11/08,212.205
