Date,difficulty3roc
2017/04/15,4.39
2017/04/16,6.976
2017/04/17,1.457
2017/04/18,3.797
2017/04/19,5.932
2017/04/20,3.063
2017/04/21,2.859
2017/04/22,2.895
2017/04/23,5.099
2017/04/24,1.509
2017/04/25,0.403
2017/04/26,3.511
2017/04/27,6.261
2017/04/28,10.166
2017/04/29,10.734
2017/04/30,6.021
2017/05/01,2.294
2017/05/02,-2.015
2017/05/03,2.073
2017/05/04,0.074
2017/05/05,4.352
2017/05/06,2.881
2017/05/07,5.104
2017/05/08,1.155
2017/05/09,4.67
2017/05/10,2.852
2017/05/11,4.362
2017/05/12,3.742
2017/05/13,4.073
2017/05/14,9.618
2017/05/15,9.175
2017/05/16,10.195
2017/05/17,0.822
2017/05/18,0.097
2017/05/19,3.493
2017/05/20,7.746
2017/05/21,8.898
2017/05/22,7.287
2017/05/23,2.047
2017/05/24,1.695
2017/05/25,-1.164
2017/05/26,1.744
2017/05/27,3.113
2017/05/28,2.505
2017/05/29,6.828
2017/05/30,8.441
2017/05/31,10.773
2017/06/01,15.027
2017/06/02,11.942
2017/06/03,10.78
2017/06/04,6.538
2017/06/05,4.378
2017/06/06,6.834
2017/06/07,5.832
2017/06/08,6.837
2017/06/09,4.047
2017/06/10,4.695
2017/06/11,6.587
2017/06/12,5.679
2017/06/13,4.89
2017/06/14,4.442
2017/06/15,7.677
2017/06/16,6.12
2017/06/17,6.778
2017/06/18,5.722
2017/06/19,5.201
2017/06/20,11.248
2017/06/21,13.558
2017/06/22,12.503
2017/06/23,4.054
2017/06/24,1.644
2017/06/25,3.695
2017/06/26,4.801
2017/06/27,4.69
2017/06/28,5.019
2017/06/29,4.21
2017/06/30,4.477
2017/07/01,4.481
2017/07/02,4.099
2017/07/03,4.211
2017/07/04,3.487
2017/07/05,2.07
2017/07/06,2.397
2017/07/07,1.064
2017/07/08,3.227
2017/07/09,3.267
2017/07/10,15.464
2017/07/11,14.985
2017/07/12,10.723
2017/07/13,0.768
2017/07/14,-2.606
2017/07/15,1.854
2017/07/16,2.967
2017/07/17,1.855
2017/07/18,0.493
2017/07/19,-0.787
2017/07/20,5.556
2017/07/21,7.503
2017/07/22,3.587
2017/07/23,3.43
2017/07/24,-0.189
2017/07/25,3.921
2017/07/26,1.249
2017/07/27,1.475
2017/07/28,0.3
2017/07/29,0.054
2017/07/30,2.889
2017/07/31,7.069
2017/08/01,20.609
2017/08/02,18.135
2017/08/03,9.065
2017/08/04,-1
2017/08/05,-1.297
2017/08/06,2.767
2017/08/07,1.842
2017/08/08,3.189
2017/08/09,3.903
2017/08/10,1.862
2017/08/11,0.238
2017/08/12,1.878
