Date,confirmationtime7rsi
2017/10/24,5.073
2017/10/25,8.233
2017/10/26,9.178
2017/10/27,1.872
2017/10/28,1.872
2017/10/29,1.872
2017/10/30,1.872
2017/10/31,1.872
2017/11/01,63.928
2017/11/02,64.05
2017/11/03,63.252
2017/11/04,63.397
2017/11/05,62.235
2017/11/06,63.002
2017/11/07,62.821
2017/11/08,62.387
2017/11/09,62.879
2017/11/10,60.539
2017/11/11,61.064
2017/11/12,61.467
2017/11/13,61.887
2017/11/14,64.277
2017/11/15,59.47
2017/11/16,61.852
2017/11/17,57.928
2017/11/18,58.676
2017/11/19,55.743
2017/11/20,59.896
2017/11/21,59.995
2017/11/22,54.707
2017/11/23,58.001
2017/11/24,54.193
2017/11/25,56.732
2017/11/26,59.235
2017/11/27,65.571
2017/11/28,64.431
2017/11/29,62.23
2017/11/30,55.499
2017/12/01,58.419
2017/12/02,66.462
2017/12/03,68.783
2017/12/04,86.344
2017/12/05,88.27
2017/12/06,90.511
2017/12/07,56.318
2017/12/08,55.96
2017/12/09,55.144
2017/12/10,57.467
2017/12/11,59.916
2017/12/12,62.615
2017/12/13,66.958
2017/12/14,61.711
2017/12/15,48.587
2017/12/16,51.391
2017/12/17,50.616
2017/12/18,50.616
2017/12/19,69.601
2017/12/20,72.028
2017/12/21,72.107
2017/12/22,56.91
2017/12/23,31.124
2017/12/24,29.429
2017/12/25,26.902
2017/12/26,32.218
2017/12/27,35.798
2017/12/28,45.851
2017/12/29,56.749
2017/12/30,58.019
2017/12/31,43.196
2018/01/01,41.389
2018/01/02,59.331
2018/01/03,72.065
2018/01/04,75.87
2018/01/05,80.166
2018/01/06,70.393
2018/01/07,58.408
2018/01/08,65.715
2018/01/09,67.486
2018/01/10,62.851
2018/01/11,60.942
2018/01/12,61.931
2018/01/13,64.339
2018/01/14,38.827
2018/01/15,56.315
2018/01/16,48.312
2018/01/17,44.637
2018/01/18,44.927
2018/01/19,36.46
2018/01/20,27.251
2018/01/21,33.661
2018/01/22,30.084
2018/01/23,29.347
2018/01/24,26.241
2018/01/25,32.932
2018/01/26,32.932
2018/01/27,26.914
2018/01/28,26.092
2018/01/29,40.27
2018/01/30,47.821
2018/01/31,45.938
2018/02/01,58.605
2018/02/02,47.856
2018/02/03,37.91
2018/02/04,39.756
2018/02/05,34.21
2018/02/06,47.178
2018/02/07,48.755
2018/02/08,39.464
2018/02/09,48.003
2018/02/10,39.551
2018/02/11,47.868
2018/02/12,49.103
2018/02/13,46.656
2018/02/14,59.674
2018/02/15,46.256
2018/02/16,47.282
2018/02/17,38.923
2018/02/18,46.278
2018/02/19,56.598
2018/02/20,64.579
2018/02/21,59.24
2018/02/22,55.599
2018/02/23,48.084
2018/02/24,57.689
2018/02/25,56.393
2018/02/26,63.097
2018/02/27,52.496
2018/02/28,47.608
2018/03/01,50.685
2018/03/02,47.276
2018/03/03,39.6
2018/03/04,52.003
2018/03/05,51.273
2018/03/06,50.245
2018/03/07,45.01
2018/03/08,57.324
2018/03/09,48.313
2018/03/10,49.41
2018/03/11,37.604
2018/03/12,60.774
2018/03/13,53.408
2018/03/14,56.611
2018/03/15,49.74
2018/03/16,43.78
2018/03/17,54.487
2018/03/18,42.845
2018/03/19,39.184
2018/03/20,39.597
2018/03/21,45.068
2018/03/22,33.758
2018/03/23,43.256
2018/03/24,32.648
2018/03/25,39.163
2018/03/26,42.982
2018/03/27,56.195
2018/03/28,51.67
2018/03/29,62.799
2018/03/30,50.93
2018/03/31,38.084
