Date,difficulty
2018/12/26,2.5264661714065E+15
2018/12/27,2.4989491947117E+15
2018/12/28,2.4519098936342E+15
2018/12/29,2438650420454265
2018/12/30,2493085723019279
2018/12/31,2.5042216301111E+15
2019/01/01,2.3982465769212E+15
2019/01/02,2424370581382824
2019/01/03,2591208341205066
2019/01/04,2592140443986810
2019/01/05,2.6373343757012E+15
2019/01/06,2.696379667584E+15
2019/01/07,2701574064117131
2019/01/08,2.66862829454E+15
2019/01/09,2.7038951321962E+15
2019/01/10,2674362619191130
2019/01/11,2692032647716248
2019/01/12,2624800536300680
2019/01/13,2608139705984278
2019/01/14,2.6333413569056E+15
2019/01/15,2.7020839659161E+15
2019/01/16,2.6210485027326E+15
2019/01/17,2580831091838975
2019/01/18,2.5716633962926E+15
2019/01/19,2.6370704583209E+15
2019/01/20,2673566313435723
2019/01/21,2840844087622223
2019/01/22,2878752296506207
2019/01/23,2752834586056830
2019/01/24,2805104849380197
2019/01/25,2.8125242151352E+15
2019/01/26,2749133557015788
2019/01/27,2.7395007961806E+15
2019/01/28,2.6052585046369E+15
2019/01/29,2.4437677123644E+15
2019/01/30,2.4045365187422E+15
2019/01/31,2465757939828109
2019/02/01,2408027966911153
2019/02/02,2358910170611813
2019/02/03,2.3546100288006E+15
2019/02/04,2361902705248721
2019/02/05,2363998855756183
2019/02/06,2.3488397434334E+15
2019/02/07,2.3340707426532E+15
2019/02/08,2.3717170265586E+15
2019/02/09,2370089679938167
2019/02/10,2799616234000190
2019/02/11,2.7904539714605E+15
2019/02/12,2845496665498758
2019/02/13,2813683136248474
2019/02/14,2.763885682502E+15
2019/02/15,2.7585561016444E+15
2019/02/16,2791492738498367
2019/02/17,2787183992533593
2019/02/18,2800543669058992
2019/02/19,2931316443907579
2019/02/20,2934330432681430
2019/02/21,2935972745889009
2019/02/22,2.9099846144192E+15
2019/02/23,3.0196390188831E+15
2019/02/24,3.0109903740273E+15
2019/02/25,2.966100005085E+15
2019/02/26,2978233508540383
2019/02/27,2974809174832816
2019/02/28,2.9274525164528E+15
2019/03/01,2.0362745453474E+15
2019/03/02,1.9232530322759E+15
2019/03/03,1909053399665856
2019/03/04,1887288061263891
2019/03/05,1.9024014432893E+15
2019/03/06,1.9116645139956E+15
2019/03/07,1.9045253522974E+15
2019/03/08,1929400117634395
2019/03/09,1.8831879583096E+15
2019/03/10,1.884251749839E+15
2019/03/11,1.883358396028E+15
2019/03/12,1.8535608806775E+15
2019/03/13,1841284698119305
2019/03/14,1.8525786445994E+15
2019/03/15,1.8590986978501E+15
2019/03/16,1892599435484352
2019/03/17,1.9016606528125E+15
2019/03/18,1.8831796745541E+15
2019/03/19,1.8092073144974E+15
2019/03/20,1.8660116344259E+15
2019/03/21,1.8616455684612E+15
2019/03/22,1842031209461610
2019/03/23,1833592266156393
2019/03/24,1.8466818565842E+15
2019/03/25,1843360821780303
2019/03/26,1794096152189202
2019/03/27,1761299986726933
2019/03/28,1.7752331733042E+15
2019/03/29,1.7914372413673E+15
2019/03/30,1716959438040999
2019/03/31,1.721429556437E+15
2019/04/01,1809756338437694
2019/04/02,1796568273618656
2019/04/03,1788931574783740
2019/04/04,1.8195240267664E+15
2019/04/05,1821339903382820
2019/04/06,1.8431942553254E+15
2019/04/07,1.8231894891217E+15
2019/04/08,1.8256168191333E+15
2019/04/09,1.8514974457589E+15
2019/04/10,1.8782523994078E+15
2019/04/11,1.8944819214222E+15
2019/04/12,1.8790527266364E+15
2019/04/13,1.8983927584068E+15
2019/04/14,1.9295681351703E+15
2019/04/15,1923712981917597
2019/04/16,1.8969861179627E+15
2019/04/17,1.8631017745114E+15
2019/04/18,1.8542426200083E+15
2019/04/19,1.8817138073793E+15
2019/04/20,1873586468911103
2019/04/21,1.8768353024559E+15
2019/04/22,1905395324442308
2019/04/23,1.8959566356407E+15
2019/04/24,1.8536542108146E+15
2019/04/25,1.8505921365336E+15
2019/04/26,1.8488384197306E+15
2019/04/27,1.8940700398233E+15
2019/04/28,1.8850951605147E+15
2019/04/29,1905690034587347
2019/04/30,1928695429611980
2019/05/01,1.9195926816155E+15
2019/05/02,1908352390903752
2019/05/03,1896924686550002
2019/05/04,1.9456265436428E+15
2019/05/05,1.9581023545827E+15
2019/05/06,1.9179674332683E+15
2019/05/07,1.945358884738E+15
2019/05/08,1.933128943773E+15
2019/05/09,1.9334764993127E+15
2019/05/10,1.9254095979999E+15
2019/05/11,1.9498084221152E+15
2019/05/12,1.9705259848586E+15
2019/05/13,1.9640824951176E+15
2019/05/14,2.0058543949784E+15
2019/05/15,2.0275587643057E+15
2019/05/16,2028509045897907
2019/05/17,2.1158011986133E+15
2019/05/18,2.1626600272887E+15
2019/05/19,2115431155046203
2019/05/20,2.0944134101019E+15
2019/05/21,2059313418670566
2019/05/22,2063611016186880
2019/05/23,2.0510248681757E+15
2019/05/24,2.0070075941468E+15
2019/05/25,2.0161541156616E+15
2019/05/26,2014949432324708
2019/05/27,2.0845819784352E+15
2019/05/28,2.0386202048923E+15
2019/05/29,2.1188813325214E+15
2019/05/30,2.1446313972137E+15
2019/05/31,2.1007997115637E+15
2019/06/01,2112901729930458
2019/06/02,2.1516187804008E+15
2019/06/03,2.0635228205396E+15
2019/06/04,2.0719967278232E+15
2019/06/05,2.0235777235168E+15
2019/06/06,2100678926321673
2019/06/07,2.1192260233063E+15
2019/06/08,2.0647627306025E+15
2019/06/09,2.0250661754439E+15
2019/06/10,2030954751041043
2019/06/11,2.0363086830748E+15
2019/06/12,2.0296589302401E+15
2019/06/13,1.9993632451666E+15
2019/06/14,2004823909663888
2019/06/15,2.0104429321954E+15
2019/06/16,2005504686060971
2019/06/17,2024351059329547
2019/06/18,2.0290628958378E+15
2019/06/19,2052797464273100
2019/06/20,2.0302802552382E+15
2019/06/21,2021983642222730
2019/06/22,1.9952425622277E+15
2019/06/23,2.0283993964441E+15
2019/06/24,2.075130108361E+15
2019/06/25,2092172773917601
2019/06/26,2.1800145433891E+15
2019/06/27,2.1679197823301E+15
2019/06/28,2128016376600572
2019/06/29,2.1899828637277E+15
2019/06/30,2187357440472105
2019/07/01,2164523743806057
2019/07/02,2195022550866414
2019/07/03,2.1371194942509E+15
2019/07/04,2.1178605889168E+15
2019/07/05,2.1362909262534E+15
2019/07/06,2.1607283445972E+15
2019/07/07,2.1502537715213E+15
2019/07/08,2.1353830652196E+15
2019/07/09,2.1837655542076E+15
2019/07/10,2.1979769400144E+15
2019/07/11,2.2367790063407E+15
2019/07/12,2269238358740816
2019/07/13,2.2377922149526E+15
2019/07/14,2.2599869879015E+15
2019/07/15,2.2790644913523E+15
2019/07/16,2.1995826696463E+15
2019/07/17,2246231621154095
2019/07/18,2.244270110287E+15
2019/07/19,2.200520894451E+15
2019/07/20,2.2199726508897E+15
2019/07/21,2.2004138484067E+15
2019/07/22,2.1631761685333E+15
2019/07/23,2.1979311284431E+15
2019/07/24,2.2130055454804E+15
2019/07/25,2208933967824463
2019/07/26,2.1812361777107E+15
2019/07/27,2.2442298702311E+15
2019/07/28,2.2273849905917E+15
2019/07/29,2.2287863698569E+15
2019/07/30,2.2457193933906E+15
2019/07/31,2.214317715571E+15
2019/08/01,2186554067202485
2019/08/02,2.1864669316682E+15
2019/08/03,2.2310406859937E+15
2019/08/04,2.2750290436886E+15
2019/08/05,2.2964267772795E+15
2019/08/06,2.3006017499695E+15
2019/08/07,2.304187700751E+15
2019/08/08,2.3136510271547E+15
2019/08/09,2.2897754256978E+15
2019/08/10,2320542825848176
2019/08/11,2.298713984021E+15
2019/08/12,2.3097628135484E+15
2019/08/13,2321781475275562
2019/08/14,2.2875020194349E+15
2019/08/15,2.3166207955836E+15
2019/08/16,2286198137986443
2019/08/17,2.3423949870021E+15
2019/08/18,2.2677510634729E+15
2019/08/19,2281337434824763
2019/08/20,2.2452081006681E+15
2019/08/21,2228614257230620
2019/08/22,2.1800139650254E+15
2019/08/23,2.2126200503352E+15
2019/08/24,2229803360819966
2019/08/25,2.1652813803449E+15
2019/08/26,2246441107865087
2019/08/27,2154569583375534
2019/08/28,2.1814910823743E+15
2019/08/29,2.2301333983843E+15
2019/08/30,2.2651283283176E+15
2019/08/31,2.2415941345069E+15
2019/09/01,2.227939226762E+15
2019/09/02,2.2433513290984E+15
2019/09/03,2273744050108076
2019/09/04,2.2269225214993E+15
2019/09/05,2.2370124253366E+15
2019/09/06,2.1771202357564E+15
2019/09/07,2277902366398615
2019/09/08,2283723725341327
2019/09/09,2.2434367764318E+15
2019/09/10,2.2608050622929E+15
2019/09/11,2262207308283401
2019/09/12,2328303337077473
2019/09/13,2.3197023652972E+15
2019/09/14,2.3193349789565E+15
2019/09/15,2.320624192375E+15
2019/09/16,2.3594822532295E+15
2019/09/17,2422785659611003
2019/09/18,2449168786542977
2019/09/19,2.4261128366754E+15
2019/09/20,2.4250237756855E+15
2019/09/21,2.5075465168208E+15
2019/09/22,2450662484240815
2019/09/23,2492390378290837
2019/09/24,2455788512103047
2019/09/25,2.4721261828836E+15
2019/09/26,2503888016862004
2019/09/27,2.4835317913445E+15
2019/09/28,2475973481680339
2019/09/29,2451547170126610
2019/09/30,2.4613617513351E+15
2019/10/01,2.449818489718E+15
2019/10/02,2412054863369323
2019/10/03,2.3738512489925E+15
2019/10/04,2.3857421859279E+15
2019/10/05,2387834041212111
2019/10/06,2393554241959079
2019/10/07,2398938913247369
2019/10/08,2.3888879335709E+15
2019/10/09,2.3688183833201E+15
2019/10/10,2418255518576291
2019/10/11,2473563504330847
2019/10/12,2.4087337094527E+15
2019/10/13,2.4611580396032E+15
2019/10/14,2.4117989186235E+15
2019/10/15,2516207775557752
2019/10/16,2492318145815961
2019/10/17,2486530148462043
2019/10/18,2407066924696037
2019/10/19,2.4836206237566E+15
2019/10/20,2.4806458376466E+15
2019/10/21,2.4175201840414E+15
2019/10/22,2392022853360061
2019/10/23,2.4821657261166E+15
2019/10/24,2458663391683621
2019/10/25,2422857483247925
2019/10/26,2.4360737917768E+15
2019/10/27,2416397768092151
2019/10/28,2406581452067040
2019/10/29,2.4267208092839E+15
2019/10/30,2.4531400815716E+15
2019/10/31,2.4668734391521E+15
2019/11/01,2464978057075607
2019/11/02,2.4634675663916E+15
2019/11/03,2.4272414372564E+15
2019/11/04,2404264712194113
2019/11/05,2421937723421829
2019/11/06,2.4618877452112E+15
2019/11/07,2468418965327485
2019/11/08,2440985568207533
2019/11/09,2469337794756456
2019/11/10,2.5235335978754E+15
2019/11/11,2.4925791855233E+15
2019/11/12,2.5137899773407E+15
2019/11/13,2.5651686592901E+15
2019/11/14,2516820631330685
2019/11/15,2503835864737148
2019/11/16,2454342093908715
2019/11/17,2.5043869024197E+15
2019/11/18,2534156551424802
2019/11/19,2.4103107803796E+15
2019/11/20,2.3567662290688E+15
2019/11/21,2.455855793041E+15
2019/11/22,2434560067467606
2019/11/23,2.4405671500834E+15
2019/11/24,2.4506483005385E+15
2019/11/25,2531851477661658
2019/11/26,2.4533884717413E+15
2019/11/27,2522861708362364
2019/11/28,2538430650865425
2019/11/29,2538603888365645
2019/11/30,2532424011804274
2019/12/01,2.5300059820193E+15
2019/12/02,2.5382324096874E+15
2019/12/03,2585801731873215
2019/12/04,2559110105035919
2019/12/05,2511602574789702
2019/12/06,2492341363791679
2019/12/07,2.5566434626302E+15
2019/12/08,2.4861222908872E+15
2019/12/09,2498407919192009
2019/12/10,2569204749012204
2019/12/11,2524277250853200
2019/12/12,2.5069355982846E+15
2019/12/13,2621770286282596
2019/12/14,2848512864360554
