Date,transactionvalue14varUSD
2017/06/30,8835595
2017/07/01,8123567
2017/07/02,8529758
2017/07/03,17397113
2017/07/04,20057437
2017/07/05,21122997
2017/07/06,21516304
2017/07/07,22439506
2017/07/08,22645830
2017/07/09,24004324
2017/07/10,24245564
2017/07/11,24476353
2017/07/12,24539886
2017/07/13,27510228
2017/07/14,33043030
2017/07/15,37349253
2017/07/16,36872713
2017/07/17,29918353
2017/07/18,29786105
2017/07/19,30694671
2017/07/20,30665678
2017/07/21,30664688
2017/07/22,33371948
2017/07/23,30194379
2017/07/24,27585839
2017/07/25,25628295
2017/07/26,22140886
2017/07/27,22475102
2017/07/28,22382860
2017/07/29,23106791
2017/07/30,23713369
2017/07/31,29963080
2017/08/01,31401431
2017/08/02,32841536
2017/08/03,35229678
2017/08/04,34714103
2017/08/05,31775451
2017/08/06,29756151
2017/08/07,28792235
2017/08/08,24703530
2017/08/09,22578831
2017/08/10,24664772
2017/08/11,73130040
2017/08/12,79977803
2017/08/13,92529272
2017/08/14,88963399
2017/08/15,86868212
2017/08/16,84984469
2017/08/17,81538271
2017/08/18,77632532
2017/08/19,76800492
2017/08/20,75776270
2017/08/21,74990438
2017/08/22,74918927
2017/08/23,75418496
2017/08/24,75464925
2017/08/25,32640053
2017/08/26,23832251
2017/08/27,12409277
2017/08/28,25552169
2017/08/29,28927804
2017/08/30,58888107
2017/08/31,58376566
2017/09/01,57233214
2017/09/02,54686528
2017/09/03,52949690
2017/09/04,51935813
2017/09/05,51142189
2017/09/06,51306368
2017/09/07,53268832
2017/09/08,53775690
2017/09/09,46628530
2017/09/10,45277319
2017/09/11,36842302
2017/09/12,35922277
2017/09/13,7965074
2017/09/14,6791973
2017/09/15,5965635
2017/09/16,6210853
2017/09/17,6054271
2017/09/18,7059620
2017/09/19,7239002
2017/09/20,7679825
2017/09/21,7833771
2017/09/22,8149840
2017/09/23,6758978
2017/09/24,5321070
2017/09/25,4949308
2017/09/26,4679519
2017/09/27,4469573
2017/09/28,4416475
2017/09/29,4586041
2017/09/30,4698684
2017/10/01,5586884
2017/10/02,2744664
2017/10/03,11571257
2017/10/04,13792269
2017/10/05,13745779
2017/10/06,13697971
2017/10/07,13689290
2017/10/08,13277051
2017/10/09,13158939
2017/10/10,13067556
2017/10/11,13075384
2017/10/12,13063227
2017/10/13,13145934
2017/10/14,12380662
2017/10/15,10368441
2017/10/16,10748261
2017/10/17,3577126
2017/10/18,1718180
2017/10/19,1814866
2017/10/20,2235037
2017/10/21,2469442
2017/10/22,2815973
2017/10/23,2752388
2017/10/24,2666892
2017/10/25,2829575
2017/10/26,2943881
2017/10/27,5383699
2017/10/28,7533764
2017/10/29,9212731
2017/10/30,11216960
2017/10/31,12562757
2017/11/01,11689747
2017/11/02,12011574
2017/11/03,12431128
2017/11/04,12332614
2017/11/05,12211248
2017/11/06,11525375
2017/11/07,10734117
2017/11/08,10939514
2017/11/09,15368389
2017/11/10,14756651
2017/11/11,13559418
2017/11/12,12855658
2017/11/13,9143810
2017/11/14,4805262
2017/11/15,5142037
2017/11/16,5410167
2017/11/17,5546961
2017/11/18,5196542
2017/11/19,4494266
2017/11/20,3895644
2017/11/21,2553057
