Date,sentinusd30rsiUSD
2017/03/07,57.898
2017/03/08,58.084
2017/03/09,61.013
2017/03/10,60.119
2017/03/11,63.497
2017/03/12,71.526
2017/03/13,69.665
2017/03/14,53.758
2017/03/15,54.273
2017/03/16,75.547
2017/03/17,60.52
2017/03/18,63.089
2017/03/19,49.841
2017/03/20,51.04
2017/03/21,54.888
2017/03/22,53.446
2017/03/23,53.607
2017/03/24,56.913
2017/03/25,54.925
2017/03/26,52.961
2017/03/27,53.917
2017/03/28,53.801
2017/03/29,55.748
2017/03/30,58.476
2017/03/31,55.637
2017/04/01,51.868
2017/04/02,55.242
2017/04/03,55.482
2017/04/04,49.871
2017/04/05,52.22
2017/04/06,54.575
2017/04/07,48.087
2017/04/08,49.008
2017/04/09,48.964
2017/04/10,49.87
2017/04/11,49.881
2017/04/12,49.602
2017/04/13,48.774
2017/04/14,49.537
2017/04/15,47.363
2017/04/16,46.346
2017/04/17,46.748
2017/04/18,50.863
2017/04/19,51.703
2017/04/20,52.347
2017/04/21,50.213
2017/04/22,49.638
2017/04/23,49.668
2017/04/24,50.894
2017/04/25,50.381
2017/04/26,52.959
2017/04/27,56.694
2017/04/28,57.665
2017/04/29,57.887
2017/04/30,59.982
2017/05/01,67.031
2017/05/02,61.572
2017/05/03,63.156
2017/05/04,64.766
2017/05/05,66.261
2017/05/06,56.949
2017/05/07,60.33
2017/05/08,59.024
2017/05/09,58.021
2017/05/10,57.894
2017/05/11,60.751
2017/05/12,56.507
2017/05/13,52.21
2017/05/14,51.786
2017/05/15,55.185
2017/05/16,58.081
2017/05/17,51.995
2017/05/18,49.291
2017/05/19,54.855
2017/05/20,51.424
2017/05/21,54.577
2017/05/22,66.092
2017/05/23,56.625
2017/05/24,57.672
2017/05/25,57.242
2017/05/26,57.591
2017/05/27,51.957
2017/05/28,51.336
2017/05/29,52.145
2017/05/30,54.845
2017/05/31,63.836
2017/06/01,57.362
2017/06/02,57.009
2017/06/03,56.134
2017/06/04,55.642
2017/06/05,58.484
2017/06/06,61.334
2017/06/07,59.035
2017/06/08,56.323
2017/06/09,57.211
2017/06/10,53.753
2017/06/11,56.08
2017/06/12,67.877
2017/06/13,63.441
2017/06/14,54.684
2017/06/15,57.975
2017/06/16,57.027
2017/06/17,51.164
2017/06/18,50.699
2017/06/19,51.735
2017/06/20,54.102
2017/06/21,47.732
2017/06/22,49.247
2017/06/23,50.347
2017/06/24,50.893
2017/06/25,46.574
2017/06/26,49.422
2017/06/27,49.593
2017/06/28,49.953
2017/06/29,50.632
2017/06/30,49.661
2017/07/01,48.74
2017/07/02,47.732
2017/07/03,56.432
2017/07/04,53.99
2017/07/05,47.914
2017/07/06,48.493
2017/07/07,48.665
2017/07/08,47.856
2017/07/09,46.341
2017/07/10,49.06
2017/07/11,49.228
2017/07/12,49.398
2017/07/13,52.603
2017/07/14,53.231
2017/07/15,52.483
2017/07/16,51.528
2017/07/17,51.4
2017/07/18,53.8
2017/07/19,53.484
2017/07/20,52.114
2017/07/21,52.511
2017/07/22,45.956
2017/07/23,46.995
2017/07/24,52.344
2017/07/25,52.604
2017/07/26,50.722
2017/07/27,51.486
2017/07/28,52.415
2017/07/29,51.219
2017/07/30,48.89
2017/07/31,47.058
2017/08/01,47.705
2017/08/02,47.558
2017/08/03,47.037
2017/08/04,47.149
2017/08/05,48.019
2017/08/06,48.205
2017/08/07,48.923
2017/08/08,49.91
2017/08/09,50.429
2017/08/10,57.223
2017/08/11,66.372
2017/08/12,56.832
2017/08/13,57.2
2017/08/14,54.524
2017/08/15,52.035
2017/08/16,50.559
2017/08/17,50.67
2017/08/18,50.79
2017/08/19,48.951
2017/08/20,48.269
2017/08/21,49.813
2017/08/22,49.174
2017/08/23,50.127
2017/08/24,49.585
2017/08/25,48.98
2017/08/26,46.433
2017/08/27,53.664
2017/08/28,57.443
2017/08/29,54.35
2017/08/30,60.671
2017/08/31,51.756
2017/09/01,51.439
2017/09/02,50.182
2017/09/03,48.861
2017/09/04,50.442
2017/09/05,50.031
2017/09/06,50.713
2017/09/07,48.916
2017/09/08,49.421
2017/09/09,51.423
2017/09/10,50.277
2017/09/11,49.609
2017/09/12,49.782
2017/09/13,47.505
2017/09/14,48.918
2017/09/15,49.441
2017/09/16,47.454
2017/09/17,48.031
2017/09/18,50.959
2017/09/19,49.616
2017/09/20,47.795
2017/09/21,47.571
2017/09/22,47.132
2017/09/23,46.941
