Date,sentinusd90smaUSD
2017/07/13,2579724313
2017/07/14,2632602904
2017/07/15,2681863993
2017/07/16,2725011269
2017/07/17,2763991000
2017/07/18,2817732419
2017/07/19,2869111794
2017/07/20,2914480520
2017/07/21,2962774629
2017/07/22,2970346488
2017/07/23,2983121070
2017/07/24,3031150572
2017/07/25,3078943035
2017/07/26,3111365450
2017/07/27,3147985117
2017/07/28,3190628578
2017/07/29,3223886931
2017/07/30,3233843723
2017/07/31,3235633507
2017/08/01,3239241143
2017/08/02,3239641791
2017/08/03,3234499775
2017/08/04,3238204108
2017/08/05,3241853452
2017/08/06,3247819378
2017/08/07,3258615935
2017/08/08,3274779926
2017/08/09,3289622762
2017/08/10,3349505486
2017/08/11,3492413901
2017/08/12,3576602576
2017/08/13,3659566755
2017/08/14,3719054036
2017/08/15,3767419444
2017/08/16,3808046447
2017/08/17,3840620391
2017/08/18,3879394372
2017/08/19,3898520913
2017/08/20,3883817085
2017/08/21,3898591938
2017/08/22,3905581919
2017/08/23,3920313325
2017/08/24,3930220194
2017/08/25,3948397564
2017/08/26,3949593618
2017/08/27,4002346626
2017/08/28,4082070019
2017/08/29,4108493073
2017/08/30,4217855633
2017/08/31,4248432869
2017/09/01,4278173229
2017/09/02,4296464619
2017/09/03,4290995932
2017/09/04,4290322489
2017/09/05,4291690069
2017/09/06,4307454166
2017/09/07,4302301336
2017/09/08,4312147886
2017/09/09,4332632220
2017/09/10,4281358238
2017/09/11,4239160143
2017/09/12,4234914665
2017/09/13,4189496542
2017/09/14,4160901216
2017/09/15,4166818163
2017/09/16,4157094322
2017/09/17,4146345501
2017/09/18,4147208618
2017/09/19,4172928512
2017/09/20,4173046725
2017/09/21,4164457953
2017/09/22,4148610721
2017/09/23,4157973135
2017/09/24,4148034999
2017/09/25,4143110303
2017/09/26,4136900865
2017/09/27,4128704816
2017/09/28,4128882454
2017/09/29,4128551222
2017/09/30,4128946515
2017/10/01,4067528186
2017/10/02,4029097631
2017/10/03,4081791446
2017/10/04,4105810858
2017/10/05,4110642536
2017/10/06,4121907334
2017/10/07,4138290803
2017/10/08,4140807777
2017/10/09,4147373915
2017/10/10,4155054942
2017/10/11,4137522808
2017/10/12,4119656038
2017/10/13,4119760202
2017/10/14,4113322303
2017/10/15,4103604289
2017/10/16,4072396975
2017/10/17,4055030864
2017/10/18,4054779387
2017/10/19,4045215250
2017/10/20,4072539442
2017/10/21,4089511817
2017/10/22,4067535918
2017/10/23,4053876290
2017/10/24,4053974424
2017/10/25,4040066579
2017/10/26,4018579660
2017/10/27,3972369189
2017/10/28,3940997982
2017/10/29,3921911079
2017/10/30,3898905293
2017/10/31,3876854842
2017/11/01,3904366709
2017/11/02,3934715170
2017/11/03,3951903975
2017/11/04,3954909110
2017/11/05,3952255456
2017/11/06,3950049984
2017/11/07,3939374309
2017/11/08,3899643944
2017/11/09,3809154886
2017/11/10,3759425095
2017/11/11,3702314651
2017/11/12,3680599821
2017/11/13,3657899718
2017/11/14,3647354190
2017/11/15,3658191001
2017/11/16,3661971758
2017/11/17,3680803689
2017/11/18,3695405921
2017/11/19,3701225702
2017/11/20,3729211868
2017/11/21,3749462132
2017/11/22,3774943401
2017/11/23,3808285092
2017/11/24,3854542863
2017/11/25,3865153147
2017/11/26,3837520615
2017/11/27,3857492021
2017/11/28,3833585323
2017/11/29,3907206065
2017/11/30,3964163847
2017/12/01,4014311540
2017/12/02,4088639721
2017/12/03,4141732445
2017/12/04,4194744685
2017/12/05,4185393782
2017/12/06,4212697929
2017/12/07,4217267826
2017/12/08,4196181386
2017/12/09,4175590157
2017/12/10,4157966519
2017/12/11,4141021613
2017/12/12,4192335016
2017/12/13,4228898510
2017/12/14,4278035237
2017/12/15,4324698574
2017/12/16,4355313545
2017/12/17,4360652844
2017/12/18,4384443829
2017/12/19,4457098929
2017/12/20,4544141276
2017/12/21,4638792934
2017/12/22,4724976230
2017/12/23,4781380773
2017/12/24,4809267831
2017/12/25,4831482768
2017/12/26,4875046275
2017/12/27,4927190231
2017/12/28,4999987461
2017/12/29,5099162595
2017/12/30,5212038822
2017/12/31,5261232513
2018/01/01,5256791525
2018/01/02,5340398954
2018/01/03,5447728513
2018/01/04,5630357897
2018/01/05,5806538441
2018/01/06,5947874271
2018/01/07,6061096573
2018/01/08,6218625355
2018/01/09,6403966912
2018/01/10,6622299314
2018/01/11,6787042624
2018/01/12,6921014255
2018/01/13,7031273094
2018/01/14,7376410003
2018/01/15,7509919752
2018/01/16,7653223284
2018/01/17,7780715499
2018/01/18,7902225152
2018/01/19,7974351817
2018/01/20,8041496220
2018/01/21,8090948464
2018/01/22,8150850005
2018/01/23,8211725566
2018/01/24,8276896011
2018/01/25,8325756340
2018/01/26,8441922059
2018/01/27,8519136168
2018/01/28,8615849641
2018/01/29,8721271001
2018/01/30,8782695611
2018/01/31,8833504639
2018/02/01,8894591795
2018/02/02,8981528203
2018/02/03,9021570557
2018/02/04,9040897222
2018/02/05,9076881188
2018/02/06,9106299103
2018/02/07,9103564440
2018/02/08,9089920891
2018/02/09,9094834597
2018/02/10,9091738679
2018/02/11,9089147427
2018/02/12,9093772880
2018/02/13,9092387732
2018/02/14,9084570017
2018/02/15,9084604165
2018/02/16,9082353597
2018/02/17,9077383846
2018/02/18,9053680623
2018/02/19,9027099727
2018/02/20,9005754485
2018/02/21,8976367802
2018/02/22,8962833288
2018/02/23,8908659400
2018/02/24,8856254908
2018/02/25,8769514702
2018/02/26,8666359305
2018/02/27,8536993266
2018/02/28,8427557274
2018/03/01,8338940646
2018/03/02,8238366691
2018/03/03,8138025329
2018/03/04,8042134238
2018/03/05,8006771841
2018/03/06,7955299831
2018/03/07,7920946625
2018/03/08,7889439859
2018/03/09,7868259814
2018/03/10,7845722936
2018/03/11,7820233970
2018/03/12,7751107758
2018/03/13,7693510623
2018/03/14,7611829100
2018/03/15,7549246907
2018/03/16,7494657988
2018/03/17,7438408611
2018/03/18,7383729899
2018/03/19,7294577859
2018/03/20,7190685184
2018/03/21,7082842743
2018/03/22,6983324851
2018/03/23,6917968192
2018/03/24,6870445580
2018/03/25,6826292156
2018/03/26,6763808848
2018/03/27,6691985728
2018/03/28,6604960552
2018/03/29,6496278995
2018/03/30,6378406290
2018/03/31,6312543027
2018/04/01,6249071359
2018/04/02,6123031585
2018/04/03,5992597668
2018/04/04,5785467751
2018/04/05,5589068393
2018/04/06,5423806089
2018/04/07,5279807838
2018/04/08,5091016957
2018/04/09,4879807971
2018/04/10,4630239912
2018/04/11,4422089632
2018/04/12,4261464169
2018/04/13,4129732742
2018/04/14,3762035164
2018/04/15,3595288067
2018/04/16,3410571674
2018/04/17,3248818091
2018/04/18,3098626735
2018/04/19,3002944585
2018/04/20,2919514930
2018/04/21,2840897435
2018/04/22,2747423214
2018/04/23,2675110451
2018/04/24,2598699896
2018/04/25,2567901196
2018/04/26,2465959115
2018/04/27,2404311112
2018/04/28,2321105243
2018/04/29,2228314725
2018/04/30,2135941090
2018/05/01,2049222859
2018/05/02,1966994014
2018/05/03,1875353730
2018/05/04,1831551446
2018/05/05,1795891725
2018/05/06,1747128300
2018/05/07,1704261018
2018/05/08,1659419949
2018/05/09,1644709249
2018/05/10,1615047151
2018/05/11,1576136728
2018/05/12,1551450311
2018/05/13,1516335884
2018/05/14,1473022146
