Date,hashrate3trx
2017/01/25,0.554
2017/01/26,0.72
2017/01/27,0.566
2017/01/28,0.434
2017/01/29,0.069
2017/01/30,0.194
2017/01/31,0.287
2017/02/01,0.121
2017/02/02,0.267
2017/02/03,0.138
2017/02/04,0.259
2017/02/05,0.839
2017/02/06,1.223
2017/02/07,1.213
2017/02/08,1.175
2017/02/09,0.947
2017/02/10,1.079
2017/02/11,1.128
2017/02/12,1.16
2017/02/13,1.203
2017/02/14,1.219
2017/02/15,1.117
2017/02/16,0.86
2017/02/17,0.842
2017/02/18,0.881
2017/02/19,1.009
2017/02/20,1.006
2017/02/21,1.149
2017/02/22,0.932
2017/02/23,0.698
2017/02/24,0.554
2017/02/25,0.807
2017/02/26,1.396
2017/02/27,1.588
2017/02/28,2.018
2017/03/01,1.536
2017/03/02,1.2
2017/03/03,1.372
2017/03/04,1.171
2017/03/05,1.46
2017/03/06,1.501
2017/03/07,1.216
2017/03/08,1.345
2017/03/09,1.311
2017/03/10,1.135
2017/03/11,1.138
2017/03/12,1.055
2017/03/13,1.39
2017/03/14,1.243
2017/03/15,1.318
2017/03/16,1.365
2017/03/17,1.893
2017/03/18,2.118
2017/03/19,1.198
2017/03/20,1.314
2017/03/21,1.055
2017/03/22,1.055
2017/03/23,1.395
2017/03/24,1.341
2017/03/25,1.182
2017/03/26,1.592
2017/03/27,2.199
2017/03/28,1.87
2017/03/29,1.896
2017/03/30,1.731
2017/03/31,1.751
2017/04/01,1.328
2017/04/02,0.882
2017/04/03,-0.006
2017/04/04,0.25
2017/04/05,0.854
2017/04/06,0.991
2017/04/07,1.079
2017/04/08,1.041
2017/04/09,0.637
2017/04/10,0.358
2017/04/11,0.605
2017/04/12,0.638
2017/04/13,0.302
2017/04/14,1.17
2017/04/15,1.198
2017/04/16,1.18
2017/04/17,1.208
2017/04/18,1.337
2017/04/19,1.097
2017/04/20,0.928
2017/04/21,1.059
2017/04/22,1.083
2017/04/23,1.244
2017/04/24,0.737
2017/04/25,0.867
2017/04/26,0.724
2017/04/27,0.72
2017/04/28,1.434
2017/04/29,1.979
2017/04/30,1.656
2017/05/01,1.332
2017/05/02,1.024
2017/05/03,0.946
2017/05/04,0.625
2017/05/05,1.006
2017/05/06,1.121
2017/05/07,1.236
2017/05/08,0.934
2017/05/09,1.198
2017/05/10,1.109
2017/05/11,1.106
2017/05/12,1.422
2017/05/13,1.111
2017/05/14,1.147
2017/05/15,1.508
2017/05/16,1.722
2017/05/17,0.895
2017/05/18,0.706
2017/05/19,1.096
2017/05/20,1.574
2017/05/21,2.009
2017/05/22,2.334
2017/05/23,1.67
2017/05/24,1.334
2017/05/25,1.1
2017/05/26,0.884
2017/05/27,1.052
2017/05/28,0.961
2017/05/29,1.595
2017/05/30,2.664
2017/05/31,2.492
2017/06/01,2.663
2017/06/02,2.074
2017/06/03,1.826
2017/06/04,1.848
2017/06/05,1.963
2017/06/06,1.951
2017/06/07,2.216
2017/06/08,2.196
2017/06/09,1.84
2017/06/10,2.067
2017/06/11,2.3
2017/06/12,2.087
2017/06/13,2.112
2017/06/14,2.194
2017/06/15,2.191
2017/06/16,2.119
2017/06/17,2.231
2017/06/18,2.273
2017/06/19,2.129
2017/06/20,2.019
2017/06/21,1.822
2017/06/22,1.632
2017/06/23,1.232
2017/06/24,1.172
2017/06/25,1.195
2017/06/26,1.526
2017/06/27,1.502
2017/06/28,1.613
2017/06/29,1.823
2017/06/30,1.718
2017/07/01,1.6
2017/07/02,1.443
2017/07/03,1.566
2017/07/04,1.769
2017/07/05,1.297
2017/07/06,1.047
2017/07/07,1.03
2017/07/08,0.994
2017/07/09,0.954
2017/07/10,1.012
2017/07/11,0.834
2017/07/12,0.296
2017/07/13,0.066
2017/07/14,-0.281
2017/07/15,0.019
2017/07/16,0.545
2017/07/17,0.117
2017/07/18,0.085
2017/07/19,0.617
2017/07/20,1.282
2017/07/21,1.41
2017/07/22,1.187
2017/07/23,1.361
2017/07/24,0.956
2017/07/25,1.175
2017/07/26,1.151
2017/07/27,0.753
2017/07/28,0.739
2017/07/29,0.526
2017/07/30,0.733
2017/07/31,1.092
2017/08/01,1.138
2017/08/02,0.79
2017/08/03,-0.002
2017/08/04,0.035
2017/08/05,0.028
2017/08/06,0.182
2017/08/07,0.622
2017/08/08,0.946
2017/08/09,1.226
2017/08/10,0.963
2017/08/11,0.827
2017/08/12,1.074
2017/08/13,1.154
2017/08/14,1.311
2017/08/15,1.409
2017/08/16,1.325
2017/08/17,1.273
2017/08/18,0.98
2017/08/19,1.188
2017/08/20,0.901
2017/08/21,0.923
2017/08/22,0.88
2017/08/23,1.046
2017/08/24,0.881
2017/08/25,0.393
2017/08/26,0.151
2017/08/27,-0.022
2017/08/28,-0.477
2017/08/29,0.187
2017/08/30,0.695
2017/08/31,0.613
2017/09/01,0.554
2017/09/02,0.446
2017/09/03,0.274
2017/09/04,0.344
2017/09/05,0.425
2017/09/06,0.302
2017/09/07,0.451
2017/09/08,1.123
2017/09/09,1.04
2017/09/10,0.581
2017/09/11,0.238
2017/09/12,0.729
2017/09/13,0.434
2017/09/14,0.384
2017/09/15,0.777
