Date,sentbyaddress30var
2017/06/20,229174297
2017/06/21,249852148
2017/06/22,267626618
2017/06/23,273892200
2017/06/24,272582140
2017/06/25,261925569
2017/06/26,277781716
2017/06/27,250614825
2017/06/28,383961057
2017/06/29,375928627
2017/06/30,377349769
2017/07/01,376200703
2017/07/02,362069725
2017/07/03,355099151
2017/07/04,343610260
2017/07/05,334256337
2017/07/06,323399237
2017/07/07,319217700
2017/07/08,301394794
2017/07/09,300960417
2017/07/10,293784417
2017/07/11,292020697
2017/07/12,280769695
2017/07/13,281783360
2017/07/14,286833861
2017/07/15,291044437
2017/07/16,295764858
2017/07/17,297014577
2017/07/18,297030366
2017/07/19,296451949
2017/07/20,285652613
2017/07/21,279738562
2017/07/22,280566430
2017/07/23,283851291
2017/07/24,282756677
2017/07/25,284578486
2017/07/26,253797442
2017/07/27,249423868
2017/07/28,88352776
2017/07/29,97651954
2017/07/30,105802548
2017/07/31,109070028
2017/08/01,111837263
2017/08/02,101013627
2017/08/03,90230218
2017/08/04,88712372
2017/08/05,89388924
2017/08/06,70739195
2017/08/07,75141249
2017/08/08,90057196
2017/08/09,90221678
2017/08/10,112595333
2017/08/11,136793265
2017/08/12,150474418
2017/08/13,153414148
2017/08/14,198169814
2017/08/15,239451320
2017/08/16,280103619
2017/08/17,322332731
2017/08/18,385780808
2017/08/19,391056247
2017/08/20,381035674
2017/08/21,377198585
2017/08/22,385826678
2017/08/23,394666560
2017/08/24,381136342
2017/08/25,363923193
2017/08/26,349835939
2017/08/27,333942422
2017/08/28,293259419
2017/08/29,261549411
2017/08/30,269710513
2017/08/31,255761369
2017/09/01,236778543
2017/09/02,206073764
2017/09/03,196099789
2017/09/04,219691941
2017/09/05,210260419
2017/09/06,219411141
2017/09/07,222110024
2017/09/08,214139083
2017/09/09,212786304
2017/09/10,228729799
2017/09/11,224065880
2017/09/12,225730644
2017/09/13,225436968
2017/09/14,236497918
2017/09/15,260874196
2017/09/16,266074968
2017/09/17,297530340
2017/09/18,295634291
2017/09/19,285437545
2017/09/20,287738852
2017/09/21,295872804
2017/09/22,323931820
2017/09/23,340636768
2017/09/24,351904029
2017/09/25,332327219
2017/09/26,327360225
2017/09/27,336552934
2017/09/28,335534458
2017/09/29,333316426
2017/09/30,330378050
2017/10/01,346416242
2017/10/02,350054198
2017/10/03,341310757
2017/10/04,309507331
2017/10/05,288582126
2017/10/06,257129909
2017/10/07,244647554
2017/10/08,231114043
2017/10/09,228339355
2017/10/10,228852630
2017/10/11,230636205
2017/10/12,194054102
2017/10/13,206134931
2017/10/14,168904727
2017/10/15,105546836
2017/10/16,105557088
2017/10/17,142848059
2017/10/18,145277152
2017/10/19,143103806
2017/10/20,156224181
2017/10/21,162079051
2017/10/22,209053452
2017/10/23,205666954
2017/10/24,206651550
2017/10/25,205922463
2017/10/26,200954743
2017/10/27,492961953
2017/10/28,770415123
2017/10/29,1027799203
2017/10/30,1269432188
2017/10/31,1493488057
2017/11/01,1577130399
2017/11/02,1710500716
2017/11/03,1739923165
2017/11/04,1741539413
2017/11/05,1741890339
2017/11/06,1754385983
2017/11/07,1767862704
2017/11/08,1799760420
2017/11/09,1830658573
2017/11/10,1840996833
2017/11/11,1840977934
2017/11/12,1841383930
2017/11/13,1854649238
2017/11/14,1892590006
2017/11/15,1973342086
2017/11/16,1967717181
2017/11/17,2026895630
2017/11/18,2038070336
2017/11/19,2048282266
2017/11/20,2079479033
2017/11/21,2096818932
2017/11/22,2159333391
2017/11/23,2207837758
2017/11/24,2247482730
2017/11/25,2282490978
2017/11/26,1957246259
2017/11/27,1679496985
2017/11/28,1348643047
2017/11/29,1010447941
2017/11/30,533408203
2017/12/01,542340290
2017/12/02,553027137
2017/12/03,622019103
2017/12/04,626353807
2017/12/05,621193545
2017/12/06,832378606
2017/12/07,805854758
2017/12/08,869416774
2017/12/09,928959959
2017/12/10,949513513
2017/12/11,1017692468
2017/12/12,1357783207
2017/12/13,1678478860
2017/12/14,2055856437
2017/12/15,2299152284
2017/12/16,2367260262
2017/12/17,2441814298
2017/12/18,2498897900
2017/12/19,2796660926
2017/12/20,2994593232
2017/12/21,3321609940
2017/12/22,3986920595
2017/12/23,3897728869
2017/12/24,3652321458
2017/12/25,3398079738
2017/12/26,3151590902
2017/12/27,3071386408
2017/12/28,2982492588
2017/12/29,3308803715
2017/12/30,3692043294
2017/12/31,3362408606
2018/01/01,3054073930
2018/01/02,3353500870
2018/01/03,3479037430
2018/01/04,3937810617
2018/01/05,4260875517
2018/01/06,4069860903
2018/01/07,3991118763
2018/01/08,3851106027
2018/01/09,4095875098
2018/01/10,3993498811
2018/01/11,4161007728
2018/01/12,4161023148
2018/01/13,4295262881
2018/01/14,4229403807
2018/01/15,4378935637
2018/01/16,4593286785
2018/01/17,4765077354
2018/01/18,4921617892
2018/01/19,4863048415
2018/01/20,5076246029
2018/01/21,5234986073
2018/01/22,5124790291
2018/01/23,4552438322
2018/01/24,4006626650
2018/01/25,4196771984
2018/01/26,4031163136
2018/01/27,4074934406
2018/01/28,4480087127
2018/01/29,4649271541
2018/01/30,4670341434
2018/01/31,4719440011
2018/02/01,4737362596
2018/02/02,4789800063
2018/02/03,4986355266
2018/02/04,5107337845
2018/02/05,5223334893
2018/02/06,5272952521
2018/02/07,5413663607
2018/02/08,5403704609
2018/02/09,5514895616
2018/02/10,5375025131
2018/02/11,5451048684
2018/02/12,5218390996
2018/02/13,5270271355
2018/02/14,4623042270
2018/02/15,3640678088
2018/02/16,2846322248
2018/02/17,2141592382
2018/02/18,2100188473
2018/02/19,2142401751
2018/02/20,1156252289
2018/02/21,1050116213
2018/02/22,1041969737
2018/02/23,1098948410
2018/02/24,1283634248
2018/02/25,1297114439
2018/02/26,1288623487
2018/02/27,1307081477
2018/02/28,1230320369
2018/03/01,1185860858
2018/03/02,1148080711
2018/03/03,968077647
2018/03/04,854884228
2018/03/05,844321679
2018/03/06,774906192
2018/03/07,1048775630
2018/03/08,934644081
2018/03/09,911228767
2018/03/10,959508139
2018/03/11,1044990599
2018/03/12,1053076069
2018/03/13,1038860268
2018/03/14,980126878
2018/03/15,982325248
2018/03/16,989511911
2018/03/17,1008264704
2018/03/18,1026259323
2018/03/19,1024976989
2018/03/20,1038353699
2018/03/21,1022396173
2018/03/22,949300467
2018/03/23,1015509674
2018/03/24,1019272009
2018/03/25,1126917230
2018/03/26,1115567058
2018/03/27,1126114128
2018/03/28,1162913081
2018/03/29,1165921737
2018/03/30,1142817910
2018/03/31,1179899491
2018/04/01,1252300464
2018/04/02,1277117161
2018/04/03,1254701008
2018/04/04,1251474086
2018/04/05,1211080473
2018/04/06,589533084
2018/04/07,590274547
2018/04/08,587076576
2018/04/09,587736004
2018/04/10,574856163
2018/04/11,571650990
2018/04/12,590710333
2018/04/13,558053489
2018/04/14,551000532
2018/04/15,549982192
2018/04/16,540266465
2018/04/17,540223970
2018/04/18,524264983
2018/04/19,562248762
2018/04/20,599151908
2018/04/21,632406981
2018/04/22,604430645
2018/04/23,757728762
2018/04/24,839195152
2018/04/25,879913492
2018/04/26,903886354
2018/04/27,866094539
2018/04/28,856579600
2018/04/29,854406786
2018/04/30,805182817
2018/05/01,690288629
2018/05/02,660129017
2018/05/03,747732719
2018/05/04,3577518337
2018/05/05,3668271436
2018/05/06,3627648540
2018/05/07,3539253131
2018/05/08,3525967523
2018/05/09,3494533608
2018/05/10,3409165917
2018/05/11,3348308939
2018/05/12,3334204923
2018/05/13,3315913859
2018/05/14,3207698301
2018/05/15,3095224150
2018/05/16,3005146025
2018/05/17,2936983175
2018/05/18,2856812776
2018/05/19,2871779475
2018/05/20,2844622613
2018/05/21,2792562742
2018/05/22,2853709276
2018/05/23,2872102610
2018/05/24,2879772667
2018/05/25,2846276159
2018/05/26,2806266144
2018/05/27,2720535839
2018/05/28,2606874179
2018/05/29,2447295322
2018/05/30,2346687345
2018/05/31,2135026562
2018/06/01,2100159426
2018/06/02,2090812691
2018/06/03,304432171
2018/06/04,306017877
2018/06/05,271982275
2018/06/06,294093864
2018/06/07,294915534
2018/06/08,311498991
2018/06/09,311417279
2018/06/10,310814675
2018/06/11,299971280
2018/06/12,304718760
2018/06/13,354306023
2018/06/14,411343062
2018/06/15,409987252
2018/06/16,543692686
2018/06/17,610103804
2018/06/18,649912106
2018/06/19,647802172
2018/06/20,655756971
2018/06/21,596804248
2018/06/22,590168773
2018/06/23,628853143
2018/06/24,638865227
2018/06/25,1057292496
2018/06/26,1051171113
2018/06/27,1010302021
2018/06/28,979443889
2018/06/29,969383644
2018/06/30,1264476669
2018/07/01,1926743667
2018/07/02,2340310968
2018/07/03,2652715117
2018/07/04,2999387042
2018/07/05,3185171222
2018/07/06,3541477964
2018/07/07,3793834101
2018/07/08,3866684250
2018/07/09,3788901701
2018/07/10,3650834545
2018/07/11,3601480504
2018/07/12,3682470502
2018/07/13,3812173523
2018/07/14,3925100175
2018/07/15,3909958981
2018/07/16,3929016552
2018/07/17,3950938796
2018/07/18,4232355346
2018/07/19,4208711614
2018/07/20,4027289072
2018/07/21,3884199761
2018/07/22,3695164890
2018/07/23,3940989690
2018/07/24,4256719789
2018/07/25,3587029054
2018/07/26,3544424819
2018/07/27,3687032584
2018/07/28,3639175135
2018/07/29,3555056498
2018/07/30,3599023018
2018/07/31,3379316287
2018/08/01,3263508628
2018/08/02,3144905425
2018/08/03,3023265272
2018/08/04,2909262849
2018/08/05,2592656254
2018/08/06,2287415137
2018/08/07,2176302152
2018/08/08,2158671044
2018/08/09,2231643753
2018/08/10,2171022358
2018/08/11,1987073491
2018/08/12,1700571766
2018/08/13,1393540812
2018/08/14,1055394394
2018/08/15,1058015875
2018/08/16,1056024356
2018/08/17,978558220
2018/08/18,1000967816
2018/08/19,1029448251
2018/08/20,929886503
2018/08/21,1014117471
2018/08/22,970203303
2018/08/23,865441212
2018/08/24,716223750
2018/08/25,706466574
2018/08/26,582183799
2018/08/27,581800266
2018/08/28,585790240
2018/08/29,609659894
2018/08/30,626747727
2018/08/31,590324896
2018/09/01,534886824
2018/09/02,409706596
2018/09/03,387277461
2018/09/04,386137606
2018/09/05,365249388
2018/09/06,375859614
2018/09/07,361761947
2018/09/08,309510339
2018/09/09,315830903
2018/09/10,307544264
2018/09/11,338170969
2018/09/12,346145420
2018/09/13,349199728
2018/09/14,387183959
2018/09/15,448522347
2018/09/16,566188360
2018/09/17,578482326
2018/09/18,638740263
2018/09/19,668940383
2018/09/20,708533446
2018/09/21,721061186
2018/09/22,778425150
2018/09/23,793734027
2018/09/24,826395710
2018/09/25,810218861
2018/09/26,767001960
2018/09/27,774807223
2018/09/28,810957079
2018/09/29,877589585
2018/09/30,870587880
2018/10/01,822846874
2018/10/02,749486758
2018/10/03,635009049
2018/10/04,564673794
2018/10/05,541203585
2018/10/06,575134728
2018/10/07,517272490
2018/10/08,480860449
2018/10/09,450350438
2018/10/10,418631911
2018/10/11,432424938
2018/10/12,433174472
2018/10/13,429253096
2018/10/14,428119969
2018/10/15,425350102
2018/10/16,426896873
2018/10/17,478188850
2018/10/18,483125678
2018/10/19,480823346
2018/10/20,478935989
2018/10/21,478697363
2018/10/22,491582128
2018/10/23,485062546
2018/10/24,474187979
2018/10/25,464524467
2018/10/26,432267343
2018/10/27,402883413
2018/10/28,379875750
2018/10/29,318571258
2018/10/30,329220489
2018/10/31,279729660
2018/11/01,200595966
2018/11/02,224996295
2018/11/03,254062907
2018/11/04,245106839
2018/11/05,220346141
2018/11/06,209891101
2018/11/07,227108869
2018/11/08,246417071
2018/11/09,242037478
2018/11/10,250836858
2018/11/11,251411600
2018/11/12,251403427
2018/11/13,243810714
2018/11/14,243368370
2018/11/15,239336092
2018/11/16,222985859
2018/11/17,245550080
2018/11/18,273463234
2018/11/19,330655870
2018/11/20,335045355
2018/11/21,322986078
2018/11/22,322922710
2018/11/23,318674002
2018/11/24,344645890
2018/11/25,342494828
2018/11/26,343616832
2018/11/27,338933502
2018/11/28,304102804
2018/11/29,263410381
2018/11/30,225902669
2018/12/01,234408670
2018/12/02,248526278
2018/12/03,247456401
2018/12/04,255935088
2018/12/05,247942016
2018/12/06,244517595
2018/12/07,248614044
2018/12/08,275994190
2018/12/09,271216195
2018/12/10,271376383
2018/12/11,259880668
2018/12/12,252559992
2018/12/13,252651211
2018/12/14,242546098
2018/12/15,242448383
2018/12/16,245240972
2018/12/17,238774559
2018/12/18,228131685
2018/12/19,141291925
2018/12/20,124031131
2018/12/21,125633711
2018/12/22,142933691
2018/12/23,142998968
2018/12/24,134033867
2018/12/25,133257346
2018/12/26,135391550
2018/12/27,139600549
