Date,transactions3roc
2016/12/21,38.627
2016/12/22,20.996
2016/12/23,0.339
2016/12/24,-25.665
2016/12/25,-33.661
2016/12/26,-22.135
2016/12/27,12.218
2016/12/28,18.538
2016/12/29,34.662
2016/12/30,5.171
2016/12/31,-4.992
2017/01/01,-16.792
2017/01/02,-11.016
2017/01/03,11.312
2017/01/04,30.837
2017/01/05,25.078
2017/01/06,-4.531
2017/01/07,-13.915
2017/01/08,-13.85
2017/01/09,5.442
2017/01/10,10.447
2017/01/11,5.837
2017/01/12,9.528
2017/01/13,5.509
2017/01/14,-7.025
2017/01/15,-17.476
2017/01/16,-10.737
2017/01/17,11.005
2017/01/18,7.775
2017/01/19,-3.85
2017/01/20,-1.92
2017/01/21,-3.761
2017/01/22,8.719
2017/01/23,0.658
2017/01/24,16.424
2017/01/25,-2.479
2017/01/26,1.693
2017/01/27,-7.407
2017/01/28,-2.307
2017/01/29,-9.277
2017/01/30,-2.808
2017/01/31,-3.408
2017/02/01,4.78
2017/02/02,-3.659
2017/02/03,-1.995
2017/02/04,1.951
2017/02/05,6.482
2017/02/06,10.585
2017/02/07,14.217
2017/02/08,9.77
2017/02/09,1.199
2017/02/10,0.686
2017/02/11,-8.865
2017/02/12,-5.335
2017/02/13,7.215
2017/02/14,25.21
2017/02/15,22.068
2017/02/16,-11.281
2017/02/17,-15.253
2017/02/18,-10.705
2017/02/19,-2.913
2017/02/20,1.51
2017/02/21,18.292
2017/02/22,4.448
2017/02/23,-5.087
2017/02/24,-7.449
2017/02/25,5.704
2017/02/26,8.645
2017/02/27,-2.661
2017/02/28,13.207
2017/03/01,15.581
2017/03/02,34.453
2017/03/03,6.664
2017/03/04,-1.703
2017/03/05,-19.424
2017/03/06,-11.314
2017/03/07,6.524
2017/03/08,-2.884
2017/03/09,12.708
2017/03/10,4.053
2017/03/11,17.002
2017/03/12,3.703
2017/03/13,25.477
2017/03/14,19.061
2017/03/15,21.845
2017/03/16,34.548
2017/03/17,38.209
2017/03/18,10.732
2017/03/19,-23.057
2017/03/20,-24.73
2017/03/21,-6.252
2017/03/22,-6.83
2017/03/23,2.704
2017/03/24,4.125
2017/03/25,7.07
2017/03/26,-3.518
2017/03/27,7.717
2017/03/28,-0.055
2017/03/29,17.012
2017/03/30,1.756
2017/03/31,22.234
2017/04/01,-13.423
2017/04/02,-7.547
2017/04/03,-2.794
2017/04/04,7.083
2017/04/05,-1.728
2017/04/06,-5.033
2017/04/07,7.611
2017/04/08,-17.466
2017/04/09,-21.665
2017/04/10,-18.697
2017/04/11,5.194
2017/04/12,7.766
2017/04/13,11.442
2017/04/14,6.936
2017/04/15,-6.879
2017/04/16,-16.036
2017/04/17,-10.608
2017/04/18,11.338
2017/04/19,21.378
2017/04/20,17.787
2017/04/21,-2.431
2017/04/22,-14.224
2017/04/23,-9.803
2017/04/24,-0.919
2017/04/25,26.508
2017/04/26,16.308
2017/04/27,29.756
2017/04/28,14.146
2017/04/29,1.889
2017/04/30,-8.892
2017/05/01,5.659
2017/05/02,20.823
2017/05/03,2.239
2017/05/04,2.384
2017/05/05,-1.667
2017/05/06,-2.384
2017/05/07,-7.178
2017/05/08,8.289
2017/05/09,18.859
2017/05/10,2.853
2017/05/11,-0.272
2017/05/12,-5.04
2017/05/13,-7.605
2017/05/14,-13.517
2017/05/15,14.501
2017/05/16,14.812
2017/05/17,38.271
2017/05/18,11.904
2017/05/19,38.875
2017/05/20,-6.582
2017/05/21,8.944
2017/05/22,9.09
2017/05/23,42.936
2017/05/24,25.113
2017/05/25,3.833
2017/05/26,-9.247
2017/05/27,-20.205
2017/05/28,-15.157
2017/05/29,-6.637
2017/05/30,29.554
2017/05/31,37.905
2017/06/01,25.616
2017/06/02,0.668
2017/06/03,-17.972
2017/06/04,-9.552
2017/06/05,-2.363
2017/06/06,14.164
2017/06/07,15.013
2017/06/08,-1.369
2017/06/09,7.634
2017/06/10,2.981
2017/06/11,28.125
2017/06/12,35.727
2017/06/13,31.261
2017/06/14,4.095
2017/06/15,-10.693
2017/06/16,-11.445
2017/06/17,-3.322
2017/06/18,-5.986
2017/06/19,15.405
2017/06/20,27.433
2017/06/21,-10.029
2017/06/22,-0.693
2017/06/23,-10.507
2017/06/24,13.232
2017/06/25,-18.679
2017/06/26,14.773
2017/06/27,0.968
2017/06/28,18.65
2017/06/29,-16.729
2017/06/30,-0.136
2017/07/01,-12.316
2017/07/02,-5.752
2017/07/03,19.545
2017/07/04,17.05
2017/07/05,9.247
2017/07/06,-14.317
2017/07/07,4.947
2017/07/08,-8.639
2017/07/09,-12.984
2017/07/10,2.452
2017/07/11,17.544
2017/07/12,26.04
2017/07/13,-13.841
2017/07/14,-14.501
2017/07/15,-18.274
2017/07/16,-4.451
2017/07/17,-0.364
2017/07/18,16.854
2017/07/19,8.423
2017/07/20,0.641
2017/07/21,-14.202
2017/07/22,-23.896
2017/07/23,4.169
2017/07/24,13.13
2017/07/25,18.168
2017/07/26,-14.412
2017/07/27,-14.314
2017/07/28,1.47
2017/07/29,-10.843
2017/07/30,-8.344
2017/07/31,1.458
2017/08/01,9.966
2017/08/02,11.83
2017/08/03,-5.499
2017/08/04,17.649
2017/08/05,13.127
2017/08/06,12.183
2017/08/07,9.337
2017/08/08,21.984
2017/08/09,5.726
2017/08/10,20.297
2017/08/11,11.86
2017/08/12,20.815
2017/08/13,-1.548
2017/08/14,14.965
2017/08/15,22.026
2017/08/16,24.21
2017/08/17,4.376
2017/08/18,7.286
2017/08/19,-8.753
2017/08/20,-27.589
2017/08/21,-11.385
2017/08/22,-3.363
2017/08/23,20.903
2017/08/24,-10.287
2017/08/25,-3.319
2017/08/26,-18.266
2017/08/27,-8.027
2017/08/28,3.135
2017/08/29,28.857
2017/08/30,23.459
2017/08/31,5.705
2017/09/01,-0.925
2017/09/02,-17.096
2017/09/03,-21.304
2017/09/04,13.196
2017/09/05,33.989
2017/09/06,64.078
2017/09/07,1.3
2017/09/08,4.296
2017/09/09,-22.709
2017/09/10,-27.483
2017/09/11,-21.197
2017/09/12,5.537
2017/09/13,12.472
2017/09/14,4.069
2017/09/15,9.106
2017/09/16,2.211
2017/09/17,-23.862
2017/09/18,-17.883
2017/09/19,-9.635
2017/09/20,12.25
2017/09/21,-12.595
2017/09/22,-19.624
2017/09/23,-19.963
2017/09/24,-11.4
2017/09/25,12.946
2017/09/26,17.673
2017/09/27,10.009
2017/09/28,7.369
2017/09/29,6.674
2017/09/30,-4.287
2017/10/01,-13.772
2017/10/02,-6.25
2017/10/03,10.855
2017/10/04,8.257
2017/10/05,2.847
2017/10/06,-2.447
2017/10/07,-5.277
2017/10/08,-5.711
2017/10/09,2.592
2017/10/10,20.102
2017/10/11,15.994
2017/10/12,10.738
2017/10/13,8.447
2017/10/14,-3.525
2017/10/15,-9.491
2017/10/16,7.691
2017/10/17,52.215
2017/10/18,43.028
2017/10/19,21.035
2017/10/20,8.154
2017/10/21,-1.604
2017/10/22,-11.876
2017/10/23,-14.386
2017/10/24,6.348
2017/10/25,5.724
2017/10/26,-0.376
2017/10/27,-100
2017/10/28,-100
2017/10/29,-100
2017/10/30,0
