Date,transactions3std
2017/04/15,7761
2017/04/16,8650
2017/04/17,3422
2017/04/18,11153
2017/04/19,11461
2017/04/20,2171
2017/04/21,4074
2017/04/22,9870
2017/04/23,6327
2017/04/24,5709
2017/04/25,13711
2017/04/26,10558
2017/04/27,12709
2017/04/28,14868
2017/04/29,13280
2017/04/30,12588
2017/05/01,18128
2017/05/02,15232
2017/05/03,13233
2017/05/04,14873
2017/05/05,14503
2017/05/06,16563
2017/05/07,11940
2017/05/08,18370
2017/05/09,8919
2017/05/10,6428
2017/05/11,6155
2017/05/12,8469
2017/05/13,13086
2017/05/14,5564
2017/05/15,20225
2017/05/16,17966
2017/05/17,20095
2017/05/18,21265
2017/05/19,21607
2017/05/20,26379
2017/05/21,25242
2017/05/22,37203
2017/05/23,31437
2017/05/24,10327
2017/05/25,3959
2017/05/26,14874
2017/05/27,27610
2017/05/28,17132
2017/05/29,7524
2017/05/30,34713
2017/05/31,45896
2017/06/01,17324
2017/06/02,16482
2017/06/03,20464
2017/06/04,16461
2017/06/05,12266
2017/06/06,16646
2017/06/07,13880
2017/06/08,16169
2017/06/09,23529
2017/06/10,25436
2017/06/11,24499
2017/06/12,66068
2017/06/13,44634
2017/06/14,35679
2017/06/15,24497
2017/06/16,11889
2017/06/17,16399
2017/06/18,4964
2017/06/19,39934
2017/06/20,51703
2017/06/21,73934
2017/06/22,73447
2017/06/23,55869
2017/06/24,28654
2017/06/25,36751
2017/06/26,73330
2017/06/27,72675
2017/06/28,53046
2017/06/29,17348
2017/06/30,17630
2017/07/01,19052
2017/07/02,10138
2017/07/03,54610
2017/07/04,43996
2017/07/05,25350
2017/07/06,18566
2017/07/07,30326
2017/07/08,40470
2017/07/09,58451
2017/07/10,64957
2017/07/11,68437
2017/07/12,15424
2017/07/13,26257
2017/07/14,28663
2017/07/15,23675
2017/07/16,16310
2017/07/17,15890
2017/07/18,20984
2017/07/19,20865
2017/07/20,19365
2017/07/21,30693
2017/07/22,36601
2017/07/23,44841
2017/07/24,53046
2017/07/25,17918
2017/07/26,32780
2017/07/27,17776
2017/07/28,21125
