Date,sentinusd90varUSD
2019/01/28,69923188379305840
2019/01/29,70122646216065136
2019/01/30,70256655318912464
2019/01/31,70422816370933264
2019/02/01,70461517453810880
2019/02/02,71078695387770000
2019/02/03,71511491604743584
2019/02/04,72243399970403264
2019/02/05,72871431152460048
2019/02/06,73229589641487104
2019/02/07,73710022778004848
2019/02/08,73706363194708320
2019/02/09,74082776342340528
2019/02/10,74442917138446688
2019/02/11,74610409176918112
2019/02/12,74277081171859984
2019/02/13,73920535893910656
2019/02/14,74105012552797552
2019/02/15,74244743195369184
2019/02/16,74728100849929488
2019/02/17,72737516094673104
2019/02/18,70502936971079232
2019/02/19,70191316285391248
2019/02/20,70185023234586080
2019/02/21,70161695302643776
2019/02/22,70138682748342944
2019/02/23,70102979519232160
2019/02/24,70215881555128064
2019/02/25,70608184830837280
2019/02/26,70611912292281056
2019/02/27,70546296380222928
2019/02/28,38821908568289200
2019/03/01,13629442733170112
2019/03/02,13552044386281136
2019/03/03,13584897981839920
2019/03/04,13575935426573008
2019/03/05,13574636941213216
2019/03/06,13485340696357088
2019/03/07,13266248672016976
2019/03/08,13264164779364896
2019/03/09,13231963454666432
2019/03/10,13230419447211392
2019/03/11,13208343888704720
2019/03/12,13143283400298480
2019/03/13,13141032932890720
2019/03/14,13101342004667168
2019/03/15,12883285642559008
2019/03/16,12668921587865280
2019/03/17,12696381289327968
2019/03/18,12740029142578480
2019/03/19,12472111133461792
2019/03/20,12204900866768912
2019/03/21,11681074582142384
2019/03/22,11647601658406576
2019/03/23,11588231814202576
2019/03/24,10682620546870096
2019/03/25,10786838511259008
2019/03/26,10817318869683984
2019/03/27,10779085305445248
2019/03/28,10714872057827728
2019/03/29,10147026395057360
2019/03/30,10163909573460880
2019/03/31,10167665831524192
2019/04/01,10164442982889968
2019/04/02,11287103477368816
2019/04/03,13104220117337456
2019/04/04,12500058558873824
2019/04/05,11207325657510272
2019/04/06,11133582365315584
2019/04/07,11131836158072672
2019/04/08,12784806795685904
2019/04/09,13748874939076544
2019/04/10,14052164624230624
2019/04/11,14045435349175664
2019/04/12,14049249274159712
2019/04/13,13994744890137520
2019/04/14,13833721145842208
2019/04/15,13996157926416976
2019/04/16,14031445069482496
2019/04/17,14067955220462816
2019/04/18,14230996079692704
2019/04/19,14148356060159568
2019/04/20,14041674136163936
2019/04/21,13953990895194880
2019/04/22,13963950522652672
2019/04/23,14187896237620800
2019/04/24,14928378547606496
2019/04/25,15261091888061568
2019/04/26,16506867597138608
2019/04/27,16371275644815120
2019/04/28,16384922322547632
2019/04/29,16542342570829120
2019/04/30,16683939012485600
2019/05/01,16695148330807552
2019/05/02,16511771936813008
2019/05/03,16102669259444608
2019/05/04,15654867137007824
2019/05/05,15063924221381472
2019/05/06,14676382235228352
2019/05/07,15031561340696592
2019/05/08,14907562704902128
2019/05/09,14908419894164320
2019/05/10,14535899291103488
2019/05/11,16586005977536368
2019/05/12,16706544420688912
2019/05/13,17978367741020032
2019/05/14,19003190795023264
2019/05/15,23000032754218208
2019/05/16,45386114925123808
2019/05/17,49590144853303776
2019/05/18,49265587983115200
2019/05/19,49598952340722496
2019/05/20,50974105449876160
2019/05/21,51702852604678048
2019/05/22,52441434813636704
2019/05/23,53203069045589024
2019/05/24,52972881307834432
2019/05/25,52973878993333856
2019/05/26,53210407799783040
2019/05/27,54706709141191808
2019/05/28,55239243653374080
2019/05/29,58521163019789152
2019/05/30,61061975341773600
2019/05/31,62047446950882656
2019/06/01,61267256778651200
2019/06/02,60978905346719968
2019/06/03,61326510934729408
2019/06/04,61909905056174752
2019/06/05,62594189028633472
2019/06/06,62228263640367328
2019/06/07,61454915437364224
2019/06/08,61033312546950496
2019/06/09,60733168653223776
2019/06/10,60341220693379968
2019/06/11,59658259435494688
2019/06/12,59193429011627488
2019/06/13,58936104281388544
2019/06/14,58477716940372288
2019/06/15,59477198462183616
2019/06/16,59754664839806912
2019/06/17,58914150066137792
2019/06/18,59165351076883904
2019/06/19,59296476995318144
2019/06/20,58469216014809152
2019/06/21,58958435822400320
2019/06/22,58666986900051008
2019/06/23,58343799173942080
2019/06/24,58105201922023232
2019/06/25,58329918362913216
2019/06/26,62221169806947456
2019/06/27,64836083981730496
2019/06/28,64576692831093376
2019/06/29,63785644667632000
2019/06/30,62945240715697024
2019/07/01,63029981135691200
2019/07/02,62966953512229760
2019/07/03,62687526521364544
2019/07/04,62436619780118208
2019/07/05,61580628237186048
2019/07/06,62006557203911808
2019/07/07,62448869984864960
2019/07/08,62509904491139328
2019/07/09,67721651765874176
2019/07/10,67633031231212928
2019/07/11,68643598239447424
2019/07/12,67153467392039808
2019/07/13,67187075711405056
2019/07/14,66719015195351168
2019/07/15,65816038829023168
2019/07/16,65034047726053888
2019/07/17,64620483248233408
2019/07/18,64080724576855232
2019/07/19,63409614879560448
2019/07/20,63608027144991744
2019/07/21,64776981597194048
2019/07/22,65374108107417216
2019/07/23,66437926595478784
2019/07/24,67398821153985344
2019/07/25,68252722209241664
2019/07/26,67018852238729216
2019/07/27,67949663809505984
2019/07/28,69822106003944768
2019/07/29,70375176950515648
2019/07/30,70721768245836992
2019/07/31,70586109230992704
2019/08/01,70033102540106176
2019/08/02,69467869913463808
2019/08/03,69665554225801024
2019/08/04,71495448849870016
2019/08/05,71474190162304064
2019/08/06,71497230976983232
2019/08/07,71852168688580480
2019/08/08,71897936036064576
2019/08/09,72094585273193088
2019/08/10,73374700311460800
2019/08/11,74773538096087168
2019/08/12,75683118703223104
2019/08/13,74743417382253632
2019/08/14,58110458107669376
2019/08/15,55455996611245312
2019/08/16,55933883150685568
2019/08/17,57400191095463232
2019/08/18,58311948113652224
2019/08/19,58732372208934400
2019/08/20,58575484444024960
2019/08/21,58890719799192640
2019/08/22,59453007439858752
2019/08/23,59877088408269824
2019/08/24,61027543309083200
2019/08/25,61078886642073728
2019/08/26,61301406414249984
2019/08/27,59362645755013952
2019/08/28,57346076616316448
2019/08/29,56255265912910080
2019/08/30,56630869079729696
2019/08/31,56653785072246496
2019/09/01,57173892601592896
2019/09/02,56754859306826080
2019/09/03,55640430179451808
2019/09/04,55963692260143680
2019/09/05,56485319576163200
2019/09/06,56464518523722304
2019/09/07,56751514858776160
2019/09/08,57219637600818464
2019/09/09,57464621983451360
2019/09/10,57913848582339136
2019/09/11,57718636651471776
2019/09/12,57745558547274816
2019/09/13,55426717113574080
2019/09/14,55108852664581024
2019/09/15,55373192302803328
2019/09/16,54368757219300128
2019/09/17,53126081515187264
2019/09/18,52915260472217248
2019/09/19,51072769417662944
2019/09/20,49239985521758176
2019/09/21,49267485467550240
