Date,size14std
2017/06/04,1552
2017/06/05,1480
2017/06/06,1578
2017/06/07,1665
2017/06/08,1670
2017/06/09,1673
2017/06/10,1467
2017/06/11,1599
2017/06/12,1682
2017/06/13,1859
2017/06/14,1857
2017/06/15,1821
2017/06/16,1837
2017/06/17,1764
2017/06/18,1627
2017/06/19,1540
2017/06/20,1632
2017/06/21,1880
2017/06/22,1804
2017/06/23,1828
2017/06/24,1597
2017/06/25,1618
2017/06/26,1635
2017/06/27,1647
2017/06/28,1816
2017/06/29,1861
2017/06/30,1831
2017/07/01,1816
2017/07/02,1769
2017/07/03,1909
2017/07/04,2015
2017/07/05,1441
2017/07/06,1430
2017/07/07,1454
2017/07/08,1457
2017/07/09,1860
2017/07/10,2006
2017/07/11,1989
2017/07/12,2092
2017/07/13,2195
2017/07/14,2179
2017/07/15,2079
2017/07/16,2001
2017/07/17,1985
2017/07/18,2149
2017/07/19,2161
2017/07/20,2114
2017/07/21,2190
2017/07/22,2329
2017/07/23,1827
2017/07/24,1824
2017/07/25,1784
2017/07/26,1818
2017/07/27,1813
2017/07/28,1780
2017/07/29,2016
2017/07/30,2187
2017/07/31,2158
2017/08/01,1812
2017/08/02,1687
2017/08/03,1708
2017/08/04,1878
2017/08/05,1896
2017/08/06,1998
2017/08/07,2316
2017/08/08,3053
2017/08/09,3083
2017/08/10,3488
2017/08/11,4037
2017/08/12,3902
2017/08/13,3506
2017/08/14,3894
2017/08/15,4279
2017/08/16,4638
2017/08/17,4740
2017/08/18,4804
2017/08/19,4501
2017/08/20,4047
2017/08/21,3757
2017/08/22,3673
2017/08/23,3135
2017/08/24,3107
2017/08/25,3096
2017/08/26,2992
2017/08/27,2718
2017/08/28,2969
2017/08/29,3299
2017/08/30,3580
2017/08/31,3593
2017/09/01,3764
2017/09/02,3768
2017/09/03,3560
2017/09/04,4034
2017/09/05,4232
2017/09/06,5015
2017/09/07,5001
2017/09/08,5126
2017/09/09,4786
2017/09/10,4841
2017/09/11,4899
2017/09/12,4898
2017/09/13,4925
2017/09/14,4931
2017/09/15,4971
2017/09/16,4800
2017/09/17,4682
2017/09/18,4615
2017/09/19,4581
2017/09/20,3826
2017/09/21,3254
2017/09/22,2413
2017/09/23,2435
2017/09/24,2255
2017/09/25,2640
2017/09/26,2701
2017/09/27,2845
2017/09/28,3309
2017/09/29,3817
2017/09/30,4369
2017/10/01,4249
2017/10/02,4401
2017/10/03,4336
2017/10/04,4012
2017/10/05,3570
2017/10/06,3335
2017/10/07,2450
2017/10/08,2187
2017/10/09,2177
2017/10/10,1950
2017/10/11,1732
2017/10/12,1740
2017/10/13,1785
2017/10/14,1701
2017/10/15,1771
2017/10/16,2731
2017/10/17,3959
2017/10/18,5175
2017/10/19,6004
2017/10/20,5976
2017/10/21,6684
2017/10/22,7430
2017/10/23,7562
2017/10/24,7141
2017/10/25,6809
2017/10/26,6081
2017/10/27,8903
2017/10/28,10568
2017/10/29,11513
2017/10/30,12302
2017/10/31,12910
2017/11/01,13236
2017/11/02,13560
2017/11/03,13643
2017/11/04,13654
2017/11/05,13687
2017/11/06,13772
2017/11/07,13805
2017/11/08,13792
2017/11/09,13740
2017/11/10,12917
2017/11/11,11692
2017/11/12,10017
2017/11/13,7582
2017/11/14,2732
2017/11/15,2888
2017/11/16,2825
2017/11/17,2741
2017/11/18,2535
2017/11/19,2082
2017/11/20,2328
2017/11/21,2442
2017/11/22,2490
2017/11/23,2485
2017/11/24,2308
2017/11/25,1879
2017/11/26,1443
2017/11/27,3556
2017/11/28,3833
2017/11/29,3988
2017/11/30,3992
2017/12/01,3970
2017/12/02,3778
2017/12/03,3621
2017/12/04,3753
2017/12/05,3783
2017/12/06,3929
2017/12/07,3721
2017/12/08,3441
2017/12/09,3104
2017/12/10,2677
2017/12/11,3117
2017/12/12,4337
2017/12/13,5241
2017/12/14,5696
2017/12/15,5950
2017/12/16,5971
2017/12/17,5966
2017/12/18,6215
2017/12/19,7084
2017/12/20,7028
2017/12/21,6429
2017/12/22,6169
2017/12/23,5082
2017/12/24,5196
2017/12/25,5579
2017/12/26,5952
2017/12/27,6006
2017/12/28,6006
2017/12/29,6252
2017/12/30,6432
2017/12/31,6477
2018/01/01,6552
2018/01/02,6286
2018/01/03,7059
2018/01/04,7764
2018/01/05,8415
2018/01/06,8865
2018/01/07,8127
2018/01/08,7499
2018/01/09,6764
2018/01/10,6144
2018/01/11,5673
2018/01/12,5640
2018/01/13,5592
2018/01/14,4677
2018/01/15,2484
2018/01/16,2373
2018/01/17,2370
2018/01/18,2158
2018/01/19,2430
2018/01/20,3093
2018/01/21,3790
2018/01/22,4407
2018/01/23,4866
2018/01/24,5498
2018/01/25,6070
2018/01/26,6115
2018/01/27,6602
2018/01/28,6784
2018/01/29,6390
2018/01/30,5549
2018/01/31,4459
2018/02/01,3096
2018/02/02,2518
2018/02/03,2577
2018/02/04,2587
2018/02/05,2506
2018/02/06,2498
2018/02/07,2622
2018/02/08,3431
2018/02/09,3408
2018/02/10,3451
2018/02/11,3742
2018/02/12,3693
2018/02/13,3837
2018/02/14,3737
2018/02/15,3220
2018/02/16,2613
2018/02/17,2602
2018/02/18,2658
2018/02/19,2347
2018/02/20,2153
2018/02/21,2215
2018/02/22,2018
2018/02/23,2085
2018/02/24,2091
2018/02/25,2142
2018/02/26,2124
2018/02/27,2055
2018/02/28,2053
2018/03/01,2113
2018/03/02,2110
2018/03/03,2125
2018/03/04,2117
2018/03/05,2167
2018/03/06,1570
2018/03/07,1426
2018/03/08,1418
2018/03/09,1490
2018/03/10,1996
2018/03/11,2403
2018/03/12,2404
2018/03/13,2405
2018/03/14,2443
2018/03/15,2488
2018/03/16,2431
2018/03/17,2971
2018/03/18,2970
2018/03/19,2732
2018/03/20,2634
2018/03/21,2217
2018/03/22,2320
