Date,price7emaUSD
2017/07/19,199.508
2017/07/20,203.85
2017/07/21,208.647
2017/07/22,212.414
2017/07/23,216.134
2017/07/24,218.535
2017/07/25,216.601
2017/07/26,212.559
2017/07/27,209.955
2017/07/28,206.767
2017/07/29,202.027
2017/07/30,201.185
2017/07/31,199.991
2017/08/01,204.237
2017/08/02,208.563
2017/08/03,212.035
2017/08/04,214.851
2017/08/05,220.638
2017/08/06,230.692
2017/08/07,239.531
2017/08/08,249.852
2017/08/09,262.154
2017/08/10,271.92
2017/08/11,279.272
2017/08/12,287.785
2017/08/13,289.785
2017/08/14,292.503
2017/08/15,291.475
2017/08/16,292.038
2017/08/17,295.07
2017/08/18,296.265
2017/08/19,295.216
2017/08/20,294.706
2017/08/21,301.01
2017/08/22,303.837
2017/08/23,307.698
2017/08/24,311.176
2017/08/25,316.336
2017/08/26,319.798
2017/08/27,324.073
2017/08/28,329.04
2017/08/29,337.202
2017/08/30,348.039
2017/08/31,357.561
2017/09/01,366.393
2017/09/02,365.074
2017/09/03,361.651
2017/09/04,350.752
2017/09/05,338.909
2017/09/06,337.634
2017/09/07,336.571
2017/09/08,332.825
2017/09/09,325.602
2017/09/10,318.03
2017/09/11,313.133
2017/09/12,310.848
2017/09/13,302.455
2017/09/14,290.683
2017/09/15,277.612
2017/09/16,272.761
2017/09/17,267.959
2017/09/18,273.232
2017/09/19,276.929
2017/09/20,279.473
2017/09/21,278.911
2017/09/22,274.947
2017/09/23,275.077
2017/09/24,277.722
2017/09/25,281.197
2017/09/26,284.047
2017/09/27,287.306
2017/09/28,291.635
2017/09/29,291.966
2017/09/30,294.278
2017/10/01,295.808
2017/10/02,296.754
2017/10/03,295.96
2017/10/04,295.34
2017/10/05,294.841
2017/10/06,296.244
2017/10/07,299.459
2017/10/08,302.55
2017/10/09,302.423
2017/10/10,301.691
2017/10/11,301.521
2017/10/12,302.48
2017/10/13,307.76
2017/10/14,316.181
2017/10/15,320.172
2017/10/16,325.036
2017/10/17,324.904
2017/10/18,319.741
2017/10/19,317.123
2017/10/20,314.411
2017/10/21,310.22
2017/10/22,306.612
2017/10/23,301.287
2017/10/24,301.823
2017/10/25,300.277
2017/10/26,299.339
2017/10/27,298.457
2017/10/28,297.41
2017/10/29,298.47
2017/10/30,300.519
2017/10/31,302.159
2017/11/01,301.38
2017/11/02,297.251
2017/11/03,296.735
2017/11/04,297.411
2017/11/05,297.498
2017/11/06,297.683
2017/11/07,297.231
2017/11/08,298.156
2017/11/09,303.134
2017/11/10,304.986
2017/11/11,305.487
2017/11/12,306.345
2017/11/13,308.452
2017/11/14,313.21
2017/11/15,318.715
2017/11/16,321.166
2017/11/17,323.641
2017/11/18,326.233
2017/11/19,333.303
2017/11/20,340.151
2017/11/21,346.332
2017/11/22,351.355
2017/11/23,363.077
2017/11/24,379.852
2017/11/25,401.757
2017/11/26,415.935
2017/11/27,430.78
2017/11/28,440.774
2017/11/29,448.475
2017/11/30,445.059
2017/12/01,444.745
2017/12/02,449.092
2017/12/03,453.902
2017/12/04,456.365
2017/12/05,457.756
2017/12/06,453.327
2017/12/07,446.701
2017/12/08,447.912
2017/12/09,455.476
2017/12/10,453.581
2017/12/11,456.77
2017/12/12,482.795
2017/12/13,528.086
2017/12/14,572.888
2017/12/15,597.013
2017/12/16,621.129
2017/12/17,645.057
2017/12/18,667.455
2017/12/19,706.342
2017/12/20,729.047
2017/12/21,749.032
2017/12/22,732.181
2017/12/23,731.44
