Date,sentbyaddress30std
2017/12/05,49848
2017/12/06,57702
2017/12/07,56775
2017/12/08,58972
2017/12/09,60958
2017/12/10,61628
2017/12/11,63803
2017/12/12,73696
2017/12/13,81938
2017/12/14,90683
2017/12/15,95899
2017/12/16,97309
2017/12/17,98829
2017/12/18,99978
2017/12/19,105767
2017/12/20,109446
2017/12/21,115267
2017/12/22,126284
2017/12/23,124864
2017/12/24,120869
2017/12/25,116586
2017/12/26,112278
2017/12/27,110840
2017/12/28,109224
2017/12/29,115044
2017/12/30,121524
2017/12/31,115973
2018/01/01,110527
2018/01/02,115819
2018/01/03,117967
2018/01/04,125504
2018/01/05,130551
2018/01/06,127591
2018/01/07,126351
2018/01/08,124115
2018/01/09,127998
2018/01/10,126388
2018/01/11,129012
2018/01/12,129012
2018/01/13,131077
2018/01/14,130068
2018/01/15,132347
2018/01/16,135548
2018/01/17,138059
2018/01/18,140308
2018/01/19,139471
2018/01/20,142496
2018/01/21,144706
2018/01/22,143175
2018/01/23,134944
2018/01/24,126596
2018/01/25,129565
2018/01/26,126983
2018/01/27,127670
2018/01/28,133867
2018/01/29,136371
2018/01/30,136680
2018/01/31,137396
2018/02/01,137657
2018/02/02,138417
2018/02/03,141228
2018/02/04,142931
2018/02/05,144545
2018/02/06,145230
2018/02/07,147155
2018/02/08,147020
2018/02/09,148525
2018/02/10,146629
2018/02/11,147662
2018/02/12,144477
2018/02/13,145193
2018/02/14,135986
2018/02/15,120676
2018/02/16,106702
2018/02/17,92555
2018/02/18,91656
2018/02/19,92572
2018/02/20,68007
2018/02/21,64811
2018/02/22,64559
2018/02/23,66301
2018/02/24,71656
2018/02/25,72031
2018/02/26,71795
2018/02/27,72307
2018/02/28,70152
2018/03/01,68873
2018/03/02,67767
2018/03/03,62228
2018/03/04,58477
2018/03/05,58114
2018/03/06,55674
2018/03/07,64770
2018/03/08,61144
2018/03/09,60373
2018/03/10,61952
2018/03/11,64653
2018/03/12,64902
2018/03/13,64463
2018/03/14,62614
2018/03/15,62684
2018/03/16,62913
2018/03/17,63506
2018/03/18,64071
2018/03/19,64031
