Date,fee_to_rewardUSD
2017/05/03,0.255
2017/05/04,0.306
2017/05/05,0.276
2017/05/06,0.276
2017/05/07,0.343
2017/05/08,0.316
2017/05/09,0.348
2017/05/10,0.344
2017/05/11,0.358
2017/05/12,0.354
2017/05/13,0.355
2017/05/14,0.366
2017/05/15,0.449
2017/05/16,0.462
2017/05/17,0.744
2017/05/18,0.54
2017/05/19,0.594
2017/05/20,0.527
2017/05/21,0.542
2017/05/22,0.614
2017/05/23,0.855
2017/05/24,0.915
2017/05/25,0.731
2017/05/26,0.686
2017/05/27,0.611
2017/05/28,0.644
2017/05/29,0.612
2017/05/30,1.021
2017/05/31,1.656
2017/06/01,0.866
2017/06/02,1.046
2017/06/03,0.797
2017/06/04,0.9
2017/06/05,0.762
2017/06/06,0.928
2017/06/07,0.96
2017/06/08,0.832
2017/06/09,0.871
2017/06/10,0.735
2017/06/11,1.076
2017/06/12,1.639
2017/06/13,0.991
2017/06/14,0.865
2017/06/15,0.949
2017/06/16,0.872
2017/06/17,0.806
2017/06/18,0.846
2017/06/19,0.947
2017/06/20,2.454
2017/06/21,3.168
2017/06/22,2.426
2017/06/23,1.705
2017/06/24,2.072
2017/06/25,1.481
2017/06/26,1.861
2017/06/27,1.195
2017/06/28,2.008
2017/06/29,1.631
2017/06/30,1.236
2017/07/01,1.125
2017/07/02,1.132
2017/07/03,1.478
2017/07/04,1.3
2017/07/05,1.428
2017/07/06,1.076
2017/07/07,1.229
2017/07/08,1.261
2017/07/09,0.906
2017/07/10,1.026
2017/07/11,1.132
2017/07/12,1.308
2017/07/13,1.308
2017/07/14,1.107
2017/07/15,1.127
2017/07/16,1.097
2017/07/17,1.121
2017/07/18,1.671
2017/07/19,1.256
2017/07/20,0.995
2017/07/21,1.07
2017/07/22,0.888
2017/07/23,1.123
2017/07/24,1.207
2017/07/25,1.369
2017/07/26,1.129
2017/07/27,1.037
2017/07/28,1.085
2017/07/29,0.799
2017/07/30,0.804
2017/07/31,0.917
2017/08/01,1.174
2017/08/02,1.073
2017/08/03,1.08
2017/08/04,0.985
2017/08/05,1.072
2017/08/06,1.103
2017/08/07,1.424
2017/08/08,1.49
2017/08/09,1.179
2017/08/10,1.387
2017/08/11,1.532
2017/08/12,1.49
2017/08/13,1.324
2017/08/14,1.488
2017/08/15,1.649
2017/08/16,3.083
2017/08/17,2.341
2017/08/18,2.926
2017/08/19,1.97
2017/08/20,1.268
2017/08/21,1.384
2017/08/22,1.357
2017/08/23,1.322
2017/08/24,1.36
2017/08/25,1.542
2017/08/26,1.493
2017/08/27,1.398
2017/08/28,1.657
2017/08/29,2.49
2017/08/30,2.133
2017/08/31,3.17
2017/09/01,2.467
2017/09/02,1.849
2017/09/03,1.514
2017/09/04,2.418
2017/09/05,2.897
2017/09/06,3.721
2017/09/07,3.508
2017/09/08,3.608
2017/09/09,2.182
2017/09/10,2.001
2017/09/11,1.943
2017/09/12,2.418
2017/09/13,2.256
2017/09/14,2
2017/09/15,3.001
2017/09/16,3.152
2017/09/17,1.803
2017/09/18,1.979
2017/09/19,1.86
2017/09/20,2.724
2017/09/21,1.59
2017/09/22,1.802
2017/09/23,1.895
2017/09/24,2.553
2017/09/25,2.336
2017/09/26,2.37
2017/09/27,2.25
2017/09/28,2.25
2017/09/29,2.094
2017/09/30,2.301
2017/10/01,2.071
2017/10/02,2.118
2017/10/03,2.361
2017/10/04,2.343
2017/10/05,2.355
2017/10/06,2.668
2017/10/07,1.985
2017/10/08,2.213
2017/10/09,2.351
2017/10/10,2.437
2017/10/11,2.656
2017/10/12,2.544
2017/10/13,2.755
2017/10/14,2.409
2017/10/15,2.327
2017/10/16,1.961
2017/10/17,1.492
2017/10/18,1.344
2017/10/19,1.283
2017/10/20,1.823
2017/10/21,1.082
2017/10/22,0.909
2017/10/23,1.195
2017/10/24,1.559
2017/10/25,1.31
2017/10/26,1.209
2017/10/27,1.3
2017/10/28,1.046
2017/10/29,1.049
2017/10/30,1.31
2017/10/31,1.375
2017/11/01,1.591
2017/11/02,1.639
2017/11/03,1.243
2017/11/04,0.948
2017/11/05,0.877
2017/11/06,1.103
2017/11/07,1.261
2017/11/08,1.438
2017/11/09,1.387
2017/11/10,1.229
2017/11/11,1.064
2017/11/12,1.282
2017/11/13,1.362
2017/11/14,1.541
2017/11/15,1.772
2017/11/16,1.47
2017/11/17,1.577
2017/11/18,1.152
2017/11/19,1.257
2017/11/20,1.631
2017/11/21,1.6
2017/11/22,1.612
2017/11/23,1.575
2017/11/24,1.385
2017/11/25,1.28
2017/11/26,1.499
2017/11/27,1.684
2017/11/28,1.836
2017/11/29,1.974
2017/11/30,1.824
2017/12/01,1.831
2017/12/02,1.574
2017/12/03,1.809
