Date,transactionvalue7smaUSD
2017/11/11,7844
2017/11/12,8783
2017/11/13,9119
2017/11/14,9476
2017/11/15,9939
2017/11/16,9608
2017/11/17,9735
2017/11/18,9669
2017/11/19,9303
2017/11/20,9798
2017/11/21,10355
2017/11/22,10475
2017/11/23,10723
2017/11/24,10895
2017/11/25,11489
2017/11/26,11995
2017/11/27,12564
2017/11/28,13484
2017/11/29,14688
2017/11/30,15422
2017/12/01,15978
2017/12/02,16423
2017/12/03,16578
2017/12/04,16319
2017/12/05,14706
2017/12/06,13036
2017/12/07,11599
2017/12/08,10190
2017/12/09,8461
2017/12/10,6986
2017/12/11,5569
2017/12/12,5826
2017/12/13,5808
2017/12/14,6108
2017/12/15,6417
2017/12/16,6694
2017/12/17,7067
2017/12/18,7466
2017/12/19,7486
2017/12/20,7879
2017/12/21,7999
2017/12/22,8200
2017/12/23,8365
2017/12/24,8349
2017/12/25,8276
2017/12/26,8221
2017/12/27,7908
2017/12/28,7826
2017/12/29,7978
2017/12/30,8345
2017/12/31,8403
2018/01/01,8524
2018/01/02,8838
2018/01/03,9078
2018/01/04,9771
2018/01/05,10390
2018/01/06,10734
2018/01/07,11396
2018/01/08,12477
2018/01/09,13237
2018/01/10,14592
2018/01/11,14909
2018/01/12,14845
2018/01/13,14627
2018/01/14,17414
2018/01/15,17208
2018/01/16,16913
2018/01/17,15838
2018/01/18,15192
2018/01/19,14530
2018/01/20,14232
2018/01/21,10947
2018/01/22,10448
2018/01/23,9815
2018/01/24,9472
2018/01/25,8560
2018/01/26,8812
2018/01/27,8731
2018/01/28,8980
2018/01/29,9076
2018/01/30,9297
2018/01/31,9401
2018/02/01,9910
2018/02/02,9851
2018/02/03,9705
2018/02/04,9129
2018/02/05,8596
2018/02/06,8043
2018/02/07,7551
2018/02/08,6870
2018/02/09,6138
2018/02/10,5940
2018/02/11,5726
2018/02/12,5501
2018/02/13,5573
2018/02/14,5421
2018/02/15,5740
2018/02/16,5789
2018/02/17,5690
2018/02/18,5823
2018/02/19,5766
2018/02/20,5395
2018/02/21,5202
2018/02/22,5143
2018/02/23,4839
2018/02/24,4568
2018/02/25,4153
2018/02/26,3932
2018/02/27,3539
2018/02/28,3174
2018/03/01,2598
2018/03/02,2336
2018/03/03,2048
2018/03/04,1925
2018/03/05,1773
2018/03/06,1819
2018/03/07,1832
2018/03/08,1780
2018/03/09,1796
2018/03/10,1806
2018/03/11,1780
2018/03/12,1747
2018/03/13,1808
2018/03/14,1796
2018/03/15,1786
2018/03/16,1697
2018/03/17,1671
2018/03/18,1796
2018/03/19,1825
2018/03/20,1662
2018/03/21,1598
2018/03/22,1547
2018/03/23,1586
2018/03/24,1562
2018/03/25,1398
2018/03/26,1365
2018/03/27,1423
2018/03/28,1489
2018/03/29,1555
2018/03/30,1533
2018/03/31,1531
2018/04/01,1517
2018/04/02,1427
2018/04/03,1294
2018/04/04,1160
2018/04/05,999.248
2018/04/06,905.46
2018/04/07,848.089
2018/04/08,839.311
2018/04/09,854.316
2018/04/10,833.141
2018/04/11,839.512
2018/04/12,949.244
2018/04/13,1061
2018/04/14,1084
2018/04/15,1106
2018/04/16,1112
2018/04/17,1127
2018/04/18,1164
2018/04/19,1126
2018/04/20,1125
2018/04/21,1208
2018/04/22,1218
2018/04/23,1416
2018/04/24,1601
2018/04/25,1709
2018/04/26,1766
2018/04/27,1809
2018/04/28,1837
2018/04/29,1902
2018/04/30,1802
2018/05/01,1722
2018/05/02,1760
2018/05/03,1888
2018/05/04,1916
2018/05/05,1947
2018/05/06,1982
2018/05/07,2127
2018/05/08,2155
2018/05/09,2110
2018/05/10,2023
2018/05/11,1999
2018/05/12,1940
2018/05/13,1846
2018/05/14,1727
2018/05/15,1713
2018/05/16,1637
2018/05/17,1570
2018/05/18,1498
2018/05/19,1446
2018/05/20,1456
2018/05/21,1387
2018/05/22,1387
2018/05/23,1467
2018/05/24,1482
2018/05/25,1481
2018/05/26,1487
2018/05/27,1530
2018/05/28,1566
2018/05/29,1518
2018/05/30,1444
2018/05/31,1448
2018/06/01,1524
2018/06/02,1518
2018/06/03,1429
2018/06/04,1401
2018/06/05,1413
2018/06/06,1456
2018/06/07,1473
2018/06/08,1482
2018/06/09,1473
2018/06/10,1538
2018/06/11,1535
2018/06/12,1598
2018/06/13,1694
2018/06/14,1828
2018/06/15,1887
2018/06/16,1932
2018/06/17,1876
2018/06/18,1827
2018/06/19,1726
2018/06/20,1568
2018/06/21,1382
2018/06/22,1264
2018/06/23,1213
2018/06/24,1274
2018/06/25,1298
2018/06/26,1281
2018/06/27,1242
2018/06/28,1204
2018/06/29,1161
2018/06/30,1159
2018/07/01,1072
2018/07/02,1075
2018/07/03,1117
2018/07/04,1193
2018/07/05,1253
2018/07/06,1309
2018/07/07,1338
2018/07/08,1373
2018/07/09,1367
2018/07/10,1332
2018/07/11,1239
2018/07/12,1171
2018/07/13,1077
2018/07/14,1035
2018/07/15,1006
2018/07/16,984.275
2018/07/17,982.164
2018/07/18,1037
2018/07/19,1047
2018/07/20,1082
2018/07/21,1084
2018/07/22,1075
2018/07/23,1053
2018/07/24,1025
2018/07/25,962.74
2018/07/26,926.177
2018/07/27,868.074
2018/07/28,828.431
2018/07/29,798.233
2018/07/30,791.775
2018/07/31,884.809
2018/08/01,873.845
2018/08/02,879.72
2018/08/03,868.329
2018/08/04,871.11
2018/08/05,873.425
2018/08/06,840.72
2018/08/07,725.416
2018/08/08,796.113
2018/08/09,827.658
2018/08/10,876.273
2018/08/11,912.896
2018/08/12,911.658
2018/08/13,967.767
2018/08/14,1015
2018/08/15,970.961
2018/08/16,906.245
2018/08/17,886.383
2018/08/18,848.116
2018/08/19,831.251
2018/08/20,764.08
2018/08/21,688.749
2018/08/22,658.567
2018/08/23,665.061
2018/08/24,628.212
2018/08/25,626.194
2018/08/26,637.403
2018/08/27,644.9
2018/08/28,645.979
2018/08/29,648.115
2018/08/30,649.97
2018/08/31,659.753
2018/09/01,659.066
2018/09/02,654.41
2018/09/03,673.398
2018/09/04,780.122
2018/09/05,810.143
2018/09/06,879.733
2018/09/07,915.635
2018/09/08,959.805
2018/09/09,1006
2018/09/10,1012
2018/09/11,929.314
2018/09/12,946.495
2018/09/13,898.34
2018/09/14,884.15
2018/09/15,859.719
2018/09/16,833.706
2018/09/17,817.27
2018/09/18,801.096
2018/09/19,725.739
2018/09/20,721.186
2018/09/21,770.419
2018/09/22,791.457
2018/09/23,811.546
2018/09/24,837.531
2018/09/25,843.019
2018/09/26,866.466
2018/09/27,855.517
2018/09/28,788.996
2018/09/29,780.62
2018/09/30,771.502
2018/10/01,725.331
2018/10/02,687.393
2018/10/03,662.589
2018/10/04,650.646
2018/10/05,620.862
2018/10/06,573.026
