Date,transactions90wma
2017/10/19,352428
2017/10/20,357053
2017/10/21,359749
2017/10/22,361794
2017/10/23,364515
2017/10/24,367711
2017/10/25,370141
2017/10/26,372645
2017/10/27,364845
2017/10/28,357093
2017/10/29,349392
2017/10/30,341751
2017/10/31,334165
2017/11/01,338116
2017/11/02,342242
2017/11/03,345313
2017/11/04,346354
2017/11/05,347765
2017/11/06,351221
2017/11/07,353724
2017/11/08,356400
2017/11/09,358750
2017/11/10,360859
2017/11/11,361553
2017/11/12,363112
2017/11/13,364857
2017/11/14,367317
2017/11/15,371180
2017/11/16,373938
2017/11/17,377059
2017/11/18,379074
2017/11/19,381160
2017/11/20,384669
2017/11/21,388004
2017/11/22,391796
2017/11/23,395333
2017/11/24,398570
2017/11/25,402538
2017/11/26,406038
2017/11/27,410949
2017/11/28,416474
2017/11/29,422481
2017/11/30,428241
2017/12/01,433218
2017/12/02,438234
2017/12/03,444623
2017/12/04,451126
2017/12/05,457374
2017/12/06,465743
2017/12/07,471111
2017/12/08,478792
2017/12/09,485077
2017/12/10,491476
2017/12/11,500257
2017/12/12,509889
2017/12/13,520217
2017/12/14,531139
2017/12/15,541099
2017/12/16,550832
2017/12/17,559903
2017/12/18,571210
2017/12/19,584738
2017/12/20,595746
2017/12/21,608493
2017/12/22,621722
2017/12/23,630688
2017/12/24,635967
2017/12/25,641007
2017/12/26,647281
2017/12/27,655614
2017/12/28,664611
2017/12/29,676549
2017/12/30,689314
2017/12/31,697701
2018/01/01,705096
2018/01/02,717734
2018/01/03,732014
2018/01/04,748526
2018/01/05,763066
2018/01/06,776374
2018/01/07,787835
2018/01/08,800474
2018/01/09,813798
2018/01/10,825172
2018/01/11,836266
2018/01/12,845952
2018/01/13,856777
2018/01/14,865247
2018/01/15,876296
2018/01/16,888745
2018/01/17,900979
2018/01/18,911441
2018/01/19,918183
2018/01/20,923492
2018/01/21,929152
2018/01/22,933941
2018/01/23,937636
2018/01/24,940892
2018/01/25,941287
2018/01/26,945115
2018/01/27,946038
2018/01/28,948016
2018/01/29,950826
2018/01/30,952742
2018/01/31,953920
2018/02/01,957904
2018/02/02,961149
2018/02/03,960594
2018/02/04,959643
2018/02/05,960267
2018/02/06,961066
2018/02/07,960236
2018/02/08,956303
2018/02/09,954698
2018/02/10,954285
2018/02/11,952125
2018/02/12,951104
2018/02/13,948168
2018/02/14,945195
2018/02/15,942839
2018/02/16,938823
2018/02/17,936227
2018/02/18,933205
2018/02/19,931342
2018/02/20,931069
2018/02/21,929913
2018/02/22,926733
2018/02/23,922862
2018/02/24,918944
2018/02/25,914050
2018/02/26,910167
2018/02/27,905317
2018/02/28,901027
2018/03/01,895930
2018/03/02,892142
2018/03/03,886761
2018/03/04,880721
2018/03/05,877102
2018/03/06,872586
2018/03/07,869653
2018/03/08,864633
2018/03/09,858749
2018/03/10,851591
2018/03/11,844848
2018/03/12,839675
2018/03/13,835015
2018/03/14,829794
2018/03/15,824272
2018/03/16,818813
2018/03/17,812065
2018/03/18,807381
2018/03/19,803207
2018/03/20,798204
2018/03/21,794072
2018/03/22,788309
2018/03/23,783931
2018/03/24,778207
2018/03/25,770611
2018/03/26,765273
2018/03/27,759045
2018/03/28,752805
2018/03/29,746739
2018/03/30,741895
2018/03/31,736092
2018/04/01,729514
2018/04/02,724198
2018/04/03,720060
2018/04/04,715683
2018/04/05,712963
2018/04/06,709332
2018/04/07,703377
2018/04/08,698890
2018/04/09,694862
2018/04/10,690149
2018/04/11,686412
2018/04/12,684648
2018/04/13,683818
2018/04/14,680479
2018/04/15,677448
2018/04/16,675536
2018/04/17,675498
2018/04/18,674721
2018/04/19,676507
2018/04/20,678742
2018/04/21,679122
2018/04/22,679626
2018/04/23,681372
2018/04/24,683444
2018/04/25,685159
2018/04/26,686759
2018/04/27,687752
2018/04/28,689000
2018/04/29,689865
2018/04/30,691246
2018/05/01,691246
2018/05/02,692909
2018/05/03,695766
2018/05/04,702195
2018/05/05,703935
2018/05/06,703525
2018/05/07,705326
2018/05/08,707816
2018/05/09,710548
2018/05/10,713764
2018/05/11,716333
2018/05/12,718080
2018/05/13,719252
2018/05/14,721301
2018/05/15,722844
2018/05/16,724995
2018/05/17,727766
2018/05/18,730418
2018/05/19,733373
2018/05/20,734789
2018/05/21,736762
2018/05/22,739199
2018/05/23,741884
2018/05/24,744064
2018/05/25,745997
2018/05/26,747059
2018/05/27,748413
2018/05/28,751626
2018/05/29,753725
2018/05/30,755907
2018/05/31,758402
2018/06/01,759237
2018/06/02,760268
2018/06/03,762191
2018/06/04,764038
2018/06/05,765279
2018/06/06,765937
2018/06/07,767058
2018/06/08,766921
2018/06/09,767838
2018/06/10,768757
2018/06/11,769603
2018/06/12,770459
2018/06/13,771893
2018/06/14,772595
2018/06/15,773224
2018/06/16,771085
2018/06/17,769149
2018/06/18,768265
2018/06/19,769197
2018/06/20,770643
2018/06/21,770923
2018/06/22,771589
2018/06/23,770139
2018/06/24,768567
2018/06/25,770615
2018/06/26,770292
2018/06/27,770806
2018/06/28,770677
2018/06/29,770308
2018/06/30,767658
2018/07/01,764759
2018/07/02,758929
2018/07/03,754983
2018/07/04,748272
2018/07/05,743391
2018/07/06,737033
2018/07/07,731244
2018/07/08,728722
2018/07/09,726643
2018/07/10,725421
2018/07/11,723126
2018/07/12,719133
2018/07/13,715119
2018/07/14,709922
2018/07/15,703537
2018/07/16,702706
2018/07/17,701824
2018/07/18,701928
2018/07/19,701798
2018/07/20,700305
2018/07/21,697709
2018/07/22,696348
2018/07/23,696849
2018/07/24,697939
2018/07/25,699092
2018/07/26,698886
2018/07/27,700076
2018/07/28,699400
2018/07/29,699008
2018/07/30,699541
2018/07/31,699785
2018/08/01,700319
2018/08/02,701360
2018/08/03,701867
2018/08/04,701666
2018/08/05,701099
2018/08/06,700450
2018/08/07,698441
2018/08/08,694926
2018/08/09,690886
2018/08/10,688572
2018/08/11,687255
2018/08/12,685626
2018/08/13,685200
2018/08/14,684695
2018/08/15,683299
2018/08/16,683448
2018/08/17,681219
