Date,hashrate30sma
2017/02/27,9422976212910
2017/02/28,9538391006424
2017/03/01,9633382374303
2017/03/02,9734446001768
2017/03/03,9853262508560
2017/03/04,9961058880922
2017/03/05,10090996872455
2017/03/06,10216772204024
2017/03/07,10328485599855
2017/03/08,10451490349382
2017/03/09,10575738306424
2017/03/10,10697057554062
2017/03/11,10827896005745
2017/03/12,10951020861432
2017/03/13,11089733809253
2017/03/14,11218448483396
2017/03/15,11355357999086
2017/03/16,11494034019038
2017/03/17,11655662924559
2017/03/18,11824428324834
2017/03/19,11961116368901
2017/03/20,12126194478432
2017/03/21,12275711275062
2017/03/22,12435489106200
2017/03/23,12604816334873
2017/03/24,12775214555742
2017/03/25,12948154287672
2017/03/26,13145550776949
2017/03/27,13354859869115
2017/03/28,13535527551219
2017/03/29,13737612897469
2017/03/30,13924426049420
2017/03/31,14139419295637
2017/04/01,14338452414183
2017/04/02,14522801448244
2017/04/03,14686855291234
2017/04/04,14867606413746
2017/04/05,15064043471869
2017/04/06,15258729567931
2017/04/07,15448291513350
2017/04/08,15639984750336
2017/04/09,15819450316225
2017/04/10,15992828584119
2017/04/11,16184784828627
2017/04/12,16355530232620
2017/04/13,16520472286177
2017/04/14,16727372987188
2017/04/15,16909588896334
2017/04/16,17078740510650
2017/04/17,17251811968165
2017/04/18,17464621883395
2017/04/19,17638494484394
2017/04/20,17829394077644
2017/04/21,18025837858691
2017/04/22,18208329609329
2017/04/23,18410166180994
2017/04/24,18584507154676
2017/04/25,18763117775140
2017/04/26,18909825149907
2017/04/27,19081723234968
2017/04/28,19275452698076
2017/04/29,19484905685820
2017/04/30,19661452702217
2017/05/01,19856872246433
2017/05/02,20054390639369
2017/05/03,20289409083556
2017/05/04,20478618140203
2017/05/05,20690968224348
2017/05/06,20905892720895
2017/05/07,21126176761679
2017/05/08,21330778682378
2017/05/09,21584067827318
2017/05/10,21826670786901
2017/05/11,22064169901557
2017/05/12,22335396691719
2017/05/13,22597035155147
2017/05/14,22831915222133
2017/05/15,23117110324382
2017/05/16,23404961548122
2017/05/17,23634118709335
2017/05/18,23882162232177
2017/05/19,24173467912681
2017/05/20,24484077178185
2017/05/21,24807227251495
2017/05/22,25156598442197
2017/05/23,25451466059392
2017/05/24,25795179119299
2017/05/25,26113688518548
2017/05/26,26444032069702
2017/05/27,26795068031570
2017/05/28,27094605296134
2017/05/29,27446323756278
2017/05/30,27890492501916
2017/05/31,28293899618460
2017/06/01,28760654010530
2017/06/02,29183369490178
2017/06/03,29654280208470
2017/06/04,30117842149110
2017/06/05,30613739227903
2017/06/06,31112663620740
2017/06/07,31678857862909
2017/06/08,32219670212917
2017/06/09,32766685210960
2017/06/10,33371508702781
2017/06/11,33982503390885
2017/06/12,34613066870475
2017/06/13,35267690559683
2017/06/14,35928917293155
2017/06/15,36605315796865
2017/06/16,37358654336197
2017/06/17,38133520071150
2017/06/18,38906098254123
2017/06/19,39671557913659
2017/06/20,40442072363469
2017/06/21,41199287883321
2017/06/22,42016078188094
2017/06/23,42794629128602
2017/06/24,43613207769806
2017/06/25,44452867255811
2017/06/26,45328543806578
2017/06/27,46207936895221
2017/06/28,47071920557384
2017/06/29,47914478558524
2017/06/30,48792573921984
2017/07/01,49636471206379
2017/07/02,50529958716387
2017/07/03,51450181228483
2017/07/04,52389934783234
2017/07/05,53240885926346
2017/07/06,54112407694633
2017/07/07,54966068528129
2017/07/08,55820936159940
2017/07/09,56697044755647
2017/07/10,57535893630807
2017/07/11,58322939021576
2017/07/12,59055154359342
2017/07/13,59756766944206
2017/07/14,60373633731635
2017/07/15,61043062127401
2017/07/16,61738076076859
2017/07/17,62261872255416
2017/07/18,62808856841274
2017/07/19,63429036778330
2017/07/20,64089472581489
2017/07/21,64725446436500
2017/07/22,65333124219369
2017/07/23,66044908987178
2017/07/24,66642222275533
2017/07/25,67334539025610
