Date,sentbyaddress7sma
2017/04/11,20323
2017/04/12,19833
2017/04/13,19093
2017/04/14,19102
2017/04/15,19207
2017/04/16,19082
2017/04/17,18696
2017/04/18,18851
2017/04/19,18873
2017/04/20,18778
2017/04/21,18552
2017/04/22,18366
2017/04/23,18675
2017/04/24,19247
2017/04/25,19249
2017/04/26,19299
2017/04/27,20545
2017/04/28,21693
2017/04/29,22499
2017/04/30,23583
2017/05/01,24683
2017/05/02,25844
2017/05/03,26313
2017/05/04,26453
2017/05/05,27035
2017/05/06,27417
2017/05/07,28022
2017/05/08,29205
2017/05/09,29808
2017/05/10,30575
2017/05/11,30755
2017/05/12,30573
2017/05/13,30475
2017/05/14,30020
2017/05/15,29383
2017/05/16,29355
2017/05/17,30743
2017/05/18,31583
2017/05/19,34350
2017/05/20,35917
2017/05/21,37542
2017/05/22,39499
2017/05/23,41849
2017/05/24,43495
2017/05/25,45217
2017/05/26,45048
2017/05/27,45485
2017/05/28,45439
2017/05/29,44850
2017/05/30,45162
2017/05/31,47612
2017/06/01,49458
2017/06/02,49745
2017/06/03,51206
2017/06/04,52854
2017/06/05,54896
2017/06/06,55596
2017/06/07,53725
2017/06/08,51806
2017/06/09,53375
2017/06/10,54927
2017/06/11,57802
2017/06/12,63335
2017/06/13,67615
2017/06/14,70614
2017/06/15,74709
2017/06/16,75922
2017/06/17,77342
2017/06/18,77803
2017/06/19,75443
2017/06/20,76373
2017/06/21,78443
2017/06/22,80057
2017/06/23,82033
2017/06/24,83197
2017/06/25,82745
2017/06/26,86191
2017/06/27,84767
2017/06/28,71897
2017/06/29,70155
2017/06/30,69178
2017/07/01,68355
2017/07/02,68550
2017/07/03,66373
2017/07/04,66985
2017/07/05,77778
2017/07/06,77155
2017/07/07,79348
2017/07/08,78106
2017/07/09,76738
2017/07/10,76116
2017/07/11,75114
2017/07/12,75303
2017/07/13,74136
2017/07/14,70119
2017/07/15,70063
2017/07/16,70144
2017/07/17,67833
2017/07/18,66772
2017/07/19,66450
2017/07/20,67229
2017/07/21,67088
2017/07/22,65725
2017/07/23,69306
2017/07/24,69429
2017/07/25,68186
2017/07/26,65939
2017/07/27,64887
2017/07/28,65157
2017/07/29,64993
2017/07/30,60212
2017/07/31,61944
2017/08/01,61506
2017/08/02,62369
2017/08/03,62625
2017/08/04,63760
2017/08/05,66914
2017/08/06,69361
2017/08/07,69301
2017/08/08,73605
2017/08/09,76188
2017/08/10,80789
2017/08/11,84436
2017/08/12,86814
2017/08/13,88708
2017/08/14,93064
2017/08/15,96014
2017/08/16,100032
2017/08/17,102288
2017/08/18,105791
2017/08/19,106326
2017/08/20,106632
2017/08/21,106244
2017/08/22,104539
2017/08/23,103804
2017/08/24,100731
2017/08/25,97542
2017/08/26,94650
2017/08/27,93814
2017/08/28,91935
2017/08/29,93401
2017/08/30,94004
2017/08/31,97760
2017/09/01,99384
2017/09/02,101600
2017/09/03,101545
2017/09/04,106957
2017/09/05,108792
2017/09/06,111235
2017/09/07,111071
2017/09/08,111608
2017/09/09,113292
2017/09/10,113477
2017/09/11,109358
2017/09/12,109865
2017/09/13,107220
2017/09/14,108339
2017/09/15,110959
2017/09/16,109389
2017/09/17,107699
2017/09/18,107217
2017/09/19,103340
2017/09/20,101309
2017/09/21,96027
2017/09/22,87485
2017/09/23,85477
2017/09/24,87487
2017/09/25,86183
2017/09/26,83998
2017/09/27,82358
2017/09/28,83444
2017/09/29,86549
2017/09/30,87653
2017/10/01,86300
2017/10/02,85499
2017/10/03,86258
2017/10/04,86012
2017/10/05,84956
2017/10/06,83157
2017/10/07,82541
2017/10/08,83677
2017/10/09,83706
2017/10/10,85692
2017/10/11,89072
2017/10/12,91031
2017/10/13,95983
2017/10/14,97824
2017/10/15,98286
2017/10/16,98355
2017/10/17,102062
2017/10/18,101747
2017/10/19,100525
2017/10/20,99609
2017/10/21,101254
2017/10/22,108376
2017/10/23,111478
2017/10/24,108530
2017/10/25,107528
2017/10/26,107991
2017/10/27,92190
2017/10/28,77237
2017/10/29,58058
2017/10/30,42744
2017/10/31,27350
2017/11/01,32552
2017/11/02,39933
2017/11/03,56415
2017/11/04,69719
2017/11/05,82781
2017/11/06,98122
2017/11/07,113696
2017/11/08,111954
2017/11/09,108452
2017/11/10,108151
2017/11/11,109262
2017/11/12,112949
2017/11/13,113439
2017/11/14,115898
2017/11/15,119206
2017/11/16,119642
2017/11/17,123135
2017/11/18,125063
2017/11/19,125300
2017/11/20,127812
2017/11/21,129882
2017/11/22,129749
2017/11/23,131520
