Date,size14mom
2017/09/24,3304
2017/09/25,2813
2017/09/26,490.054
2017/09/27,1959
2017/09/28,3265
2017/09/29,2228
2017/09/30,5301
2017/10/01,7431
2017/10/02,3607
2017/10/03,4322
2017/10/04,4366
2017/10/05,4208
2017/10/06,4684
2017/10/07,3706
2017/10/08,1166
2017/10/09,93.692
2017/10/10,2912
2017/10/11,1153
2017/10/12,584.065
2017/10/13,305.508
2017/10/14,-2047
2017/10/15,-2770
2017/10/16,-4849
2017/10/17,-6506
2017/10/18,-7333
2017/10/19,-7334
2017/10/20,-6403
2017/10/21,-7674
2017/10/22,-8202
2017/10/23,-6843
2017/10/24,-7493
2017/10/25,-5699
2017/10/26,-6720
2017/10/27,-21845
2017/10/28,-19951
2017/10/29,-19011
2017/10/30,-16294
2017/10/31,-14412
2017/11/01,2603
2017/11/02,2755
2017/11/03,597.3
2017/11/04,173.302
2017/11/05,692.791
2017/11/06,968.263
2017/11/07,320.772
2017/11/08,-126.681
2017/11/09,-488.251
2017/11/10,13413
2017/11/11,12665
2017/11/12,13233
2017/11/13,14443
2017/11/14,16232
2017/11/15,789.31
2017/11/16,-455.169
2017/11/17,-550.401
2017/11/18,2472
2017/11/19,2910
2017/11/20,2858
2017/11/21,1916
2017/11/22,1758
2017/11/23,2100
2017/11/24,1691
2017/11/25,3529
2017/11/26,2866
2017/11/27,7744
2017/11/28,2748
2017/11/29,2086
2017/11/30,2781
2017/12/01,2883
2017/12/02,3326
2017/12/03,4775
2017/12/04,3087
2017/12/05,3617
2017/12/06,5196
2017/12/07,1870
2017/12/08,6117
2017/12/09,3698
2017/12/10,4765
2017/12/11,1367
2017/12/12,6627
2017/12/13,7676
2017/12/14,7990
2017/12/15,7996
2017/12/16,8435
2017/12/17,6640
2017/12/18,8191
2017/12/19,11664
2017/12/20,6291
2017/12/21,12322
2017/12/22,7977
2017/12/23,6307
2017/12/24,-345.076
2017/12/25,-1833
2017/12/26,-3174
2017/12/27,-1482
2017/12/28,-83.95
2017/12/29,3362
2017/12/30,2957
2017/12/31,-924.992
2018/01/01,-3907
2018/01/02,-1306
2018/01/03,5008
2018/01/04,3460
2018/01/05,4219
2018/01/06,6457
2018/01/07,10747
2018/01/08,10781
2018/01/09,10604
2018/01/10,5912
2018/01/11,5333
2018/01/12,1113
2018/01/13,1918
2018/01/14,4283
2018/01/15,7820
2018/01/16,2610
2018/01/17,-46.082
2018/01/18,-1975
2018/01/19,-4570
2018/01/20,-5241
2018/01/21,-4468
2018/01/22,-6639
2018/01/23,-7958
2018/01/24,-6080
2018/01/25,-7627
2018/01/26,-4596
2018/01/27,-8813
2018/01/28,-5126
2018/01/29,-6598
2018/01/30,-7543
2018/01/31,-7525
2018/02/01,-5378
2018/02/02,-2662
2018/02/03,-4822
2018/02/04,-4053
2018/02/05,-1688
2018/02/06,-145.157
2018/02/07,-1594
2018/02/08,-3578
2018/02/09,-3963
2018/02/10,-329.616
2018/02/11,-3215
2018/02/12,-3070
2018/02/13,-4790
2018/02/14,-3054
2018/02/15,-4523
2018/02/16,-5474
2018/02/17,-700.954
2018/02/18,-2010
2018/02/19,-2364
2018/02/20,-520.752
2018/02/21,335.915
2018/02/22,1654
2018/02/23,-1303
2018/02/24,-856.279
2018/02/25,-415.344
2018/02/26,-525.859
2018/02/27,529.598
2018/02/28,-254.994
2018/03/01,-1142
2018/03/02,1839
2018/03/03,-718.02
2018/03/04,58.867
2018/03/05,754.306
2018/03/06,-2791
2018/03/07,-482.984
2018/03/08,-268.751
2018/03/09,-418.543
2018/03/10,-2403
2018/03/11,-1954
2018/03/12,15.76
2018/03/13,-17.713
2018/03/14,-1487
2018/03/15,-607.114
2018/03/16,-3048
2018/03/17,-3797
2018/03/18,-596.814
2018/03/19,-1924
2018/03/20,-1556
2018/03/21,-2194
2018/03/22,-3596
2018/03/23,-1527
2018/03/24,-2263
2018/03/25,-3630
2018/03/26,-3826
2018/03/27,-3716
2018/03/28,-2823
2018/03/29,-2548
2018/03/30,-1045
2018/03/31,-351.386
2018/04/01,-4304
2018/04/02,-3771
2018/04/03,-989.82
2018/04/04,-1955
2018/04/05,1613
2018/04/06,-1078
2018/04/07,-768.031
2018/04/08,2250
2018/04/09,789.145
2018/04/10,352.114
2018/04/11,1213
2018/04/12,3736
2018/04/13,2679
2018/04/14,1124
2018/04/15,2779
2018/04/16,3897
