Date,confirmationtime7roc
2017/03/27,1.95
2017/03/28,0.966
2017/03/29,0.334
2017/03/30,0.068
2017/03/31,-0.971
2017/04/01,0.607
2017/04/02,2.309
2017/04/03,-0.485
2017/04/04,-0.539
2017/04/05,0.033
2017/04/06,0.51
2017/04/07,0.42
2017/04/08,-0.168
2017/04/09,0.845
2017/04/10,3.838
2017/04/11,1.419
2017/04/12,3.582
2017/04/13,1.414
2017/04/14,0.643
2017/04/15,3.758
2017/04/16,-0.395
2017/04/17,-1.757
2017/04/18,-0.205
2017/04/19,1.067
2017/04/20,-1.041
2017/04/21,0.51
2017/04/22,-1.226
2017/04/23,-0.75
2017/04/24,2.447
2017/04/25,-0.61
2017/04/26,1.437
2017/04/27,3.846
2017/04/28,3.177
2017/04/29,2.951
2017/04/30,3.824
2017/05/01,1.725
2017/05/02,4.947
2017/05/03,-0.212
2017/05/04,-0.124
2017/05/05,0.388
2017/05/06,-0.916
2017/05/07,-1.224
2017/05/08,-0.284
2017/05/09,-0.934
2017/05/10,0.018
2017/05/11,-0.929
2017/05/12,-0.229
2017/05/13,1.556
2017/05/14,5.85
2017/05/15,4.425
2017/05/16,3.94
2017/05/17,6.066
2017/05/18,4.394
2017/05/19,4.867
2017/05/20,1.858
2017/05/21,-0.644
2017/05/22,-1.225
2017/05/23,0.701
2017/05/24,-1.879
2017/05/25,-0.055
2017/05/26,-1.238
2017/05/27,0.919
2017/05/28,-0.293
2017/05/29,-1.99
2017/05/30,-2.903
2017/05/31,0.277
2017/06/01,3.582
2017/06/02,7.961
2017/06/03,4.496
2017/06/04,5.678
2017/06/05,6.287
2017/06/06,7.162
2017/06/07,3.302
2017/06/08,1.286
2017/06/09,-2.436
2017/06/10,-2.382
2017/06/11,-1.639
2017/06/12,0.229
2017/06/13,-1.214
2017/06/14,-1.002
2017/06/15,-1.81
2017/06/16,-2.286
2017/06/17,1.004
2017/06/18,-1.889
2017/06/19,-1.819
2017/06/20,6.162
2017/06/21,8.044
2017/06/22,7.302
2017/06/23,9.121
2017/06/24,6.884
2017/06/25,8.546
2017/06/26,7.432
2017/06/27,-0.7
2017/06/28,-1.27
2017/06/29,-1.651
2017/06/30,-2.899
2017/07/01,-1.397
2017/07/02,-2.145
2017/07/03,-1.722
2017/07/04,-1.516
2017/07/05,-0.481
2017/07/06,-0.377
2017/07/07,-0.944
2017/07/08,-1.533
2017/07/09,-1.178
2017/07/10,9.97
2017/07/11,12.345
2017/07/12,10.557
2017/07/13,11.835
2017/07/14,12.928
2017/07/15,10.515
2017/07/16,11.344
2017/07/17,3.028
2017/07/18,-0.681
2017/07/19,-2.76
2017/07/20,-2.591
2017/07/21,-0.902
2017/07/22,-0.989
2017/07/23,-1.824
2017/07/24,-2.684
2017/07/25,-2.86
2017/07/26,-0.258
2017/07/27,-0.043
2017/07/28,-2.238
2017/07/29,-0.726
2017/07/30,-0.935
2017/07/31,1.059
2017/08/01,14.632
2017/08/02,14.96
2017/08/03,16.549
2017/08/04,15.025
2017/08/05,16.088
2017/08/06,16.667
2017/08/07,10.747
2017/08/08,-0.147
2017/08/09,-1.678
2017/08/10,-1.315
2017/08/11,-1.583
2017/08/12,-1.921
2017/08/13,-2.326
2017/08/14,-0.944
2017/08/15,-0.944
2017/08/16,-1.272
2017/08/17,-2.775
2017/08/18,-0.75
2017/08/19,-2.327
2017/08/20,-0.674
2017/08/21,-2.362
2017/08/22,-1.266
2017/08/23,-1.186
2017/08/24,-0.956
2017/08/25,16.376
2017/08/26,20.349
2017/08/27,18.27
2017/08/28,22.874
2017/08/29,18.187
2017/08/30,19.4
2017/08/31,20.472
2017/09/01,0.937
2017/09/02,-1.186
2017/09/03,-0.706
2017/09/04,-2.325
2017/09/05,-0.506
2017/09/06,0.598
2017/09/07,-2.086
2017/09/08,-1.977
2017/09/09,-0.562
2017/09/10,-0.979
2017/09/11,-0.676
2017/09/12,-1.221
2017/09/13,-0.735
2017/09/14,-1.445
2017/09/15,-0.664
2017/09/16,-1.33
2017/09/17,-1.543
2017/09/18,-0.169
2017/09/19,-0.689
2017/09/20,-1.778
2017/09/21,-1.262
2017/09/22,20.493
2017/09/23,25.139
2017/09/24,23.553
2017/09/25,25.423
2017/09/26,25.536
2017/09/27,23.967
2017/09/28,27.626
2017/09/29,6.08
2017/09/30,1.549
2017/10/01,2.655
2017/10/02,-0.211
2017/10/03,0.978
2017/10/04,0.659
2017/10/05,-3.055
2017/10/06,-0.667
2017/10/07,-0.281
2017/10/08,-0.59
2017/10/09,-1.388
2017/10/10,-1.818
2017/10/11,-1.029
2017/10/12,1.621
2017/10/13,-1.487
2017/10/14,-1.351
2017/10/15,-1.573
2017/10/16,-36.715
2017/10/17,-51.818
2017/10/18,-53.143
2017/10/19,-53.549
2017/10/20,-53.648
2017/10/21,-53.652
2017/10/22,-53.424
2017/10/23,-27.183
2017/10/24,-3.169
2017/10/25,0.729
2017/10/26,1.364
2017/10/27,-100
2017/10/28,-100
2017/10/29,-100
2017/10/30,-100
2017/10/31,-100
2017/11/01,0.292
2017/11/02,0.44
2017/11/03,0
2017/11/04,0
2017/11/05,0
2017/11/06,0
2017/11/07,0
2017/11/08,-1.251
2017/11/09,-1.049
2017/11/10,-1.254
2017/11/11,-1.133
2017/11/12,0.865
2017/11/13,-0.418
2017/11/14,1.454
2017/11/15,0
2017/11/16,0.666
2017/11/17,1.043
2017/11/18,0.837
2017/11/19,-0.335
2017/11/20,0.793
2017/11/21,-0.842
2017/11/22,-0.096
2017/11/23,-0.582
2017/11/24,0.032
2017/11/25,0.242
2017/11/26,1.572
2017/11/27,1.479
2017/11/28,1.313
2017/11/29,2.194
2017/11/30,0.634
2017/12/01,1.73
2017/12/02,2.429
2017/12/03,2.322
2017/12/04,7.318
2017/12/05,9.055
2017/12/06,11.602
2017/12/07,6.088
2017/12/08,5.583
2017/12/09,4.129
2017/12/10,4.29
2017/12/11,-1.357
2017/12/12,-2.222
2017/12/13,-3.287
2017/12/14,1.826
2017/12/15,0.052
2017/12/16,0.658
2017/12/17,0
2017/12/18,-0.554
2017/12/19,1.981
2017/12/20,1.58
2017/12/21,2.226
2017/12/22,2.619
2017/12/23,-2.892
2017/12/24,-3.344
2017/12/25,-4.161
2017/12/26,-6.475
2017/12/27,-6.621
2017/12/28,-5.417
2017/12/29,-2.316
2017/12/30,3.014
2017/12/31,1.27
2018/01/01,1.789
2018/01/02,4.209
2018/01/03,7.69
2018/01/04,7.976
2018/01/05,8.332
2018/01/06,6.592
2018/01/07,6.838
2018/01/08,9.578
2018/01/09,6.937
2018/01/10,2.308
2018/01/11,0.442
2018/01/12,-1.439
2018/01/13,0.408
2018/01/14,-1.724
2018/01/15,-0.295
2018/01/16,-2.626
2018/01/17,-2.818
2018/01/18,-2.496
2018/01/19,-4.679
2018/01/20,-8.156
2018/01/21,-3.184
2018/01/22,-7.802
2018/01/23,-6.375
2018/01/24,-6.526
2018/01/25,-5.77
2018/01/26,-3.807
2018/01/27,-2.166
2018/01/28,-3.44
2018/01/29,-0.709
2018/01/30,0.528
2018/01/31,1.326
2018/02/01,2.285
2018/02/02,0.784
2018/02/03,0.502
2018/02/04,0.973
2018/02/05,-1.66
2018/02/06,-0.996
2018/02/07,-0.507
2018/02/08,-3.732
2018/02/09,-1.213
2018/02/10,-0.814
2018/02/11,0.067
