Date,transactionfeesUSD
2017/03/19,0.0266
2017/03/20,0.0308
2017/03/21,0.0327
2017/03/22,0.0315
2017/03/23,0.0309
2017/03/24,0.0385
2017/03/25,0.0348
2017/03/26,0.0369
2017/03/27,0.0415
2017/03/28,0.0378
2017/03/29,0.0389
2017/03/30,0.039
2017/03/31,0.0377
2017/04/01,0.0357
2017/04/02,0.0371
2017/04/03,0.034
2017/04/04,0.0328
2017/04/05,0.0359
2017/04/06,0.0341
2017/04/07,0.0335
2017/04/08,0.0323
2017/04/09,0.0333
2017/04/10,0.0362
2017/04/11,0.034
2017/04/12,0.0444
2017/04/13,0.0356
2017/04/14,0.0372
2017/04/15,0.0371
2017/04/16,0.0379
2017/04/17,0.0402
2017/04/18,0.0438
2017/04/19,0.0461
2017/04/20,0.0412
2017/04/21,0.056
2017/04/22,0.0498
2017/04/23,0.0412
2017/04/24,0.0454
2017/04/25,0.0423
2017/04/26,0.0434
2017/04/27,0.0482
2017/04/28,0.0495
2017/04/29,0.0538
2017/04/30,0.0599
2017/05/01,0.0742
2017/05/02,0.0784
2017/05/03,0.0615
2017/05/04,0.0684
2017/05/05,0.0717
2017/05/06,0.0806
2017/05/07,0.0918
2017/05/08,0.072
2017/05/09,0.079
2017/05/10,0.0831
2017/05/11,0.0812
2017/05/12,0.0895
2017/05/13,0.0904
2017/05/14,0.0923
2017/05/15,0.0964
2017/05/16,0.104
2017/05/17,0.135
2017/05/18,0.106
2017/05/19,0.12
2017/05/20,0.148
2017/05/21,0.143
2017/05/22,0.169
2017/05/23,0.222
2017/05/24,0.271
2017/05/25,0.232
2017/05/26,0.215
2017/05/27,0.181
2017/05/28,0.208
2017/05/29,0.215
2017/05/30,0.343
2017/05/31,0.67
2017/06/01,0.285
2017/06/02,0.333
2017/06/03,0.287
2017/06/04,0.339
2017/06/05,0.284
2017/06/06,0.339
2017/06/07,0.349
2017/06/08,0.327
2017/06/09,0.309
2017/06/10,0.3
2017/06/11,0.443
2017/06/12,0.643
2017/06/13,0.405
2017/06/14,0.38
2017/06/15,0.348
2017/06/16,0.362
2017/06/17,0.353
2017/06/18,0.372
2017/06/19,0.354
2017/06/20,0.842
2017/06/21,1.374
2017/06/22,0.78
2017/06/23,0.558
2017/06/24,0.818
2017/06/25,0.529
2017/06/26,0.72
2017/06/27,0.321
2017/06/28,0.816
2017/06/29,0.541
2017/06/30,0.407
2017/07/01,0.352
2017/07/02,0.341
2017/07/03,0.393
2017/07/04,0.37
2017/07/05,0.396
2017/07/06,0.313
2017/07/07,0.307
2017/07/08,0.35
2017/07/09,0.277
2017/07/10,0.196
2017/07/11,0.193
2017/07/12,0.237
2017/07/13,0.263
2017/07/14,0.217
2017/07/15,0.229
2017/07/16,0.174
2017/07/17,0.194
2017/07/18,0.314
2017/07/19,0.266
2017/07/20,0.222
2017/07/21,0.297
2017/07/22,0.245
2017/07/23,0.252
2017/07/24,0.266
2017/07/25,0.308
2017/07/26,0.265
2017/07/27,0.237
2017/07/28,0.226
2017/07/29,0.193
2017/07/30,0.2
2017/07/31,0.182
2017/08/01,0.262
2017/08/02,0.227
2017/08/03,0.223
2017/08/04,0.191
2017/08/05,0.215
2017/08/06,0.241
2017/08/07,0.306
2017/08/08,0.299
2017/08/09,0.286
2017/08/10,0.279
2017/08/11,0.299
2017/08/12,0.319
2017/08/13,0.271
2017/08/14,0.253
2017/08/15,0.268
2017/08/16,0.83
2017/08/17,0.491
2017/08/18,0.689
2017/08/19,0.365
2017/08/20,0.277
2017/08/21,0.269
2017/08/22,0.279
2017/08/23,0.269
2017/08/24,0.295
2017/08/25,0.292
2017/08/26,0.321
2017/08/27,0.286
2017/08/28,0.306
2017/08/29,0.473
2017/08/30,0.412
2017/08/31,0.741
2017/09/01,0.518
2017/09/02,0.668
2017/09/03,0.345
2017/09/04,0.351
2017/09/05,0.42
2017/09/06,0.518
2017/09/07,0.546
2017/09/08,0.526
2017/09/09,0.349
2017/09/10,0.375
2017/09/11,0.321
2017/09/12,0.39
2017/09/13,0.351
2017/09/14,0.275
2017/09/15,0.344
2017/09/16,0.457
