Date,activeaddresses90wma
2017/06/10,86892
2017/06/11,88983
2017/06/12,92006
2017/06/13,94761
2017/06/14,97047
2017/06/15,99461
2017/06/16,101388
2017/06/17,103208
2017/06/18,105129
2017/06/19,107490
2017/06/20,109804
2017/06/21,111339
2017/06/22,113934
2017/06/23,116403
2017/06/24,118350
2017/06/25,119721
2017/06/26,122859
2017/06/27,124743
2017/06/28,126726
2017/06/29,128555
2017/06/30,130240
2017/07/01,131741
2017/07/02,133263
2017/07/03,135380
2017/07/04,137289
2017/07/05,138868
2017/07/06,140349
2017/07/07,142386
2017/07/08,143426
2017/07/09,144227
2017/07/10,146102
2017/07/11,147787
2017/07/12,149294
2017/07/13,150254
2017/07/14,151200
2017/07/15,151949
2017/07/16,152794
2017/07/17,153670
2017/07/18,154808
2017/07/19,155965
2017/07/20,156960
2017/07/21,157702
2017/07/22,157886
2017/07/23,158994
2017/07/24,159750
2017/07/25,160337
2017/07/26,160640
2017/07/27,161082
2017/07/28,161653
2017/07/29,161629
2017/07/30,161781
2017/07/31,162743
2017/08/01,162924
2017/08/02,163278
2017/08/03,163532
2017/08/04,164145
2017/08/05,164725
2017/08/06,165228
2017/08/07,166033
2017/08/08,167452
2017/08/09,168326
2017/08/10,169934
2017/08/11,171584
2017/08/12,172852
2017/08/13,174003
2017/08/14,176481
2017/08/15,178780
2017/08/16,181055
2017/08/17,183456
2017/08/18,186104
2017/08/19,187540
2017/08/20,188160
2017/08/21,189891
2017/08/22,191014
2017/08/23,192632
2017/08/24,193709
2017/08/25,194994
2017/08/26,195223
2017/08/27,195610
2017/08/28,196690
2017/08/29,198387
2017/08/30,200196
2017/08/31,202146
2017/09/01,203710
2017/09/02,204423
2017/09/03,204591
2017/09/04,206969
2017/09/05,209107
2017/09/06,211615
2017/09/07,213254
2017/09/08,215034
2017/09/09,216003
2017/09/10,216190
2017/09/11,217082
2017/09/12,218816
2017/09/13,219692
2017/09/14,221099
2017/09/15,223362
2017/09/16,223923
2017/09/17,223581
2017/09/18,224567
2017/09/19,225028
2017/09/20,225251
2017/09/21,225260
2017/09/22,224574
2017/09/23,223757
2017/09/24,223163
2017/09/25,223001
2017/09/26,222643
2017/09/27,222437
2017/09/28,222551
2017/09/29,222747
2017/09/30,222329
2017/10/01,221603
2017/10/02,221423
2017/10/03,221409
2017/10/04,221018
2017/10/05,220745
2017/10/06,220434
2017/10/07,219865
2017/10/08,219401
2017/10/09,219152
2017/10/10,219619
2017/10/11,219873
2017/10/12,220200
2017/10/13,221174
2017/10/14,221176
2017/10/15,220953
2017/10/16,220796
2017/10/17,221845
2017/10/18,222301
2017/10/19,222552
2017/10/20,223277
2017/10/21,223740
2017/10/22,224533
2017/10/23,225185
2017/10/24,225953
2017/10/25,226158
2017/10/26,226545
2017/10/27,226847
2017/10/28,221914
2017/10/29,217018
2017/10/30,212167
2017/10/31,213255
2017/11/01,214653
2017/11/02,216796
2017/11/03,217780
2017/11/04,217515
2017/11/05,217130
2017/11/06,217617
2017/11/07,218153
2017/11/08,219165
2017/11/09,220307
2017/11/10,221356
2017/11/11,221522
2017/11/12,222542
2017/11/13,223287
2017/11/14,224611
2017/11/15,226887
2017/11/16,228292
2017/11/17,230131
2017/11/18,231045
2017/11/19,232071
2017/11/20,233945
2017/11/21,235925
2017/11/22,238018
2017/11/23,240071
2017/11/24,241885
2017/11/25,243583
2017/11/26,245329
2017/11/27,248535
2017/11/28,252194
2017/11/29,256660
2017/11/30,260546
2017/12/01,263581
2017/12/02,266757
2017/12/03,270657
2017/12/04,274651
2017/12/05,278377
2017/12/06,285877
2017/12/07,289181
2017/12/08,293790
2017/12/09,297709
2017/12/10,301172
2017/12/11,306753
2017/12/12,313543
2017/12/13,321322
2017/12/14,330042
2017/12/15,337341
2017/12/16,344169
2017/12/17,350883
2017/12/18,359868
2017/12/19,370832
2017/12/20,380805
2017/12/21,392174
2017/12/22,403593
2017/12/23,410849
2017/12/24,414794
2017/12/25,418756
2017/12/26,423927
2017/12/27,430498
2017/12/28,437706
2017/12/29,447952
2017/12/30,459764
2017/12/31,466265
2018/01/01,472342
2018/01/02,483116
2018/01/03,496171
2018/01/04,512145
2018/01/05,526064
2018/01/06,538209
2018/01/07,548138
2018/01/08,559389
2018/01/09,571790
2018/01/10,582611
2018/01/11,593407
2018/01/12,602128
2018/01/13,611355
2018/01/14,618558
2018/01/15,628771
2018/01/16,640195
2018/01/17,651311
2018/01/18,660871
2018/01/19,665974
2018/01/20,668784
2018/01/21,674120
2018/01/22,678193
2018/01/23,681148
2018/01/24,683464
2018/01/25,682535
2018/01/26,685471
2018/01/27,686029
2018/01/28,687120
2018/01/29,689323
2018/01/30,690695
2018/01/31,691837
2018/02/01,695119
2018/02/02,697926
2018/02/03,697176
2018/02/04,696041
2018/02/05,696334
2018/02/06,696943
2018/02/07,695951
2018/02/08,692202
2018/02/09,690421
2018/02/10,689553
2018/02/11,686963
2018/02/12,685959
2018/02/13,683005
2018/02/14,680349
2018/02/15,677924
2018/02/16,673951
2018/02/17,670128
2018/02/18,666414
2018/02/19,664027
2018/02/20,662816
2018/02/21,660366
2018/02/22,656963
2018/02/23,652696
2018/02/24,647082
2018/02/25,641621
2018/02/26,638044
2018/02/27,633670
2018/02/28,629760
2018/03/01,625115
2018/03/02,620598
2018/03/03,614814
2018/03/04,608344
2018/03/05,603840
2018/03/06,599380
2018/03/07,597090
2018/03/08,592167
2018/03/09,586916
2018/03/10,580876
2018/03/11,574092
2018/03/12,568620
2018/03/13,563357
2018/03/14,558983
2018/03/15,554042
2018/03/16,548555
2018/03/17,542323
2018/03/18,537107
2018/03/19,532830
2018/03/20,527652
2018/03/21,523160
2018/03/22,518124
2018/03/23,514800
2018/03/24,510339
2018/03/25,503890
2018/03/26,499125
2018/03/27,493802
2018/03/28,488070
2018/03/29,483059
2018/03/30,478574
2018/03/31,473124
2018/04/01,467242
2018/04/02,462305
2018/04/03,458233
2018/04/04,453846
2018/04/05,450962
2018/04/06,447566
2018/04/07,443141
2018/04/08,439563
2018/04/09,436662
2018/04/10,433081
2018/04/11,429871
2018/04/12,427965
2018/04/13,426371
2018/04/14,423414
2018/04/15,420796
2018/04/16,418668
2018/04/17,417251
2018/04/18,415609
2018/04/19,414903
2018/04/20,414797
2018/04/21,414917
2018/04/22,415406
2018/04/23,416690
2018/04/24,418142
2018/04/25,418404
2018/04/26,418479
2018/04/27,418067
2018/04/28,417680
2018/04/29,416867
2018/04/30,417153
2018/05/01,416522
2018/05/02,417106
2018/05/03,418680
2018/05/04,425548
2018/05/05,426797
2018/05/06,427462
2018/05/07,428917
2018/05/08,430832
2018/05/09,433103
2018/05/10,435300
2018/05/11,437134
2018/05/12,439414
2018/05/13,441092
2018/05/14,443252
2018/05/15,445123
2018/05/16,447523
2018/05/17,450519
2018/05/18,453325
2018/05/19,457010
2018/05/20,459033
2018/05/21,460805
2018/05/22,463302
2018/05/23,466029
2018/05/24,468419
2018/05/25,470193
2018/05/26,471855
2018/05/27,474027
2018/05/28,477331
2018/05/29,479608
2018/05/30,481774
2018/05/31,483750
2018/06/01,484509
2018/06/02,485899
2018/06/03,487969
2018/06/04,489349
2018/06/05,490327
2018/06/06,491158
2018/06/07,492263
2018/06/08,492286
2018/06/09,484757
2018/06/10,474767
2018/06/11,475793
2018/06/12,475642
2018/06/13,476100
2018/06/14,476367
2018/06/15,477115
2018/06/16,475683
2018/06/17,475064
2018/06/18,474633
2018/06/19,474957
2018/06/20,475687
2018/06/21,476132
2018/06/22,476894
2018/06/23,476593
2018/06/24,476223
2018/06/25,478695
2018/06/26,478403
2018/06/27,478495
2018/06/28,478975
2018/06/29,479092
2018/06/30,475677
2018/07/01,470697
2018/07/02,466681
2018/07/03,462726
2018/07/04,458677
2018/07/05,455444
2018/07/06,451302
2018/07/07,447062
2018/07/08,444312
2018/07/09,442261
2018/07/10,440314
2018/07/11,437819
2018/07/12,434725
2018/07/13,431054
2018/07/14,426986
2018/07/15,423027
2018/07/16,422583
2018/07/17,422325
2018/07/18,423790
2018/07/19,424233
2018/07/20,423501
2018/07/21,421681
2018/07/22,421328
2018/07/23,422112
2018/07/24,423541
2018/07/25,425135
2018/07/26,425641
2018/07/27,427105
2018/07/28,427403
2018/07/29,427897
2018/07/30,428899
2018/07/31,429563
2018/08/01,430241
2018/08/02,430408
2018/08/03,431532
2018/08/04,431273
2018/08/05,430745
2018/08/06,430627
2018/08/07,429576
2018/08/08,427490
2018/08/09,425538
2018/08/10,415716
2018/08/11,406025
2018/08/12,396458
2018/08/13,396809
2018/08/14,396659
2018/08/15,396171
2018/08/16,396707
2018/08/17,395660
2018/08/18,394678
2018/08/19,393540
2018/08/20,393565
2018/08/21,392380
2018/08/22,391512
2018/08/23,390472
2018/08/24,389651
2018/08/25,388776
2018/08/26,388230
2018/08/27,388222
2018/08/28,388071
2018/08/29,386428
2018/08/30,385521
2018/08/31,384565
2018/09/01,384691
2018/09/02,385227
2018/09/03,385760
2018/09/04,385505
2018/09/05,385548
2018/09/06,385187
2018/09/07,384841
2018/09/08,383988
2018/09/09,383067
2018/09/10,382129
2018/09/11,380712
2018/09/12,379382
2018/09/13,378366
2018/09/14,376776
2018/09/15,374247
2018/09/16,371691
2018/09/17,370523
2018/09/18,368540
2018/09/19,366375
2018/09/20,364710
2018/09/21,363478
2018/09/22,361376
2018/09/23,359346
2018/09/24,357393
2018/09/25,355901
2018/09/26,353986
2018/09/27,352445
2018/09/28,351064
2018/09/29,348697
2018/09/30,347263
2018/10/01,345471
2018/10/02,343535
2018/10/03,342930
2018/10/04,342523
2018/10/05,342581
2018/10/06,343114
2018/10/07,341837
2018/10/08,341034
2018/10/09,340328
2018/10/10,339125
2018/10/11,338480
2018/10/12,337546
2018/10/13,336698
2018/10/14,335641
2018/10/15,335438
2018/10/16,335438
2018/10/17,335552
2018/10/18,335325
2018/10/19,335019
2018/10/20,334513
2018/10/21,333565
2018/10/22,333761
2018/10/23,333652
2018/10/24,333513
2018/10/25,333242
2018/10/26,333206
2018/10/27,332501
2018/10/28,331881
2018/10/29,332689
2018/10/30,333497
2018/10/31,334147
2018/11/01,334352
2018/11/02,333655
2018/11/03,332755
2018/11/04,331989
2018/11/05,332278
2018/11/06,332278
2018/11/07,331895
2018/11/08,331379
2018/11/09,331307
2018/11/10,330572
2018/11/11,330655
2018/11/12,330576
2018/11/13,330231
2018/11/14,330223
2018/11/15,330025
2018/11/16,329535
2018/11/17,328599
2018/11/18,327367
2018/11/19,328268
2018/11/20,328816
2018/11/21,328397
2018/11/22,327757
2018/11/23,327255
2018/11/24,325913
2018/11/25,325301
2018/11/26,324846
2018/11/27,324097
2018/11/28,324091
2018/11/29,323308
2018/11/30,323136
2018/12/01,322093
2018/12/02,320860
2018/12/03,320225
2018/12/04,319442
2018/12/05,319244
2018/12/06,318953
2018/12/07,319086
2018/12/08,319525
2018/12/09,319219
2018/12/10,319421
2018/12/11,318904
2018/12/12,318378
2018/12/13,317917
2018/12/14,317485
2018/12/15,317282
2018/12/16,317477
2018/12/17,317393
2018/12/18,316884
2018/12/19,316988
2018/12/20,317131
2018/12/21,317081
2018/12/22,315899
2018/12/23,315367
2018/12/24,315633
2018/12/25,315060
2018/12/26,314756
2018/12/27,314468
2018/12/28,314611
2018/12/29,314473
2018/12/30,313547
2018/12/31,313051
2019/01/01,311894
2019/01/02,311670
2019/01/03,311902
2019/01/04,311462
2019/01/05,310693
2019/01/06,309969
2019/01/07,310039
2019/01/08,310311
2019/01/09,310496
2019/01/10,310565
2019/01/11,310261
2019/01/12,308713
2019/01/13,307581
2019/01/14,308204
2019/01/15,308182
2019/01/16,307555
2019/01/17,306842
2019/01/18,306306
2019/01/19,305380
2019/01/20,304195
2019/01/21,303569
2019/01/22,302699
2019/01/23,302227
2019/01/24,301605
2019/01/25,301141
2019/01/26,300084
2019/01/27,299499
2019/01/28,299824
2019/01/29,299556
2019/01/30,299092
2019/01/31,298614
2019/02/01,297822
2019/02/02,296380
2019/02/03,294515
2019/02/04,292507
2019/02/05,290605
2019/02/06,288895
2019/02/07,287071
